Generation:	16	Best fitness:	241.38503401360543	Average fitness:	326.5044625850341	Fitness standard deviation:	37.356696829896734	Best genome:	A8	A9	E4	N9	N3	A6	A14	A17	A11	N7	E5	A16	N12	E3	N6	N5	A7	A13	A15	A12	A10	
Generation:	192	Best fitness:	146.29931972789115	Average fitness:	314.1353197278913	Fitness standard deviation:	51.020125620050315	Best genome:	N9	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	A16	
Generation:	208	Best fitness:	146.29931972789115	Average fitness:	314.1433197278911	Fitness standard deviation:	47.17434072865962	Best genome:	N9	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	A16	
Generation:	224	Best fitness:	146.29931972789115	Average fitness:	311.66674829931986	Fitness standard deviation:	46.34900540860987	Best genome:	N9	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	A16	
Generation:	240	Best fitness:	146.29931972789115	Average fitness:	319.5610340136055	Fitness standard deviation:	48.23733784917562	Best genome:	N9	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	A16	
Generation:	256	Best fitness:	146.29931972789115	Average fitness:	309.29417687074834	Fitness standard deviation:	47.8411370044395	Best genome:	N9	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	A16	
Generation:	272	Best fitness:	146.29931972789115	Average fitness:	307.53989115646266	Fitness standard deviation:	52.620826509383264	Best genome:	N9	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	A16	
Generation:	288	Best fitness:	146.29931972789115	Average fitness:	310.01646258503405	Fitness standard deviation:	44.91946871221603	Best genome:	N9	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	A16	
Generation:	304	Best fitness:	146.29931972789115	Average fitness:	319.3558911564625	Fitness standard deviation:	49.97796036376884	Best genome:	N9	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	A16	
Generation:	320	Best fitness:	146.29931972789115	Average fitness:	309.3010340136055	Fitness standard deviation:	46.82025426357831	Best genome:	N9	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	A16	
Generation:	336	Best fitness:	142.87074829931973	Average fitness:	309.0616054421769	Fitness standard deviation:	53.89165440369545	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	352	Best fitness:	142.87074829931973	Average fitness:	314.2776054421769	Fitness standard deviation:	46.28178204107918	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	368	Best fitness:	142.87074829931973	Average fitness:	302.09931972789116	Fitness standard deviation:	47.686937243583486	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	384	Best fitness:	142.87074829931973	Average fitness:	317.0398911564625	Fitness standard deviation:	40.72055043130645	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	400	Best fitness:	142.87074829931973	Average fitness:	327.01017687074824	Fitness standard deviation:	47.21178532908052	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	416	Best fitness:	142.87074829931973	Average fitness:	316.15303401360535	Fitness standard deviation:	46.379540049289766	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	432	Best fitness:	142.87074829931973	Average fitness:	305.4170340136054	Fitness standard deviation:	50.96823232771806	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	448	Best fitness:	142.87074829931973	Average fitness:	309.53246258503407	Fitness standard deviation:	50.77163513423693	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	464	Best fitness:	142.87074829931973	Average fitness:	314.3507482993197	Fitness standard deviation:	46.139007358199635	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	480	Best fitness:	142.87074829931973	Average fitness:	314.680462585034	Fitness standard deviation:	49.165628149622364	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	496	Best fitness:	142.87074829931973	Average fitness:	317.73817687074825	Fitness standard deviation:	50.62993153929274	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	512	Best fitness:	142.87074829931973	Average fitness:	326.17646258503396	Fitness standard deviation:	49.21920191078573	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	528	Best fitness:	142.87074829931973	Average fitness:	325.368462585034	Fitness standard deviation:	47.021887422947266	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	544	Best fitness:	142.87074829931973	Average fitness:	316.7027482993198	Fitness standard deviation:	52.63697703620721	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	560	Best fitness:	142.87074829931973	Average fitness:	332.58331972789114	Fitness standard deviation:	47.9121619462882	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	576	Best fitness:	142.87074829931973	Average fitness:	326.2496054421769	Fitness standard deviation:	45.995034269683806	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	592	Best fitness:	142.87074829931973	Average fitness:	321.78674829931975	Fitness standard deviation:	58.49712008540004	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	608	Best fitness:	142.87074829931973	Average fitness:	308.5090340136055	Fitness standard deviation:	48.61053908067968	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	624	Best fitness:	142.87074829931973	Average fitness:	317.6907482993198	Fitness standard deviation:	55.02299875358244	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	640	Best fitness:	142.87074829931973	Average fitness:	309.50046258503403	Fitness standard deviation:	41.62099900143617	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	656	Best fitness:	142.87074829931973	Average fitness:	316.68617687074834	Fitness standard deviation:	45.77963122862144	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	672	Best fitness:	142.87074829931973	Average fitness:	318.30389115646256	Fitness standard deviation:	52.55150938161258	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	688	Best fitness:	142.87074829931973	Average fitness:	309.5273197278912	Fitness standard deviation:	47.42173082855064	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	704	Best fitness:	142.87074829931973	Average fitness:	309.90103401360545	Fitness standard deviation:	45.617222458369014	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	720	Best fitness:	142.87074829931973	Average fitness:	316.64903401360533	Fitness standard deviation:	42.063742323831754	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	736	Best fitness:	142.87074829931973	Average fitness:	327.42217687074833	Fitness standard deviation:	54.21657981218118	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	752	Best fitness:	142.87074829931973	Average fitness:	315.53817687074826	Fitness standard deviation:	47.038584860013096	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	768	Best fitness:	142.87074829931973	Average fitness:	312.388462585034	Fitness standard deviation:	48.44984400556172	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	784	Best fitness:	142.87074829931973	Average fitness:	317.2547482993198	Fitness standard deviation:	44.81602416046097	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	800	Best fitness:	142.87074829931973	Average fitness:	317.96217687074835	Fitness standard deviation:	55.35216619104275	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	816	Best fitness:	142.87074829931973	Average fitness:	316.99989115646264	Fitness standard deviation:	47.56979293284204	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	832	Best fitness:	142.87074829931973	Average fitness:	318.4861768707483	Fitness standard deviation:	53.5407467826217	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	848	Best fitness:	142.87074829931973	Average fitness:	318.11874829931975	Fitness standard deviation:	51.37462613280718	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	864	Best fitness:	142.87074829931973	Average fitness:	321.42160544217694	Fitness standard deviation:	48.72326386976194	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	E3	N12	N3	N5	A11	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	880	Best fitness:	139.87074829931973	Average fitness:	309.296462585034	Fitness standard deviation:	51.07755487731277	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	E3	N12	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	896	Best fitness:	139.87074829931973	Average fitness:	326.16503401360546	Fitness standard deviation:	48.04132991073246	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	E3	N12	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	912	Best fitness:	139.87074829931973	Average fitness:	314.45360544217687	Fitness standard deviation:	41.31818910625692	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	E3	N12	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	928	Best fitness:	139.87074829931973	Average fitness:	313.27589115646254	Fitness standard deviation:	40.0368310801289	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	E3	N12	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	944	Best fitness:	139.87074829931973	Average fitness:	320.8198911564625	Fitness standard deviation:	45.71476831530975	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	E3	N12	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	960	Best fitness:	139.87074829931973	Average fitness:	323.48903401360536	Fitness standard deviation:	50.64666228219319	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	E3	N12	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	976	Best fitness:	139.87074829931973	Average fitness:	310.67360544217695	Fitness standard deviation:	49.30267112025307	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	E3	N12	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	992	Best fitness:	139.87074829931973	Average fitness:	309.492462585034	Fitness standard deviation:	50.62543413691402	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	E3	N12	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	1008	Best fitness:	139.87074829931973	Average fitness:	324.2907482993198	Fitness standard deviation:	51.10918835878611	Best genome:	A16	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	E3	N12	A6	A12	A14	A17	N7	A8	A13	N9	
Generation:	1024	Best fitness:	139.8421768707483	Average fitness:	320.53189115646256	Fitness standard deviation:	46.89364989341873	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	E3	N12	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1040	Best fitness:	136.8421768707483	Average fitness:	327.5673197278913	Fitness standard deviation:	53.80226681818816	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1056	Best fitness:	136.8421768707483	Average fitness:	317.0176054421768	Fitness standard deviation:	49.51510312077745	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1072	Best fitness:	136.8421768707483	Average fitness:	318.5987482993198	Fitness standard deviation:	49.920132208092866	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1088	Best fitness:	136.8421768707483	Average fitness:	324.7393197278912	Fitness standard deviation:	54.4110591999945	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1104	Best fitness:	136.8421768707483	Average fitness:	313.9130340136055	Fitness standard deviation:	53.24918801412154	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1120	Best fitness:	136.8421768707483	Average fitness:	311.90446258503397	Fitness standard deviation:	49.64778859452384	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1136	Best fitness:	136.8421768707483	Average fitness:	315.23874829931975	Fitness standard deviation:	53.419401089254954	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1152	Best fitness:	136.8421768707483	Average fitness:	311.7541768707483	Fitness standard deviation:	51.00287237689538	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1168	Best fitness:	136.8421768707483	Average fitness:	314.90731972789126	Fitness standard deviation:	49.132804300680625	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1184	Best fitness:	136.8421768707483	Average fitness:	314.26903401360545	Fitness standard deviation:	49.42836314076676	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1200	Best fitness:	136.8421768707483	Average fitness:	306.75874829931973	Fitness standard deviation:	53.33254314244556	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1216	Best fitness:	136.8421768707483	Average fitness:	311.08731972789127	Fitness standard deviation:	44.994730971344566	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1232	Best fitness:	136.8421768707483	Average fitness:	312.080462585034	Fitness standard deviation:	43.04817978943678	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1248	Best fitness:	136.8421768707483	Average fitness:	318.67760544217685	Fitness standard deviation:	50.140468989934796	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1264	Best fitness:	136.8421768707483	Average fitness:	311.86274829931966	Fitness standard deviation:	49.2223845013628	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1280	Best fitness:	136.8421768707483	Average fitness:	325.36903401360536	Fitness standard deviation:	40.986821639176085	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1296	Best fitness:	136.8421768707483	Average fitness:	325.52903401360544	Fitness standard deviation:	50.13330506005861	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1312	Best fitness:	136.8421768707483	Average fitness:	317.51074829931963	Fitness standard deviation:	52.20981000946556	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1328	Best fitness:	136.8421768707483	Average fitness:	322.893605442177	Fitness standard deviation:	46.05327704442554	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1344	Best fitness:	136.8421768707483	Average fitness:	326.71189115646257	Fitness standard deviation:	53.81329724451505	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1360	Best fitness:	136.8421768707483	Average fitness:	315.4261768707483	Fitness standard deviation:	52.051214704013056	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1376	Best fitness:	136.8421768707483	Average fitness:	320.66046258503394	Fitness standard deviation:	48.44580148949116	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1392	Best fitness:	136.8421768707483	Average fitness:	317.2027482993197	Fitness standard deviation:	50.514668999838705	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1408	Best fitness:	136.8421768707483	Average fitness:	324.36446258503406	Fitness standard deviation:	54.02116018973396	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1424	Best fitness:	136.8421768707483	Average fitness:	316.34046258503395	Fitness standard deviation:	47.474252066842745	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1440	Best fitness:	136.8421768707483	Average fitness:	318.0050340136055	Fitness standard deviation:	53.65588687104488	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1456	Best fitness:	136.8421768707483	Average fitness:	314.97246258503395	Fitness standard deviation:	49.51489774908195	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1472	Best fitness:	136.8421768707483	Average fitness:	319.68960544217686	Fitness standard deviation:	52.303742905830205	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1488	Best fitness:	136.8421768707483	Average fitness:	313.15817687074826	Fitness standard deviation:	49.747036637412705	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1504	Best fitness:	136.8421768707483	Average fitness:	314.05474829931967	Fitness standard deviation:	49.76217928163057	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1520	Best fitness:	136.8421768707483	Average fitness:	312.0861768707483	Fitness standard deviation:	49.42833665014431	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1536	Best fitness:	136.8421768707483	Average fitness:	316.3193197278911	Fitness standard deviation:	56.341044668036766	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1552	Best fitness:	136.8421768707483	Average fitness:	301.7233197278911	Fitness standard deviation:	51.00625311325133	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1568	Best fitness:	136.8421768707483	Average fitness:	308.71474829931975	Fitness standard deviation:	50.966900250484706	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1584	Best fitness:	136.8421768707483	Average fitness:	315.9907482993198	Fitness standard deviation:	52.40609311824692	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1600	Best fitness:	136.8421768707483	Average fitness:	313.49474829931967	Fitness standard deviation:	46.48140865475801	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1616	Best fitness:	136.8421768707483	Average fitness:	324.20446258503404	Fitness standard deviation:	56.069321071221786	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1632	Best fitness:	136.8421768707483	Average fitness:	317.692462585034	Fitness standard deviation:	46.59307562113425	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1648	Best fitness:	136.8421768707483	Average fitness:	319.38960544217684	Fitness standard deviation:	49.09743726966796	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1664	Best fitness:	136.8421768707483	Average fitness:	312.4873197278912	Fitness standard deviation:	51.83919471848714	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1680	Best fitness:	136.8421768707483	Average fitness:	317.9307482993197	Fitness standard deviation:	47.04143349544232	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1696	Best fitness:	136.8421768707483	Average fitness:	329.11360544217695	Fitness standard deviation:	45.69485095808535	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1712	Best fitness:	136.8421768707483	Average fitness:	323.4107482993197	Fitness standard deviation:	54.30957257675103	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1728	Best fitness:	136.8421768707483	Average fitness:	313.45474829931976	Fitness standard deviation:	57.20947892346056	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
Generation:	1744	Best fitness:	136.8421768707483	Average fitness:	314.5930340136055	Fitness standard deviation:	53.00535422781671	Best genome:	A9	E4	A7	A10	E5	A15	N6	N5	N3	A11	N12	E3	A6	A12	A14	A17	N7	A8	A13	N9	A16	
