Generation:	16	Best fitness:	234.69931972789115	Average fitness:	343.47046258503417	Fitness standard deviation:	33.13430702397719	Best genome:	E5	A14	E4	A7	A11	N6	A15	E3	N7	A10	N12	A6	A17	A13	N9	A16	N5	A12	A9	N3	A8	
Generation:	208	Best fitness:	185.52789115646257	Average fitness:	347.20960544217706	Fitness standard deviation:	36.35780869892676	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	224	Best fitness:	185.52789115646257	Average fitness:	339.4210340136056	Fitness standard deviation:	37.205034686730464	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	240	Best fitness:	185.52789115646257	Average fitness:	339.31803401360537	Fitness standard deviation:	34.54358732508415	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	256	Best fitness:	185.52789115646257	Average fitness:	334.3037482993197	Fitness standard deviation:	36.25096571240044	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	272	Best fitness:	185.52789115646257	Average fitness:	339.46060544217704	Fitness standard deviation:	36.59047583200093	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	288	Best fitness:	185.52789115646257	Average fitness:	340.2111768707486	Fitness standard deviation:	37.62219750522887	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	304	Best fitness:	185.52789115646257	Average fitness:	346.4443197278914	Fitness standard deviation:	36.87910806587781	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	320	Best fitness:	185.52789115646257	Average fitness:	349.5510340136056	Fitness standard deviation:	34.969646475368386	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	336	Best fitness:	185.52789115646257	Average fitness:	346.52389115646275	Fitness standard deviation:	35.44914898261785	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	352	Best fitness:	185.52789115646257	Average fitness:	342.25260544217707	Fitness standard deviation:	34.568371550494845	Best genome:	E5	E4	N3	A6	A14	A17	A9	A7	N9	A8	A16	N7	N6	N5	A11	E3	A10	N12	A15	A12	A13	
Generation:	368	Best fitness:	184.49931972789116	Average fitness:	340.73846258503414	Fitness standard deviation:	36.85842415380832	Best genome:	E4	N3	A6	A14	A17	A9	A7	N9	A16	N7	N6	N5	A11	E3	A10	A8	E5	N12	A15	A12	A13	
Generation:	384	Best fitness:	170.87074829931973	Average fitness:	336.3076054421771	Fitness standard deviation:	36.62508169134861	Best genome:	A9	N5	A11	N6	E3	N7	A10	A8	N12	A15	A12	E4	N3	A6	A14	A17	A16	A13	E5	A7	N9	
Generation:	400	Best fitness:	167.87074829931973	Average fitness:	338.76231972789105	Fitness standard deviation:	35.08690741311247	Best genome:	A9	N5	A11	E3	N6	N7	A10	A8	N12	A15	A12	E4	N3	A6	A14	A17	A16	A13	E5	A7	N9	
Generation:	416	Best fitness:	167.87074829931973	Average fitness:	341.4390340136054	Fitness standard deviation:	34.97755627804313	Best genome:	A9	N5	A11	E3	N6	N7	A10	A8	N12	A15	A12	E4	N3	A6	A14	A17	A16	A13	E5	A7	N9	
Generation:	432	Best fitness:	167.87074829931973	Average fitness:	339.9381768707485	Fitness standard deviation:	36.970067875159174	Best genome:	A9	N5	A11	E3	N6	N7	A10	A8	N12	A15	A12	E4	N3	A6	A14	A17	A16	A13	E5	A7	N9	
Generation:	448	Best fitness:	159.87074829931973	Average fitness:	340.3187482993198	Fitness standard deviation:	35.774187565897286	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A16	A13	E5	A7	N9	
Generation:	464	Best fitness:	141.87074829931973	Average fitness:	340.84889115646297	Fitness standard deviation:	36.01340373799619	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	480	Best fitness:	141.87074829931973	Average fitness:	338.3821768707486	Fitness standard deviation:	37.2316202018814	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	496	Best fitness:	141.87074829931973	Average fitness:	339.2171768707485	Fitness standard deviation:	36.786910597745646	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	512	Best fitness:	141.87074829931973	Average fitness:	338.42789115646264	Fitness standard deviation:	39.89726521239985	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	528	Best fitness:	141.87074829931973	Average fitness:	342.75503401360567	Fitness standard deviation:	38.1540657421075	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	544	Best fitness:	141.87074829931973	Average fitness:	341.3080340136057	Fitness standard deviation:	36.04338748236744	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	560	Best fitness:	141.87074829931973	Average fitness:	340.1777482993199	Fitness standard deviation:	35.82369037126586	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	576	Best fitness:	141.87074829931973	Average fitness:	337.95060544217716	Fitness standard deviation:	42.81177983014126	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	592	Best fitness:	141.87074829931973	Average fitness:	341.92817687074864	Fitness standard deviation:	34.70245324386818	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	608	Best fitness:	141.87074829931973	Average fitness:	339.2096054421769	Fitness standard deviation:	39.575920533081934	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	624	Best fitness:	141.87074829931973	Average fitness:	337.04031972789113	Fitness standard deviation:	36.42480227867843	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	640	Best fitness:	141.87074829931973	Average fitness:	345.48960544217715	Fitness standard deviation:	36.58601298924193	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	656	Best fitness:	141.87074829931973	Average fitness:	340.9304625850343	Fitness standard deviation:	39.98690879550967	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	672	Best fitness:	141.87074829931973	Average fitness:	335.98117687074847	Fitness standard deviation:	37.31782543673373	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	688	Best fitness:	141.87074829931973	Average fitness:	338.65446258503425	Fitness standard deviation:	36.53119723620078	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	704	Best fitness:	141.87074829931973	Average fitness:	341.4271768707485	Fitness standard deviation:	35.77705625944981	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	720	Best fitness:	141.87074829931973	Average fitness:	341.1816054421771	Fitness standard deviation:	39.740651428983895	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	736	Best fitness:	141.87074829931973	Average fitness:	343.5450340136056	Fitness standard deviation:	37.96979583719628	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	752	Best fitness:	141.87074829931973	Average fitness:	339.8127482993199	Fitness standard deviation:	36.06239138957224	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	768	Best fitness:	141.87074829931973	Average fitness:	338.2216054421771	Fitness standard deviation:	36.58522509406869	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	784	Best fitness:	141.87074829931973	Average fitness:	342.10931972789143	Fitness standard deviation:	36.8648374858366	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	800	Best fitness:	141.87074829931973	Average fitness:	338.32074829932003	Fitness standard deviation:	37.52716531706991	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	E4	N3	A6	A14	A17	A13	A16	E5	A7	N9	
Generation:	816	Best fitness:	128.87074829931973	Average fitness:	344.09931972789127	Fitness standard deviation:	38.07529318364348	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	832	Best fitness:	128.87074829931973	Average fitness:	338.3970340136055	Fitness standard deviation:	39.12764755181145	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	848	Best fitness:	128.87074829931973	Average fitness:	344.89003401360554	Fitness standard deviation:	40.729583986761924	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	864	Best fitness:	128.87074829931973	Average fitness:	343.4237482993201	Fitness standard deviation:	39.80715973930072	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	880	Best fitness:	128.87074829931973	Average fitness:	338.3777482993198	Fitness standard deviation:	38.054401445395875	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	896	Best fitness:	128.87074829931973	Average fitness:	338.2098911564627	Fitness standard deviation:	39.40306341659548	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	912	Best fitness:	128.87074829931973	Average fitness:	340.9938911564628	Fitness standard deviation:	35.46654846931868	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	928	Best fitness:	128.87074829931973	Average fitness:	337.1866054421769	Fitness standard deviation:	42.16870444139001	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	944	Best fitness:	128.87074829931973	Average fitness:	341.44560544217705	Fitness standard deviation:	39.12614487442756	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	960	Best fitness:	128.87074829931973	Average fitness:	339.0717482993199	Fitness standard deviation:	42.914461039921484	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	976	Best fitness:	128.87074829931973	Average fitness:	339.3721768707482	Fitness standard deviation:	39.77194793893232	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	992	Best fitness:	128.87074829931973	Average fitness:	338.1816054421771	Fitness standard deviation:	40.09743241410954	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1008	Best fitness:	128.87074829931973	Average fitness:	342.14503401360554	Fitness standard deviation:	39.39019426306035	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1024	Best fitness:	128.87074829931973	Average fitness:	343.5671768707487	Fitness standard deviation:	35.39994320732214	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1040	Best fitness:	128.87074829931973	Average fitness:	343.43446258503405	Fitness standard deviation:	35.60175238865156	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1056	Best fitness:	128.87074829931973	Average fitness:	342.8953197278913	Fitness standard deviation:	38.91911938093866	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1072	Best fitness:	128.87074829931973	Average fitness:	335.8928911564627	Fitness standard deviation:	41.90325752643261	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1088	Best fitness:	128.87074829931973	Average fitness:	337.26460544217684	Fitness standard deviation:	40.46685334206458	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1104	Best fitness:	128.87074829931973	Average fitness:	342.12460544217714	Fitness standard deviation:	40.4409545071451	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1120	Best fitness:	128.87074829931973	Average fitness:	336.3513197278914	Fitness standard deviation:	38.35841793677425	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1136	Best fitness:	128.87074829931973	Average fitness:	341.2777482993201	Fitness standard deviation:	38.232522377244884	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1152	Best fitness:	128.87074829931973	Average fitness:	338.50903401360557	Fitness standard deviation:	38.386381773132165	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1168	Best fitness:	128.87074829931973	Average fitness:	339.72246258503407	Fitness standard deviation:	39.8981788127156	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1184	Best fitness:	128.87074829931973	Average fitness:	340.7390340136057	Fitness standard deviation:	38.537558016531754	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1200	Best fitness:	128.87074829931973	Average fitness:	336.45103401360575	Fitness standard deviation:	38.28781885366975	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1216	Best fitness:	128.87074829931973	Average fitness:	344.7517482993199	Fitness standard deviation:	40.2849462720612	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1232	Best fitness:	128.87074829931973	Average fitness:	340.3224625850343	Fitness standard deviation:	42.39203933643722	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1248	Best fitness:	128.87074829931973	Average fitness:	339.1088911564628	Fitness standard deviation:	40.84089329986076	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1264	Best fitness:	128.87074829931973	Average fitness:	338.39131972789124	Fitness standard deviation:	36.26930339354564	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1280	Best fitness:	128.87074829931973	Average fitness:	341.29417687074834	Fitness standard deviation:	40.29473483203076	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1296	Best fitness:	128.87074829931973	Average fitness:	338.31360544217694	Fitness standard deviation:	36.49440035324402	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1312	Best fitness:	128.87074829931973	Average fitness:	334.94417687074844	Fitness standard deviation:	39.55175318078164	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1328	Best fitness:	128.87074829931973	Average fitness:	342.6021768707485	Fitness standard deviation:	35.14926120511364	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1344	Best fitness:	128.87074829931973	Average fitness:	336.9370340136057	Fitness standard deviation:	38.171388019653406	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1360	Best fitness:	128.87074829931973	Average fitness:	341.70960544217684	Fitness standard deviation:	36.927325653482775	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1376	Best fitness:	128.87074829931973	Average fitness:	338.21989115646267	Fitness standard deviation:	40.248052523300636	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1392	Best fitness:	128.87074829931973	Average fitness:	339.90317687074844	Fitness standard deviation:	38.57714737261119	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1408	Best fitness:	128.87074829931973	Average fitness:	337.7007482993198	Fitness standard deviation:	43.346179338729584	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1424	Best fitness:	128.87074829931973	Average fitness:	343.66660544217694	Fitness standard deviation:	38.26954460221893	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1440	Best fitness:	128.87074829931973	Average fitness:	344.97531972789164	Fitness standard deviation:	35.49630776315089	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1456	Best fitness:	128.87074829931973	Average fitness:	337.9814625850342	Fitness standard deviation:	38.710982562037444	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1472	Best fitness:	128.87074829931973	Average fitness:	340.4967482993197	Fitness standard deviation:	35.670868488079705	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1488	Best fitness:	128.87074829931973	Average fitness:	339.3634625850342	Fitness standard deviation:	37.31063967064425	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1504	Best fitness:	128.87074829931973	Average fitness:	335.54989115646276	Fitness standard deviation:	38.04379792946491	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1520	Best fitness:	128.87074829931973	Average fitness:	333.8490340136057	Fitness standard deviation:	40.91030230409261	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1536	Best fitness:	128.87074829931973	Average fitness:	335.56760544217695	Fitness standard deviation:	37.84325759266094	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1552	Best fitness:	128.87074829931973	Average fitness:	341.6664625850343	Fitness standard deviation:	39.45662053548977	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1568	Best fitness:	128.87074829931973	Average fitness:	342.0037482993201	Fitness standard deviation:	37.982749639588675	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1584	Best fitness:	128.87074829931973	Average fitness:	336.8973197278914	Fitness standard deviation:	38.830563547130694	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1600	Best fitness:	128.87074829931973	Average fitness:	339.69474829932	Fitness standard deviation:	39.97061782492386	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1616	Best fitness:	128.87074829931973	Average fitness:	343.3067482993199	Fitness standard deviation:	34.02784744821783	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1632	Best fitness:	128.87074829931973	Average fitness:	342.8754625850342	Fitness standard deviation:	39.43130930219937	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1648	Best fitness:	128.87074829931973	Average fitness:	335.72846258503415	Fitness standard deviation:	36.78282118553914	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A12	A6	A14	A17	A13	A16	E5	E4	N3	A7	N9	
Generation:	1664	Best fitness:	127.87074829931973	Average fitness:	339.99431972789114	Fitness standard deviation:	38.86034607989202	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A14	A17	A13	A16	E5	A6	A12	E4	N3	A7	N9	
Generation:	1680	Best fitness:	127.87074829931973	Average fitness:	344.2106054421772	Fitness standard deviation:	38.169231801362244	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A14	A17	A13	A16	E5	A6	A12	E4	N3	A7	N9	
Generation:	1696	Best fitness:	127.87074829931973	Average fitness:	334.0390340136055	Fitness standard deviation:	38.70198189198258	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A14	A17	A13	A16	E5	A6	A12	E4	N3	A7	N9	
Generation:	1712	Best fitness:	127.87074829931973	Average fitness:	337.40760544217716	Fitness standard deviation:	40.58107225326224	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A14	A17	A13	A16	E5	A6	A12	E4	N3	A7	N9	
Generation:	1728	Best fitness:	127.87074829931973	Average fitness:	345.1694625850339	Fitness standard deviation:	39.033573073936836	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A14	A17	A13	A16	E5	A6	A12	E4	N3	A7	N9	
Generation:	1744	Best fitness:	127.87074829931973	Average fitness:	337.4777482993198	Fitness standard deviation:	42.744765952173886	Best genome:	A9	N5	A11	E3	N6	N7	A10	N12	A8	A15	A14	A17	A13	A16	E5	A6	A12	E4	N3	A7	N9	
