Generation:	16	Best fitness:	234.8421768707483	Average fitness:	329.9707482993197	Fitness standard deviation:	33.291139349437614	Best genome:	A7	A11	N5	E5	N12	A10	A15	E4	A8	A13	A16	N3	E3	N6	N7	A6	A17	A14	A12	N9	A9	
Generation:	368	Best fitness:	157.87074829931973	Average fitness:	322.9821768707483	Fitness standard deviation:	45.9378548271733	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	384	Best fitness:	157.87074829931973	Average fitness:	320.156462585034	Fitness standard deviation:	45.936312966754215	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	400	Best fitness:	157.87074829931973	Average fitness:	319.06331972789116	Fitness standard deviation:	45.00675026377846	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	416	Best fitness:	157.87074829931973	Average fitness:	325.3267482993197	Fitness standard deviation:	45.58373034497358	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	432	Best fitness:	157.87074829931973	Average fitness:	319.38674829931966	Fitness standard deviation:	44.25998973044137	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	448	Best fitness:	157.87074829931973	Average fitness:	331.0004625850341	Fitness standard deviation:	49.00450165410671	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	464	Best fitness:	157.87074829931973	Average fitness:	329.74674829931973	Fitness standard deviation:	42.50590609046498	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	480	Best fitness:	157.87074829931973	Average fitness:	325.6033197278911	Fitness standard deviation:	50.6432631891842	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	496	Best fitness:	157.87074829931973	Average fitness:	327.80674829931957	Fitness standard deviation:	49.16975827162256	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	512	Best fitness:	157.87074829931973	Average fitness:	314.48103401360544	Fitness standard deviation:	42.9773186540747	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	528	Best fitness:	157.87074829931973	Average fitness:	320.5353197278911	Fitness standard deviation:	40.563234508553656	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	544	Best fitness:	157.87074829931973	Average fitness:	318.6821768707484	Fitness standard deviation:	45.91644229978394	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	560	Best fitness:	157.87074829931973	Average fitness:	319.32789115646244	Fitness standard deviation:	42.97727011966646	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	576	Best fitness:	157.87074829931973	Average fitness:	326.1553197278911	Fitness standard deviation:	45.31072331880688	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	592	Best fitness:	157.87074829931973	Average fitness:	318.9341768707484	Fitness standard deviation:	41.33856045991392	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	608	Best fitness:	157.87074829931973	Average fitness:	324.76217687074836	Fitness standard deviation:	52.04607660329372	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	624	Best fitness:	157.87074829931973	Average fitness:	331.1284625850339	Fitness standard deviation:	50.687203228251214	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	640	Best fitness:	157.87074829931973	Average fitness:	322.5124625850341	Fitness standard deviation:	40.32272027185727	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	656	Best fitness:	157.87074829931973	Average fitness:	324.65017687074834	Fitness standard deviation:	42.49849938863388	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	672	Best fitness:	157.87074829931973	Average fitness:	324.79931972789115	Fitness standard deviation:	50.11170778513597	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	688	Best fitness:	157.87074829931973	Average fitness:	335.98503401360546	Fitness standard deviation:	43.220040702981144	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	704	Best fitness:	157.87074829931973	Average fitness:	329.264462585034	Fitness standard deviation:	45.246748550225654	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	720	Best fitness:	157.87074829931973	Average fitness:	318.85131972789117	Fitness standard deviation:	51.91695611969845	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	736	Best fitness:	157.87074829931973	Average fitness:	333.8210340136055	Fitness standard deviation:	46.351180091090825	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	752	Best fitness:	157.87074829931973	Average fitness:	320.14789115646255	Fitness standard deviation:	40.06603294460742	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	768	Best fitness:	157.87074829931973	Average fitness:	324.4536054421769	Fitness standard deviation:	49.19690947651912	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	784	Best fitness:	157.87074829931973	Average fitness:	313.8570340136054	Fitness standard deviation:	41.44765914563887	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	800	Best fitness:	157.87074829931973	Average fitness:	330.8873197278912	Fitness standard deviation:	41.914278348426656	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	816	Best fitness:	157.87074829931973	Average fitness:	320.0050340136054	Fitness standard deviation:	46.31427240680165	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	832	Best fitness:	157.87074829931973	Average fitness:	314.8536054421769	Fitness standard deviation:	48.63775236482501	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	848	Best fitness:	157.87074829931973	Average fitness:	331.2627482993197	Fitness standard deviation:	39.3186920454288	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	864	Best fitness:	157.87074829931973	Average fitness:	321.60731972789125	Fitness standard deviation:	45.956767009431644	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	880	Best fitness:	157.87074829931973	Average fitness:	330.4473197278912	Fitness standard deviation:	42.23861960097558	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	896	Best fitness:	157.87074829931973	Average fitness:	319.4678911564625	Fitness standard deviation:	42.914043084724035	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	912	Best fitness:	157.87074829931973	Average fitness:	315.2838911564626	Fitness standard deviation:	47.451431052160686	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	928	Best fitness:	157.87074829931973	Average fitness:	329.0438911564626	Fitness standard deviation:	41.85912483264673	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	A9	N3	N9	
Generation:	944	Best fitness:	153.81360544217688	Average fitness:	320.2090340136055	Fitness standard deviation:	48.02655706152246	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	960	Best fitness:	153.81360544217688	Average fitness:	331.49074829931976	Fitness standard deviation:	48.712388484211424	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	976	Best fitness:	153.81360544217688	Average fitness:	316.0170340136054	Fitness standard deviation:	45.95198830367652	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	992	Best fitness:	153.81360544217688	Average fitness:	311.4153197278912	Fitness standard deviation:	50.48850033868089	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1008	Best fitness:	153.81360544217688	Average fitness:	317.93189115646254	Fitness standard deviation:	45.98596627455035	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1024	Best fitness:	153.81360544217688	Average fitness:	317.71017687074834	Fitness standard deviation:	44.800795142360535	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1040	Best fitness:	153.81360544217688	Average fitness:	318.4993197278912	Fitness standard deviation:	46.88361900080074	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1056	Best fitness:	153.81360544217688	Average fitness:	328.9638911564626	Fitness standard deviation:	52.51085230809389	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1072	Best fitness:	153.81360544217688	Average fitness:	322.2038911564627	Fitness standard deviation:	54.055359562853596	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1088	Best fitness:	153.81360544217688	Average fitness:	324.936462585034	Fitness standard deviation:	48.155008640253165	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1104	Best fitness:	153.81360544217688	Average fitness:	323.1873197278912	Fitness standard deviation:	44.62058967950714	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1120	Best fitness:	153.81360544217688	Average fitness:	308.8193197278911	Fitness standard deviation:	48.554776977625366	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1136	Best fitness:	153.81360544217688	Average fitness:	313.5696054421769	Fitness standard deviation:	42.81551853318264	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1152	Best fitness:	153.81360544217688	Average fitness:	325.7181768707483	Fitness standard deviation:	42.43507929310661	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1168	Best fitness:	153.81360544217688	Average fitness:	332.83131972789124	Fitness standard deviation:	44.60845051817708	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1184	Best fitness:	153.81360544217688	Average fitness:	318.4336054421768	Fitness standard deviation:	47.74148557489555	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1200	Best fitness:	153.81360544217688	Average fitness:	324.9947482993198	Fitness standard deviation:	46.23714474978147	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1216	Best fitness:	153.81360544217688	Average fitness:	316.4101768707483	Fitness standard deviation:	50.9583364480339	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1232	Best fitness:	153.81360544217688	Average fitness:	315.3507482993198	Fitness standard deviation:	42.59802160779253	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1248	Best fitness:	153.81360544217688	Average fitness:	323.6124625850341	Fitness standard deviation:	45.32652616519472	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1264	Best fitness:	153.81360544217688	Average fitness:	314.63417687074826	Fitness standard deviation:	47.70206072303889	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1280	Best fitness:	153.81360544217688	Average fitness:	320.27360544217686	Fitness standard deviation:	48.03795888542259	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1296	Best fitness:	153.81360544217688	Average fitness:	319.8638911564626	Fitness standard deviation:	51.846944155713885	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1312	Best fitness:	153.81360544217688	Average fitness:	325.9981768707483	Fitness standard deviation:	38.68033142968405	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1328	Best fitness:	153.81360544217688	Average fitness:	324.87360544217694	Fitness standard deviation:	50.701936283115884	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1344	Best fitness:	153.81360544217688	Average fitness:	319.328462585034	Fitness standard deviation:	49.35897213562812	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1360	Best fitness:	153.81360544217688	Average fitness:	318.96274829931974	Fitness standard deviation:	44.40381020238912	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1376	Best fitness:	153.81360544217688	Average fitness:	320.9227482993196	Fitness standard deviation:	43.78170923281706	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1392	Best fitness:	153.81360544217688	Average fitness:	323.872462585034	Fitness standard deviation:	50.86054287511115	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1408	Best fitness:	153.81360544217688	Average fitness:	323.1016054421769	Fitness standard deviation:	47.96864957150958	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1424	Best fitness:	153.81360544217688	Average fitness:	317.87474829931983	Fitness standard deviation:	42.96064834763297	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1440	Best fitness:	153.81360544217688	Average fitness:	323.00389115646254	Fitness standard deviation:	49.04454771669012	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1456	Best fitness:	153.81360544217688	Average fitness:	310.14903401360544	Fitness standard deviation:	44.832185890887615	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1472	Best fitness:	153.81360544217688	Average fitness:	320.9821768707484	Fitness standard deviation:	45.787670116461236	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1488	Best fitness:	153.81360544217688	Average fitness:	323.8067482993198	Fitness standard deviation:	45.22037776516788	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1504	Best fitness:	153.81360544217688	Average fitness:	325.2947482993197	Fitness standard deviation:	46.69707900142477	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1520	Best fitness:	153.81360544217688	Average fitness:	328.85417687074835	Fitness standard deviation:	45.01043691756618	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1536	Best fitness:	153.81360544217688	Average fitness:	311.06331972789116	Fitness standard deviation:	44.30435545364886	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1552	Best fitness:	153.81360544217688	Average fitness:	328.1096054421769	Fitness standard deviation:	47.880116877084426	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1568	Best fitness:	153.81360544217688	Average fitness:	328.59760544217687	Fitness standard deviation:	45.1324914536781	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1584	Best fitness:	153.81360544217688	Average fitness:	327.11931972789125	Fitness standard deviation:	39.7055378854828	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1600	Best fitness:	153.81360544217688	Average fitness:	320.3833197278911	Fitness standard deviation:	46.6964437434556	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1616	Best fitness:	153.81360544217688	Average fitness:	316.4370340136054	Fitness standard deviation:	46.60505558632112	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1632	Best fitness:	153.81360544217688	Average fitness:	329.7124625850341	Fitness standard deviation:	48.63418809597937	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1648	Best fitness:	153.81360544217688	Average fitness:	316.47474829931974	Fitness standard deviation:	43.049186110962964	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1664	Best fitness:	153.81360544217688	Average fitness:	324.5318911564627	Fitness standard deviation:	38.1632168284315	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1680	Best fitness:	153.81360544217688	Average fitness:	322.3456054421769	Fitness standard deviation:	44.31679089906935	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1696	Best fitness:	153.81360544217688	Average fitness:	315.72617687074836	Fitness standard deviation:	47.98121823363464	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1712	Best fitness:	153.81360544217688	Average fitness:	326.97531972789125	Fitness standard deviation:	44.86925245462348	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1728	Best fitness:	153.81360544217688	Average fitness:	324.8267482993198	Fitness standard deviation:	41.30970304953566	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
Generation:	1744	Best fitness:	153.81360544217688	Average fitness:	326.96103401360546	Fitness standard deviation:	45.843145655504884	Best genome:	E5	A15	A10	N12	E4	A7	N5	A11	A8	A13	A16	E3	N6	N7	A6	A14	A17	A12	N9	A9	N3	
