Generation:	16	Best fitness:	231.49931972789116	Average fitness:	342.6400340136057	Fitness standard deviation:	33.53543613911733	Best genome:	A13	N7	A11	A8	A9	N3	A7	N9	A16	N6	E3	N5	E4	A10	A12	A17	A14	E5	A15	A6	N12	
Generation:	192	Best fitness:	186.38503401360543	Average fitness:	340.19717687074854	Fitness standard deviation:	37.053884363566674	Best genome:	A9	N3	A7	N9	A16	E5	E4	A13	A14	A17	A10	N5	N6	N12	A15	A6	A12	N7	E3	A11	A8	
Generation:	208	Best fitness:	186.38503401360543	Average fitness:	335.01246258503414	Fitness standard deviation:	37.18235853800804	Best genome:	A9	N3	A7	N9	A16	E5	E4	A13	A14	A17	A10	N5	N6	N12	A15	A6	A12	N7	E3	A11	A8	
Generation:	224	Best fitness:	183.69931972789115	Average fitness:	348.46074829931996	Fitness standard deviation:	31.97109507677463	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E4	N7	E3	A11	A8	
Generation:	240	Best fitness:	183.69931972789115	Average fitness:	340.8811768707484	Fitness standard deviation:	36.99727769108182	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E4	N7	E3	A11	A8	
Generation:	256	Best fitness:	183.69931972789115	Average fitness:	338.22517687074856	Fitness standard deviation:	32.88733669790901	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E4	N7	E3	A11	A8	
Generation:	272	Best fitness:	175.69931972789115	Average fitness:	343.5278911564629	Fitness standard deviation:	34.72251789515834	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E3	N7	E4	A11	A8	
Generation:	288	Best fitness:	175.69931972789115	Average fitness:	338.60931972789143	Fitness standard deviation:	33.5369639201224	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E3	N7	E4	A11	A8	
Generation:	304	Best fitness:	175.69931972789115	Average fitness:	342.80046258503404	Fitness standard deviation:	35.81514453811005	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E3	N7	E4	A11	A8	
Generation:	320	Best fitness:	175.69931972789115	Average fitness:	344.7061768707484	Fitness standard deviation:	36.95195438094484	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E3	N7	E4	A11	A8	
Generation:	336	Best fitness:	175.69931972789115	Average fitness:	341.5828911564628	Fitness standard deviation:	36.611274937524655	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E3	N7	E4	A11	A8	
Generation:	352	Best fitness:	175.69931972789115	Average fitness:	341.41603401360567	Fitness standard deviation:	35.45982881244865	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E3	N7	E4	A11	A8	
Generation:	368	Best fitness:	175.69931972789115	Average fitness:	340.3277482993199	Fitness standard deviation:	38.9052883974109	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E3	N7	E4	A11	A8	
Generation:	384	Best fitness:	175.69931972789115	Average fitness:	344.3546054421771	Fitness standard deviation:	34.94687047125528	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E3	N7	E4	A11	A8	
Generation:	400	Best fitness:	175.69931972789115	Average fitness:	346.0638911564628	Fitness standard deviation:	36.259197649756146	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E3	N7	E4	A11	A8	
Generation:	416	Best fitness:	175.69931972789115	Average fitness:	343.26217687074853	Fitness standard deviation:	34.093162041077726	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E3	N7	E4	A11	A8	
Generation:	432	Best fitness:	175.69931972789115	Average fitness:	340.6777482993199	Fitness standard deviation:	36.83512758861284	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E3	N7	E4	A11	A8	
Generation:	448	Best fitness:	175.69931972789115	Average fitness:	338.39574829932013	Fitness standard deviation:	36.5705302833317	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E3	N7	E4	A11	A8	
Generation:	464	Best fitness:	175.69931972789115	Average fitness:	338.0974625850342	Fitness standard deviation:	40.645823951720864	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E3	N7	E4	A11	A8	
Generation:	480	Best fitness:	175.69931972789115	Average fitness:	333.4044625850342	Fitness standard deviation:	35.300426633254666	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E3	N7	E4	A11	A8	
Generation:	496	Best fitness:	175.69931972789115	Average fitness:	340.698605442177	Fitness standard deviation:	35.40759280240927	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E3	N7	E4	A11	A8	
Generation:	512	Best fitness:	175.69931972789115	Average fitness:	339.5374625850342	Fitness standard deviation:	38.982125184473446	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E3	N7	E4	A11	A8	
Generation:	528	Best fitness:	175.69931972789115	Average fitness:	338.16374829932	Fitness standard deviation:	36.381447054446724	Best genome:	A9	N3	A7	A16	E5	A14	A17	A10	N5	N6	N12	A15	A6	A12	N9	A13	E3	N7	E4	A11	A8	
Generation:	544	Best fitness:	174.67074829931974	Average fitness:	339.15089115646276	Fitness standard deviation:	38.30236244618841	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	N12	A15	A6	A12	N9	A13	A10	E3	N7	E4	A11	A8	
Generation:	560	Best fitness:	174.67074829931974	Average fitness:	343.5061768707485	Fitness standard deviation:	37.06884871177315	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	N12	A15	A6	A12	N9	A13	A10	E3	N7	E4	A11	A8	
Generation:	576	Best fitness:	174.67074829931974	Average fitness:	343.2978911564628	Fitness standard deviation:	34.28081211978264	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	N12	A15	A6	A12	N9	A13	A10	E3	N7	E4	A11	A8	
Generation:	592	Best fitness:	174.67074829931974	Average fitness:	343.9568911564628	Fitness standard deviation:	33.270442048491645	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	N12	A15	A6	A12	N9	A13	A10	E3	N7	E4	A11	A8	
Generation:	608	Best fitness:	174.67074829931974	Average fitness:	343.45631972789124	Fitness standard deviation:	35.524521682858975	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	N12	A15	A6	A12	N9	A13	A10	E3	N7	E4	A11	A8	
Generation:	624	Best fitness:	174.67074829931974	Average fitness:	341.106605442177	Fitness standard deviation:	35.900302994287294	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	N12	A15	A6	A12	N9	A13	A10	E3	N7	E4	A11	A8	
Generation:	640	Best fitness:	174.67074829931974	Average fitness:	342.4516054421771	Fitness standard deviation:	34.879727239852826	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	N12	A15	A6	A12	N9	A13	A10	E3	N7	E4	A11	A8	
Generation:	656	Best fitness:	174.67074829931974	Average fitness:	338.5890340136057	Fitness standard deviation:	36.93265852375989	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	N12	A15	A6	A12	N9	A13	A10	E3	N7	E4	A11	A8	
Generation:	672	Best fitness:	174.67074829931974	Average fitness:	341.13974829931976	Fitness standard deviation:	34.464966332583614	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	N12	A15	A6	A12	N9	A13	A10	E3	N7	E4	A11	A8	
Generation:	688	Best fitness:	174.67074829931974	Average fitness:	340.5438911564629	Fitness standard deviation:	35.26097810119652	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	N12	A15	A6	A12	N9	A13	A10	E3	N7	E4	A11	A8	
Generation:	704	Best fitness:	174.67074829931974	Average fitness:	344.7746054421772	Fitness standard deviation:	38.14097129393662	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	N12	A15	A6	A12	N9	A13	A10	E3	N7	E4	A11	A8	
Generation:	720	Best fitness:	174.67074829931974	Average fitness:	338.25446258503405	Fitness standard deviation:	36.79548014723148	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	N12	A15	A6	A12	N9	A13	A10	E3	N7	E4	A11	A8	
Generation:	736	Best fitness:	174.6421768707483	Average fitness:	343.7463197278913	Fitness standard deviation:	36.52080904143302	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	752	Best fitness:	174.6421768707483	Average fitness:	342.3906054421768	Fitness standard deviation:	34.08896687840121	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	768	Best fitness:	174.6421768707483	Average fitness:	343.9676054421771	Fitness standard deviation:	35.98169849878049	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	784	Best fitness:	174.6421768707483	Average fitness:	342.79631972789144	Fitness standard deviation:	35.179826535695604	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	800	Best fitness:	174.6421768707483	Average fitness:	342.93889115646255	Fitness standard deviation:	34.730432303379004	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	816	Best fitness:	174.6421768707483	Average fitness:	337.10089115646275	Fitness standard deviation:	37.30099119955645	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	832	Best fitness:	174.6421768707483	Average fitness:	340.9590340136055	Fitness standard deviation:	35.21007348785867	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	848	Best fitness:	174.6421768707483	Average fitness:	342.33203401360544	Fitness standard deviation:	37.1549217106769	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	864	Best fitness:	174.6421768707483	Average fitness:	342.7237482993198	Fitness standard deviation:	39.083926692361366	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	880	Best fitness:	174.6421768707483	Average fitness:	342.30031972789124	Fitness standard deviation:	35.77326334608812	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	896	Best fitness:	174.6421768707483	Average fitness:	342.480605442177	Fitness standard deviation:	36.85641390170614	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	912	Best fitness:	174.6421768707483	Average fitness:	341.81503401360584	Fitness standard deviation:	36.415201327949596	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	928	Best fitness:	174.6421768707483	Average fitness:	341.7098911564628	Fitness standard deviation:	34.28725012155334	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	944	Best fitness:	174.6421768707483	Average fitness:	341.120462585034	Fitness standard deviation:	36.20364332100136	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	960	Best fitness:	174.6421768707483	Average fitness:	338.8084625850342	Fitness standard deviation:	36.88988830648998	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	976	Best fitness:	174.6421768707483	Average fitness:	347.75689115646276	Fitness standard deviation:	35.68991791294361	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	992	Best fitness:	174.6421768707483	Average fitness:	340.8650340136056	Fitness standard deviation:	34.55522276600402	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1008	Best fitness:	174.6421768707483	Average fitness:	349.01103401360575	Fitness standard deviation:	36.039709073776514	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1024	Best fitness:	174.6421768707483	Average fitness:	345.06689115646293	Fitness standard deviation:	33.9885998507783	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1040	Best fitness:	174.6421768707483	Average fitness:	347.34803401360585	Fitness standard deviation:	34.749218261358195	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1056	Best fitness:	174.6421768707483	Average fitness:	341.3036054421771	Fitness standard deviation:	37.069414065826194	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1072	Best fitness:	174.6421768707483	Average fitness:	342.97589115646304	Fitness standard deviation:	37.10676749542036	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1088	Best fitness:	174.6421768707483	Average fitness:	338.1848911564627	Fitness standard deviation:	32.04666641869355	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1104	Best fitness:	174.6421768707483	Average fitness:	345.9441768707486	Fitness standard deviation:	35.440126860923726	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1120	Best fitness:	174.6421768707483	Average fitness:	344.4358911564629	Fitness standard deviation:	37.04463850710988	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1136	Best fitness:	174.6421768707483	Average fitness:	340.0044625850341	Fitness standard deviation:	34.14292872198115	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1152	Best fitness:	174.6421768707483	Average fitness:	341.849605442177	Fitness standard deviation:	36.3946973307365	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1168	Best fitness:	174.6421768707483	Average fitness:	338.8211768707484	Fitness standard deviation:	35.832093980117875	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1184	Best fitness:	174.6421768707483	Average fitness:	341.37074829932	Fitness standard deviation:	36.862563499505875	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1200	Best fitness:	174.6421768707483	Average fitness:	338.1530340136054	Fitness standard deviation:	34.56330631387772	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1216	Best fitness:	174.6421768707483	Average fitness:	339.7653197278914	Fitness standard deviation:	34.95741553866442	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1232	Best fitness:	174.6421768707483	Average fitness:	342.4073197278915	Fitness standard deviation:	39.593714731053986	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1248	Best fitness:	174.6421768707483	Average fitness:	335.82174829932	Fitness standard deviation:	34.9983909108253	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1264	Best fitness:	174.6421768707483	Average fitness:	341.72431972789144	Fitness standard deviation:	35.845020937647774	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1280	Best fitness:	174.6421768707483	Average fitness:	342.4597482993199	Fitness standard deviation:	36.76023180374826	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1296	Best fitness:	174.6421768707483	Average fitness:	344.3860340136056	Fitness standard deviation:	36.203320106795495	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N12	A10	E3	N7	E4	A11	A8	
Generation:	1312	Best fitness:	166.6421768707483	Average fitness:	340.4463197278913	Fitness standard deviation:	35.21350070379722	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1328	Best fitness:	166.6421768707483	Average fitness:	343.3487482993198	Fitness standard deviation:	34.08375359107537	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1344	Best fitness:	166.6421768707483	Average fitness:	340.56503401360555	Fitness standard deviation:	37.50706578330902	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1360	Best fitness:	166.6421768707483	Average fitness:	341.64360544217715	Fitness standard deviation:	38.01274982133747	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1376	Best fitness:	166.6421768707483	Average fitness:	341.13189115646264	Fitness standard deviation:	37.90572053537728	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1392	Best fitness:	166.6421768707483	Average fitness:	344.5306054421768	Fitness standard deviation:	35.18498991163181	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1408	Best fitness:	166.6421768707483	Average fitness:	338.61217687074827	Fitness standard deviation:	36.787599147272545	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1424	Best fitness:	166.6421768707483	Average fitness:	342.94831972789143	Fitness standard deviation:	35.49696858313167	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1440	Best fitness:	166.6421768707483	Average fitness:	343.3616054421769	Fitness standard deviation:	36.09944052480705	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1456	Best fitness:	166.6421768707483	Average fitness:	340.11189115646283	Fitness standard deviation:	38.87632495438816	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1472	Best fitness:	166.6421768707483	Average fitness:	343.6561768707483	Fitness standard deviation:	36.94379603160036	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1488	Best fitness:	166.6421768707483	Average fitness:	341.5100340136058	Fitness standard deviation:	35.31648252962497	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1504	Best fitness:	166.6421768707483	Average fitness:	340.90946258503425	Fitness standard deviation:	35.33120894752791	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1520	Best fitness:	166.6421768707483	Average fitness:	350.1517482993198	Fitness standard deviation:	38.116772223186544	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1536	Best fitness:	166.6421768707483	Average fitness:	342.8378911564627	Fitness standard deviation:	37.165375344395436	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1552	Best fitness:	166.6421768707483	Average fitness:	340.9967482993199	Fitness standard deviation:	35.59706869266351	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1568	Best fitness:	166.6421768707483	Average fitness:	344.7713197278912	Fitness standard deviation:	33.56175288652734	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1584	Best fitness:	166.6421768707483	Average fitness:	340.6043197278913	Fitness standard deviation:	38.316466001403825	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1600	Best fitness:	166.6421768707483	Average fitness:	341.27146258503416	Fitness standard deviation:	35.675032306951614	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1616	Best fitness:	166.6421768707483	Average fitness:	336.6484625850343	Fitness standard deviation:	34.110337311586406	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1632	Best fitness:	166.6421768707483	Average fitness:	339.44303401360565	Fitness standard deviation:	38.65173681025186	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1648	Best fitness:	166.6421768707483	Average fitness:	339.1334625850341	Fitness standard deviation:	38.14024878160143	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1664	Best fitness:	166.6421768707483	Average fitness:	342.01789115646267	Fitness standard deviation:	39.98205268285626	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1680	Best fitness:	166.6421768707483	Average fitness:	342.6047482993196	Fitness standard deviation:	37.382289311973416	Best genome:	A9	N3	A7	A16	E5	A14	A17	N5	N6	A15	A6	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1696	Best fitness:	161.6421768707483	Average fitness:	338.1656054421772	Fitness standard deviation:	35.18155508855428	Best genome:	A9	N3	A7	A16	E5	A15	A14	A17	A6	N6	N5	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1712	Best fitness:	161.6421768707483	Average fitness:	340.7784625850343	Fitness standard deviation:	37.431585779381344	Best genome:	A9	N3	A7	A16	E5	A15	A14	A17	A6	N6	N5	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1728	Best fitness:	161.6421768707483	Average fitness:	343.84674829931987	Fitness standard deviation:	35.252449611223284	Best genome:	A9	N3	A7	A16	E5	A15	A14	A17	A6	N6	N5	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
Generation:	1744	Best fitness:	161.6421768707483	Average fitness:	343.14646258503416	Fitness standard deviation:	33.90529375920461	Best genome:	A9	N3	A7	A16	E5	A15	A14	A17	A6	N6	N5	A12	N9	A13	N7	A10	N12	E3	E4	A11	A8	
