Generation:	16	Best fitness:	235.67074829931974	Average fitness:	333.62960544217685	Fitness standard deviation:	30.35365218788106	Best genome:	A9	E3	N5	N12	A7	A12	N3	E4	A11	A16	E5	A15	A13	N9	A8	N7	A14	A17	A6	N6	A10	
Generation:	208	Best fitness:	167.29931972789115	Average fitness:	331.4204625850341	Fitness standard deviation:	51.204163593463015	Best genome:	N9	A12	A13	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A15	A16	E5	A8	
Generation:	224	Best fitness:	167.29931972789115	Average fitness:	315.70846258503406	Fitness standard deviation:	41.63659043854262	Best genome:	N9	A12	A13	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A15	A16	E5	A8	
Generation:	240	Best fitness:	167.29931972789115	Average fitness:	324.32674829931983	Fitness standard deviation:	41.9510346096056	Best genome:	N9	A12	A13	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A15	A16	E5	A8	
Generation:	256	Best fitness:	167.29931972789115	Average fitness:	322.32389115646276	Fitness standard deviation:	42.52306553351189	Best genome:	N9	A12	A13	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A15	A16	E5	A8	
Generation:	272	Best fitness:	167.29931972789115	Average fitness:	325.66731972789114	Fitness standard deviation:	42.94712102774095	Best genome:	N9	A12	A13	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A15	A16	E5	A8	
Generation:	288	Best fitness:	167.29931972789115	Average fitness:	331.17474829931984	Fitness standard deviation:	45.09011304270685	Best genome:	N9	A12	A13	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A15	A16	E5	A8	
Generation:	304	Best fitness:	167.29931972789115	Average fitness:	325.4896054421769	Fitness standard deviation:	44.353865941989774	Best genome:	N9	A12	A13	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A15	A16	E5	A8	
Generation:	320	Best fitness:	167.29931972789115	Average fitness:	321.708462585034	Fitness standard deviation:	42.43976319540005	Best genome:	N9	A12	A13	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A15	A16	E5	A8	
Generation:	336	Best fitness:	167.29931972789115	Average fitness:	320.3147482993198	Fitness standard deviation:	51.419014734287714	Best genome:	N9	A12	A13	A9	A11	N12	A7	A17	N7	A6	A14	A10	E3	N6	N5	N3	E4	A15	A16	E5	A8	
Generation:	352	Best fitness:	156.29931972789115	Average fitness:	324.11646258503407	Fitness standard deviation:	49.294921872835744	Best genome:	N9	A12	A13	A9	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A7	A14	A17	A15	A16	E5	A8	
Generation:	368	Best fitness:	153.8421768707483	Average fitness:	329.61303401360544	Fitness standard deviation:	47.92792155914537	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A14	A12	A9	A7	A17	A16	E5	A8	N9	A13	
Generation:	384	Best fitness:	153.8421768707483	Average fitness:	307.33017687074823	Fitness standard deviation:	47.38953809973381	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A14	A12	A9	A7	A17	A16	E5	A8	N9	A13	
Generation:	400	Best fitness:	153.8421768707483	Average fitness:	325.66674829931975	Fitness standard deviation:	47.629232323806164	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A14	A12	A9	A7	A17	A16	E5	A8	N9	A13	
Generation:	416	Best fitness:	153.8421768707483	Average fitness:	319.1118911564625	Fitness standard deviation:	50.01667808698557	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A14	A12	A9	A7	A17	A16	E5	A8	N9	A13	
Generation:	432	Best fitness:	153.8421768707483	Average fitness:	317.38217687074825	Fitness standard deviation:	44.70295730526936	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A14	A12	A9	A7	A17	A16	E5	A8	N9	A13	
Generation:	448	Best fitness:	153.8421768707483	Average fitness:	320.808462585034	Fitness standard deviation:	50.78576554226869	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A14	A12	A9	A7	A17	A16	E5	A8	N9	A13	
Generation:	464	Best fitness:	153.8421768707483	Average fitness:	323.48103401360544	Fitness standard deviation:	37.23084118067181	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A14	A12	A9	A7	A17	A16	E5	A8	N9	A13	
Generation:	480	Best fitness:	153.8421768707483	Average fitness:	326.05817687074835	Fitness standard deviation:	46.29748497951667	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A14	A12	A9	A7	A17	A16	E5	A8	N9	A13	
Generation:	496	Best fitness:	153.8421768707483	Average fitness:	319.9598911564627	Fitness standard deviation:	53.65195460691863	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A14	A12	A9	A7	A17	A16	E5	A8	N9	A13	
Generation:	512	Best fitness:	153.8421768707483	Average fitness:	316.03817687074843	Fitness standard deviation:	50.220768127806835	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A14	A12	A9	A7	A17	A16	E5	A8	N9	A13	
Generation:	528	Best fitness:	148.8421768707483	Average fitness:	332.17989115646253	Fitness standard deviation:	61.374462465579086	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	N9	A13	
Generation:	544	Best fitness:	148.8421768707483	Average fitness:	318.65874829931977	Fitness standard deviation:	53.511861157797796	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	N9	A13	
Generation:	560	Best fitness:	148.8421768707483	Average fitness:	326.1804625850339	Fitness standard deviation:	44.982316111728956	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	N9	A13	
Generation:	576	Best fitness:	148.8421768707483	Average fitness:	314.95589115646254	Fitness standard deviation:	43.19220734326591	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	N9	A13	
Generation:	592	Best fitness:	148.8421768707483	Average fitness:	324.3290340136055	Fitness standard deviation:	48.55780412612396	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	N9	A13	
Generation:	608	Best fitness:	148.8421768707483	Average fitness:	323.76217687074836	Fitness standard deviation:	50.46558156257569	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	N9	A13	
Generation:	624	Best fitness:	148.8421768707483	Average fitness:	323.43417687074833	Fitness standard deviation:	48.825498871815256	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	N9	A13	
Generation:	640	Best fitness:	148.8421768707483	Average fitness:	325.90217687074824	Fitness standard deviation:	49.49647004523429	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	N9	A13	
Generation:	656	Best fitness:	148.8421768707483	Average fitness:	332.4616054421768	Fitness standard deviation:	47.269272735886176	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	N9	A13	
Generation:	672	Best fitness:	148.8421768707483	Average fitness:	324.2627482993197	Fitness standard deviation:	50.130465229870595	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	N9	A13	
Generation:	688	Best fitness:	148.8421768707483	Average fitness:	316.0353197278912	Fitness standard deviation:	51.137326615572654	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	N9	A13	
Generation:	704	Best fitness:	148.8421768707483	Average fitness:	324.4153197278912	Fitness standard deviation:	52.96454244345833	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	N9	A13	
Generation:	720	Best fitness:	148.8421768707483	Average fitness:	322.5581768707482	Fitness standard deviation:	42.052230074088605	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	N9	A13	
Generation:	736	Best fitness:	144.87074829931973	Average fitness:	313.92560544217685	Fitness standard deviation:	45.2877969201147	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	752	Best fitness:	144.87074829931973	Average fitness:	325.6878911564626	Fitness standard deviation:	46.753949085633835	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	768	Best fitness:	144.87074829931973	Average fitness:	325.7650340136054	Fitness standard deviation:	51.018330839342966	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	784	Best fitness:	144.87074829931973	Average fitness:	326.53417687074824	Fitness standard deviation:	42.88653707785944	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	800	Best fitness:	144.87074829931973	Average fitness:	312.8267482993197	Fitness standard deviation:	41.943129314025455	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	816	Best fitness:	144.87074829931973	Average fitness:	318.96617687074826	Fitness standard deviation:	53.83635570345165	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	832	Best fitness:	144.87074829931973	Average fitness:	314.23417687074834	Fitness standard deviation:	52.54842665735355	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	848	Best fitness:	144.87074829931973	Average fitness:	326.5193197278911	Fitness standard deviation:	50.248285177360096	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	864	Best fitness:	144.87074829931973	Average fitness:	331.57360544217676	Fitness standard deviation:	45.96093674113321	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	880	Best fitness:	144.87074829931973	Average fitness:	322.03760544217687	Fitness standard deviation:	43.70667584930154	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	896	Best fitness:	144.87074829931973	Average fitness:	321.3707482993197	Fitness standard deviation:	46.51852253431433	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	912	Best fitness:	144.87074829931973	Average fitness:	313.41474829931974	Fitness standard deviation:	46.52037550868854	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	928	Best fitness:	144.87074829931973	Average fitness:	319.0958911564626	Fitness standard deviation:	50.041093526282204	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	944	Best fitness:	144.87074829931973	Average fitness:	322.1924625850341	Fitness standard deviation:	46.991798784251614	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	960	Best fitness:	144.87074829931973	Average fitness:	319.5118911564625	Fitness standard deviation:	45.34629608347076	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	976	Best fitness:	144.87074829931973	Average fitness:	328.58103401360546	Fitness standard deviation:	48.65765825077261	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	992	Best fitness:	144.87074829931973	Average fitness:	322.73417687074834	Fitness standard deviation:	51.07281310091326	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1008	Best fitness:	144.87074829931973	Average fitness:	323.0250340136055	Fitness standard deviation:	46.33424052359075	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1024	Best fitness:	144.87074829931973	Average fitness:	317.49760544217685	Fitness standard deviation:	51.35332699036735	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1040	Best fitness:	144.87074829931973	Average fitness:	320.5730340136055	Fitness standard deviation:	47.51468948887796	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1056	Best fitness:	144.87074829931973	Average fitness:	316.29646258503396	Fitness standard deviation:	49.15588174576956	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1072	Best fitness:	144.87074829931973	Average fitness:	335.57074829931975	Fitness standard deviation:	54.15821907963325	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1088	Best fitness:	144.87074829931973	Average fitness:	318.14731972789104	Fitness standard deviation:	46.02744609425101	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1104	Best fitness:	144.87074829931973	Average fitness:	314.58617687074826	Fitness standard deviation:	48.937047094054556	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1120	Best fitness:	144.87074829931973	Average fitness:	299.97760544217675	Fitness standard deviation:	46.80705609113189	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1136	Best fitness:	144.87074829931973	Average fitness:	320.4147482993197	Fitness standard deviation:	50.69666235763535	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1152	Best fitness:	144.87074829931973	Average fitness:	323.43360544217694	Fitness standard deviation:	49.60442121506543	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1168	Best fitness:	144.87074829931973	Average fitness:	322.56046258503403	Fitness standard deviation:	45.994975416797836	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1184	Best fitness:	144.87074829931973	Average fitness:	317.084462585034	Fitness standard deviation:	41.37089788136346	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1200	Best fitness:	144.87074829931973	Average fitness:	308.3581768707483	Fitness standard deviation:	49.195517436416246	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1216	Best fitness:	144.87074829931973	Average fitness:	318.8924625850339	Fitness standard deviation:	44.32925474727699	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1232	Best fitness:	144.87074829931973	Average fitness:	321.6918911564626	Fitness standard deviation:	42.16380295360232	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1248	Best fitness:	144.87074829931973	Average fitness:	324.88274829931976	Fitness standard deviation:	49.454261231558036	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1264	Best fitness:	144.87074829931973	Average fitness:	323.76446258503404	Fitness standard deviation:	49.17981236405102	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1280	Best fitness:	144.87074829931973	Average fitness:	322.0953197278912	Fitness standard deviation:	48.35084804270738	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1296	Best fitness:	144.87074829931973	Average fitness:	324.61360544217695	Fitness standard deviation:	49.70743401060215	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1312	Best fitness:	144.87074829931973	Average fitness:	317.5067482993197	Fitness standard deviation:	48.81417051200922	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1328	Best fitness:	144.87074829931973	Average fitness:	319.8770340136055	Fitness standard deviation:	48.92581048810911	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1344	Best fitness:	144.87074829931973	Average fitness:	324.38160544217686	Fitness standard deviation:	49.095039406923256	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1360	Best fitness:	144.87074829931973	Average fitness:	325.4953197278911	Fitness standard deviation:	49.59454381115663	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1376	Best fitness:	144.87074829931973	Average fitness:	312.9901768707483	Fitness standard deviation:	42.31471078787169	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1392	Best fitness:	144.87074829931973	Average fitness:	326.10960544217687	Fitness standard deviation:	49.88895154280972	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1408	Best fitness:	144.87074829931973	Average fitness:	325.95589115646254	Fitness standard deviation:	50.90630897591202	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1424	Best fitness:	144.87074829931973	Average fitness:	324.2444625850341	Fitness standard deviation:	49.332124844915064	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1440	Best fitness:	144.87074829931973	Average fitness:	326.3787482993197	Fitness standard deviation:	48.64113864470137	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1456	Best fitness:	144.87074829931973	Average fitness:	319.0993197278912	Fitness standard deviation:	48.06541461001511	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1472	Best fitness:	144.87074829931973	Average fitness:	322.66503401360546	Fitness standard deviation:	48.35201230432454	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1488	Best fitness:	144.87074829931973	Average fitness:	318.98160544217694	Fitness standard deviation:	46.819703035437236	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1504	Best fitness:	144.87074829931973	Average fitness:	325.40617687074837	Fitness standard deviation:	54.987858789046165	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1520	Best fitness:	144.87074829931973	Average fitness:	316.15189115646257	Fitness standard deviation:	53.018097598646364	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1536	Best fitness:	144.87074829931973	Average fitness:	321.83017687074835	Fitness standard deviation:	44.58604562150881	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1552	Best fitness:	144.87074829931973	Average fitness:	312.1027482993197	Fitness standard deviation:	48.620874542794084	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1568	Best fitness:	144.87074829931973	Average fitness:	320.14103401360546	Fitness standard deviation:	49.953897508051334	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1584	Best fitness:	144.87074829931973	Average fitness:	324.31531972789116	Fitness standard deviation:	49.508205763060644	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1600	Best fitness:	144.87074829931973	Average fitness:	316.9536054421769	Fitness standard deviation:	44.88644693409523	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1616	Best fitness:	144.87074829931973	Average fitness:	336.37589115646256	Fitness standard deviation:	44.97114483119783	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1632	Best fitness:	144.87074829931973	Average fitness:	313.2256054421769	Fitness standard deviation:	50.50762337771701	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1648	Best fitness:	144.87074829931973	Average fitness:	324.70046258503396	Fitness standard deviation:	54.025897028316756	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1664	Best fitness:	144.87074829931973	Average fitness:	319.2918911564626	Fitness standard deviation:	45.175717085665404	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1680	Best fitness:	144.87074829931973	Average fitness:	322.4861768707483	Fitness standard deviation:	49.225242308459286	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1696	Best fitness:	144.87074829931973	Average fitness:	326.2598911564626	Fitness standard deviation:	45.68980626363132	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1712	Best fitness:	144.87074829931973	Average fitness:	321.88560544217694	Fitness standard deviation:	41.32154302589409	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1728	Best fitness:	144.87074829931973	Average fitness:	324.34446258503397	Fitness standard deviation:	46.84399330822709	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
Generation:	1744	Best fitness:	144.87074829931973	Average fitness:	319.7998911564626	Fitness standard deviation:	44.922238568896105	Best genome:	A11	N12	N7	A6	A10	E3	N6	N5	N3	E4	A15	A12	A9	A7	A14	A17	A16	E5	A8	A13	N9	
