Generation:	16	Best fitness:	239.556462585034	Average fitness:	344.69189115646276	Fitness standard deviation:	30.86547774204861	Best genome:	N12	E3	A9	E4	N3	A16	E5	A8	A13	N9	A6	A7	N6	N5	A11	A17	A12	A14	A10	N7	A15	
Generation:	192	Best fitness:	188.8421768707483	Average fitness:	342.4478911564628	Fitness standard deviation:	34.985836784479005	Best genome:	N5	N3	E4	A11	E5	E3	N7	A15	A17	A12	A10	N12	A9	A7	A14	N6	A6	A8	A13	N9	A16	
Generation:	208	Best fitness:	188.8421768707483	Average fitness:	339.6793197278912	Fitness standard deviation:	33.12286404357236	Best genome:	N5	N3	E4	A11	E5	E3	N7	A15	A17	A12	A10	N12	A9	A7	A14	N6	A6	A8	A13	N9	A16	
Generation:	224	Best fitness:	188.8421768707483	Average fitness:	338.1233197278912	Fitness standard deviation:	35.452486218910536	Best genome:	N5	N3	E4	A11	E5	E3	N7	A15	A17	A12	A10	N12	A9	A7	A14	N6	A6	A8	A13	N9	A16	
Generation:	240	Best fitness:	170.8421768707483	Average fitness:	342.27374829931983	Fitness standard deviation:	34.25264886494629	Best genome:	N3	A11	E5	E3	N7	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	256	Best fitness:	170.8421768707483	Average fitness:	344.6753197278912	Fitness standard deviation:	36.667777929480735	Best genome:	N3	A11	E5	E3	N7	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	272	Best fitness:	170.8421768707483	Average fitness:	341.3823197278914	Fitness standard deviation:	37.00898849424754	Best genome:	N3	A11	E5	E3	N7	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	288	Best fitness:	170.8421768707483	Average fitness:	336.70260544217695	Fitness standard deviation:	35.7830808472156	Best genome:	N3	A11	E5	E3	N7	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	304	Best fitness:	170.8421768707483	Average fitness:	340.2276054421769	Fitness standard deviation:	34.41654964859618	Best genome:	N3	A11	E5	E3	N7	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	320	Best fitness:	170.8421768707483	Average fitness:	348.0296054421771	Fitness standard deviation:	33.70809684600411	Best genome:	N3	A11	E5	E3	N7	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	336	Best fitness:	170.8421768707483	Average fitness:	345.5957482993199	Fitness standard deviation:	36.50858276921095	Best genome:	N3	A11	E5	E3	N7	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	352	Best fitness:	170.8421768707483	Average fitness:	343.71246258503396	Fitness standard deviation:	38.05410249974665	Best genome:	N3	A11	E5	E3	N7	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	368	Best fitness:	170.8421768707483	Average fitness:	342.6417482993196	Fitness standard deviation:	38.593293853059116	Best genome:	N3	A11	E5	E3	N7	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	384	Best fitness:	170.8421768707483	Average fitness:	340.3300340136057	Fitness standard deviation:	39.32429741059253	Best genome:	N3	A11	E5	E3	N7	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	400	Best fitness:	162.8421768707483	Average fitness:	341.34646258503415	Fitness standard deviation:	36.63365038890238	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	416	Best fitness:	162.8421768707483	Average fitness:	341.73717687074827	Fitness standard deviation:	37.96258608613142	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	432	Best fitness:	162.8421768707483	Average fitness:	343.1238911564627	Fitness standard deviation:	40.07745002275631	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	448	Best fitness:	162.8421768707483	Average fitness:	343.9840340136054	Fitness standard deviation:	38.712382069960675	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	464	Best fitness:	162.8421768707483	Average fitness:	340.4080340136056	Fitness standard deviation:	35.76745878217648	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	480	Best fitness:	162.8421768707483	Average fitness:	343.69417687074855	Fitness standard deviation:	36.34076024498763	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	496	Best fitness:	162.8421768707483	Average fitness:	342.69831972789115	Fitness standard deviation:	35.40980947651746	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	512	Best fitness:	162.8421768707483	Average fitness:	345.448605442177	Fitness standard deviation:	37.181089931165126	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	528	Best fitness:	162.8421768707483	Average fitness:	342.49660544217704	Fitness standard deviation:	39.40400265564038	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	544	Best fitness:	162.8421768707483	Average fitness:	339.6334625850339	Fitness standard deviation:	36.47743324723003	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	560	Best fitness:	162.8421768707483	Average fitness:	342.00346258503413	Fitness standard deviation:	36.85220408743609	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	576	Best fitness:	162.8421768707483	Average fitness:	343.10174829931987	Fitness standard deviation:	36.26463592250496	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	592	Best fitness:	162.8421768707483	Average fitness:	342.8104625850342	Fitness standard deviation:	35.54380060644922	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	608	Best fitness:	162.8421768707483	Average fitness:	344.522605442177	Fitness standard deviation:	38.44824054014244	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	624	Best fitness:	162.8421768707483	Average fitness:	341.05331972789133	Fitness standard deviation:	39.29160379645961	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	640	Best fitness:	162.8421768707483	Average fitness:	342.32446258503427	Fitness standard deviation:	35.96653757285502	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	656	Best fitness:	162.8421768707483	Average fitness:	341.27689115646285	Fitness standard deviation:	36.96323776319894	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	672	Best fitness:	162.8421768707483	Average fitness:	339.3757482993198	Fitness standard deviation:	35.11537321778725	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	688	Best fitness:	162.8421768707483	Average fitness:	338.89760544217717	Fitness standard deviation:	38.573816819184486	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	704	Best fitness:	162.8421768707483	Average fitness:	340.7027482993199	Fitness standard deviation:	36.76106464670446	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	720	Best fitness:	162.8421768707483	Average fitness:	340.2950340136056	Fitness standard deviation:	37.31818528628133	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	736	Best fitness:	162.8421768707483	Average fitness:	343.0987482993198	Fitness standard deviation:	37.47882057256077	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	752	Best fitness:	162.8421768707483	Average fitness:	344.52474829932004	Fitness standard deviation:	36.066735625696396	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	768	Best fitness:	162.8421768707483	Average fitness:	338.8021768707486	Fitness standard deviation:	35.31707651940561	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	784	Best fitness:	162.8421768707483	Average fitness:	345.0551768707485	Fitness standard deviation:	36.82700127402087	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	800	Best fitness:	162.8421768707483	Average fitness:	342.0183197278915	Fitness standard deviation:	36.60304044218518	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	816	Best fitness:	162.8421768707483	Average fitness:	343.8247482993198	Fitness standard deviation:	38.26434027996856	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	832	Best fitness:	162.8421768707483	Average fitness:	343.7974625850343	Fitness standard deviation:	35.06837339936871	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	848	Best fitness:	162.8421768707483	Average fitness:	342.89089115646277	Fitness standard deviation:	32.66135765796063	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	864	Best fitness:	162.8421768707483	Average fitness:	344.6347482993198	Fitness standard deviation:	33.96181460020615	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	880	Best fitness:	162.8421768707483	Average fitness:	337.3967482993198	Fitness standard deviation:	35.656369518857446	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	896	Best fitness:	162.8421768707483	Average fitness:	341.2183197278914	Fitness standard deviation:	36.31413451440929	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	912	Best fitness:	162.8421768707483	Average fitness:	339.9836054421768	Fitness standard deviation:	38.09176136218262	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A10	N12	A9	E4	N5	A7	A14	A6	N6	A8	A13	N9	A16	
Generation:	928	Best fitness:	142.8421768707483	Average fitness:	346.1993197278911	Fitness standard deviation:	39.18765486575524	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	944	Best fitness:	142.8421768707483	Average fitness:	339.5188911564627	Fitness standard deviation:	35.77221137636171	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	960	Best fitness:	142.8421768707483	Average fitness:	336.8608911564625	Fitness standard deviation:	39.128328961591635	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	976	Best fitness:	142.8421768707483	Average fitness:	343.03403401360544	Fitness standard deviation:	37.78687174867775	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	992	Best fitness:	142.8421768707483	Average fitness:	340.9338911564628	Fitness standard deviation:	40.964699645685485	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1008	Best fitness:	142.8421768707483	Average fitness:	340.01231972789145	Fitness standard deviation:	40.17127751419475	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1024	Best fitness:	142.8421768707483	Average fitness:	339.156605442177	Fitness standard deviation:	37.05432189918152	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1040	Best fitness:	142.8421768707483	Average fitness:	348.69289115646296	Fitness standard deviation:	37.11074407796761	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1056	Best fitness:	142.8421768707483	Average fitness:	340.2811768707486	Fitness standard deviation:	37.253629016759795	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1072	Best fitness:	142.8421768707483	Average fitness:	338.2267482993198	Fitness standard deviation:	37.393176922087406	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1088	Best fitness:	142.8421768707483	Average fitness:	342.4938911564627	Fitness standard deviation:	38.15062610982194	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1104	Best fitness:	142.8421768707483	Average fitness:	340.75831972789126	Fitness standard deviation:	36.824730607380175	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1120	Best fitness:	142.8421768707483	Average fitness:	341.78031972789125	Fitness standard deviation:	39.12069297177437	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1136	Best fitness:	142.8421768707483	Average fitness:	339.94617687074845	Fitness standard deviation:	41.93033269992656	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1152	Best fitness:	142.8421768707483	Average fitness:	344.6864625850342	Fitness standard deviation:	38.025014511127125	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1168	Best fitness:	142.8421768707483	Average fitness:	342.52160544217696	Fitness standard deviation:	33.58250566917853	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1184	Best fitness:	142.8421768707483	Average fitness:	338.3283197278913	Fitness standard deviation:	36.37398829254393	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1200	Best fitness:	142.8421768707483	Average fitness:	341.92031972789124	Fitness standard deviation:	38.95142893582799	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1216	Best fitness:	142.8421768707483	Average fitness:	340.75646258503394	Fitness standard deviation:	37.30966543261782	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1232	Best fitness:	142.8421768707483	Average fitness:	339.67074829931994	Fitness standard deviation:	39.071153198298326	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1248	Best fitness:	142.8421768707483	Average fitness:	339.5573197278916	Fitness standard deviation:	37.49588722045365	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1264	Best fitness:	142.8421768707483	Average fitness:	339.32889115646276	Fitness standard deviation:	38.00682939463187	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1280	Best fitness:	142.8421768707483	Average fitness:	344.0986054421769	Fitness standard deviation:	36.2643251287104	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1296	Best fitness:	142.8421768707483	Average fitness:	337.628605442177	Fitness standard deviation:	39.80578215997454	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1312	Best fitness:	142.8421768707483	Average fitness:	341.6631768707484	Fitness standard deviation:	36.63078570056635	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1328	Best fitness:	142.8421768707483	Average fitness:	338.1897482993198	Fitness standard deviation:	39.41164706929012	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1344	Best fitness:	142.8421768707483	Average fitness:	338.27160544217696	Fitness standard deviation:	38.046010052276955	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1360	Best fitness:	142.8421768707483	Average fitness:	337.397605442177	Fitness standard deviation:	34.71664667338851	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1376	Best fitness:	142.8421768707483	Average fitness:	344.5004625850342	Fitness standard deviation:	37.34123155714179	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1392	Best fitness:	142.8421768707483	Average fitness:	340.677605442177	Fitness standard deviation:	36.89475138160174	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1408	Best fitness:	142.8421768707483	Average fitness:	341.36789115646263	Fitness standard deviation:	38.798725941632114	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1424	Best fitness:	142.8421768707483	Average fitness:	337.39074829931997	Fitness standard deviation:	38.46256446606392	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1440	Best fitness:	142.8421768707483	Average fitness:	342.87589115646296	Fitness standard deviation:	37.888632914942505	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1456	Best fitness:	142.8421768707483	Average fitness:	340.7294625850343	Fitness standard deviation:	41.35190583150865	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1472	Best fitness:	142.8421768707483	Average fitness:	340.3411768707485	Fitness standard deviation:	39.42402146392166	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1488	Best fitness:	142.8421768707483	Average fitness:	342.99331972789116	Fitness standard deviation:	37.073509392744	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1504	Best fitness:	142.8421768707483	Average fitness:	338.0628911564628	Fitness standard deviation:	41.82377938372828	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1520	Best fitness:	142.8421768707483	Average fitness:	343.16060544217703	Fitness standard deviation:	40.13693280101844	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1536	Best fitness:	142.8421768707483	Average fitness:	344.70031972789127	Fitness standard deviation:	38.87413812969403	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1552	Best fitness:	142.8421768707483	Average fitness:	337.50003401360556	Fitness standard deviation:	35.13253500412867	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1568	Best fitness:	142.8421768707483	Average fitness:	340.95074829932014	Fitness standard deviation:	37.016436062585896	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1584	Best fitness:	142.8421768707483	Average fitness:	341.1044625850343	Fitness standard deviation:	38.646327043577934	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1600	Best fitness:	142.8421768707483	Average fitness:	342.1837482993198	Fitness standard deviation:	39.98821564140707	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1616	Best fitness:	142.8421768707483	Average fitness:	337.67131972789133	Fitness standard deviation:	37.10665279038413	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1632	Best fitness:	142.8421768707483	Average fitness:	343.56903401360563	Fitness standard deviation:	36.00147113093904	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1648	Best fitness:	142.8421768707483	Average fitness:	343.42260544217714	Fitness standard deviation:	38.10296411175961	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1664	Best fitness:	142.8421768707483	Average fitness:	334.36789115646275	Fitness standard deviation:	37.586869830746345	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1680	Best fitness:	142.8421768707483	Average fitness:	341.1790340136055	Fitness standard deviation:	36.23293626139689	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1696	Best fitness:	142.8421768707483	Average fitness:	336.0417482993198	Fitness standard deviation:	36.777340903033746	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1712	Best fitness:	142.8421768707483	Average fitness:	342.18731972789135	Fitness standard deviation:	39.11045482231271	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1728	Best fitness:	142.8421768707483	Average fitness:	339.83646258503427	Fitness standard deviation:	38.38595980569043	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
Generation:	1744	Best fitness:	142.8421768707483	Average fitness:	338.73360544217684	Fitness standard deviation:	35.666386050139025	Best genome:	N3	A11	E3	N7	E5	A15	A17	A12	A9	E4	N5	A7	A6	A14	A10	N12	N6	A8	A13	N9	A16	
