Generation:	16	Best fitness:	246.47074829931972	Average fitness:	274.9821768707483	Fitness standard deviation:	17.897989626018383	Best genome:	A8	A16	A15	A9	N3	A12	N9	N6	E5	A7	A17	N7	E3	A10	N12	A11	N5	E4	A6	A14	A13	
Generation:	240	Best fitness:	146.69931972789115	Average fitness:	205.39360544217683	Fitness standard deviation:	30.159180549686212	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	E5	A8	N9	A13	A16	A15	N7	A6	A14	
Generation:	256	Best fitness:	146.69931972789115	Average fitness:	204.51646258503405	Fitness standard deviation:	40.016419487148376	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	E5	A8	N9	A13	A16	A15	N7	A6	A14	
Generation:	272	Best fitness:	146.69931972789115	Average fitness:	194.04503401360543	Fitness standard deviation:	34.86333305690571	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	E5	A8	N9	A13	A16	A15	N7	A6	A14	
Generation:	288	Best fitness:	146.69931972789115	Average fitness:	237.86217687074827	Fitness standard deviation:	38.42002677176133	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	E5	A8	N9	A13	A16	A15	N7	A6	A14	
Generation:	304	Best fitness:	146.69931972789115	Average fitness:	222.8250340136054	Fitness standard deviation:	43.50099637610943	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	E5	A8	N9	A13	A16	A15	N7	A6	A14	
Generation:	320	Best fitness:	142.6421768707483	Average fitness:	218.4021768707483	Fitness standard deviation:	30.192577003668454	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	E5	A8	A13	A16	A15	N7	A6	A14	
Generation:	336	Best fitness:	142.6421768707483	Average fitness:	228.14503401360543	Fitness standard deviation:	36.512419357623216	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	E5	A8	A13	A16	A15	N7	A6	A14	
Generation:	352	Best fitness:	142.6421768707483	Average fitness:	232.89931972789117	Fitness standard deviation:	38.96052004849242	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	E5	A8	A13	A16	A15	N7	A6	A14	
Generation:	368	Best fitness:	142.6421768707483	Average fitness:	244.9593197278911	Fitness standard deviation:	45.643619398955806	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	E5	A8	A13	A16	A15	N7	A6	A14	
Generation:	384	Best fitness:	142.6421768707483	Average fitness:	219.09646258503398	Fitness standard deviation:	40.498712400796755	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	E5	A8	A13	A16	A15	N7	A6	A14	
Generation:	400	Best fitness:	142.6421768707483	Average fitness:	222.88789115646256	Fitness standard deviation:	47.63238856929523	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	E5	A8	A13	A16	A15	N7	A6	A14	
Generation:	416	Best fitness:	142.6421768707483	Average fitness:	204.576462585034	Fitness standard deviation:	39.93565447014965	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	E5	A8	A13	A16	A15	N7	A6	A14	
Generation:	432	Best fitness:	142.6421768707483	Average fitness:	226.75074829931972	Fitness standard deviation:	40.19616145751193	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	E5	A8	A13	A16	A15	N7	A6	A14	
Generation:	448	Best fitness:	142.6421768707483	Average fitness:	221.4593197278911	Fitness standard deviation:	60.73577461733198	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	E5	A8	A13	A16	A15	N7	A6	A14	
Generation:	464	Best fitness:	142.6421768707483	Average fitness:	223.14503401360543	Fitness standard deviation:	44.36231752655096	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	E5	A8	A13	A16	A15	N7	A6	A14	
Generation:	480	Best fitness:	142.6421768707483	Average fitness:	221.71360544217686	Fitness standard deviation:	33.23718166298038	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	E5	A8	A13	A16	A15	N7	A6	A14	
Generation:	496	Best fitness:	142.6421768707483	Average fitness:	222.3707482993197	Fitness standard deviation:	51.58516833196083	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	E5	A8	A13	A16	A15	N7	A6	A14	
Generation:	512	Best fitness:	129.6421768707483	Average fitness:	228.71360544217683	Fitness standard deviation:	42.4788413116892	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	528	Best fitness:	129.6421768707483	Average fitness:	224.86789115646258	Fitness standard deviation:	50.63146629905001	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	544	Best fitness:	129.6421768707483	Average fitness:	226.28503401360544	Fitness standard deviation:	50.88574356299792	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	560	Best fitness:	129.6421768707483	Average fitness:	204.57074829931975	Fitness standard deviation:	51.891788898649864	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	576	Best fitness:	129.6421768707483	Average fitness:	147.3250340136054	Fitness standard deviation:	18.513789455430242	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	592	Best fitness:	129.6421768707483	Average fitness:	201.23931972789114	Fitness standard deviation:	41.466273386590075	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	608	Best fitness:	129.6421768707483	Average fitness:	227.3936054421769	Fitness standard deviation:	43.96663493781508	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	624	Best fitness:	129.6421768707483	Average fitness:	222.73931972789114	Fitness standard deviation:	42.64992609511026	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	640	Best fitness:	129.6421768707483	Average fitness:	205.04789115646258	Fitness standard deviation:	52.7886719449759	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	656	Best fitness:	129.6421768707483	Average fitness:	203.9821768707483	Fitness standard deviation:	51.59752003216227	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	672	Best fitness:	129.6421768707483	Average fitness:	200.62217687074832	Fitness standard deviation:	50.45446368878029	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	688	Best fitness:	129.6421768707483	Average fitness:	194.3821768707483	Fitness standard deviation:	48.19307842588253	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	704	Best fitness:	129.6421768707483	Average fitness:	211.81074829931973	Fitness standard deviation:	56.37761091288719	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	720	Best fitness:	129.6421768707483	Average fitness:	231.59646258503398	Fitness standard deviation:	45.370894563248235	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	736	Best fitness:	129.6421768707483	Average fitness:	192.65931972789113	Fitness standard deviation:	35.340399960777965	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	752	Best fitness:	129.6421768707483	Average fitness:	232.84789115646254	Fitness standard deviation:	47.727074077508675	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	768	Best fitness:	129.6421768707483	Average fitness:	215.2421768707483	Fitness standard deviation:	42.05275015879898	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	784	Best fitness:	129.6421768707483	Average fitness:	220.71360544217686	Fitness standard deviation:	42.60575653354742	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	800	Best fitness:	129.6421768707483	Average fitness:	192.2507482993197	Fitness standard deviation:	45.473604005230214	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	816	Best fitness:	129.6421768707483	Average fitness:	212.35360544217687	Fitness standard deviation:	55.877148700866755	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	832	Best fitness:	129.6421768707483	Average fitness:	192.91360544217687	Fitness standard deviation:	45.69519110142683	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	848	Best fitness:	129.6421768707483	Average fitness:	233.11931972789117	Fitness standard deviation:	50.402696801837486	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	864	Best fitness:	129.6421768707483	Average fitness:	214.1336054421769	Fitness standard deviation:	74.08989222972487	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	880	Best fitness:	129.6421768707483	Average fitness:	202.1421768707483	Fitness standard deviation:	30.226832923272475	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	896	Best fitness:	129.6421768707483	Average fitness:	234.3821768707483	Fitness standard deviation:	55.791046681308266	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	912	Best fitness:	129.6421768707483	Average fitness:	194.67931972789114	Fitness standard deviation:	34.508734298104045	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	928	Best fitness:	129.6421768707483	Average fitness:	200.77931972789114	Fitness standard deviation:	49.94944840454564	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	944	Best fitness:	129.6421768707483	Average fitness:	214.5221768707483	Fitness standard deviation:	50.20855736478655	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	960	Best fitness:	129.6421768707483	Average fitness:	175.22217687074826	Fitness standard deviation:	24.74953077271138	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	976	Best fitness:	129.6421768707483	Average fitness:	171.86789115646258	Fitness standard deviation:	30.70070251140644	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	992	Best fitness:	129.6421768707483	Average fitness:	224.07074829931972	Fitness standard deviation:	47.441067200716056	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	1008	Best fitness:	129.6421768707483	Average fitness:	184.076462585034	Fitness standard deviation:	46.140976166880705	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	1024	Best fitness:	129.6421768707483	Average fitness:	186.9907482993197	Fitness standard deviation:	39.426916735465205	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	1040	Best fitness:	129.6421768707483	Average fitness:	238.76789115646255	Fitness standard deviation:	61.713144433891614	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	1056	Best fitness:	129.6421768707483	Average fitness:	219.55931972789116	Fitness standard deviation:	48.65951248319326	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	1072	Best fitness:	129.6421768707483	Average fitness:	198.0536054421769	Fitness standard deviation:	46.63868097690271	Best genome:	A9	N3	A11	E3	A10	N12	N6	E4	N5	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	1088	Best fitness:	127.6421768707483	Average fitness:	210.62789115646257	Fitness standard deviation:	35.76406873168793	Best genome:	A9	N3	E4	N5	A11	E3	N12	A10	N6	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	1104	Best fitness:	127.6421768707483	Average fitness:	214.0793197278912	Fitness standard deviation:	50.356340094918544	Best genome:	A9	N3	E4	N5	A11	E3	N12	A10	N6	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	1120	Best fitness:	127.6421768707483	Average fitness:	196.92503401360543	Fitness standard deviation:	39.31681356075831	Best genome:	A9	N3	E4	N5	A11	E3	N12	A10	N6	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	1136	Best fitness:	127.6421768707483	Average fitness:	192.52503401360542	Fitness standard deviation:	42.25000123173529	Best genome:	A9	N3	E4	N5	A11	E3	N12	A10	N6	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	1152	Best fitness:	127.6421768707483	Average fitness:	171.0993197278911	Fitness standard deviation:	45.03034623043279	Best genome:	A9	N3	E4	N5	A11	E3	N12	A10	N6	A7	A12	A17	N9	A16	E5	A8	A13	A15	N7	A6	A14	
Generation:	1168	Best fitness:	113.61360544217688	Average fitness:	166.94217687074828	Fitness standard deviation:	45.91152671948827	Best genome:	A9	N3	E4	N5	A11	E3	N12	A10	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A6	A14	A17	
Generation:	1184	Best fitness:	113.61360544217688	Average fitness:	181.43646258503398	Fitness standard deviation:	39.64455502155551	Best genome:	A9	N3	E4	N5	A11	E3	N12	A10	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A6	A14	A17	
Generation:	1200	Best fitness:	113.61360544217688	Average fitness:	215.46217687074832	Fitness standard deviation:	38.73707932053879	Best genome:	A9	N3	E4	N5	A11	E3	N12	A10	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A6	A14	A17	
Generation:	1216	Best fitness:	113.61360544217688	Average fitness:	205.17360544217686	Fitness standard deviation:	47.77582037228559	Best genome:	A9	N3	E4	N5	A11	E3	N12	A10	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A6	A14	A17	
Generation:	1232	Best fitness:	110.61360544217688	Average fitness:	199.15646258503403	Fitness standard deviation:	48.39565168525801	Best genome:	A9	N3	E4	N5	A11	N6	A10	N12	E3	A7	A12	N9	A16	E5	A8	A13	A15	N7	A6	A14	A17	
Generation:	1248	Best fitness:	110.61360544217688	Average fitness:	209.93360544217686	Fitness standard deviation:	50.17813459901368	Best genome:	A9	N3	E4	N5	A11	N6	A10	N12	E3	A7	A12	N9	A16	E5	A8	A13	A15	N7	A6	A14	A17	
Generation:	1264	Best fitness:	110.61360544217688	Average fitness:	197.30503401360545	Fitness standard deviation:	48.712574414851545	Best genome:	A9	N3	E4	N5	A11	N6	A10	N12	E3	A7	A12	N9	A16	E5	A8	A13	A15	N7	A6	A14	A17	
Generation:	1280	Best fitness:	110.61360544217688	Average fitness:	179.49074829931973	Fitness standard deviation:	46.725671045945155	Best genome:	A9	N3	E4	N5	A11	N6	A10	N12	E3	A7	A12	N9	A16	E5	A8	A13	A15	N7	A6	A14	A17	
Generation:	1296	Best fitness:	110.61360544217688	Average fitness:	186.1307482993197	Fitness standard deviation:	35.82599774305964	Best genome:	A9	N3	E4	N5	A11	N6	A10	N12	E3	A7	A12	N9	A16	E5	A8	A13	A15	N7	A6	A14	A17	
Generation:	1312	Best fitness:	110.61360544217688	Average fitness:	209.22503401360547	Fitness standard deviation:	56.32387133030411	Best genome:	A9	N3	E4	N5	A11	N6	A10	N12	E3	A7	A12	N9	A16	E5	A8	A13	A15	N7	A6	A14	A17	
Generation:	1328	Best fitness:	110.58503401360544	Average fitness:	179.95646258503402	Fitness standard deviation:	58.25299641938374	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1344	Best fitness:	110.58503401360544	Average fitness:	170.31931972789118	Fitness standard deviation:	43.49133256366452	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1360	Best fitness:	110.58503401360544	Average fitness:	190.66503401360546	Fitness standard deviation:	44.20412908961592	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1376	Best fitness:	110.58503401360544	Average fitness:	169.99646258503404	Fitness standard deviation:	29.57105921094378	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1392	Best fitness:	110.58503401360544	Average fitness:	186.13074829931975	Fitness standard deviation:	42.330029770934054	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1408	Best fitness:	110.58503401360544	Average fitness:	152.23646258503402	Fitness standard deviation:	38.12541880666589	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1424	Best fitness:	110.58503401360544	Average fitness:	196.0421768707483	Fitness standard deviation:	60.31885209756023	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1440	Best fitness:	110.58503401360544	Average fitness:	205.41646258503403	Fitness standard deviation:	55.86704837269955	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1456	Best fitness:	110.58503401360544	Average fitness:	198.69646258503403	Fitness standard deviation:	37.36819437730981	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1472	Best fitness:	110.58503401360544	Average fitness:	185.93646258503404	Fitness standard deviation:	54.01696642004705	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1488	Best fitness:	110.58503401360544	Average fitness:	197.38789115646262	Fitness standard deviation:	54.96045695380842	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1504	Best fitness:	110.58503401360544	Average fitness:	202.88503401360543	Fitness standard deviation:	39.062662897619525	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1520	Best fitness:	110.58503401360544	Average fitness:	164.95646258503402	Fitness standard deviation:	58.89594560038294	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1536	Best fitness:	110.58503401360544	Average fitness:	192.3221768707483	Fitness standard deviation:	53.13603612139202	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1552	Best fitness:	110.58503401360544	Average fitness:	204.67931972789114	Fitness standard deviation:	41.17973952004524	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1568	Best fitness:	110.58503401360544	Average fitness:	170.44789115646262	Fitness standard deviation:	50.12833945311306	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1584	Best fitness:	110.58503401360544	Average fitness:	207.8821768707483	Fitness standard deviation:	41.01344169903326	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1600	Best fitness:	110.58503401360544	Average fitness:	180.9136054421769	Fitness standard deviation:	47.85833218138378	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1616	Best fitness:	110.58503401360544	Average fitness:	176.53931972789115	Fitness standard deviation:	52.08792127602275	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	A12	N9	A16	E5	A8	A13	A15	N7	A10	A6	A14	A17	
Generation:	1632	Best fitness:	110.55646258503401	Average fitness:	168.13931972789118	Fitness standard deviation:	37.702840687650685	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	N9	A16	E5	A8	A13	A15	N7	A10	A6	A12	A14	A17	
Generation:	1648	Best fitness:	110.55646258503401	Average fitness:	186.61646258503401	Fitness standard deviation:	45.67088555912949	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	N9	A16	E5	A8	A13	A15	N7	A10	A6	A12	A14	A17	
Generation:	1664	Best fitness:	110.55646258503401	Average fitness:	183.13931972789118	Fitness standard deviation:	40.78629661830963	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	N9	A16	E5	A8	A13	A15	N7	A10	A6	A12	A14	A17	
Generation:	1680	Best fitness:	110.55646258503401	Average fitness:	216.5736054421768	Fitness standard deviation:	64.43130079743058	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	N9	A16	E5	A8	A13	A15	N7	A10	A6	A12	A14	A17	
Generation:	1696	Best fitness:	110.55646258503401	Average fitness:	180.96217687074832	Fitness standard deviation:	41.13766991109591	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	N9	A16	E5	A8	A13	A15	N7	A10	A6	A12	A14	A17	
Generation:	1712	Best fitness:	110.55646258503401	Average fitness:	189.87074829931973	Fitness standard deviation:	46.998855392054665	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	N9	A16	E5	A8	A13	A15	N7	A10	A6	A12	A14	A17	
Generation:	1728	Best fitness:	110.55646258503401	Average fitness:	192.62217687074832	Fitness standard deviation:	56.187769821830635	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	N9	A16	E5	A8	A13	A15	N7	A10	A6	A12	A14	A17	
Generation:	1744	Best fitness:	110.55646258503401	Average fitness:	196.1736054421769	Fitness standard deviation:	37.31108540202967	Best genome:	A9	N3	E4	N5	A11	N12	E3	N6	A7	N9	A16	E5	A8	A13	A15	N7	A10	A6	A12	A14	A17	
