Generation:	16	Best fitness:	235.29931972789115	Average fitness:	338.4461768707482	Fitness standard deviation:	35.81322296445882	Best genome:	N9	N5	E3	N12	A15	A12	A13	A9	A11	A10	A8	A16	E4	A7	A14	N3	E5	N6	A6	A17	N7	
Generation:	288	Best fitness:	146.87074829931973	Average fitness:	316.6890340136055	Fitness standard deviation:	45.65903295211637	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	A11	N3	N12	A15	A10	A8	N9	
Generation:	304	Best fitness:	146.87074829931973	Average fitness:	316.97817687074826	Fitness standard deviation:	45.8873803504686	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	A11	N3	N12	A15	A10	A8	N9	
Generation:	320	Best fitness:	146.87074829931973	Average fitness:	308.97817687074826	Fitness standard deviation:	46.41416974351251	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	A11	N3	N12	A15	A10	A8	N9	
Generation:	336	Best fitness:	135.87074829931973	Average fitness:	325.3913197278912	Fitness standard deviation:	47.12188877057161	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N6	E3	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	352	Best fitness:	132.87074829931973	Average fitness:	319.1821768707483	Fitness standard deviation:	50.69842560853023	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	368	Best fitness:	132.87074829931973	Average fitness:	321.9616054421769	Fitness standard deviation:	51.26600932710221	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	384	Best fitness:	132.87074829931973	Average fitness:	322.7158911564626	Fitness standard deviation:	51.26566423513293	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	400	Best fitness:	132.87074829931973	Average fitness:	308.16103401360544	Fitness standard deviation:	46.600069846667466	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	416	Best fitness:	132.87074829931973	Average fitness:	336.29931972789103	Fitness standard deviation:	46.96653328679467	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	432	Best fitness:	132.87074829931973	Average fitness:	313.85531972789113	Fitness standard deviation:	48.91347102459065	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	448	Best fitness:	132.87074829931973	Average fitness:	315.6136054421768	Fitness standard deviation:	50.02960919214108	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	464	Best fitness:	132.87074829931973	Average fitness:	318.22960544217693	Fitness standard deviation:	50.692629310867076	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	480	Best fitness:	132.87074829931973	Average fitness:	314.511319727891	Fitness standard deviation:	46.07413939843177	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	496	Best fitness:	132.87074829931973	Average fitness:	311.10674829931975	Fitness standard deviation:	51.79184454277389	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	512	Best fitness:	132.87074829931973	Average fitness:	322.33017687074835	Fitness standard deviation:	46.85079568161036	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	528	Best fitness:	132.87074829931973	Average fitness:	319.8621768707483	Fitness standard deviation:	53.402755642420566	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	544	Best fitness:	132.87074829931973	Average fitness:	317.42446258503406	Fitness standard deviation:	49.56724556743956	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	560	Best fitness:	132.87074829931973	Average fitness:	323.4673197278912	Fitness standard deviation:	55.95460511113324	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	576	Best fitness:	132.87074829931973	Average fitness:	326.91646258503397	Fitness standard deviation:	48.25461551362053	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	592	Best fitness:	132.87074829931973	Average fitness:	323.2513197278911	Fitness standard deviation:	50.134607523248896	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	608	Best fitness:	132.87074829931973	Average fitness:	318.65931972789105	Fitness standard deviation:	47.42681821200201	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	624	Best fitness:	132.87074829931973	Average fitness:	311.66960544217693	Fitness standard deviation:	49.60621750365985	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	640	Best fitness:	132.87074829931973	Average fitness:	323.4964625850341	Fitness standard deviation:	55.712317694179106	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	656	Best fitness:	132.87074829931973	Average fitness:	315.9336054421768	Fitness standard deviation:	52.000413185171624	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	672	Best fitness:	132.87074829931973	Average fitness:	315.2696054421769	Fitness standard deviation:	48.482666781909955	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	688	Best fitness:	132.87074829931973	Average fitness:	315.93074829931976	Fitness standard deviation:	45.79387937001081	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	704	Best fitness:	132.87074829931973	Average fitness:	315.19874829931973	Fitness standard deviation:	53.02622877830347	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	720	Best fitness:	132.87074829931973	Average fitness:	310.0301768707484	Fitness standard deviation:	43.80795495368952	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	736	Best fitness:	132.87074829931973	Average fitness:	316.67703401360546	Fitness standard deviation:	50.49522920766569	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	752	Best fitness:	132.87074829931973	Average fitness:	313.60103401360556	Fitness standard deviation:	50.553684105642205	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N6	N7	N12	N3	A11	A15	A10	A8	N9	
Generation:	768	Best fitness:	129.87074829931973	Average fitness:	311.308462585034	Fitness standard deviation:	50.291176144934376	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	E3	N12	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	784	Best fitness:	126.87074829931973	Average fitness:	323.65246258503396	Fitness standard deviation:	50.03475355782055	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	800	Best fitness:	126.87074829931973	Average fitness:	310.86160544217694	Fitness standard deviation:	55.38678143045044	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	816	Best fitness:	126.87074829931973	Average fitness:	313.38331972789115	Fitness standard deviation:	49.81508480984696	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	832	Best fitness:	126.87074829931973	Average fitness:	321.39360544217686	Fitness standard deviation:	51.78515404623063	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	848	Best fitness:	126.87074829931973	Average fitness:	321.3593197278912	Fitness standard deviation:	53.87756225262716	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	864	Best fitness:	126.87074829931973	Average fitness:	329.36731972789113	Fitness standard deviation:	46.09858146119785	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	880	Best fitness:	126.87074829931973	Average fitness:	332.3353197278912	Fitness standard deviation:	43.35109774190927	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	896	Best fitness:	126.87074829931973	Average fitness:	323.3478911564626	Fitness standard deviation:	44.0200285584382	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	912	Best fitness:	126.87074829931973	Average fitness:	325.37931972789113	Fitness standard deviation:	52.075265780622274	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	928	Best fitness:	126.87074829931973	Average fitness:	327.82046258503397	Fitness standard deviation:	47.216970162717324	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	944	Best fitness:	126.87074829931973	Average fitness:	313.6941768707482	Fitness standard deviation:	51.455525853866845	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	960	Best fitness:	126.87074829931973	Average fitness:	314.93531972789117	Fitness standard deviation:	53.229122552165656	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	976	Best fitness:	126.87074829931973	Average fitness:	318.3530340136055	Fitness standard deviation:	45.15199858256553	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	992	Best fitness:	126.87074829931973	Average fitness:	322.60274829931967	Fitness standard deviation:	46.39943943714873	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	1008	Best fitness:	126.87074829931973	Average fitness:	312.31189115646265	Fitness standard deviation:	51.59535563974569	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	1024	Best fitness:	126.87074829931973	Average fitness:	322.1918911564626	Fitness standard deviation:	51.29918790302829	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	1040	Best fitness:	126.87074829931973	Average fitness:	323.7673197278912	Fitness standard deviation:	51.54201326201801	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	1056	Best fitness:	126.87074829931973	Average fitness:	324.0873197278911	Fitness standard deviation:	49.62461669908002	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	1072	Best fitness:	126.87074829931973	Average fitness:	315.7404625850339	Fitness standard deviation:	51.402795496123815	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	1088	Best fitness:	126.87074829931973	Average fitness:	318.87074829931976	Fitness standard deviation:	52.93020217268036	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	1104	Best fitness:	126.87074829931973	Average fitness:	314.9838911564626	Fitness standard deviation:	49.53768269567262	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	1120	Best fitness:	126.87074829931973	Average fitness:	322.00846258503407	Fitness standard deviation:	47.11063546112513	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	1136	Best fitness:	126.87074829931973	Average fitness:	312.5296054421769	Fitness standard deviation:	48.10757551104629	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	1152	Best fitness:	126.87074829931973	Average fitness:	317.83474829931976	Fitness standard deviation:	42.869857850980395	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	1168	Best fitness:	126.87074829931973	Average fitness:	315.96331972789113	Fitness standard deviation:	55.7472689357597	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	1184	Best fitness:	126.87074829931973	Average fitness:	312.4747482993197	Fitness standard deviation:	52.05393121973183	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	1200	Best fitness:	126.87074829931973	Average fitness:	318.3330340136055	Fitness standard deviation:	50.419845684582796	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N7	N3	A11	A15	A10	A8	N9	
Generation:	1216	Best fitness:	118.87074829931973	Average fitness:	318.409605442177	Fitness standard deviation:	50.795880601096144	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1232	Best fitness:	118.87074829931973	Average fitness:	325.1821768707482	Fitness standard deviation:	56.38996125741039	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1248	Best fitness:	118.87074829931973	Average fitness:	319.73360544217684	Fitness standard deviation:	54.183866564858285	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1264	Best fitness:	118.87074829931973	Average fitness:	315.052462585034	Fitness standard deviation:	57.431523949688746	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1280	Best fitness:	118.87074829931973	Average fitness:	308.264462585034	Fitness standard deviation:	61.09065870407651	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1296	Best fitness:	118.87074829931973	Average fitness:	318.4713197278912	Fitness standard deviation:	48.29043442356184	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1312	Best fitness:	118.87074829931973	Average fitness:	318.39989115646256	Fitness standard deviation:	46.03105260316238	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1328	Best fitness:	118.87074829931973	Average fitness:	315.14446258503403	Fitness standard deviation:	52.64562220766939	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1344	Best fitness:	118.87074829931973	Average fitness:	320.992462585034	Fitness standard deviation:	54.39414668689931	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1360	Best fitness:	118.87074829931973	Average fitness:	315.32560544217677	Fitness standard deviation:	50.36537807920461	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1376	Best fitness:	118.87074829931973	Average fitness:	311.50046258503403	Fitness standard deviation:	54.66285533884887	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1392	Best fitness:	118.87074829931973	Average fitness:	315.75303401360543	Fitness standard deviation:	54.688038057807894	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1408	Best fitness:	118.87074829931973	Average fitness:	311.58046258503396	Fitness standard deviation:	50.18685521373996	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1424	Best fitness:	118.87074829931973	Average fitness:	330.22446258503396	Fitness standard deviation:	48.929211304262225	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1440	Best fitness:	118.87074829931973	Average fitness:	319.4930340136054	Fitness standard deviation:	57.483336017262154	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1456	Best fitness:	118.87074829931973	Average fitness:	314.37989115646263	Fitness standard deviation:	52.66375919676352	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1472	Best fitness:	118.87074829931973	Average fitness:	314.40789115646254	Fitness standard deviation:	52.06478883789594	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1488	Best fitness:	118.87074829931973	Average fitness:	320.1616054421769	Fitness standard deviation:	54.792728458422	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1504	Best fitness:	118.87074829931973	Average fitness:	318.49360544217683	Fitness standard deviation:	47.07046528387855	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1520	Best fitness:	118.87074829931973	Average fitness:	311.96103401360546	Fitness standard deviation:	53.019130735990004	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1536	Best fitness:	118.87074829931973	Average fitness:	320.97874829931965	Fitness standard deviation:	47.92498195287791	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1552	Best fitness:	118.87074829931973	Average fitness:	329.4741768707484	Fitness standard deviation:	57.77611501127363	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1568	Best fitness:	118.87074829931973	Average fitness:	326.42789115646264	Fitness standard deviation:	55.857613808756305	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1584	Best fitness:	118.87074829931973	Average fitness:	313.2524625850339	Fitness standard deviation:	52.66266113554794	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1600	Best fitness:	118.87074829931973	Average fitness:	327.11760544217685	Fitness standard deviation:	55.507908981605524	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1616	Best fitness:	118.87074829931973	Average fitness:	317.70274829931975	Fitness standard deviation:	49.309713623510866	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1632	Best fitness:	118.87074829931973	Average fitness:	306.01531972789115	Fitness standard deviation:	53.3031935820061	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1648	Best fitness:	118.87074829931973	Average fitness:	321.3004625850341	Fitness standard deviation:	54.25917154410913	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1664	Best fitness:	118.87074829931973	Average fitness:	321.26217687074825	Fitness standard deviation:	45.83329802843414	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1680	Best fitness:	118.87074829931973	Average fitness:	322.320462585034	Fitness standard deviation:	49.26559815066551	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1696	Best fitness:	118.87074829931973	Average fitness:	314.21417687074825	Fitness standard deviation:	46.760386685086075	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1712	Best fitness:	118.87074829931973	Average fitness:	323.0758911564626	Fitness standard deviation:	56.95238474948227	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1728	Best fitness:	118.87074829931973	Average fitness:	320.92503401360557	Fitness standard deviation:	59.057886856879655	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
Generation:	1744	Best fitness:	118.87074829931973	Average fitness:	322.0450340136056	Fitness standard deviation:	53.79790398769629	Best genome:	A9	E4	N5	A7	A14	A17	A6	A12	A13	A16	E5	N12	E3	N6	N3	A11	A15	N7	A10	A8	N9	
