Generation:	16	Best fitness:	254.4421768707483	Average fitness:	341.0193197278912	Fitness standard deviation:	37.507007889410836	Best genome:	A15	A12	A16	E5	A13	N9	A14	E3	N3	N6	N12	E4	N5	N7	A17	A11	A7	A6	A10	A9	A8	
Generation:	192	Best fitness:	188.67074829931974	Average fitness:	319.0147482993198	Fitness standard deviation:	41.47001314842585	Best genome:	A15	A17	A10	E3	N12	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	E5	A16	N3	A7	A14	A12	
Generation:	208	Best fitness:	188.67074829931974	Average fitness:	329.9296054421768	Fitness standard deviation:	45.54613338636969	Best genome:	A15	A17	A10	E3	N12	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	E5	A16	N3	A7	A14	A12	
Generation:	224	Best fitness:	188.67074829931974	Average fitness:	325.97531972789125	Fitness standard deviation:	41.26979173335244	Best genome:	A15	A17	A10	E3	N12	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	E5	A16	N3	A7	A14	A12	
Generation:	240	Best fitness:	188.67074829931974	Average fitness:	324.03931972789115	Fitness standard deviation:	42.77336392224126	Best genome:	A15	A17	A10	E3	N12	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	E5	A16	N3	A7	A14	A12	
Generation:	256	Best fitness:	185.67074829931974	Average fitness:	320.65874829931977	Fitness standard deviation:	42.72078807268213	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	E5	A16	N3	A7	A14	A12	
Generation:	272	Best fitness:	185.67074829931974	Average fitness:	323.3798911564625	Fitness standard deviation:	42.657059684159655	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	E5	A16	N3	A7	A14	A12	
Generation:	288	Best fitness:	167.69931972789115	Average fitness:	322.18731972789124	Fitness standard deviation:	45.602456732961585	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	304	Best fitness:	167.69931972789115	Average fitness:	320.91246258503406	Fitness standard deviation:	42.78524109826583	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	320	Best fitness:	167.69931972789115	Average fitness:	314.8376054421768	Fitness standard deviation:	42.783850609541815	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	336	Best fitness:	167.69931972789115	Average fitness:	325.2821768707483	Fitness standard deviation:	43.47500863151386	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	352	Best fitness:	167.69931972789115	Average fitness:	330.332462585034	Fitness standard deviation:	44.68473815521359	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	368	Best fitness:	167.69931972789115	Average fitness:	326.549605442177	Fitness standard deviation:	47.97584683473762	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	384	Best fitness:	167.69931972789115	Average fitness:	320.3661768707483	Fitness standard deviation:	43.6237357634486	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	400	Best fitness:	167.69931972789115	Average fitness:	317.5793197278911	Fitness standard deviation:	49.156521356140885	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	416	Best fitness:	167.69931972789115	Average fitness:	329.3227482993197	Fitness standard deviation:	42.99662547366304	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	432	Best fitness:	167.69931972789115	Average fitness:	322.94674829931967	Fitness standard deviation:	43.78414795054372	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	448	Best fitness:	167.69931972789115	Average fitness:	336.17817687074836	Fitness standard deviation:	49.36744248459087	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	464	Best fitness:	167.69931972789115	Average fitness:	330.12789115646257	Fitness standard deviation:	45.84768144494933	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	480	Best fitness:	167.69931972789115	Average fitness:	319.4558911564625	Fitness standard deviation:	45.883853810352456	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	496	Best fitness:	167.69931972789115	Average fitness:	320.72846258503404	Fitness standard deviation:	37.5958488763679	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	512	Best fitness:	167.69931972789115	Average fitness:	328.1713197278912	Fitness standard deviation:	46.33639843666783	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	528	Best fitness:	167.69931972789115	Average fitness:	317.1158911564626	Fitness standard deviation:	41.29640043215705	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	544	Best fitness:	167.69931972789115	Average fitness:	321.7570340136054	Fitness standard deviation:	43.504293192788246	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	560	Best fitness:	167.69931972789115	Average fitness:	320.0393197278912	Fitness standard deviation:	41.11920719080075	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	576	Best fitness:	167.69931972789115	Average fitness:	326.8924625850341	Fitness standard deviation:	45.1762963167407	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	592	Best fitness:	167.69931972789115	Average fitness:	328.5667482993198	Fitness standard deviation:	43.85923820401734	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	608	Best fitness:	167.69931972789115	Average fitness:	326.64846258503394	Fitness standard deviation:	42.921910408821006	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	624	Best fitness:	167.69931972789115	Average fitness:	324.4793197278912	Fitness standard deviation:	46.44733343985928	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	640	Best fitness:	167.69931972789115	Average fitness:	322.7433197278912	Fitness standard deviation:	44.53708244799599	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	656	Best fitness:	167.69931972789115	Average fitness:	324.3496054421768	Fitness standard deviation:	36.43170431794543	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	E5	A8	N9	A13	A16	N3	A7	A14	A12	
Generation:	672	Best fitness:	166.67074829931974	Average fitness:	324.09417687074824	Fitness standard deviation:	44.66790682449349	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	688	Best fitness:	166.67074829931974	Average fitness:	324.85017687074827	Fitness standard deviation:	36.47260265135003	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	704	Best fitness:	166.67074829931974	Average fitness:	324.59531972789114	Fitness standard deviation:	46.270109101285875	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	720	Best fitness:	166.67074829931974	Average fitness:	321.2718911564626	Fitness standard deviation:	38.56558557225097	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	736	Best fitness:	166.67074829931974	Average fitness:	326.1193197278912	Fitness standard deviation:	44.312294788103166	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	752	Best fitness:	166.67074829931974	Average fitness:	320.872462585034	Fitness standard deviation:	40.89850510116725	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	768	Best fitness:	166.67074829931974	Average fitness:	312.6901768707484	Fitness standard deviation:	45.31808683030633	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	784	Best fitness:	166.67074829931974	Average fitness:	335.0221768707483	Fitness standard deviation:	46.702063669825215	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	800	Best fitness:	166.67074829931974	Average fitness:	318.2781768707484	Fitness standard deviation:	41.79616770246101	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	816	Best fitness:	166.67074829931974	Average fitness:	328.8067482993197	Fitness standard deviation:	43.32077431987417	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	832	Best fitness:	166.67074829931974	Average fitness:	319.9598911564627	Fitness standard deviation:	50.95977882244636	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	848	Best fitness:	166.67074829931974	Average fitness:	330.67303401360545	Fitness standard deviation:	42.347267493467214	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	864	Best fitness:	166.67074829931974	Average fitness:	320.47589115646264	Fitness standard deviation:	46.365373318229366	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	880	Best fitness:	166.67074829931974	Average fitness:	317.69817687074845	Fitness standard deviation:	43.72137083946056	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	896	Best fitness:	166.67074829931974	Average fitness:	326.6747482993198	Fitness standard deviation:	44.17523029657121	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	912	Best fitness:	166.67074829931974	Average fitness:	320.7261768707483	Fitness standard deviation:	46.97191359151743	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	928	Best fitness:	166.67074829931974	Average fitness:	322.5170340136054	Fitness standard deviation:	43.66998797194004	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	944	Best fitness:	166.67074829931974	Average fitness:	321.8016054421768	Fitness standard deviation:	39.34303769644222	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	960	Best fitness:	166.67074829931974	Average fitness:	325.0924625850341	Fitness standard deviation:	44.90957138471914	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	976	Best fitness:	166.67074829931974	Average fitness:	329.12960544217685	Fitness standard deviation:	42.1955410779047	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	992	Best fitness:	166.67074829931974	Average fitness:	320.0684625850341	Fitness standard deviation:	39.31961958833565	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	1008	Best fitness:	166.67074829931974	Average fitness:	318.4667482993198	Fitness standard deviation:	42.98884677756902	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	1024	Best fitness:	166.67074829931974	Average fitness:	326.17989115646265	Fitness standard deviation:	41.38654013279275	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	1040	Best fitness:	166.67074829931974	Average fitness:	306.86389115646267	Fitness standard deviation:	45.67069441654895	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	1056	Best fitness:	166.67074829931974	Average fitness:	323.7553197278912	Fitness standard deviation:	39.45506934036565	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	1072	Best fitness:	166.67074829931974	Average fitness:	317.1141768707484	Fitness standard deviation:	42.59021608064367	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	1088	Best fitness:	166.67074829931974	Average fitness:	321.108462585034	Fitness standard deviation:	41.9492616519392	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	1104	Best fitness:	166.67074829931974	Average fitness:	323.2067482993197	Fitness standard deviation:	42.24966052176138	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	1120	Best fitness:	166.67074829931974	Average fitness:	321.04731972789114	Fitness standard deviation:	48.204410566262666	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	1136	Best fitness:	166.67074829931974	Average fitness:	319.71303401360547	Fitness standard deviation:	48.00770524549966	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	1152	Best fitness:	166.67074829931974	Average fitness:	330.10160544217695	Fitness standard deviation:	42.7560597791323	Best genome:	A15	A17	A10	N12	E3	N5	E4	N6	N7	A6	A9	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	1168	Best fitness:	161.67074829931974	Average fitness:	318.0781768707484	Fitness standard deviation:	52.63945189529176	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	1184	Best fitness:	161.67074829931974	Average fitness:	330.7433197278912	Fitness standard deviation:	49.43916590340587	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	N9	A13	A16	E5	N3	A7	A14	A12	
Generation:	1200	Best fitness:	157.69931972789115	Average fitness:	320.6541768707483	Fitness standard deviation:	47.01047111841691	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1216	Best fitness:	157.69931972789115	Average fitness:	323.212462585034	Fitness standard deviation:	42.923822778955554	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1232	Best fitness:	157.69931972789115	Average fitness:	319.99360544217694	Fitness standard deviation:	45.09900917505204	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1248	Best fitness:	157.69931972789115	Average fitness:	305.44789115646256	Fitness standard deviation:	40.55222966264919	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1264	Best fitness:	157.69931972789115	Average fitness:	313.6021768707483	Fitness standard deviation:	38.74033198681937	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1280	Best fitness:	157.69931972789115	Average fitness:	318.7878911564627	Fitness standard deviation:	49.583207246166786	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1296	Best fitness:	157.69931972789115	Average fitness:	316.2576054421769	Fitness standard deviation:	46.44744379864808	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1312	Best fitness:	157.69931972789115	Average fitness:	316.149605442177	Fitness standard deviation:	50.50154705571313	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1328	Best fitness:	157.69931972789115	Average fitness:	317.8987482993197	Fitness standard deviation:	49.56486065670283	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1344	Best fitness:	157.69931972789115	Average fitness:	321.9701768707483	Fitness standard deviation:	51.965389813307276	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1360	Best fitness:	157.69931972789115	Average fitness:	320.8221768707483	Fitness standard deviation:	47.644374531415515	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1376	Best fitness:	157.69931972789115	Average fitness:	322.0993197278911	Fitness standard deviation:	49.3284488848753	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1392	Best fitness:	157.69931972789115	Average fitness:	323.4678911564626	Fitness standard deviation:	48.26889757876585	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1408	Best fitness:	157.69931972789115	Average fitness:	314.9238911564625	Fitness standard deviation:	41.6285514305276	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1424	Best fitness:	157.69931972789115	Average fitness:	324.6353197278912	Fitness standard deviation:	45.3508263984286	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1440	Best fitness:	157.69931972789115	Average fitness:	322.59303401360546	Fitness standard deviation:	41.949723470665525	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1456	Best fitness:	157.69931972789115	Average fitness:	314.80446258503406	Fitness standard deviation:	50.86573617287145	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1472	Best fitness:	157.69931972789115	Average fitness:	327.09817687074826	Fitness standard deviation:	45.31578342327655	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1488	Best fitness:	157.69931972789115	Average fitness:	334.7278911564625	Fitness standard deviation:	56.114676460670374	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1504	Best fitness:	157.69931972789115	Average fitness:	313.6238911564626	Fitness standard deviation:	49.449870476295985	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1520	Best fitness:	157.69931972789115	Average fitness:	312.25931972789107	Fitness standard deviation:	41.409220308170646	Best genome:	A15	A17	N12	N6	N7	A6	A10	E3	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1536	Best fitness:	154.69931972789115	Average fitness:	318.33760544217694	Fitness standard deviation:	54.343484331666865	Best genome:	A15	A17	A10	N12	N7	E3	N6	A6	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1552	Best fitness:	154.69931972789115	Average fitness:	334.5787482993198	Fitness standard deviation:	49.65740104815336	Best genome:	A15	A17	A10	N12	N7	E3	N6	A6	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1568	Best fitness:	154.69931972789115	Average fitness:	321.34846258503404	Fitness standard deviation:	51.408151514350806	Best genome:	A15	A17	A10	N12	N7	E3	N6	A6	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1584	Best fitness:	154.69931972789115	Average fitness:	320.99131972789127	Fitness standard deviation:	51.58361179083678	Best genome:	A15	A17	A10	N12	N7	E3	N6	A6	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1600	Best fitness:	154.69931972789115	Average fitness:	317.2661768707483	Fitness standard deviation:	43.66784474663624	Best genome:	A15	A17	A10	N12	N7	E3	N6	A6	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1616	Best fitness:	154.69931972789115	Average fitness:	326.7764625850339	Fitness standard deviation:	46.06718403481983	Best genome:	A15	A17	A10	N12	N7	E3	N6	A6	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1632	Best fitness:	154.69931972789115	Average fitness:	311.165605442177	Fitness standard deviation:	50.65622316142007	Best genome:	A15	A17	A10	N12	N7	E3	N6	A6	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1648	Best fitness:	154.69931972789115	Average fitness:	329.78331972789107	Fitness standard deviation:	47.432100870397804	Best genome:	A15	A17	A10	N12	N7	E3	N6	A6	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1664	Best fitness:	154.69931972789115	Average fitness:	321.06960544217696	Fitness standard deviation:	41.563969467286825	Best genome:	A15	A17	A10	N12	N7	E3	N6	A6	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1680	Best fitness:	154.69931972789115	Average fitness:	327.10503401360546	Fitness standard deviation:	46.45626989164001	Best genome:	A15	A17	A10	N12	N7	E3	N6	A6	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1696	Best fitness:	154.69931972789115	Average fitness:	323.18160544217693	Fitness standard deviation:	50.97197649929713	Best genome:	A15	A17	A10	N12	N7	E3	N6	A6	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1712	Best fitness:	154.69931972789115	Average fitness:	315.06389115646266	Fitness standard deviation:	37.33243468500553	Best genome:	A15	A17	A10	N12	N7	E3	N6	A6	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1728	Best fitness:	154.69931972789115	Average fitness:	315.3581768707483	Fitness standard deviation:	49.24651871172713	Best genome:	A15	A17	A10	N12	N7	E3	N6	A6	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
Generation:	1744	Best fitness:	154.69931972789115	Average fitness:	316.05246258503405	Fitness standard deviation:	54.37072854740417	Best genome:	A15	A17	A10	N12	N7	E3	N6	A6	A9	E4	N5	A11	A8	A13	N9	A16	E5	N3	A7	A14	A12	
