Generation:	16	Best fitness:	232.69931972789115	Average fitness:	339.20931972789106	Fitness standard deviation:	34.984200019729016	Best genome:	A16	A13	A9	N5	E4	N7	N6	A17	A12	A11	A6	E3	A7	A14	N9	N3	A15	N12	E5	A10	A8	
Generation:	400	Best fitness:	141.29931972789115	Average fitness:	344.04246258503423	Fitness standard deviation:	37.129018080092514	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	416	Best fitness:	141.29931972789115	Average fitness:	337.713462585034	Fitness standard deviation:	39.92911361732572	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	432	Best fitness:	141.29931972789115	Average fitness:	341.4561768707483	Fitness standard deviation:	37.534303329740645	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	448	Best fitness:	141.29931972789115	Average fitness:	336.544605442177	Fitness standard deviation:	35.54378137033313	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	464	Best fitness:	141.29931972789115	Average fitness:	339.9834625850344	Fitness standard deviation:	39.33988786362321	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	480	Best fitness:	141.29931972789115	Average fitness:	339.74374829931963	Fitness standard deviation:	38.10968709648293	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	496	Best fitness:	141.29931972789115	Average fitness:	340.49889115646283	Fitness standard deviation:	36.28843054822104	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	512	Best fitness:	141.29931972789115	Average fitness:	340.75703401360545	Fitness standard deviation:	40.33439064943494	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	528	Best fitness:	141.29931972789115	Average fitness:	338.47417687074847	Fitness standard deviation:	38.77530947625811	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	544	Best fitness:	141.29931972789115	Average fitness:	336.59703401360554	Fitness standard deviation:	39.59348826692158	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	560	Best fitness:	141.29931972789115	Average fitness:	340.17989115646253	Fitness standard deviation:	38.31070322656954	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	576	Best fitness:	141.29931972789115	Average fitness:	343.82303401360565	Fitness standard deviation:	35.81973667675178	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	592	Best fitness:	141.29931972789115	Average fitness:	336.49731972789124	Fitness standard deviation:	35.87582808658163	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	608	Best fitness:	141.29931972789115	Average fitness:	334.5314625850341	Fitness standard deviation:	37.65469078700961	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	624	Best fitness:	141.29931972789115	Average fitness:	336.92689115646266	Fitness standard deviation:	39.079565658553896	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	640	Best fitness:	141.29931972789115	Average fitness:	340.69189115646253	Fitness standard deviation:	39.842536211379695	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	656	Best fitness:	141.29931972789115	Average fitness:	339.4981768707485	Fitness standard deviation:	36.130567740135085	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	672	Best fitness:	141.29931972789115	Average fitness:	338.3538911564627	Fitness standard deviation:	38.53770252410924	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	688	Best fitness:	141.29931972789115	Average fitness:	333.900605442177	Fitness standard deviation:	40.055724684239486	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	704	Best fitness:	141.29931972789115	Average fitness:	339.40189115646274	Fitness standard deviation:	37.49052029186982	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	720	Best fitness:	141.29931972789115	Average fitness:	338.53274829931985	Fitness standard deviation:	36.14306122020307	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	736	Best fitness:	141.29931972789115	Average fitness:	343.2514625850341	Fitness standard deviation:	36.008291668413705	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	752	Best fitness:	141.29931972789115	Average fitness:	340.9093197278912	Fitness standard deviation:	41.878933552684984	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	768	Best fitness:	141.29931972789115	Average fitness:	336.6104625850341	Fitness standard deviation:	40.6155647042473	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	784	Best fitness:	141.29931972789115	Average fitness:	336.84503401360564	Fitness standard deviation:	37.33825285857135	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	800	Best fitness:	141.29931972789115	Average fitness:	342.1963197278912	Fitness standard deviation:	35.13924904793871	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	816	Best fitness:	141.29931972789115	Average fitness:	342.97603401360544	Fitness standard deviation:	37.30127060017868	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	832	Best fitness:	141.29931972789115	Average fitness:	339.2027482993199	Fitness standard deviation:	41.41848986299009	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	848	Best fitness:	141.29931972789115	Average fitness:	338.9291768707485	Fitness standard deviation:	38.02837042959653	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	864	Best fitness:	141.29931972789115	Average fitness:	333.95117687074855	Fitness standard deviation:	39.76588765563792	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	880	Best fitness:	141.29931972789115	Average fitness:	335.3581768707486	Fitness standard deviation:	37.849686989782235	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	896	Best fitness:	141.29931972789115	Average fitness:	338.6857482993196	Fitness standard deviation:	40.443827705717915	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	912	Best fitness:	141.29931972789115	Average fitness:	336.50074829931975	Fitness standard deviation:	36.192004726492414	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	928	Best fitness:	141.29931972789115	Average fitness:	342.9181768707485	Fitness standard deviation:	42.1365257655616	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	944	Best fitness:	141.29931972789115	Average fitness:	340.89246258503414	Fitness standard deviation:	40.598713284124315	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	960	Best fitness:	141.29931972789115	Average fitness:	336.93860544217716	Fitness standard deviation:	37.601847049455074	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	976	Best fitness:	141.29931972789115	Average fitness:	334.13003401360555	Fitness standard deviation:	39.08255876333837	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	992	Best fitness:	141.29931972789115	Average fitness:	340.0734625850339	Fitness standard deviation:	41.92643446464732	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1008	Best fitness:	141.29931972789115	Average fitness:	337.9221768707483	Fitness standard deviation:	38.59177939321655	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1024	Best fitness:	141.29931972789115	Average fitness:	339.2863197278912	Fitness standard deviation:	38.70861189815042	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1040	Best fitness:	141.29931972789115	Average fitness:	340.1563197278914	Fitness standard deviation:	39.503611872840175	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1056	Best fitness:	141.29931972789115	Average fitness:	337.8403197278914	Fitness standard deviation:	40.00369259256971	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1072	Best fitness:	141.29931972789115	Average fitness:	339.31331972789144	Fitness standard deviation:	39.18982875019215	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1088	Best fitness:	141.29931972789115	Average fitness:	338.2764625850339	Fitness standard deviation:	38.41661694036653	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1104	Best fitness:	141.29931972789115	Average fitness:	340.42431972789126	Fitness standard deviation:	40.884675582043926	Best genome:	N9	A12	A14	A17	A9	N3	N5	A7	E4	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1120	Best fitness:	136.29931972789115	Average fitness:	342.74974829931966	Fitness standard deviation:	38.495552457394346	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1136	Best fitness:	136.29931972789115	Average fitness:	338.75117687074834	Fitness standard deviation:	39.71415632841205	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1152	Best fitness:	136.29931972789115	Average fitness:	336.4896054421769	Fitness standard deviation:	42.649692435190275	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1168	Best fitness:	136.29931972789115	Average fitness:	348.34517687074845	Fitness standard deviation:	37.49179794900452	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1184	Best fitness:	136.29931972789115	Average fitness:	338.8868911564628	Fitness standard deviation:	40.50698217238956	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1200	Best fitness:	136.29931972789115	Average fitness:	340.5616054421771	Fitness standard deviation:	43.35215210250084	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1216	Best fitness:	136.29931972789115	Average fitness:	337.0484625850341	Fitness standard deviation:	38.51642651532206	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1232	Best fitness:	136.29931972789115	Average fitness:	333.4200340136054	Fitness standard deviation:	38.86682268480722	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1248	Best fitness:	136.29931972789115	Average fitness:	342.71089115646276	Fitness standard deviation:	40.95462617186917	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1264	Best fitness:	136.29931972789115	Average fitness:	336.47103401360545	Fitness standard deviation:	39.36632135545844	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1280	Best fitness:	136.29931972789115	Average fitness:	338.72174829931976	Fitness standard deviation:	37.58057497333603	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1296	Best fitness:	136.29931972789115	Average fitness:	339.911605442177	Fitness standard deviation:	40.75849845124327	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1312	Best fitness:	136.29931972789115	Average fitness:	331.68131972789126	Fitness standard deviation:	40.36103155070167	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1328	Best fitness:	136.29931972789115	Average fitness:	337.9823197278913	Fitness standard deviation:	36.91539954063747	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1344	Best fitness:	136.29931972789115	Average fitness:	336.82474829932	Fitness standard deviation:	38.91730686720137	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1360	Best fitness:	136.29931972789115	Average fitness:	341.5526054421771	Fitness standard deviation:	36.432308007524064	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1376	Best fitness:	136.29931972789115	Average fitness:	335.8333197278912	Fitness standard deviation:	37.42582240613439	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1392	Best fitness:	136.29931972789115	Average fitness:	338.71860544217714	Fitness standard deviation:	38.30778488980099	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1408	Best fitness:	136.29931972789115	Average fitness:	341.205605442177	Fitness standard deviation:	40.927355071429396	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1424	Best fitness:	136.29931972789115	Average fitness:	340.7084625850341	Fitness standard deviation:	42.01475239066607	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1440	Best fitness:	136.29931972789115	Average fitness:	338.229605442177	Fitness standard deviation:	39.543273082040336	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1456	Best fitness:	136.29931972789115	Average fitness:	331.5834625850341	Fitness standard deviation:	38.60803608825287	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1472	Best fitness:	136.29931972789115	Average fitness:	342.0940340136056	Fitness standard deviation:	37.20178809368371	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1488	Best fitness:	136.29931972789115	Average fitness:	338.71774829932	Fitness standard deviation:	38.162764617423846	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1504	Best fitness:	136.29931972789115	Average fitness:	347.3966054421772	Fitness standard deviation:	39.57809001150995	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1520	Best fitness:	136.29931972789115	Average fitness:	341.08331972789136	Fitness standard deviation:	41.429323898585146	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1536	Best fitness:	136.29931972789115	Average fitness:	333.62660544217687	Fitness standard deviation:	39.503425405337985	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1552	Best fitness:	136.29931972789115	Average fitness:	336.4788911564627	Fitness standard deviation:	36.645807998977986	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1568	Best fitness:	136.29931972789115	Average fitness:	338.33360544217715	Fitness standard deviation:	38.4822130128628	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1584	Best fitness:	136.29931972789115	Average fitness:	341.38946258503415	Fitness standard deviation:	39.73587523117812	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1600	Best fitness:	136.29931972789115	Average fitness:	337.70146258503394	Fitness standard deviation:	38.85105182696119	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1616	Best fitness:	136.29931972789115	Average fitness:	334.7238911564626	Fitness standard deviation:	38.996396802677	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1632	Best fitness:	136.29931972789115	Average fitness:	334.24074829931976	Fitness standard deviation:	38.34809339911098	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1648	Best fitness:	136.29931972789115	Average fitness:	339.7643197278914	Fitness standard deviation:	40.75665123508013	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1664	Best fitness:	136.29931972789115	Average fitness:	337.2407482993198	Fitness standard deviation:	40.277769708029545	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1680	Best fitness:	136.29931972789115	Average fitness:	339.64603401360546	Fitness standard deviation:	36.02540347208523	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1696	Best fitness:	136.29931972789115	Average fitness:	338.33446258503415	Fitness standard deviation:	39.143148143860955	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1712	Best fitness:	136.29931972789115	Average fitness:	341.22089115646287	Fitness standard deviation:	38.89985226324183	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1728	Best fitness:	136.29931972789115	Average fitness:	339.99289115646286	Fitness standard deviation:	38.51848365607433	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
Generation:	1744	Best fitness:	136.29931972789115	Average fitness:	337.4771768707483	Fitness standard deviation:	39.59843208991478	Best genome:	N9	A12	A14	A17	A9	N3	E4	N5	A7	A11	N6	E3	A15	N7	A6	A10	N12	E5	A8	A16	A13	
