Generation:	16	Best fitness:	251.4421768707483	Average fitness:	322.5007482993197	Fitness standard deviation:	33.47061394655294	Best genome:	A14	N12	E3	A15	A13	N9	N7	A8	E5	A10	A17	N6	A11	A6	A12	A16	A9	E4	N5	N3	A7	
Generation:	368	Best fitness:	163.8421768707483	Average fitness:	288.5021768707484	Fitness standard deviation:	48.477527636156175	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	384	Best fitness:	163.8421768707483	Average fitness:	280.23503401360546	Fitness standard deviation:	45.440441283966784	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	400	Best fitness:	163.8421768707483	Average fitness:	302.18074829931976	Fitness standard deviation:	64.4497179582499	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	416	Best fitness:	163.8421768707483	Average fitness:	309.0407482993198	Fitness standard deviation:	56.54725058727075	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	432	Best fitness:	163.8421768707483	Average fitness:	288.9721768707483	Fitness standard deviation:	50.11273207805109	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	448	Best fitness:	163.8421768707483	Average fitness:	281.1036054421769	Fitness standard deviation:	58.46667864899543	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E3	A11	E5	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	464	Best fitness:	161.8421768707483	Average fitness:	287.1007482993197	Fitness standard deviation:	49.3086352291692	Best genome:	N7	A10	N6	N5	A7	A12	A14	A6	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	480	Best fitness:	161.8421768707483	Average fitness:	292.763605442177	Fitness standard deviation:	50.51805971276863	Best genome:	N7	A10	N6	N5	A7	A12	A14	A6	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	496	Best fitness:	161.8421768707483	Average fitness:	291.7407482993197	Fitness standard deviation:	51.32226669958833	Best genome:	N7	A10	N6	N5	A7	A12	A14	A6	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	512	Best fitness:	161.8421768707483	Average fitness:	293.9521768707483	Fitness standard deviation:	59.50857682995394	Best genome:	N7	A10	N6	N5	A7	A12	A14	A6	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	528	Best fitness:	161.8421768707483	Average fitness:	295.7207482993198	Fitness standard deviation:	54.1675276436022	Best genome:	N7	A10	N6	N5	A7	A12	A14	A6	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	544	Best fitness:	161.8421768707483	Average fitness:	304.1136054421769	Fitness standard deviation:	51.80746104962261	Best genome:	N7	A10	N6	N5	A7	A12	A14	A6	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	560	Best fitness:	161.8421768707483	Average fitness:	289.3893197278911	Fitness standard deviation:	54.632980451932376	Best genome:	N7	A10	N6	N5	A7	A12	A14	A6	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	576	Best fitness:	161.8421768707483	Average fitness:	295.4307482993198	Fitness standard deviation:	49.0029615098383	Best genome:	N7	A10	N6	N5	A7	A12	A14	A6	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	592	Best fitness:	161.8421768707483	Average fitness:	294.4078911564626	Fitness standard deviation:	54.435010192833424	Best genome:	N7	A10	N6	N5	A7	A12	A14	A6	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	608	Best fitness:	161.8421768707483	Average fitness:	287.49074829931976	Fitness standard deviation:	56.66894344365711	Best genome:	N7	A10	N6	N5	A7	A12	A14	A6	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	624	Best fitness:	146.8421768707483	Average fitness:	309.10931972789126	Fitness standard deviation:	51.238373116169846	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	640	Best fitness:	146.8421768707483	Average fitness:	271.56360544217694	Fitness standard deviation:	54.14877003144548	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	656	Best fitness:	146.8421768707483	Average fitness:	282.7150340136054	Fitness standard deviation:	49.24588326314543	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	672	Best fitness:	146.8421768707483	Average fitness:	282.93789115646257	Fitness standard deviation:	48.88290154302736	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	688	Best fitness:	146.8421768707483	Average fitness:	271.7850340136054	Fitness standard deviation:	53.301865036099166	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	704	Best fitness:	146.8421768707483	Average fitness:	289.5921768707484	Fitness standard deviation:	44.545199127471896	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	720	Best fitness:	146.8421768707483	Average fitness:	278.4821768707483	Fitness standard deviation:	52.542881534990066	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	736	Best fitness:	146.8421768707483	Average fitness:	276.4493197278911	Fitness standard deviation:	58.56424128376341	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	752	Best fitness:	146.8421768707483	Average fitness:	280.4736054421769	Fitness standard deviation:	51.16309966515848	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	768	Best fitness:	146.8421768707483	Average fitness:	285.96503401360553	Fitness standard deviation:	67.6875758653729	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	784	Best fitness:	146.8421768707483	Average fitness:	287.4707482993198	Fitness standard deviation:	65.64873873852554	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	800	Best fitness:	146.8421768707483	Average fitness:	285.68789115646257	Fitness standard deviation:	53.07416866604542	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	816	Best fitness:	146.8421768707483	Average fitness:	281.7378911564626	Fitness standard deviation:	49.81466325802278	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	832	Best fitness:	146.8421768707483	Average fitness:	281.87646258503406	Fitness standard deviation:	42.84557996397037	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	848	Best fitness:	146.8421768707483	Average fitness:	300.7107482993198	Fitness standard deviation:	51.703440378168025	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	864	Best fitness:	146.8421768707483	Average fitness:	298.4550340136054	Fitness standard deviation:	61.3569645598607	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	880	Best fitness:	146.8421768707483	Average fitness:	287.8778911564626	Fitness standard deviation:	45.251309035073845	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	896	Best fitness:	146.8421768707483	Average fitness:	272.8507482993198	Fitness standard deviation:	53.75529065561257	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	912	Best fitness:	146.8421768707483	Average fitness:	283.11789115646263	Fitness standard deviation:	63.71654209649716	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	928	Best fitness:	146.8421768707483	Average fitness:	289.7521768707484	Fitness standard deviation:	60.4953924877333	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	944	Best fitness:	146.8421768707483	Average fitness:	298.31360544217694	Fitness standard deviation:	59.433129289503654	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	960	Best fitness:	146.8421768707483	Average fitness:	281.646462585034	Fitness standard deviation:	51.93154856861765	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	976	Best fitness:	146.8421768707483	Average fitness:	290.0950340136054	Fitness standard deviation:	64.58435539064	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	992	Best fitness:	146.8421768707483	Average fitness:	286.21931972789116	Fitness standard deviation:	44.75110177642649	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1008	Best fitness:	146.8421768707483	Average fitness:	270.0936054421769	Fitness standard deviation:	53.737313149149884	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1024	Best fitness:	146.8421768707483	Average fitness:	285.35217687074834	Fitness standard deviation:	56.69077762164618	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1040	Best fitness:	146.8421768707483	Average fitness:	285.3964625850341	Fitness standard deviation:	49.918277213862254	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1056	Best fitness:	146.8421768707483	Average fitness:	280.73074829931977	Fitness standard deviation:	55.891848845309624	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1072	Best fitness:	146.8421768707483	Average fitness:	288.9193197278912	Fitness standard deviation:	48.97425904472259	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1088	Best fitness:	146.8421768707483	Average fitness:	283.74503401360545	Fitness standard deviation:	49.0182260147453	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1104	Best fitness:	146.8421768707483	Average fitness:	292.356462585034	Fitness standard deviation:	57.925281921750596	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1120	Best fitness:	146.8421768707483	Average fitness:	293.7493197278912	Fitness standard deviation:	58.78361903920972	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1136	Best fitness:	146.8421768707483	Average fitness:	277.7150340136055	Fitness standard deviation:	54.38306194515542	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1152	Best fitness:	146.8421768707483	Average fitness:	297.41217687074834	Fitness standard deviation:	51.630901579956785	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1168	Best fitness:	146.8421768707483	Average fitness:	275.73074829931977	Fitness standard deviation:	61.39295904587238	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1184	Best fitness:	146.8421768707483	Average fitness:	263.2178911564626	Fitness standard deviation:	45.74376484777985	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1200	Best fitness:	146.8421768707483	Average fitness:	271.39931972789117	Fitness standard deviation:	49.78935096371267	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1216	Best fitness:	146.8421768707483	Average fitness:	276.0236054421769	Fitness standard deviation:	54.637016886774795	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1232	Best fitness:	146.8421768707483	Average fitness:	273.6921768707483	Fitness standard deviation:	53.24033983469947	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1248	Best fitness:	146.8421768707483	Average fitness:	293.1750340136055	Fitness standard deviation:	50.02694724866198	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1264	Best fitness:	146.8421768707483	Average fitness:	279.05503401360545	Fitness standard deviation:	43.79478999392788	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1280	Best fitness:	146.8421768707483	Average fitness:	287.18074829931976	Fitness standard deviation:	53.0340639666274	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1296	Best fitness:	146.8421768707483	Average fitness:	287.3821768707483	Fitness standard deviation:	56.14860377714169	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1312	Best fitness:	146.8421768707483	Average fitness:	290.7907482993197	Fitness standard deviation:	54.83584378183039	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1328	Best fitness:	146.8421768707483	Average fitness:	311.82646258503394	Fitness standard deviation:	55.38269638780396	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1344	Best fitness:	146.8421768707483	Average fitness:	281.7450340136055	Fitness standard deviation:	50.385760379095125	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1360	Best fitness:	146.8421768707483	Average fitness:	287.58074829931974	Fitness standard deviation:	57.63644416442055	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1376	Best fitness:	146.8421768707483	Average fitness:	281.3350340136054	Fitness standard deviation:	44.86994983236758	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1392	Best fitness:	146.8421768707483	Average fitness:	277.0721768707483	Fitness standard deviation:	47.5360782212107	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1408	Best fitness:	146.8421768707483	Average fitness:	282.286462585034	Fitness standard deviation:	60.26359545143897	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1424	Best fitness:	146.8421768707483	Average fitness:	288.81074829931976	Fitness standard deviation:	46.356037318976774	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1440	Best fitness:	146.8421768707483	Average fitness:	286.33074829931974	Fitness standard deviation:	43.038559739956405	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1456	Best fitness:	146.8421768707483	Average fitness:	277.816462585034	Fitness standard deviation:	54.132102889739166	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1472	Best fitness:	146.8421768707483	Average fitness:	281.35503401360546	Fitness standard deviation:	59.07714394530844	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1488	Best fitness:	146.8421768707483	Average fitness:	274.37074829931976	Fitness standard deviation:	46.91576863847353	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1504	Best fitness:	146.8421768707483	Average fitness:	283.71360544217686	Fitness standard deviation:	62.418604957960724	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1520	Best fitness:	146.8421768707483	Average fitness:	279.0407482993198	Fitness standard deviation:	54.37631798074283	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1536	Best fitness:	146.8421768707483	Average fitness:	299.8178911564626	Fitness standard deviation:	50.60034949867199	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1552	Best fitness:	146.8421768707483	Average fitness:	262.91217687074834	Fitness standard deviation:	49.47942674919114	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	E3	A11	A8	A9	N3	E4	N12	A15	A17	N9	A13	
Generation:	1568	Best fitness:	121.8421768707483	Average fitness:	276.1236054421768	Fitness standard deviation:	50.28870305647226	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	A8	A9	N3	E4	A11	E3	N12	A15	A17	N9	A13	
Generation:	1584	Best fitness:	121.8421768707483	Average fitness:	272.77217687074835	Fitness standard deviation:	65.3235092068854	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	A8	A9	N3	E4	A11	E3	N12	A15	A17	N9	A13	
Generation:	1600	Best fitness:	121.8421768707483	Average fitness:	276.36360544217683	Fitness standard deviation:	56.276762794356294	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	A8	A9	N3	E4	A11	E3	N12	A15	A17	N9	A13	
Generation:	1616	Best fitness:	121.8421768707483	Average fitness:	266.2150340136054	Fitness standard deviation:	66.92288859850079	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	A8	A9	N3	E4	A11	E3	N12	A15	A17	N9	A13	
Generation:	1632	Best fitness:	121.8421768707483	Average fitness:	270.10931972789115	Fitness standard deviation:	49.57205703595031	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	A8	A9	N3	E4	A11	E3	N12	A15	A17	N9	A13	
Generation:	1648	Best fitness:	121.8421768707483	Average fitness:	265.9107482993198	Fitness standard deviation:	54.905657416395	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	A8	A9	N3	E4	A11	E3	N12	A15	A17	N9	A13	
Generation:	1664	Best fitness:	121.8421768707483	Average fitness:	250.23074829931974	Fitness standard deviation:	59.58837607508118	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	A8	A9	N3	E4	A11	E3	N12	A15	A17	N9	A13	
Generation:	1680	Best fitness:	121.8421768707483	Average fitness:	276.7536054421769	Fitness standard deviation:	46.12755597696634	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	A8	A9	N3	E4	A11	E3	N12	A15	A17	N9	A13	
Generation:	1696	Best fitness:	121.8421768707483	Average fitness:	260.1478911564626	Fitness standard deviation:	48.58450588659824	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	A8	A9	N3	E4	A11	E3	N12	A15	A17	N9	A13	
Generation:	1712	Best fitness:	121.8421768707483	Average fitness:	274.83646258503416	Fitness standard deviation:	71.0638997304395	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	A8	A9	N3	E4	A11	E3	N12	A15	A17	N9	A13	
Generation:	1728	Best fitness:	121.8421768707483	Average fitness:	270.4493197278912	Fitness standard deviation:	65.37539565572706	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	A8	A9	N3	E4	A11	E3	N12	A15	A17	N9	A13	
Generation:	1744	Best fitness:	121.8421768707483	Average fitness:	275.17931972789114	Fitness standard deviation:	72.6731703012374	Best genome:	N7	A10	N6	N5	A7	A14	A6	A12	A16	E5	A8	A9	N3	E4	A11	E3	N12	A15	A17	N9	A13	
