Generation:	16	Best fitness:	236.69931972789115	Average fitness:	274.65360544217685	Fitness standard deviation:	25.026288871781965	Best genome:	A10	N6	E3	A12	E5	A9	A6	N7	E4	N5	A7	A11	N12	A8	N9	A15	A14	A17	A13	A16	N3	
Generation:	192	Best fitness:	154.7278911564626	Average fitness:	220.2078911564626	Fitness standard deviation:	40.130425731454125	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	N3	N5	A8	N9	A13	A16	E4	A7	A12	
Generation:	208	Best fitness:	150.756462585034	Average fitness:	208.6107482993197	Fitness standard deviation:	31.201607624725803	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	N3	N5	A8	A13	N9	A16	E4	A7	A12	
Generation:	224	Best fitness:	150.756462585034	Average fitness:	215.2278911564626	Fitness standard deviation:	34.76854137561361	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	N3	N5	A8	A13	N9	A16	E4	A7	A12	
Generation:	240	Best fitness:	150.756462585034	Average fitness:	222.67074829931977	Fitness standard deviation:	42.45380682913741	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	N3	N5	A8	A13	N9	A16	E4	A7	A12	
Generation:	256	Best fitness:	150.756462585034	Average fitness:	213.80217687074833	Fitness standard deviation:	42.577160112733054	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	N3	N5	A8	A13	N9	A16	E4	A7	A12	
Generation:	272	Best fitness:	150.756462585034	Average fitness:	209.75646258503397	Fitness standard deviation:	39.46598432026429	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	N3	N5	A8	A13	N9	A16	E4	A7	A12	
Generation:	288	Best fitness:	140.69931972789115	Average fitness:	207.19931972789112	Fitness standard deviation:	39.771180725828735	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	A8	A13	N9	A16	N3	N5	E4	A7	A12	
Generation:	304	Best fitness:	140.69931972789115	Average fitness:	208.62503401360544	Fitness standard deviation:	42.611348876340735	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	A8	A13	N9	A16	N3	N5	E4	A7	A12	
Generation:	320	Best fitness:	140.69931972789115	Average fitness:	224.59931972789113	Fitness standard deviation:	52.011360219059206	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	A8	A13	N9	A16	N3	N5	E4	A7	A12	
Generation:	336	Best fitness:	140.69931972789115	Average fitness:	234.2193197278911	Fitness standard deviation:	48.86317055548784	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	A8	A13	N9	A16	N3	N5	E4	A7	A12	
Generation:	352	Best fitness:	140.67074829931974	Average fitness:	219.3307482993197	Fitness standard deviation:	35.88931158038958	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	A13	N9	A16	N3	N5	E4	A7	A12	A8	
Generation:	368	Best fitness:	140.67074829931974	Average fitness:	214.99646258503404	Fitness standard deviation:	41.793227065775	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	A13	N9	A16	N3	N5	E4	A7	A12	A8	
Generation:	384	Best fitness:	140.67074829931974	Average fitness:	223.60503401360543	Fitness standard deviation:	34.50264006461782	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	A13	N9	A16	N3	N5	E4	A7	A12	A8	
Generation:	400	Best fitness:	140.67074829931974	Average fitness:	223.08503401360545	Fitness standard deviation:	43.521575695514606	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	A13	N9	A16	N3	N5	E4	A7	A12	A8	
Generation:	416	Best fitness:	140.67074829931974	Average fitness:	225.89646258503404	Fitness standard deviation:	38.070204643955535	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	A13	N9	A16	N3	N5	E4	A7	A12	A8	
Generation:	432	Best fitness:	140.67074829931974	Average fitness:	231.40503401360542	Fitness standard deviation:	61.359714298353026	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	A13	N9	A16	N3	N5	E4	A7	A12	A8	
Generation:	448	Best fitness:	135.67074829931974	Average fitness:	202.97074829931972	Fitness standard deviation:	46.2080198887684	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A8	
Generation:	464	Best fitness:	135.67074829931974	Average fitness:	174.72503401360547	Fitness standard deviation:	36.86493926400497	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A8	
Generation:	480	Best fitness:	135.67074829931974	Average fitness:	218.90503401360542	Fitness standard deviation:	45.090846711310014	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A8	
Generation:	496	Best fitness:	135.67074829931974	Average fitness:	223.33074829931974	Fitness standard deviation:	51.048170048554354	Best genome:	A9	A11	E5	A15	A14	A10	N12	E3	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A8	
Generation:	512	Best fitness:	135.6421768707483	Average fitness:	202.97360544217688	Fitness standard deviation:	55.82644417646314	Best genome:	A9	A11	E5	A15	A14	E3	N12	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	528	Best fitness:	135.6421768707483	Average fitness:	215.72217687074826	Fitness standard deviation:	35.92208075424204	Best genome:	A9	A11	E5	A15	A14	E3	N12	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	544	Best fitness:	135.6421768707483	Average fitness:	220.06789115646257	Fitness standard deviation:	46.239535076400074	Best genome:	A9	A11	E5	A15	A14	E3	N12	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	560	Best fitness:	135.6421768707483	Average fitness:	198.66789115646256	Fitness standard deviation:	43.72079400664435	Best genome:	A9	A11	E5	A15	A14	E3	N12	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	576	Best fitness:	135.6421768707483	Average fitness:	206.06503401360547	Fitness standard deviation:	39.36415192967908	Best genome:	A9	A11	E5	A15	A14	E3	N12	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	592	Best fitness:	135.6421768707483	Average fitness:	232.1307482993197	Fitness standard deviation:	42.764538904974785	Best genome:	A9	A11	E5	A15	A14	E3	N12	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	608	Best fitness:	135.6421768707483	Average fitness:	212.0536054421769	Fitness standard deviation:	37.82594768630849	Best genome:	A9	A11	E5	A15	A14	E3	N12	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	624	Best fitness:	135.6421768707483	Average fitness:	223.88503401360543	Fitness standard deviation:	42.99724006330202	Best genome:	A9	A11	E5	A15	A14	E3	N12	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	640	Best fitness:	135.6421768707483	Average fitness:	219.6821768707483	Fitness standard deviation:	46.09557984918568	Best genome:	A9	A11	E5	A15	A14	E3	N12	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	656	Best fitness:	135.6421768707483	Average fitness:	209.936462585034	Fitness standard deviation:	54.13436352526659	Best genome:	A9	A11	E5	A15	A14	E3	N12	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	672	Best fitness:	135.6421768707483	Average fitness:	206.35074829931972	Fitness standard deviation:	33.64816227507523	Best genome:	A9	A11	E5	A15	A14	E3	N12	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	688	Best fitness:	135.6421768707483	Average fitness:	216.65931972789116	Fitness standard deviation:	38.494669018672475	Best genome:	A9	A11	E5	A15	A14	E3	N12	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	704	Best fitness:	135.6421768707483	Average fitness:	198.94789115646256	Fitness standard deviation:	47.48587768581135	Best genome:	A9	A11	E5	A15	A14	E3	N12	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	720	Best fitness:	132.6421768707483	Average fitness:	191.88503401360543	Fitness standard deviation:	60.708006734142174	Best genome:	A9	A11	N12	E5	A15	A14	E3	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	736	Best fitness:	132.6421768707483	Average fitness:	169.62789115646257	Fitness standard deviation:	31.175003723221227	Best genome:	A9	A11	N12	E5	A15	A14	E3	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	752	Best fitness:	132.6421768707483	Average fitness:	204.5621768707483	Fitness standard deviation:	44.647136800581016	Best genome:	A9	A11	N12	E5	A15	A14	E3	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	768	Best fitness:	132.6421768707483	Average fitness:	203.2278911564626	Fitness standard deviation:	33.85936882375183	Best genome:	A9	A11	N12	E5	A15	A14	E3	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	784	Best fitness:	132.6421768707483	Average fitness:	206.6707482993197	Fitness standard deviation:	38.84602782204405	Best genome:	A9	A11	N12	E5	A15	A14	E3	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	800	Best fitness:	132.6421768707483	Average fitness:	216.22503401360547	Fitness standard deviation:	57.5400839167172	Best genome:	A9	A11	N12	E5	A15	A14	E3	N6	N7	A6	A17	A13	N9	A16	N3	E4	N5	A7	A12	A10	A8	
Generation:	816	Best fitness:	132.61360544217686	Average fitness:	235.00503401360544	Fitness standard deviation:	60.5695418169757	Best genome:	A9	A11	N12	E5	A15	A14	N6	E3	N7	A6	A17	N9	A16	N3	E4	N5	A7	A12	A10	A8	A13	
Generation:	832	Best fitness:	132.61360544217686	Average fitness:	207.00789115646262	Fitness standard deviation:	35.7421578097624	Best genome:	A9	A11	N12	E5	A15	A14	N6	E3	N7	A6	A17	N9	A16	N3	E4	N5	A7	A12	A10	A8	A13	
Generation:	848	Best fitness:	132.61360544217686	Average fitness:	221.7707482993197	Fitness standard deviation:	60.93109691634126	Best genome:	A9	A11	N12	E5	A15	A14	N6	E3	N7	A6	A17	N9	A16	N3	E4	N5	A7	A12	A10	A8	A13	
Generation:	864	Best fitness:	132.61360544217686	Average fitness:	185.0393197278911	Fitness standard deviation:	45.319458270804425	Best genome:	A9	A11	N12	E5	A15	A14	N6	E3	N7	A6	A17	N9	A16	N3	E4	N5	A7	A12	A10	A8	A13	
Generation:	880	Best fitness:	132.61360544217686	Average fitness:	203.32217687074828	Fitness standard deviation:	34.318990518429906	Best genome:	A9	A11	N12	E5	A15	A14	N6	E3	N7	A6	A17	N9	A16	N3	E4	N5	A7	A12	A10	A8	A13	
Generation:	896	Best fitness:	132.61360544217686	Average fitness:	249.396462585034	Fitness standard deviation:	52.064895455340256	Best genome:	A9	A11	N12	E5	A15	A14	N6	E3	N7	A6	A17	N9	A16	N3	E4	N5	A7	A12	A10	A8	A13	
Generation:	912	Best fitness:	132.61360544217686	Average fitness:	195.69931972789112	Fitness standard deviation:	34.337185174592946	Best genome:	A9	A11	N12	E5	A15	A14	N6	E3	N7	A6	A17	N9	A16	N3	E4	N5	A7	A12	A10	A8	A13	
Generation:	928	Best fitness:	132.61360544217686	Average fitness:	201.16789115646253	Fitness standard deviation:	42.18341331831356	Best genome:	A9	A11	N12	E5	A15	A14	N6	E3	N7	A6	A17	N9	A16	N3	E4	N5	A7	A12	A10	A8	A13	
Generation:	944	Best fitness:	132.61360544217686	Average fitness:	218.04789115646258	Fitness standard deviation:	46.90009146677474	Best genome:	A9	A11	N12	E5	A15	A14	N6	E3	N7	A6	A17	N9	A16	N3	E4	N5	A7	A12	A10	A8	A13	
Generation:	960	Best fitness:	132.61360544217686	Average fitness:	237.89074829931968	Fitness standard deviation:	54.27622781773295	Best genome:	A9	A11	N12	E5	A15	A14	N6	E3	N7	A6	A17	N9	A16	N3	E4	N5	A7	A12	A10	A8	A13	
Generation:	976	Best fitness:	132.61360544217686	Average fitness:	247.8878911564626	Fitness standard deviation:	63.63377385877884	Best genome:	A9	A11	N12	E5	A15	A14	N6	E3	N7	A6	A17	N9	A16	N3	E4	N5	A7	A12	A10	A8	A13	
Generation:	992	Best fitness:	132.61360544217686	Average fitness:	210.056462585034	Fitness standard deviation:	38.60256150959468	Best genome:	A9	A11	N12	E5	A15	A14	N6	E3	N7	A6	A17	N9	A16	N3	E4	N5	A7	A12	A10	A8	A13	
Generation:	1008	Best fitness:	132.556462585034	Average fitness:	207.0878911564626	Fitness standard deviation:	55.046709961186785	Best genome:	A9	A11	A15	A14	N6	E3	N7	A6	A17	N9	A16	N3	E4	N5	A7	A12	A10	N12	E5	A8	A13	
Generation:	1024	Best fitness:	132.556462585034	Average fitness:	192.41931972789115	Fitness standard deviation:	28.35997697244395	Best genome:	A9	A11	A15	A14	N6	E3	N7	A6	A17	N9	A16	N3	E4	N5	A7	A12	A10	N12	E5	A8	A13	
Generation:	1040	Best fitness:	132.556462585034	Average fitness:	218.48789115646258	Fitness standard deviation:	57.98629141302913	Best genome:	A9	A11	A15	A14	N6	E3	N7	A6	A17	N9	A16	N3	E4	N5	A7	A12	A10	N12	E5	A8	A13	
Generation:	1056	Best fitness:	132.556462585034	Average fitness:	195.41360544217687	Fitness standard deviation:	32.09430237437728	Best genome:	A9	A11	A15	A14	N6	E3	N7	A6	A17	N9	A16	N3	E4	N5	A7	A12	A10	N12	E5	A8	A13	
Generation:	1072	Best fitness:	132.52789115646257	Average fitness:	191.93360544217688	Fitness standard deviation:	38.14214402757675	Best genome:	A9	A11	A15	A14	N6	E3	A6	A17	N9	A16	N3	E4	N5	A7	A12	N7	A10	N12	E5	A8	A13	
Generation:	1088	Best fitness:	132.52789115646257	Average fitness:	211.29931972789115	Fitness standard deviation:	42.71811162989874	Best genome:	A9	A11	A15	A14	N6	E3	A6	A17	N9	A16	N3	E4	N5	A7	A12	N7	A10	N12	E5	A8	A13	
Generation:	1104	Best fitness:	132.52789115646257	Average fitness:	219.13646258503394	Fitness standard deviation:	47.43391716861664	Best genome:	A9	A11	A15	A14	N6	E3	A6	A17	N9	A16	N3	E4	N5	A7	A12	N7	A10	N12	E5	A8	A13	
Generation:	1120	Best fitness:	132.52789115646257	Average fitness:	221.59931972789119	Fitness standard deviation:	41.70646355231785	Best genome:	A9	A11	A15	A14	N6	E3	A6	A17	N9	A16	N3	E4	N5	A7	A12	N7	A10	N12	E5	A8	A13	
Generation:	1136	Best fitness:	132.52789115646257	Average fitness:	210.29931972789115	Fitness standard deviation:	48.45497805137449	Best genome:	A9	A11	A15	A14	N6	E3	A6	A17	N9	A16	N3	E4	N5	A7	A12	N7	A10	N12	E5	A8	A13	
Generation:	1152	Best fitness:	132.52789115646257	Average fitness:	218.54217687074825	Fitness standard deviation:	38.50424890415952	Best genome:	A9	A11	A15	A14	N6	E3	A6	A17	N9	A16	N3	E4	N5	A7	A12	N7	A10	N12	E5	A8	A13	
Generation:	1168	Best fitness:	131.556462585034	Average fitness:	197.21931972789113	Fitness standard deviation:	39.46268875889772	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1184	Best fitness:	131.556462585034	Average fitness:	194.85646258503405	Fitness standard deviation:	39.33985931103777	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1200	Best fitness:	131.556462585034	Average fitness:	212.17646258503405	Fitness standard deviation:	49.405735517658435	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1216	Best fitness:	131.556462585034	Average fitness:	200.98503401360546	Fitness standard deviation:	41.24602343232123	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1232	Best fitness:	131.556462585034	Average fitness:	206.25931972789112	Fitness standard deviation:	57.48373214418571	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1248	Best fitness:	131.556462585034	Average fitness:	213.19360544217687	Fitness standard deviation:	47.62602624101873	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1264	Best fitness:	131.556462585034	Average fitness:	215.5278911564626	Fitness standard deviation:	51.34891132124956	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1280	Best fitness:	131.556462585034	Average fitness:	229.2678911564626	Fitness standard deviation:	40.7639605734361	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1296	Best fitness:	131.556462585034	Average fitness:	214.2878911564626	Fitness standard deviation:	39.24362462196105	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1312	Best fitness:	131.556462585034	Average fitness:	218.82789115646256	Fitness standard deviation:	61.58068110791148	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1328	Best fitness:	131.556462585034	Average fitness:	156.43360544217688	Fitness standard deviation:	26.342392465687823	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1344	Best fitness:	131.556462585034	Average fitness:	184.3478911564626	Fitness standard deviation:	39.649950047579004	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1360	Best fitness:	131.556462585034	Average fitness:	227.10789115646259	Fitness standard deviation:	38.06703657325308	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1376	Best fitness:	131.556462585034	Average fitness:	214.5536054421769	Fitness standard deviation:	30.972734421600883	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1392	Best fitness:	131.556462585034	Average fitness:	206.69931972789118	Fitness standard deviation:	36.00854773805911	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1408	Best fitness:	131.556462585034	Average fitness:	222.14503401360543	Fitness standard deviation:	39.62650772255505	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1424	Best fitness:	131.556462585034	Average fitness:	209.276462585034	Fitness standard deviation:	48.552367352274445	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1440	Best fitness:	131.556462585034	Average fitness:	175.52503401360548	Fitness standard deviation:	33.31774412335546	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1456	Best fitness:	131.556462585034	Average fitness:	212.736462585034	Fitness standard deviation:	39.10048603487258	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1472	Best fitness:	131.556462585034	Average fitness:	203.78217687074834	Fitness standard deviation:	38.21936991545902	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1488	Best fitness:	131.556462585034	Average fitness:	188.13646258503405	Fitness standard deviation:	40.27534831174838	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N9	A16	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	
Generation:	1504	Best fitness:	129.8421768707483	Average fitness:	197.74503401360545	Fitness standard deviation:	34.516350931589706	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	N9	A16	
Generation:	1520	Best fitness:	129.8421768707483	Average fitness:	210.62503401360544	Fitness standard deviation:	48.08517476991283	Best genome:	A9	A11	A15	A14	N6	E3	A6	A12	A17	N3	E4	N5	A7	N7	A10	N12	E5	A8	A13	N9	A16	
Generation:	1536	Best fitness:	124.8421768707483	Average fitness:	199.49646258503398	Fitness standard deviation:	43.709120983415545	Best genome:	A9	A11	A15	A14	A6	A12	A17	E4	N3	N5	A7	N7	A10	N6	E3	N12	E5	A8	A13	N9	A16	
Generation:	1552	Best fitness:	124.8421768707483	Average fitness:	178.296462585034	Fitness standard deviation:	43.06912043092913	Best genome:	A9	A11	A15	A14	A6	A12	A17	E4	N3	N5	A7	N7	A10	N6	E3	N12	E5	A8	A13	N9	A16	
Generation:	1568	Best fitness:	119.8421768707483	Average fitness:	190.09074829931973	Fitness standard deviation:	51.85267521093403	Best genome:	A9	E4	N3	N5	A11	A15	A14	A6	A12	A17	A7	N7	A10	N6	E3	N12	E5	A8	A13	N9	A16	
Generation:	1584	Best fitness:	114.8421768707483	Average fitness:	200.35360544217687	Fitness standard deviation:	37.62725987517939	Best genome:	A9	E4	N3	N5	A11	A15	A17	A6	A14	A12	A7	N7	A10	N6	E3	N12	E5	A8	A13	N9	A16	
Generation:	1600	Best fitness:	114.8421768707483	Average fitness:	184.15074829931973	Fitness standard deviation:	33.30189625047725	Best genome:	A9	E4	N3	N5	A11	A15	A17	A6	A14	A12	A7	N7	A10	N6	E3	N12	E5	A8	A13	N9	A16	
Generation:	1616	Best fitness:	114.8421768707483	Average fitness:	195.9021768707483	Fitness standard deviation:	52.70983713323581	Best genome:	A9	E4	N3	N5	A11	A15	A17	A6	A14	A12	A7	N7	A10	N6	E3	N12	E5	A8	A13	N9	A16	
Generation:	1632	Best fitness:	114.8421768707483	Average fitness:	186.19074829931972	Fitness standard deviation:	27.755806305590717	Best genome:	A9	E4	N3	N5	A11	A15	A17	A6	A14	A12	A7	N7	A10	N6	E3	N12	E5	A8	A13	N9	A16	
Generation:	1648	Best fitness:	114.8421768707483	Average fitness:	191.36217687074827	Fitness standard deviation:	38.17710351314072	Best genome:	A9	E4	N3	N5	A11	A15	A17	A6	A14	A12	A7	N7	A10	N6	E3	N12	E5	A8	A13	N9	A16	
Generation:	1664	Best fitness:	114.8421768707483	Average fitness:	185.14789115646255	Fitness standard deviation:	47.17867565685469	Best genome:	A9	E4	N3	N5	A11	A15	A17	A6	A14	A12	A7	N7	A10	N6	E3	N12	E5	A8	A13	N9	A16	
Generation:	1680	Best fitness:	114.8421768707483	Average fitness:	168.09360544217688	Fitness standard deviation:	31.915303219487615	Best genome:	A9	E4	N3	N5	A11	A15	A17	A6	A14	A12	A7	N7	A10	N6	E3	N12	E5	A8	A13	N9	A16	
Generation:	1696	Best fitness:	114.8421768707483	Average fitness:	189.19074829931972	Fitness standard deviation:	50.36702322523566	Best genome:	A9	E4	N3	N5	A11	A15	A17	A6	A14	A12	A7	N7	A10	N6	E3	N12	E5	A8	A13	N9	A16	
Generation:	1712	Best fitness:	114.8421768707483	Average fitness:	189.67074829931974	Fitness standard deviation:	50.99343054927442	Best genome:	A9	E4	N3	N5	A11	A15	A17	A6	A14	A12	A7	N7	A10	N6	E3	N12	E5	A8	A13	N9	A16	
Generation:	1728	Best fitness:	114.8421768707483	Average fitness:	171.63931972789115	Fitness standard deviation:	36.408961556636754	Best genome:	A9	E4	N3	N5	A11	A15	A17	A6	A14	A12	A7	N7	A10	N6	E3	N12	E5	A8	A13	N9	A16	
Generation:	1744	Best fitness:	114.8421768707483	Average fitness:	166.3421768707483	Fitness standard deviation:	39.423780764862194	Best genome:	A9	E4	N3	N5	A11	A15	A17	A6	A14	A12	A7	N7	A10	N6	E3	N12	E5	A8	A13	N9	A16	
Generation:	1760	Best fitness:	114.8421768707483	Average fitness:	191.4678911564626	Fitness standard deviation:	38.97522698288423	Best genome:	A9	E4	N3	N5	A11	A15	A17	A6	A14	A12	A7	N7	A10	N6	E3	N12	E5	A8	A13	N9	A16	
