Name:		2015-06-03_rute_310174_KV_B_Midtbyen
Optimal value:	-1
#Vehicles:	-1
Capacity:	16000
Depot Node:	3820
#Nodes:		514
#Edges:		446
#Arcs:		209
#Required N:	0
#Required E:	97
#Required A:	16

ReN.	DEMAND	S. COST

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
NrE146133837	8210	369	16674
NrE146136056	10250	9584	3678
NrE146136058	6894	11671	8787
NrE146183947	3834	11014	11140
NrE146135171	6411	5986	2589
NrE146135199	12050	22276	7746
NrE200425250	6901	8522	8264
NrE146151082	1052	20682	1889
NrE146133812	10027	1531	2281
NrE146190746	270	7030	2204
NrE146149228	8524	2294	2731
NrE146133943	6877	2785	5327
NrE146136132	7524	12277	8276
NrE200425246	1333	20206	377
NrE146135323	6869	2211	1060
NrE245609092	4684	9658	4395
NrE146193966	11171	1054	877
NrE146135181	10970	11258	7029
NrE245609107	6896	21992	5261
NrE245609106	7791	7539	882
NrE146135180	8944	10970	3175
NrE146151084	426	384	1119
NrE146181217	113	154	8080
NrE146135172	5986	11211	6616
NrE486443017	10430	12792	488
NrE200425243	2827	20059	223
NrE146138524	8519	6293	2850
NrE200425242	1531	20059	3097
NrE200425245	3101	3245	7417
NrE146149144	8524	9750	7614
NrE146139245	10300	3839	803
NrE146134508	11775	827	1225
NrE202478940	8140	21575	1177
NrE146150650	8266	8524	3991
NrE146133839	368	3808	3408
NrE200425257	292	20056	5891
NrE255034993	153	20035	1323
NrE146149124	3832	11020	4208
NrE146132707	299	289	7572
NrE146133566	10250	11004	5729
NrE146138525	6293	21185	2929
NrE587955088	11426	9657	1401
NrE146150209	10113	23164	5041
NrE146136070	11009	20416	1994
NrE146194453	10163	21847	609
NrE146136057	9584	6894	2832
NrE255034990	152	20030	5693
NrE146139247	11022	525	704
NrE146147559	2294	11739	6107
NrE146190751	8128	7118	2150
NrE146181235	8432	5725	706
NrE146181214	164	163	4842
NrE146133561	6884	6907	5601
NrE146133808	174	9739	8463
NrE146133814	2827	22152	3538
NrE146133818	9451	9449	7893
NrE146133819	9449	20057	3737
NrE146137956	6888	6902	8026
NrE146133494	3352	22192	720
NrE481694094	2134	21845	489
NrE146190757	8140	3356	12857
NrE146190768	297	6910	3240
NrE146139204	6293	9457	1694
NrE146181202	12418	20037	483
NrE587955085	8230	21575	4648
NrE146181210	430	5641	852
NrE146133118	8515	2823	5711
NrE146135197	6886	6885	12776
NrE481687767	2808	22109	506
NrE202478941	3112	6911	1453
NrE323109624	10115	20461	223
NrE146149136	11959	23102	25497
NrE146181241	162	20035	127
NrE146132898	1053	9651	1624
NrE245609103	2817	6892	2823
NrE146147313	319	20031	7847
NrE146181216	142	113	11851
NrE587955089	9657	3845	880
NrE146135170	6871	6411	9865
NrE146138807	11549	9460	445
NrE146135325	4653	1762	4027
NrE146134512	11157	750	9263
NrE245609104	6892	10313	3906
NrE146133568	9660	8140	6830
NrE146135328	2808	9657	6736
NrE146137254	3829	20681	3485
NrE146139205	9457	8528	9206
NrE146138523	11739	8519	9158
NrE146181189	5405	11259	2503
NrE146133569	8140	9727	6209
NrE146133559	6874	2779	7733
NrE146136318	295	3245	3477
NrE245435316	8434	8432	938
NrE146151150	8102	21568	9858
NrE146135188	6411	7196	893
NrE146183945	10116	10115	10712
NrE146181220	173	11152	6804
NrE146135185	2119	6890	686
NrE146135195	6889	6880	4079
NrE276818325	186	9456	1694
NrE146190758	3356	9472	5663
NrE146190759	9472	3459	4426
NrE146138526	8432	21185	898
NrE212379612	6893	10311	1498
NrE146136315	6901	9347	8009
NrE146136059	3459	291	2930
NrE523405428	3457	6685	718
NrE146133723	7271	10300	5151
NrE146133811	9422	10027	4479
NrE245778209	7149	9576	1001
NrE146183950	5710	8199	8224
NrE480919587	389	10445	572
NrE146183954	3356	12816	953
NrE146133548	8519	8266	8158
NrE202478943	9585	6903	7201
NrE146181197	11711	11258	7934
NrE146133560	2779	6884	641
NrE146195471	140	11677	12588
NrE146195464	1053	20158	15133
NrE587955083	10687	7980	612
NrE146133809	9739	8517	5792
NrE146133835	365	8211	5049
NrE146133836	8211	8210	7925
NrE480919589	8275	21610	410
NrE146137958	6907	6897	9586
NrE146190772	11246	6989	1270
NrE245435315	5725	21610	1007
NrE146181196	6360	11711	706
NrE245778141	11673	2211	698
NrE146195472	11677	146	5789
NrE245435345	242	270	16173
NrE146151151	426	3806	15275
NrE146136133	12277	20206	11370
NrE200425249	5994	8569	3456
NrE146151205	427	384	787
NrE146183949	8199	1074	3716
NrE202478935	3838	9655	11057
NrE146150528	8219	21591	5532
NrE146135179	10528	8944	1900
NrE146148822	145	146	230
NrE146136131	7539	7524	17677
NrE146133572	12809	9650	3763
NrE481694093	4387	21845	3169
NrE445524753	326	20064	415
NrE146181215	163	142	8901
NrE200425248	5994	21111	272
NrE245609091	1762	4684	5136
NrE146135194	6887	6889	4022
NrE146136051	6879	12640	15591
NrE245778207	9579	22277	4570
NrE254243491	11014	10118	8214
NrE146193280	3804	20086	721
NrE146137246	3549	6895	4728
NrE146147314	145	20031	1514
NrE146135196	6880	6886	6870
NrE245435317	8434	21602	6503
NrE146181238	4567	8993	522
NrE146149125	9653	3832	5917
NrE146150398	384	20074	7523
NrE146194468	3351	10444	645
NrE146136313	6876	11702	9472
NrE146136317	8526	295	2893
NrE146134198	3500	22218	9074
NrE146139250	11020	20418	1910
NrE480919586	429	389	7625
NrE146190773	6989	12341	8999
NrE146150269	10444	426	1360
NrE146190763	8569	8284	5313
NrE202478936	9655	3836	5094
NrE146135324	2211	4653	7173
NrE323109623	11157	20461	3481
NrE146190750	3836	8128	966
NrE146133816	3245	11716	6489
NrE146181212	3806	11510	8089
NrE146133817	11716	9451	1996
NrE146190764	8284	6901	3180
NrE146135492	3247	9449	5183
NrE146183956	8195	8179	6040
NrE146183957	8179	3841	6619
NrE146183958	3841	11649	10832
NrE146183960	526	3837	5032
NrE146183961	3837	827	12526
NrE146183962	827	9160	27676
NrE146183963	9160	828	3899
NrE146190771	6687	11246	5408
NrE480919626	8530	6360	1645
NrE146181187	7773	1321	2758
NrE146181190	11259	10027	3667
NrE146181198	11258	9334	6165
NrE146133838	369	368	7099
NrE202478937	7118	8238	1628
NrE146195340	8485	21663	590
NrE254243490	10118	10116	16556
NrE146183959	11649	526	1859
NrE146151173	8101	22902	8901
NrE146133680	4112	10904	13921
NrE146151172	1052	3822	5909
NrE101	21568	11013	4400
NrE106	30001	2817	3410
NrE105	12640	30001	7700
NrE102	12900	11157	5280
NrE146132706	7669	21843	6670
NrE146132815	3072	9059	787
NrE146132897	6977	1053	12848
NrE146133489	7281	11003	1998
NrE146133490	11003	7813	5286
NrE146133570	9727	5690	5166
NrE146133571	5690	12809	5305
NrE146133573	9650	3815	4656
NrE146133574	3815	11012	5006
NrE146133575	11012	10926	2167
NrE146133576	10926	11007	3378
NrE146133577	11007	11011	830
NrE146133578	11011	9640	5909
NrE146133676	9651	3822	18628
NrE146133677	3822	3825	346
NrE146133678	3825	8219	5529
NrE146133679	8219	4112	11560
NrE146133681	10904	7024	4609
NrE146133720	7118	7350	3293
NrE146133721	7350	7227	5944
NrE146133722	7227	7271	8950
NrE146133724	10300	11006	6641
NrE146133725	11006	7281	1797
NrE146133726	7281	11009	6250
NrE146133727	11009	3823	3489
NrE146133728	3823	3500	7369
NrE146133729	3500	3833	1262
NrE146133730	3833	7765	8790
NrE146133731	7765	7024	14570
NrE146134270	11008	7813	7380
NrE146134271	7813	3827	9711
NrE146134504	10461	6975	6181
NrE146134505	6975	9640	283
NrE146134506	9640	3794	5424
NrE146134507	3794	11775	269
NrE146135103	3823	3827	5451
NrE146135104	3827	20680	4246
NrE146135353	7669	9581	13538
NrE146135742	9160	12900	1310
NrE146137228	12525	9827	7837
NrE146137768	5710	8066	5326
NrE146137769	3830	8066	4218
NrE146137770	3830	5690	6668
NrE146137771	5690	914	3347
NrE146137772	914	3841	3227
NrE146137918	915	6977	13106
NrE146137920	6976	8102	2148
NrE146137921	8102	7271	14679
NrE146138192	11015	5692	1158
NrE146138193	5692	3815	2569
NrE146138194	3815	5669	3553
NrE146138195	5669	908	2101
NrE146138196	908	526	836
NrE146138666	10108	7688	4785
NrE146149511	7669	22678	11489
NrE146151095	4112	10904	13316
NrE287665473	7024	8917	14685
NrE287665474	8917	10108	658
NrE146136055	2134	10250	13461
NrE146138542	8210	8218	19160

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A146132779	8179	9727	9139	83.0826526973053	83.0826526973053
A146135455	7404	2779	8614	78.313103243523	78.313103243523
A146138048	11702	11674	11626	105.695300430403	105.695300430403
A146133116	3246	2823	7556	68.6969389013034	68.6969389013034
A146132704	11674	6878	9560	86.9122095496288	86.9122095496288
A146135111	3550	10309	9121	82.9182472934896	82.9182472934896
A146138003	11768	3247	5159	46.9032080865253	46.9032080865253
A146138004	291	11768	2148	19.5358751797875	19.5358751797875
A146135456	297	7404	10001	90.9251323091766	90.9251323091766
A146138047	11674	6897	3705	33.6888184279376	33.6888184279376
A146149233	21846	11675	6553	54.6097236801973	54.6097236801973
A146133538	11550	6492	6387	58.068390975397	58.068390975397
A146133117	11259	3246	4412	40.1124382061242	40.1124382061242
A146138002	3247	9450	6178	56.1690503518685	56.1690503518685
A146133114	4565	9334	7524	68.4064681153117	68.4064681153117
A146133115	2823	4565	5216	47.4262532222749	47.4262532222749

ARC	FROM N.	TO N.	T. COST
NrA146194457	10420	324	2888
NrA146194646	8485	8487	265
NrA245435412	8446	527	3329
NrA445524739	10425	9654	15738
NrA522201206	5035	10024	598
NrA146132893	12944	6870	561
NrA255035021	5068	5487	4673
NrA146181579	11920	6684	612
NrA255035023	20462	5487	4698
NrA564309436	10677	750	2263
NrA218464315	20400	10420	5787
NrA587955094	5710	3843	9461
NrA146194171	11022	3839	5428
NrA146193296	429	9649	1147
NrA146135191	12051	10528	2202
NrA523405424	21041	7564	3045
NrA146195268	10447	1531	3451
NrA146193566	10299	6182	263
NrA146181571	10163	10450	835
NrA146135176	6883	6874	7799
NrA255035024	20462	6677	1117
NrA255035022	6677	5068	1110
NrA146194471	320	10455	7823
NrA564309448	8485	8488	1943
NrA146194454	10019	9456	2448
NrA146133565	10250	6872	9490
NrA522201203	319	321	2002
NrA146134940	9450	8569	7953
NrA146181567	427	10444	595
NrA255035016	153	139	3651
NrA146133717	6492	7015	3488
NrA146181568	432	427	954
NrA146137229	12523	9827	5665
NrA146135189	6885	7196	4023
NrA146132890	6879	6898	11077
NrA146134941	9451	9450	6067
NrA146181577	6685	11790	2169
NrA522201211	3802	4094	649
NrA564309443	672	4114	2075
NrA200425241	9446	8521	244
NrA245435411	527	10501	13317
NrA202478949	8018	7030	3532
NrA146135178	6360	6881	8033
NrA245435376	9656	8126	3330
NrA146193730	10450	3808	1826
NrA522201208	3801	37	583
NrA146194005	1074	11171	6054
NrA146195270	7582	3840	2160
NrA255035028	22307	9348	295
NrA146133714	7376	7377	4817
NrA255035025	21670	8263	3152
NrA146194473	9456	312	487
NrA523405422	20918	116	3892
NrA146193297	11561	430	2541
NrA146193279	20086	431	778
NrA146132889	6898	11959	6785
NrA255035015	153	139	3639
NrA146135173	9576	11211	9038
NrA146136314	6901	11702	6842
NrA146194470	10455	430	2641
NrA146193283	5485	150	2306
NrA202478958	5720	8446	6880
NrA245435377	20684	3840	1378
NrA587955093	7980	3845	9231
NrA146193298	311	11561	7526
NrA146194469	429	3351	1165
NrA146132892	6870	9581	6162
NrA146135192	2801	12051	8967
NrA523405426	20487	7564	2972
NrA522201209	138	3801	689
NrA146133564	6872	6876	8639
NrA146138694	1403	6908	4816
NrA564309437	21663	10677	950
NrA146181578	6684	6685	608
NrA218464313	20675	5485	5819
NrA200425238	20058	7773	6332
NrA523405421	20648	111	622
NrA146135198	12050	6885	8715
NrA146181569	10448	432	658
NrA146181570	10450	10448	654
NrA146194452	21847	431	701
NrA146193281	7601	9456	2472
NrA522201226	4094	5620	2500
NrA523405431	8943	4939	2566
NrA146136316	8526	9347	715
NrA564309449	8488	4114	2015
NrA146132894	7582	12944	2235
NrA587955092	5710	3843	9462
NrA146135186	6887	6890	4390
NrA146194804	432	3808	2018
NrA255035026	21670	9348	290
NrA146138153	10903	3548	13183
NrA146138152	3548	6870	1970
NrA146133719	7118	10282	3587
NrA146138154	7015	10903	2753
NrA146133713	7377	10305	3730
NrA523405429	8943	3457	2607
NrA146133716	7015	12640	10078
NrA146193299	317	311	2736
NrA146181573	3804	10452	489
NrA146138693	6908	5986	11925
NrA146195196	1054	11008	1750
NrA200425240	8521	9447	2539
NrA146133945	9460	3546	4192
NrA200425239	20058	9447	225
NrA146195047	1074	1054	6220
NrA146133562	6878	6907	4072
NrA146135175	6874	2119	2028
NrA564309442	6182	672	1917
NrA245435414	20685	3838	332
NrA202478956	10501	7030	3530
NrA146181581	10913	5691	542
NrA146181576	11790	4910	364
NrA146181582	6680	10913	543
NrA146135168	6877	11959	5979
NrA522201212	321	3802	669
NrA146135183	12051	6875	4976
NrA146133563	6876	6878	10420
NrA245435375	8126	8018	13322
NrA146133712	10305	6871	9042
NrA587955091	7980	3845	9299
NrA255035013	152	4567	2932
NrA146133100	8515	8427	3660
NrA254243501	7301	8487	9740
NrA146138691	6908	10305	10822
NrA522201207	37	5035	3269
NrA523405423	20918	5035	638
NrA146195194	11022	3839	5496
NrA146181566	10444	10451	716
NrA245435413	20685	5720	1443
NrA255035027	22307	8263	3209
NrA146181565	10451	3804	525
NrA146193282	150	7601	15086
NrA146194172	11171	525	3039
NrA146133101	8518	8515	7209
NrA146135177	6881	6883	236
NrA146193300	9456	317	612
NrA146138695	6895	1403	3918
NrA146181574	6361	6680	677
NrA146133460	9347	9446	7144
NrA146132891	9581	6879	9106
NrA146133718	10282	6492	1155
NrA522201223	321	5620	2492
NrA146181575	4910	6361	313
NrA146194472	312	320	2756
NrA245435378	20684	3838	345
NrA146181580	5691	11920	948
NrA146181572	10452	10163	535
NrA146194455	318	10019	496
NrA522201210	4094	138	1712
NrA146194456	324	318	14181
NrA323109621	10116	4097	382
NrA523405420	20648	116	3767
NrA255035014	152	4567	2932
NrA146195269	320	318	2741
NrA146133715	12640	7376	7216
NrA522201205	10024	111	693
NrA522201204	111	319	1383
NrA146195195	11008	525	1124
NrA202478951	3840	9656	6993
NrA146133102	1321	8518	4316
NrA146135174	2119	9576	9523
NrA254243495	3424	10299	9687
NrA103	3424	7301	1500
NrA146132708	290	289	5569
NrA146132709	915	290	6650
NrA146132814	9128	8252	5271
NrA146132816	12472	9059	4746
NrA146132895	3838	7582	1815
NrA146132896	6977	3838	20575
NrA146134426	289	9827	9785
NrA146134509	3072	6975	11851
NrA146134510	8252	3072	5486
NrA146134511	11157	8252	11733
NrA146135101	8101	3825	1187
NrA146135102	3823	8101	10607
NrA146135330	2809	4387	1738
NrA146135332	9658	10313	1824
NrA146137143	9128	12900	11601
NrA146137144	12472	9128	4974
NrA146137145	11775	12472	11275
NrA146137146	3837	3794	13055
NrA146137230	12530	12523	6257
NrA146137917	915	12530	9414
NrA146137919	6976	6977	7296
NrA146138656	290	12523	9925
NrA146194046	11015	1074	7722
NrA146195082	11015	1074	7584
NrA245609093	7886	9658	2273
NrA245609094	4387	7886	374
NrA245609095	11437	2809	377
NrA245609096	10313	11437	2309
NrA323109622	8252	4097	4517

