Generation:	16	Best fitness:	239.81360544217688	Average fitness:	335.61874829931963	Fitness standard deviation:	35.95893516845263	Best genome:	A17	A9	N5	A10	A12	A14	A6	N12	A7	A11	E3	E4	N3	A16	E5	N6	N7	A15	N9	A13	A8	
Generation:	192	Best fitness:	138.61360544217686	Average fitness:	314.4496054421769	Fitness standard deviation:	45.35800658255229	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	208	Best fitness:	138.61360544217686	Average fitness:	313.1678911564626	Fitness standard deviation:	60.10971954412588	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	224	Best fitness:	138.61360544217686	Average fitness:	323.0170340136055	Fitness standard deviation:	43.13568592812448	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	240	Best fitness:	138.61360544217686	Average fitness:	311.06903401360546	Fitness standard deviation:	48.80043104861485	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	256	Best fitness:	138.61360544217686	Average fitness:	320.10617687074836	Fitness standard deviation:	47.23862050552816	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	272	Best fitness:	138.61360544217686	Average fitness:	314.2370340136055	Fitness standard deviation:	50.92007011874551	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	288	Best fitness:	138.61360544217686	Average fitness:	310.39189115646263	Fitness standard deviation:	50.62583661107664	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	304	Best fitness:	138.61360544217686	Average fitness:	319.76160544217686	Fitness standard deviation:	50.766790588063024	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	320	Best fitness:	138.61360544217686	Average fitness:	313.1016054421769	Fitness standard deviation:	55.38553022262057	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	336	Best fitness:	138.61360544217686	Average fitness:	325.4318911564626	Fitness standard deviation:	46.44773292857341	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	352	Best fitness:	138.61360544217686	Average fitness:	315.1970340136054	Fitness standard deviation:	47.97062369443046	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	368	Best fitness:	138.61360544217686	Average fitness:	319.9581768707483	Fitness standard deviation:	46.453771239452095	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	384	Best fitness:	138.61360544217686	Average fitness:	322.5010340136055	Fitness standard deviation:	50.12143861967773	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	400	Best fitness:	138.61360544217686	Average fitness:	324.56560544217683	Fitness standard deviation:	43.81383191902498	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	416	Best fitness:	138.61360544217686	Average fitness:	316.4330340136054	Fitness standard deviation:	44.10077899816395	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	E4	N3	A7	N9	A9	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	432	Best fitness:	138.556462585034	Average fitness:	310.0284625850341	Fitness standard deviation:	50.53440880373349	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	448	Best fitness:	138.556462585034	Average fitness:	316.89074829931974	Fitness standard deviation:	44.312197887631946	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	464	Best fitness:	138.556462585034	Average fitness:	312.43760544217696	Fitness standard deviation:	53.11486954570389	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	480	Best fitness:	138.556462585034	Average fitness:	314.69303401360537	Fitness standard deviation:	55.570007852570015	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	496	Best fitness:	138.556462585034	Average fitness:	320.86446258503406	Fitness standard deviation:	49.03375073875345	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	512	Best fitness:	138.556462585034	Average fitness:	307.305605442177	Fitness standard deviation:	50.60381861528811	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	528	Best fitness:	138.556462585034	Average fitness:	318.56274829931976	Fitness standard deviation:	50.22649119371821	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	544	Best fitness:	138.556462585034	Average fitness:	322.6490340136055	Fitness standard deviation:	48.658598605855005	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	560	Best fitness:	138.556462585034	Average fitness:	317.62331972789127	Fitness standard deviation:	48.197827238690046	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	576	Best fitness:	138.556462585034	Average fitness:	316.4587482993197	Fitness standard deviation:	50.79021827405874	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	592	Best fitness:	138.556462585034	Average fitness:	325.448462585034	Fitness standard deviation:	55.96664496148486	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	608	Best fitness:	138.556462585034	Average fitness:	309.1456054421769	Fitness standard deviation:	58.20305227707002	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	624	Best fitness:	138.556462585034	Average fitness:	314.7558911564626	Fitness standard deviation:	50.69250638659626	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	640	Best fitness:	138.556462585034	Average fitness:	321.87760544217696	Fitness standard deviation:	45.71980665233101	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	656	Best fitness:	138.556462585034	Average fitness:	320.4467482993198	Fitness standard deviation:	50.900915146738875	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	672	Best fitness:	138.556462585034	Average fitness:	313.4650340136055	Fitness standard deviation:	48.962232842242386	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	688	Best fitness:	138.556462585034	Average fitness:	323.6873197278912	Fitness standard deviation:	50.2367827157816	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	704	Best fitness:	138.556462585034	Average fitness:	324.9827482993198	Fitness standard deviation:	50.91933303184718	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	720	Best fitness:	138.556462585034	Average fitness:	309.5427482993197	Fitness standard deviation:	51.22325340574716	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	736	Best fitness:	138.556462585034	Average fitness:	319.61589115646257	Fitness standard deviation:	46.487474842418465	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	752	Best fitness:	138.556462585034	Average fitness:	322.5558911564626	Fitness standard deviation:	46.901324985417574	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	A7	N9	A9	N5	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	768	Best fitness:	138.52789115646257	Average fitness:	313.61931972789114	Fitness standard deviation:	47.09956419053976	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N5	A7	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	784	Best fitness:	138.52789115646257	Average fitness:	323.17989115646253	Fitness standard deviation:	48.51834601551905	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N5	A7	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	800	Best fitness:	138.52789115646257	Average fitness:	320.4398911564625	Fitness standard deviation:	48.233803656602426	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N5	A7	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	816	Best fitness:	138.52789115646257	Average fitness:	323.0827482993197	Fitness standard deviation:	44.854741369747515	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N5	A7	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	832	Best fitness:	138.52789115646257	Average fitness:	315.72103401360545	Fitness standard deviation:	45.95411928772222	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N5	A7	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	848	Best fitness:	138.52789115646257	Average fitness:	316.89360544217686	Fitness standard deviation:	46.14972049797069	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N5	A7	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	864	Best fitness:	138.52789115646257	Average fitness:	311.9078911564626	Fitness standard deviation:	52.64342748285732	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N5	A7	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	880	Best fitness:	138.52789115646257	Average fitness:	317.9198911564626	Fitness standard deviation:	49.273280432415184	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N5	A7	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	896	Best fitness:	138.52789115646257	Average fitness:	317.196462585034	Fitness standard deviation:	49.77585251783792	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N5	A7	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	912	Best fitness:	138.52789115646257	Average fitness:	313.85646258503414	Fitness standard deviation:	50.19346123769916	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N5	A7	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	928	Best fitness:	138.52789115646257	Average fitness:	325.5598911564625	Fitness standard deviation:	49.02079546727998	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N5	A7	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	944	Best fitness:	138.52789115646257	Average fitness:	318.3336054421769	Fitness standard deviation:	53.16633275650589	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N5	A7	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	960	Best fitness:	138.52789115646257	Average fitness:	323.00217687074826	Fitness standard deviation:	46.33687084817014	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N5	A7	E4	N3	N6	N7	A10	N12	A15	A8	A13	
Generation:	976	Best fitness:	133.52789115646257	Average fitness:	303.49074829931976	Fitness standard deviation:	50.344230320172855	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	E4	N3	A7	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	992	Best fitness:	133.52789115646257	Average fitness:	321.14503401360537	Fitness standard deviation:	50.963802440395604	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	E4	N3	A7	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	1008	Best fitness:	133.52789115646257	Average fitness:	315.85531972789113	Fitness standard deviation:	50.316751853246885	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	E4	N3	A7	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	1024	Best fitness:	133.52789115646257	Average fitness:	325.64560544217693	Fitness standard deviation:	53.16387653131339	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	E4	N3	A7	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	1040	Best fitness:	133.52789115646257	Average fitness:	310.67931972789114	Fitness standard deviation:	42.68701518384862	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	E4	N3	A7	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	1056	Best fitness:	133.52789115646257	Average fitness:	317.20331972789114	Fitness standard deviation:	42.00428384761512	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	E4	N3	A7	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	1072	Best fitness:	128.52789115646257	Average fitness:	315.7290340136055	Fitness standard deviation:	56.397537639112414	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	A7	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	1088	Best fitness:	128.52789115646257	Average fitness:	323.59874829931977	Fitness standard deviation:	50.604706803753714	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	A7	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	1104	Best fitness:	128.52789115646257	Average fitness:	320.1067482993198	Fitness standard deviation:	61.70761916638555	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	A7	N5	N6	N7	A10	N12	A15	A8	A13	
Generation:	1120	Best fitness:	123.52789115646259	Average fitness:	315.348462585034	Fitness standard deviation:	46.427326590784304	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	N6	N7	A10	N12	A15	A8	A13	
Generation:	1136	Best fitness:	118.52789115646259	Average fitness:	311.3187482993198	Fitness standard deviation:	59.0981980290915	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1152	Best fitness:	118.52789115646259	Average fitness:	308.3021768707483	Fitness standard deviation:	52.29054161946636	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1168	Best fitness:	118.52789115646259	Average fitness:	315.109605442177	Fitness standard deviation:	48.5381912362811	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1184	Best fitness:	118.52789115646259	Average fitness:	315.43131972789104	Fitness standard deviation:	53.70059427026476	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1200	Best fitness:	118.52789115646259	Average fitness:	309.7330340136054	Fitness standard deviation:	53.47394793957987	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1216	Best fitness:	118.52789115646259	Average fitness:	315.85531972789113	Fitness standard deviation:	53.30047170905867	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1232	Best fitness:	118.52789115646259	Average fitness:	317.4113197278911	Fitness standard deviation:	55.22737263941732	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1248	Best fitness:	118.52789115646259	Average fitness:	309.38446258503393	Fitness standard deviation:	55.95536777956998	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1264	Best fitness:	118.52789115646259	Average fitness:	309.6736054421769	Fitness standard deviation:	58.488067298608264	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1280	Best fitness:	118.52789115646259	Average fitness:	319.0827482993197	Fitness standard deviation:	54.806315170157276	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1296	Best fitness:	118.52789115646259	Average fitness:	312.65817687074826	Fitness standard deviation:	53.806890435015056	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1312	Best fitness:	118.52789115646259	Average fitness:	304.4021768707482	Fitness standard deviation:	54.50020093578386	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1328	Best fitness:	118.52789115646259	Average fitness:	315.68160544217676	Fitness standard deviation:	55.807437406474335	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1344	Best fitness:	118.52789115646259	Average fitness:	306.46274829931974	Fitness standard deviation:	57.114792262457485	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1360	Best fitness:	118.52789115646259	Average fitness:	320.0998911564626	Fitness standard deviation:	52.42063606431874	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1376	Best fitness:	118.52789115646259	Average fitness:	317.4570340136053	Fitness standard deviation:	52.44793235044386	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1392	Best fitness:	118.52789115646259	Average fitness:	309.12789115646257	Fitness standard deviation:	48.65328363187077	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1408	Best fitness:	118.52789115646259	Average fitness:	313.0490340136054	Fitness standard deviation:	51.469503254106606	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1424	Best fitness:	118.52789115646259	Average fitness:	317.3256054421768	Fitness standard deviation:	53.97476291295964	Best genome:	A16	E5	A11	E3	A6	A14	A17	A12	N9	A9	N3	E4	N5	A7	A10	N12	A15	N7	N6	A8	A13	
Generation:	1440	Best fitness:	118.49931972789116	Average fitness:	310.67417687074817	Fitness standard deviation:	45.89968854636229	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1456	Best fitness:	118.49931972789116	Average fitness:	319.8478911564626	Fitness standard deviation:	47.94355286401384	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1472	Best fitness:	118.49931972789116	Average fitness:	315.9016054421768	Fitness standard deviation:	56.30327234191778	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1488	Best fitness:	118.49931972789116	Average fitness:	318.00331972789115	Fitness standard deviation:	48.26936553660222	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1504	Best fitness:	118.49931972789116	Average fitness:	321.89931972789117	Fitness standard deviation:	50.18038156369032	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1520	Best fitness:	118.49931972789116	Average fitness:	321.18446258503405	Fitness standard deviation:	47.082938715003934	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1536	Best fitness:	118.49931972789116	Average fitness:	313.0896054421769	Fitness standard deviation:	58.85598129505686	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1552	Best fitness:	118.49931972789116	Average fitness:	320.9936054421769	Fitness standard deviation:	55.910300244851015	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1568	Best fitness:	118.49931972789116	Average fitness:	319.0381768707484	Fitness standard deviation:	49.30042579937825	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1584	Best fitness:	118.49931972789116	Average fitness:	318.0050340136054	Fitness standard deviation:	47.27016067029938	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1600	Best fitness:	118.49931972789116	Average fitness:	318.66389115646257	Fitness standard deviation:	48.744301288269924	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1616	Best fitness:	118.49931972789116	Average fitness:	315.77246258503396	Fitness standard deviation:	50.968481708536984	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1632	Best fitness:	118.49931972789116	Average fitness:	319.18731972789107	Fitness standard deviation:	57.01047546848612	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1648	Best fitness:	118.49931972789116	Average fitness:	302.9273197278911	Fitness standard deviation:	59.7307024569442	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1664	Best fitness:	118.49931972789116	Average fitness:	329.88046258503397	Fitness standard deviation:	53.13870110016093	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1680	Best fitness:	118.49931972789116	Average fitness:	311.50331972789115	Fitness standard deviation:	48.100646865691516	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1696	Best fitness:	118.49931972789116	Average fitness:	314.4278911564625	Fitness standard deviation:	55.92532491945789	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1712	Best fitness:	118.49931972789116	Average fitness:	319.98731972789125	Fitness standard deviation:	56.85060575198251	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1728	Best fitness:	118.49931972789116	Average fitness:	326.39017687074835	Fitness standard deviation:	56.3926524928884	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
Generation:	1744	Best fitness:	118.49931972789116	Average fitness:	316.9016054421768	Fitness standard deviation:	53.91209499372331	Best genome:	A16	E5	A11	E3	A6	A14	A17	N9	A9	N3	E4	N5	A7	A12	A10	N12	A15	N7	N6	A8	A13	
