Generation:	16	Best fitness:	245.35646258503402	Average fitness:	311.9336054421768	Fitness standard deviation:	42.296409458265174	Best genome:	E5	E3	N9	A8	A9	A16	E4	N5	N12	N3	A7	A14	A11	A10	A15	A17	A12	N7	N6	A6	A13	
Generation:	752	Best fitness:	162.756462585034	Average fitness:	274.47789115646253	Fitness standard deviation:	44.89957399461558	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A13	A15	A17	A12	N9	N12	A8	A16	E5	
Generation:	768	Best fitness:	153.756462585034	Average fitness:	290.45503401360554	Fitness standard deviation:	63.39536741911102	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	784	Best fitness:	153.756462585034	Average fitness:	275.74503401360545	Fitness standard deviation:	52.8186944332464	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	800	Best fitness:	153.756462585034	Average fitness:	245.45074829931968	Fitness standard deviation:	44.22503871088856	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	816	Best fitness:	153.756462585034	Average fitness:	274.0850340136054	Fitness standard deviation:	50.84721130956136	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	832	Best fitness:	153.756462585034	Average fitness:	281.3436054421768	Fitness standard deviation:	56.62911234785623	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	848	Best fitness:	153.756462585034	Average fitness:	280.55931972789114	Fitness standard deviation:	45.73011413473085	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	864	Best fitness:	153.756462585034	Average fitness:	282.5036054421769	Fitness standard deviation:	57.6176285913417	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	880	Best fitness:	153.756462585034	Average fitness:	288.9407482993197	Fitness standard deviation:	48.64235617530996	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	896	Best fitness:	153.756462585034	Average fitness:	268.35931972789115	Fitness standard deviation:	53.31504661836439	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	912	Best fitness:	153.756462585034	Average fitness:	277.9721768707483	Fitness standard deviation:	57.73501641472152	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	928	Best fitness:	153.756462585034	Average fitness:	285.16074829931966	Fitness standard deviation:	59.382278862107874	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	944	Best fitness:	153.756462585034	Average fitness:	289.3421768707483	Fitness standard deviation:	51.29603756030046	Best genome:	A9	N3	N5	A11	E3	N7	E4	A7	A10	N6	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	960	Best fitness:	145.756462585034	Average fitness:	265.6836054421768	Fitness standard deviation:	59.516702834805386	Best genome:	A9	N3	N5	A11	E3	N7	A10	N6	E4	A7	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	976	Best fitness:	145.756462585034	Average fitness:	273.5850340136054	Fitness standard deviation:	49.81015059243263	Best genome:	A9	N3	N5	A11	E3	N7	A10	N6	E4	A7	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	992	Best fitness:	145.756462585034	Average fitness:	266.7407482993197	Fitness standard deviation:	62.92837877382542	Best genome:	A9	N3	N5	A11	E3	N7	A10	N6	E4	A7	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	1008	Best fitness:	145.756462585034	Average fitness:	276.0707482993198	Fitness standard deviation:	49.26714101379813	Best genome:	A9	N3	N5	A11	E3	N7	A10	N6	E4	A7	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	1024	Best fitness:	145.756462585034	Average fitness:	289.36074829931965	Fitness standard deviation:	53.52244867571829	Best genome:	A9	N3	N5	A11	E3	N7	A10	N6	E4	A7	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	1040	Best fitness:	144.756462585034	Average fitness:	283.2936054421769	Fitness standard deviation:	64.7876220226282	Best genome:	A9	N3	A7	E4	N5	A11	E3	A10	N6	N7	A6	A14	A12	A13	A15	A17	N9	N12	A8	A16	E5	
Generation:	1056	Best fitness:	136.69931972789115	Average fitness:	278.26360544217687	Fitness standard deviation:	65.75508849712931	Best genome:	A9	N3	A7	E4	N5	A11	E3	A10	N6	N7	A6	A14	A12	A13	N9	A15	A17	N12	A8	A16	E5	
Generation:	1072	Best fitness:	136.69931972789115	Average fitness:	269.2307482993197	Fitness standard deviation:	51.69694452740305	Best genome:	A9	N3	A7	E4	N5	A11	E3	A10	N6	N7	A6	A14	A12	A13	N9	A15	A17	N12	A8	A16	E5	
Generation:	1088	Best fitness:	136.69931972789115	Average fitness:	281.23646258503396	Fitness standard deviation:	62.117335711686536	Best genome:	A9	N3	A7	E4	N5	A11	E3	A10	N6	N7	A6	A14	A12	A13	N9	A15	A17	N12	A8	A16	E5	
Generation:	1104	Best fitness:	136.69931972789115	Average fitness:	283.766462585034	Fitness standard deviation:	53.884925213886326	Best genome:	A9	N3	A7	E4	N5	A11	E3	A10	N6	N7	A6	A14	A12	A13	N9	A15	A17	N12	A8	A16	E5	
Generation:	1120	Best fitness:	136.69931972789115	Average fitness:	281.51217687074825	Fitness standard deviation:	48.99903412209223	Best genome:	A9	N3	A7	E4	N5	A11	E3	A10	N6	N7	A6	A14	A12	A13	N9	A15	A17	N12	A8	A16	E5	
Generation:	1136	Best fitness:	136.69931972789115	Average fitness:	274.09074829931967	Fitness standard deviation:	48.71151236345156	Best genome:	A9	N3	A7	E4	N5	A11	E3	A10	N6	N7	A6	A14	A12	A13	N9	A15	A17	N12	A8	A16	E5	
Generation:	1152	Best fitness:	136.69931972789115	Average fitness:	278.8978911564626	Fitness standard deviation:	69.77043024616299	Best genome:	A9	N3	A7	E4	N5	A11	E3	A10	N6	N7	A6	A14	A12	A13	N9	A15	A17	N12	A8	A16	E5	
Generation:	1168	Best fitness:	136.69931972789115	Average fitness:	274.88503401360543	Fitness standard deviation:	49.886044426988086	Best genome:	A9	N3	A7	E4	N5	A11	E3	A10	N6	N7	A6	A14	A12	A13	N9	A15	A17	N12	A8	A16	E5	
Generation:	1184	Best fitness:	136.69931972789115	Average fitness:	270.93074829931965	Fitness standard deviation:	48.63100035901346	Best genome:	A9	N3	A7	E4	N5	A11	E3	A10	N6	N7	A6	A14	A12	A13	N9	A15	A17	N12	A8	A16	E5	
Generation:	1200	Best fitness:	136.69931972789115	Average fitness:	261.44074829931975	Fitness standard deviation:	56.89358378156718	Best genome:	A9	N3	A7	E4	N5	A11	E3	A10	N6	N7	A6	A14	A12	A13	N9	A15	A17	N12	A8	A16	E5	
Generation:	1216	Best fitness:	136.69931972789115	Average fitness:	282.35931972789115	Fitness standard deviation:	52.183282881061615	Best genome:	A9	N3	A7	E4	N5	A11	E3	A10	N6	N7	A6	A14	A12	A13	N9	A15	A17	N12	A8	A16	E5	
Generation:	1232	Best fitness:	136.69931972789115	Average fitness:	257.57360544217687	Fitness standard deviation:	58.49889543698187	Best genome:	A9	N3	A7	E4	N5	A11	E3	A10	N6	N7	A6	A14	A12	A13	N9	A15	A17	N12	A8	A16	E5	
Generation:	1248	Best fitness:	136.69931972789115	Average fitness:	280.74360544217683	Fitness standard deviation:	46.80104087016241	Best genome:	A9	N3	A7	E4	N5	A11	E3	A10	N6	N7	A6	A14	A12	A13	N9	A15	A17	N12	A8	A16	E5	
Generation:	1264	Best fitness:	131.69931972789115	Average fitness:	275.026462585034	Fitness standard deviation:	59.722991487741965	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	N6	N7	A6	A14	A12	A13	N9	A15	A17	N12	A8	A16	E5	
Generation:	1280	Best fitness:	131.69931972789115	Average fitness:	268.54646258503396	Fitness standard deviation:	61.41339897342752	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	N6	N7	A6	A14	A12	A13	N9	A15	A17	N12	A8	A16	E5	
Generation:	1296	Best fitness:	131.69931972789115	Average fitness:	250.05074829931968	Fitness standard deviation:	53.38319929853342	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	N6	N7	A6	A14	A12	A13	N9	A15	A17	N12	A8	A16	E5	
Generation:	1312	Best fitness:	131.69931972789115	Average fitness:	261.87931972789113	Fitness standard deviation:	56.272176109349395	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	N6	N7	A6	A14	A12	A13	N9	A15	A17	N12	A8	A16	E5	
Generation:	1328	Best fitness:	131.67074829931974	Average fitness:	271.46503401360553	Fitness standard deviation:	54.40661094284144	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	N6	N7	A6	A14	A12	N9	A15	A17	N12	A8	A13	A16	E5	
Generation:	1344	Best fitness:	131.67074829931974	Average fitness:	279.97503401360535	Fitness standard deviation:	64.70958688396857	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	N6	N7	A6	A14	A12	N9	A15	A17	N12	A8	A13	A16	E5	
Generation:	1360	Best fitness:	131.67074829931974	Average fitness:	264.49931972789113	Fitness standard deviation:	57.814365844132396	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	N6	N7	A6	A14	A12	N9	A15	A17	N12	A8	A13	A16	E5	
Generation:	1376	Best fitness:	131.67074829931974	Average fitness:	287.3250340136055	Fitness standard deviation:	48.17057692858424	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	N6	N7	A6	A14	A12	N9	A15	A17	N12	A8	A13	A16	E5	
Generation:	1392	Best fitness:	131.67074829931974	Average fitness:	265.77074829931973	Fitness standard deviation:	62.05097871253663	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	N6	N7	A6	A14	A12	N9	A15	A17	N12	A8	A13	A16	E5	
Generation:	1408	Best fitness:	131.67074829931974	Average fitness:	277.39360544217686	Fitness standard deviation:	54.5018150605827	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	N6	N7	A6	A14	A12	N9	A15	A17	N12	A8	A13	A16	E5	
Generation:	1424	Best fitness:	131.67074829931974	Average fitness:	281.0493197278911	Fitness standard deviation:	51.242798498512784	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	N6	N7	A6	A14	A12	N9	A15	A17	N12	A8	A13	A16	E5	
Generation:	1440	Best fitness:	131.67074829931974	Average fitness:	270.83360544217686	Fitness standard deviation:	59.099753858391395	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	N6	N7	A6	A14	A12	N9	A15	A17	N12	A8	A13	A16	E5	
Generation:	1456	Best fitness:	117.87074829931973	Average fitness:	267.26217687074825	Fitness standard deviation:	66.90526296372279	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	A15	A17	N7	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1472	Best fitness:	117.87074829931973	Average fitness:	264.71789115646254	Fitness standard deviation:	55.39426646452552	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	A15	A17	N7	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1488	Best fitness:	117.87074829931973	Average fitness:	272.65217687074835	Fitness standard deviation:	68.31724751600628	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	A15	A17	N7	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1504	Best fitness:	117.87074829931973	Average fitness:	262.41074829931966	Fitness standard deviation:	50.65117433213656	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	A15	A17	N7	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1520	Best fitness:	117.87074829931973	Average fitness:	255.0493197278911	Fitness standard deviation:	56.60273655676275	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	A15	A17	N7	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1536	Best fitness:	117.87074829931973	Average fitness:	261.1950340136054	Fitness standard deviation:	59.68310824851603	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	A15	A17	N7	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1552	Best fitness:	117.87074829931973	Average fitness:	286.1336054421769	Fitness standard deviation:	59.22390416453306	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	A15	A17	N7	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1568	Best fitness:	117.87074829931973	Average fitness:	257.34931972789116	Fitness standard deviation:	43.13013234765841	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	A15	A17	N7	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1584	Best fitness:	117.87074829931973	Average fitness:	273.95789115646255	Fitness standard deviation:	48.31457419445852	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	A15	A17	N7	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1600	Best fitness:	117.87074829931973	Average fitness:	265.3921768707483	Fitness standard deviation:	49.25323888655777	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	A15	A17	N7	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1616	Best fitness:	117.87074829931973	Average fitness:	277.30503401360545	Fitness standard deviation:	57.81519509327517	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	A15	A17	N7	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1632	Best fitness:	117.87074829931973	Average fitness:	283.6178911564626	Fitness standard deviation:	60.54175369789289	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	A15	A17	N7	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1648	Best fitness:	117.87074829931973	Average fitness:	279.9393197278911	Fitness standard deviation:	67.21468947806464	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	A15	A17	N7	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1664	Best fitness:	117.87074829931973	Average fitness:	266.1536054421769	Fitness standard deviation:	56.72847602251214	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	A15	A17	N7	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1680	Best fitness:	117.87074829931973	Average fitness:	278.3993197278911	Fitness standard deviation:	62.114949069923455	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	A15	A17	N7	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1696	Best fitness:	117.87074829931973	Average fitness:	268.84931972789116	Fitness standard deviation:	63.17413115301845	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	A15	A17	N7	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1712	Best fitness:	117.87074829931973	Average fitness:	282.0050340136055	Fitness standard deviation:	61.112530596583596	Best genome:	A9	N3	E4	N5	A7	A11	E3	A10	A15	A17	N7	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1728	Best fitness:	114.87074829931973	Average fitness:	268.9278911564626	Fitness standard deviation:	59.7601307268466	Best genome:	A9	N3	E4	N5	A7	A11	A15	A17	N7	E3	A10	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1744	Best fitness:	114.87074829931973	Average fitness:	260.3878911564626	Fitness standard deviation:	65.03530024187648	Best genome:	A9	N3	E4	N5	A7	A11	A15	A17	N7	E3	A10	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
Generation:	1760	Best fitness:	114.87074829931973	Average fitness:	290.0807482993197	Fitness standard deviation:	73.46238647451233	Best genome:	A9	N3	E4	N5	A7	A11	A15	A17	N7	E3	A10	N12	A8	A13	A16	E5	N6	A6	A14	A12	N9	
