Generation:	16	Best fitness:	239.87074829931973	Average fitness:	327.80731972789124	Fitness standard deviation:	30.86306995456557	Best genome:	A13	N12	A8	N6	N5	A11	A10	E3	A15	N7	E4	A6	A9	A7	A14	A12	A16	E5	N3	A17	N9	
Generation:	240	Best fitness:	172.29931972789115	Average fitness:	323.99360544217683	Fitness standard deviation:	46.213304648451754	Best genome:	N9	N12	N6	N5	A11	A10	E3	N7	A15	A17	A14	N3	A9	E4	A7	A6	A12	A16	E5	A8	A13	
Generation:	256	Best fitness:	172.29931972789115	Average fitness:	331.42503401360545	Fitness standard deviation:	40.522568566976425	Best genome:	N9	N12	N6	N5	A11	A10	E3	N7	A15	A17	A14	N3	A9	E4	A7	A6	A12	A16	E5	A8	A13	
Generation:	272	Best fitness:	172.29931972789115	Average fitness:	328.17074829931977	Fitness standard deviation:	46.632587449603285	Best genome:	N9	N12	N6	N5	A11	A10	E3	N7	A15	A17	A14	N3	A9	E4	A7	A6	A12	A16	E5	A8	A13	
Generation:	288	Best fitness:	168.29931972789115	Average fitness:	332.49131972789115	Fitness standard deviation:	47.409908562214625	Best genome:	N9	N12	N6	N5	A11	A10	E3	N7	A15	A17	A14	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	
Generation:	304	Best fitness:	168.29931972789115	Average fitness:	324.6221768707484	Fitness standard deviation:	42.77758071986889	Best genome:	N9	N12	N6	N5	A11	A10	E3	N7	A15	A17	A14	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	
Generation:	320	Best fitness:	168.29931972789115	Average fitness:	322.5844625850341	Fitness standard deviation:	47.927901460933796	Best genome:	N9	N12	N6	N5	A11	A10	E3	N7	A15	A17	A14	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	
Generation:	336	Best fitness:	168.29931972789115	Average fitness:	316.62503401360556	Fitness standard deviation:	40.358539242593	Best genome:	N9	N12	N6	N5	A11	A10	E3	N7	A15	A17	A14	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	
Generation:	352	Best fitness:	165.29931972789115	Average fitness:	324.1038911564626	Fitness standard deviation:	39.20148367038145	Best genome:	N9	N12	N6	A11	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	
Generation:	368	Best fitness:	165.29931972789115	Average fitness:	329.1376054421769	Fitness standard deviation:	39.390359375805424	Best genome:	N9	N12	N6	A11	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	
Generation:	384	Best fitness:	165.29931972789115	Average fitness:	318.55817687074835	Fitness standard deviation:	46.33535835402504	Best genome:	N9	N12	N6	A11	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	
Generation:	400	Best fitness:	165.29931972789115	Average fitness:	316.0610340136056	Fitness standard deviation:	47.184243862734085	Best genome:	N9	N12	N6	A11	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	
Generation:	416	Best fitness:	165.29931972789115	Average fitness:	325.1878911564626	Fitness standard deviation:	49.53060756455836	Best genome:	N9	N12	N6	A11	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	
Generation:	432	Best fitness:	165.29931972789115	Average fitness:	324.7061768707484	Fitness standard deviation:	45.81138600472016	Best genome:	N9	N12	N6	A11	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	
Generation:	448	Best fitness:	165.29931972789115	Average fitness:	328.49874829931986	Fitness standard deviation:	47.904880409206825	Best genome:	N9	N12	N6	A11	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	
Generation:	464	Best fitness:	165.29931972789115	Average fitness:	321.397605442177	Fitness standard deviation:	54.77884804356142	Best genome:	N9	N12	N6	A11	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	
Generation:	480	Best fitness:	165.29931972789115	Average fitness:	318.46617687074837	Fitness standard deviation:	48.50241192740326	Best genome:	N9	N12	N6	A11	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	
Generation:	496	Best fitness:	157.87074829931973	Average fitness:	330.34617687074837	Fitness standard deviation:	48.451727042364084	Best genome:	A11	N12	N6	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	N9	
Generation:	512	Best fitness:	157.87074829931973	Average fitness:	322.5621768707483	Fitness standard deviation:	50.85476527347666	Best genome:	A11	N12	N6	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	N9	
Generation:	528	Best fitness:	157.87074829931973	Average fitness:	314.8496054421769	Fitness standard deviation:	52.46618061267308	Best genome:	A11	N12	N6	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	N9	
Generation:	544	Best fitness:	157.87074829931973	Average fitness:	327.89189115646275	Fitness standard deviation:	42.1934030282228	Best genome:	A11	N12	N6	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	N9	
Generation:	560	Best fitness:	157.87074829931973	Average fitness:	335.4758911564626	Fitness standard deviation:	43.49107708249956	Best genome:	A11	N12	N6	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	N9	
Generation:	576	Best fitness:	157.87074829931973	Average fitness:	327.8227482993197	Fitness standard deviation:	40.802268220264025	Best genome:	A11	N12	N6	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	N9	
Generation:	592	Best fitness:	157.87074829931973	Average fitness:	320.18446258503394	Fitness standard deviation:	45.31078692671721	Best genome:	A11	N12	N6	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	N9	
Generation:	608	Best fitness:	157.87074829931973	Average fitness:	316.89703401360543	Fitness standard deviation:	49.934432712164806	Best genome:	A11	N12	N6	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	N9	
Generation:	624	Best fitness:	157.87074829931973	Average fitness:	323.58731972789116	Fitness standard deviation:	52.72264148719936	Best genome:	A11	N12	N6	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	N9	
Generation:	640	Best fitness:	157.87074829931973	Average fitness:	323.08217687074836	Fitness standard deviation:	42.5378502282475	Best genome:	A11	N12	N6	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	N9	
Generation:	656	Best fitness:	157.87074829931973	Average fitness:	336.57474829931977	Fitness standard deviation:	45.898222013494156	Best genome:	A11	N12	N6	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	N9	
Generation:	672	Best fitness:	157.87074829931973	Average fitness:	314.25589115646267	Fitness standard deviation:	47.22177333841339	Best genome:	A11	N12	N6	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	N9	
Generation:	688	Best fitness:	157.87074829931973	Average fitness:	310.3970340136054	Fitness standard deviation:	46.38699609826452	Best genome:	A11	N12	N6	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	N9	
Generation:	704	Best fitness:	157.87074829931973	Average fitness:	320.04160544217694	Fitness standard deviation:	46.267043320625675	Best genome:	A11	N12	N6	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	N9	
Generation:	720	Best fitness:	157.87074829931973	Average fitness:	319.8793197278912	Fitness standard deviation:	47.08371883774514	Best genome:	A11	N12	N6	A10	A15	A17	A14	E3	N7	N5	N3	E4	A7	A9	A6	A12	A16	E5	A8	A13	N9	
Generation:	736	Best fitness:	149.87074829931973	Average fitness:	326.3021768707483	Fitness standard deviation:	46.530725859152376	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	A9	E3	A6	A12	A16	E5	A8	A13	N9	
Generation:	752	Best fitness:	149.87074829931973	Average fitness:	319.2850340136054	Fitness standard deviation:	46.35468309564805	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	A9	E3	A6	A12	A16	E5	A8	A13	N9	
Generation:	768	Best fitness:	149.87074829931973	Average fitness:	326.6781768707483	Fitness standard deviation:	47.67827445514789	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	A9	E3	A6	A12	A16	E5	A8	A13	N9	
Generation:	784	Best fitness:	149.87074829931973	Average fitness:	320.7067482993197	Fitness standard deviation:	49.914274203940124	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	A9	E3	A6	A12	A16	E5	A8	A13	N9	
Generation:	800	Best fitness:	149.87074829931973	Average fitness:	329.0741768707482	Fitness standard deviation:	44.617637453347605	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	A9	E3	A6	A12	A16	E5	A8	A13	N9	
Generation:	816	Best fitness:	149.78503401360544	Average fitness:	313.15817687074826	Fitness standard deviation:	46.04545701094668	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	A9	E3	A6	A12	A13	N9	A16	E5	A8	
Generation:	832	Best fitness:	149.78503401360544	Average fitness:	313.9256054421768	Fitness standard deviation:	49.08370121932285	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	A9	E3	A6	A12	A13	N9	A16	E5	A8	
Generation:	848	Best fitness:	149.78503401360544	Average fitness:	321.3290340136054	Fitness standard deviation:	49.760655209282994	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	A9	E3	A6	A12	A13	N9	A16	E5	A8	
Generation:	864	Best fitness:	149.78503401360544	Average fitness:	322.6970340136054	Fitness standard deviation:	44.02750451659944	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	A9	E3	A6	A12	A13	N9	A16	E5	A8	
Generation:	880	Best fitness:	149.78503401360544	Average fitness:	329.6238911564627	Fitness standard deviation:	47.068582445063655	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	A9	E3	A6	A12	A13	N9	A16	E5	A8	
Generation:	896	Best fitness:	149.78503401360544	Average fitness:	325.63646258503405	Fitness standard deviation:	46.41151827479283	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	A9	E3	A6	A12	A13	N9	A16	E5	A8	
Generation:	912	Best fitness:	149.756462585034	Average fitness:	319.168462585034	Fitness standard deviation:	49.882861018058485	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	A9	E3	A6	A12	N9	A13	A16	E5	A8	
Generation:	928	Best fitness:	149.756462585034	Average fitness:	328.38960544217696	Fitness standard deviation:	47.51648353648942	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	A9	E3	A6	A12	N9	A13	A16	E5	A8	
Generation:	944	Best fitness:	149.756462585034	Average fitness:	319.304462585034	Fitness standard deviation:	40.423503646027626	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	A9	E3	A6	A12	N9	A13	A16	E5	A8	
Generation:	960	Best fitness:	149.756462585034	Average fitness:	319.3564625850341	Fitness standard deviation:	51.29939873140895	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	A9	E3	A6	A12	N9	A13	A16	E5	A8	
Generation:	976	Best fitness:	149.756462585034	Average fitness:	316.8924625850339	Fitness standard deviation:	50.2876339114117	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	A9	E3	A6	A12	N9	A13	A16	E5	A8	
Generation:	992	Best fitness:	149.6421768707483	Average fitness:	316.1410340136054	Fitness standard deviation:	41.20112548888709	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1008	Best fitness:	149.6421768707483	Average fitness:	333.1090340136054	Fitness standard deviation:	53.673321038919696	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1024	Best fitness:	149.6421768707483	Average fitness:	330.8227482993198	Fitness standard deviation:	51.42177937371658	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1040	Best fitness:	149.6421768707483	Average fitness:	336.6158911564624	Fitness standard deviation:	42.33380116769722	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1056	Best fitness:	149.6421768707483	Average fitness:	316.54217687074834	Fitness standard deviation:	51.57617176446456	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1072	Best fitness:	149.6421768707483	Average fitness:	316.9827482993198	Fitness standard deviation:	46.656905550966805	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1088	Best fitness:	149.6421768707483	Average fitness:	322.5307482993197	Fitness standard deviation:	42.667770276968575	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1104	Best fitness:	149.6421768707483	Average fitness:	322.13189115646264	Fitness standard deviation:	46.00933925069686	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1120	Best fitness:	149.6421768707483	Average fitness:	330.6056054421768	Fitness standard deviation:	50.095609173349516	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1136	Best fitness:	149.6421768707483	Average fitness:	327.2861768707483	Fitness standard deviation:	42.11077915620723	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1152	Best fitness:	149.6421768707483	Average fitness:	326.37417687074833	Fitness standard deviation:	47.10288899324758	Best genome:	A11	N12	N6	A10	A15	A17	A14	N7	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1168	Best fitness:	147.6421768707483	Average fitness:	322.0261768707483	Fitness standard deviation:	45.41290265633182	Best genome:	A11	N12	N6	A15	A17	A14	N7	A10	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1184	Best fitness:	147.6421768707483	Average fitness:	324.8758911564626	Fitness standard deviation:	50.2912723194612	Best genome:	A11	N12	N6	A15	A17	A14	N7	A10	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1200	Best fitness:	147.6421768707483	Average fitness:	324.4256054421769	Fitness standard deviation:	55.5627771715958	Best genome:	A11	N12	N6	A15	A17	A14	N7	A10	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1216	Best fitness:	147.6421768707483	Average fitness:	321.7793197278911	Fitness standard deviation:	44.74160589383424	Best genome:	A11	N12	N6	A15	A17	A14	N7	A10	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1232	Best fitness:	147.6421768707483	Average fitness:	325.98389115646256	Fitness standard deviation:	51.93820251343447	Best genome:	A11	N12	N6	A15	A17	A14	N7	A10	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1248	Best fitness:	147.6421768707483	Average fitness:	332.2718911564627	Fitness standard deviation:	42.02468971488847	Best genome:	A11	N12	N6	A15	A17	A14	N7	A10	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1264	Best fitness:	147.6421768707483	Average fitness:	324.6696054421769	Fitness standard deviation:	43.9347378566279	Best genome:	A11	N12	N6	A15	A17	A14	N7	A10	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1280	Best fitness:	147.6421768707483	Average fitness:	324.03189115646256	Fitness standard deviation:	44.117033874429396	Best genome:	A11	N12	N6	A15	A17	A14	N7	A10	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1296	Best fitness:	147.6421768707483	Average fitness:	318.6936054421769	Fitness standard deviation:	47.55148307736724	Best genome:	A11	N12	N6	A15	A17	A14	N7	A10	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1312	Best fitness:	147.6421768707483	Average fitness:	334.6513197278912	Fitness standard deviation:	42.916513330047714	Best genome:	A11	N12	N6	A15	A17	A14	N7	A10	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1328	Best fitness:	147.6421768707483	Average fitness:	322.1890340136056	Fitness standard deviation:	48.997584283642524	Best genome:	A11	N12	N6	A15	A17	A14	N7	A10	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1344	Best fitness:	147.6421768707483	Average fitness:	319.7353197278912	Fitness standard deviation:	45.36180603610423	Best genome:	A11	N12	N6	A15	A17	A14	N7	A10	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1360	Best fitness:	147.6421768707483	Average fitness:	330.2850340136055	Fitness standard deviation:	46.912193880630625	Best genome:	A11	N12	N6	A15	A17	A14	N7	A10	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1376	Best fitness:	147.6421768707483	Average fitness:	324.55474829931967	Fitness standard deviation:	46.65789463483219	Best genome:	A11	N12	N6	A15	A17	A14	N7	A10	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1392	Best fitness:	136.6421768707483	Average fitness:	323.2421768707483	Fitness standard deviation:	48.117350767659275	Best genome:	A15	A14	A17	A11	N12	N6	N7	A10	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1408	Best fitness:	136.6421768707483	Average fitness:	329.7530340136055	Fitness standard deviation:	41.004475471014885	Best genome:	A15	A14	A17	A11	N12	N6	N7	A10	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1424	Best fitness:	136.6421768707483	Average fitness:	313.5118911564625	Fitness standard deviation:	45.456736699271964	Best genome:	A15	A14	A17	A11	N12	N6	N7	A10	N3	E4	N5	A7	N9	A13	A9	E3	A6	A12	A16	E5	A8	
Generation:	1440	Best fitness:	129.58503401360545	Average fitness:	308.28503401360547	Fitness standard deviation:	52.17390238228226	Best genome:	A15	A14	A17	N12	N6	N7	A10	E4	N5	A7	N9	A13	A9	N3	A11	E3	A6	A12	A16	E5	A8	
Generation:	1456	Best fitness:	129.58503401360545	Average fitness:	319.8244625850341	Fitness standard deviation:	47.683793127439095	Best genome:	A15	A14	A17	N12	N6	N7	A10	E4	N5	A7	N9	A13	A9	N3	A11	E3	A6	A12	A16	E5	A8	
Generation:	1472	Best fitness:	129.58503401360545	Average fitness:	324.84274829931985	Fitness standard deviation:	51.541906703305465	Best genome:	A15	A14	A17	N12	N6	N7	A10	E4	N5	A7	N9	A13	A9	N3	A11	E3	A6	A12	A16	E5	A8	
Generation:	1488	Best fitness:	129.58503401360545	Average fitness:	318.94103401360536	Fitness standard deviation:	43.94184922121043	Best genome:	A15	A14	A17	N12	N6	N7	A10	E4	N5	A7	N9	A13	A9	N3	A11	E3	A6	A12	A16	E5	A8	
Generation:	1504	Best fitness:	129.58503401360545	Average fitness:	316.6181768707482	Fitness standard deviation:	45.67037368101191	Best genome:	A15	A14	A17	N12	N6	N7	A10	E4	N5	A7	N9	A13	A9	N3	A11	E3	A6	A12	A16	E5	A8	
Generation:	1520	Best fitness:	129.58503401360545	Average fitness:	325.5393197278912	Fitness standard deviation:	44.58393377687088	Best genome:	A15	A14	A17	N12	N6	N7	A10	E4	N5	A7	N9	A13	A9	N3	A11	E3	A6	A12	A16	E5	A8	
Generation:	1536	Best fitness:	129.58503401360545	Average fitness:	324.0873197278912	Fitness standard deviation:	46.48137413754338	Best genome:	A15	A14	A17	N12	N6	N7	A10	E4	N5	A7	N9	A13	A9	N3	A11	E3	A6	A12	A16	E5	A8	
Generation:	1552	Best fitness:	126.49931972789116	Average fitness:	311.5073197278912	Fitness standard deviation:	51.4556071921244	Best genome:	A15	A14	A17	A10	E4	N5	A7	N9	A13	A9	N3	A11	N12	N7	N6	E3	A6	A12	A16	E5	A8	
Generation:	1568	Best fitness:	115.49931972789116	Average fitness:	321.42389115646256	Fitness standard deviation:	53.231183360500104	Best genome:	A15	A14	A17	A10	E4	N5	A7	N9	A13	A9	N3	A11	N12	E3	N6	N7	A6	A12	A16	E5	A8	
Generation:	1584	Best fitness:	115.49931972789116	Average fitness:	315.6633197278912	Fitness standard deviation:	51.49457663062535	Best genome:	A15	A14	A17	A10	E4	N5	A7	N9	A13	A9	N3	A11	N12	E3	N6	N7	A6	A12	A16	E5	A8	
Generation:	1600	Best fitness:	115.49931972789116	Average fitness:	314.136462585034	Fitness standard deviation:	54.29106537536206	Best genome:	A15	A14	A17	A10	E4	N5	A7	N9	A13	A9	N3	A11	N12	E3	N6	N7	A6	A12	A16	E5	A8	
Generation:	1616	Best fitness:	115.49931972789116	Average fitness:	311.4107482993197	Fitness standard deviation:	51.964144702803274	Best genome:	A15	A14	A17	A10	E4	N5	A7	N9	A13	A9	N3	A11	N12	E3	N6	N7	A6	A12	A16	E5	A8	
Generation:	1632	Best fitness:	115.49931972789116	Average fitness:	317.70674829931977	Fitness standard deviation:	59.444771640814395	Best genome:	A15	A14	A17	A10	E4	N5	A7	N9	A13	A9	N3	A11	N12	E3	N6	N7	A6	A12	A16	E5	A8	
Generation:	1648	Best fitness:	115.49931972789116	Average fitness:	323.2170340136055	Fitness standard deviation:	47.22037009077972	Best genome:	A15	A14	A17	A10	E4	N5	A7	N9	A13	A9	N3	A11	N12	E3	N6	N7	A6	A12	A16	E5	A8	
Generation:	1664	Best fitness:	115.49931972789116	Average fitness:	313.39131972789113	Fitness standard deviation:	51.76331449817269	Best genome:	A15	A14	A17	A10	E4	N5	A7	N9	A13	A9	N3	A11	N12	E3	N6	N7	A6	A12	A16	E5	A8	
Generation:	1680	Best fitness:	115.4421768707483	Average fitness:	316.88903401360545	Fitness standard deviation:	44.81308473640078	Best genome:	A15	A10	E4	N5	A7	N9	A13	A9	N3	A11	N12	E3	N6	N7	A6	A12	A14	A17	A16	E5	A8	
Generation:	1696	Best fitness:	115.4421768707483	Average fitness:	311.12617687074834	Fitness standard deviation:	49.54284607348698	Best genome:	A15	A10	E4	N5	A7	N9	A13	A9	N3	A11	N12	E3	N6	N7	A6	A12	A14	A17	A16	E5	A8	
Generation:	1712	Best fitness:	115.4421768707483	Average fitness:	324.8673197278912	Fitness standard deviation:	49.271626521575605	Best genome:	A15	A10	E4	N5	A7	N9	A13	A9	N3	A11	N12	E3	N6	N7	A6	A12	A14	A17	A16	E5	A8	
Generation:	1728	Best fitness:	115.4421768707483	Average fitness:	326.4313197278912	Fitness standard deviation:	58.35293123882694	Best genome:	A15	A10	E4	N5	A7	N9	A13	A9	N3	A11	N12	E3	N6	N7	A6	A12	A14	A17	A16	E5	A8	
Generation:	1744	Best fitness:	115.4421768707483	Average fitness:	312.8747482993198	Fitness standard deviation:	56.82916153108833	Best genome:	A15	A10	E4	N5	A7	N9	A13	A9	N3	A11	N12	E3	N6	N7	A6	A12	A14	A17	A16	E5	A8	
