Generation:	16	Best fitness:	216.32789115646258	Average fitness:	325.03017687074833	Fitness standard deviation:	40.929983457068715	Best genome:	A13	N9	A16	N3	A11	A6	A14	N7	E5	A15	E3	A12	A17	N6	A10	A7	N5	A9	E4	N12	A8	
Generation:	192	Best fitness:	149.8421768707483	Average fitness:	330.1250340136055	Fitness standard deviation:	43.23990607703745	Best genome:	N3	A11	N6	A6	A14	N7	E3	E5	A15	A17	A7	A12	A9	E4	N5	A10	N12	A8	A13	N9	A16	
Generation:	208	Best fitness:	149.8421768707483	Average fitness:	318.9450340136055	Fitness standard deviation:	45.85600247803232	Best genome:	N3	A11	N6	A6	A14	N7	E3	E5	A15	A17	A7	A12	A9	E4	N5	A10	N12	A8	A13	N9	A16	
Generation:	224	Best fitness:	149.8421768707483	Average fitness:	325.6244625850339	Fitness standard deviation:	44.78214581910145	Best genome:	N3	A11	N6	A6	A14	N7	E3	E5	A15	A17	A7	A12	A9	E4	N5	A10	N12	A8	A13	N9	A16	
Generation:	240	Best fitness:	149.8421768707483	Average fitness:	325.51474829931976	Fitness standard deviation:	42.45802199051363	Best genome:	N3	A11	N6	A6	A14	N7	E3	E5	A15	A17	A7	A12	A9	E4	N5	A10	N12	A8	A13	N9	A16	
Generation:	256	Best fitness:	149.8421768707483	Average fitness:	315.3376054421769	Fitness standard deviation:	47.31474969061673	Best genome:	N3	A11	N6	A6	A14	N7	E3	E5	A15	A17	A7	A12	A9	E4	N5	A10	N12	A8	A13	N9	A16	
Generation:	272	Best fitness:	149.8421768707483	Average fitness:	315.5370340136054	Fitness standard deviation:	50.925255973828946	Best genome:	N3	A11	N6	A6	A14	N7	E3	E5	A15	A17	A7	A12	A9	E4	N5	A10	N12	A8	A13	N9	A16	
Generation:	288	Best fitness:	136.8421768707483	Average fitness:	319.86903401360547	Fitness standard deviation:	45.78138554442567	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	304	Best fitness:	136.8421768707483	Average fitness:	312.540462585034	Fitness standard deviation:	54.10419491375235	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	320	Best fitness:	136.8421768707483	Average fitness:	309.26446258503404	Fitness standard deviation:	47.57026383473316	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	336	Best fitness:	136.8421768707483	Average fitness:	320.9456054421769	Fitness standard deviation:	49.55238428415829	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	352	Best fitness:	136.8421768707483	Average fitness:	325.82389115646265	Fitness standard deviation:	45.84709414066345	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	368	Best fitness:	136.8421768707483	Average fitness:	312.35703401360547	Fitness standard deviation:	52.16666274273528	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	384	Best fitness:	136.8421768707483	Average fitness:	325.62446258503394	Fitness standard deviation:	54.66568401340151	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	400	Best fitness:	136.8421768707483	Average fitness:	314.48331972789117	Fitness standard deviation:	45.48694512333249	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	416	Best fitness:	136.8421768707483	Average fitness:	318.4336054421769	Fitness standard deviation:	51.291515867636434	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	432	Best fitness:	136.8421768707483	Average fitness:	320.3376054421769	Fitness standard deviation:	51.95589357388847	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	448	Best fitness:	136.8421768707483	Average fitness:	317.2633197278912	Fitness standard deviation:	56.805923177795755	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	464	Best fitness:	136.8421768707483	Average fitness:	318.15646258503403	Fitness standard deviation:	44.36774743262157	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	480	Best fitness:	136.8421768707483	Average fitness:	309.95589115646266	Fitness standard deviation:	55.66553221899967	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	496	Best fitness:	136.8421768707483	Average fitness:	325.16617687074836	Fitness standard deviation:	47.42178354524685	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	512	Best fitness:	136.8421768707483	Average fitness:	313.6381768707484	Fitness standard deviation:	50.026441338352186	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	528	Best fitness:	136.8421768707483	Average fitness:	313.65817687074843	Fitness standard deviation:	47.10985655694917	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	544	Best fitness:	136.8421768707483	Average fitness:	320.07531972789127	Fitness standard deviation:	43.12512042597797	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	560	Best fitness:	136.8421768707483	Average fitness:	319.62160544217693	Fitness standard deviation:	47.633133397084954	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	576	Best fitness:	136.8421768707483	Average fitness:	314.9530340136055	Fitness standard deviation:	50.08631134514963	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	592	Best fitness:	136.8421768707483	Average fitness:	321.1667482993197	Fitness standard deviation:	49.856626361630866	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	608	Best fitness:	136.8421768707483	Average fitness:	320.1747482993199	Fitness standard deviation:	46.49352423988634	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	624	Best fitness:	136.8421768707483	Average fitness:	319.3387482993198	Fitness standard deviation:	50.09638249679618	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	640	Best fitness:	136.8421768707483	Average fitness:	321.9261768707483	Fitness standard deviation:	48.08078148368257	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	656	Best fitness:	136.8421768707483	Average fitness:	321.6558911564627	Fitness standard deviation:	54.40242888935406	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	672	Best fitness:	136.8421768707483	Average fitness:	317.59874829931965	Fitness standard deviation:	53.46665937740633	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	688	Best fitness:	136.8421768707483	Average fitness:	319.72731972789103	Fitness standard deviation:	50.3744300183483	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	704	Best fitness:	136.8421768707483	Average fitness:	319.8896054421768	Fitness standard deviation:	45.65587718968045	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	720	Best fitness:	136.8421768707483	Average fitness:	327.5690340136054	Fitness standard deviation:	47.20862292731993	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	736	Best fitness:	136.8421768707483	Average fitness:	328.176462585034	Fitness standard deviation:	55.749502496178636	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	752	Best fitness:	136.8421768707483	Average fitness:	318.15531972789114	Fitness standard deviation:	48.92539558744267	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	768	Best fitness:	136.8421768707483	Average fitness:	324.7170340136055	Fitness standard deviation:	48.49302138389373	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	784	Best fitness:	136.8421768707483	Average fitness:	322.58446258503403	Fitness standard deviation:	44.001163802790494	Best genome:	N3	A11	N6	A6	A14	E3	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	800	Best fitness:	133.8421768707483	Average fitness:	320.6593197278911	Fitness standard deviation:	46.794662873765716	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	816	Best fitness:	133.8421768707483	Average fitness:	317.0421768707482	Fitness standard deviation:	53.619432663761685	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	832	Best fitness:	133.8421768707483	Average fitness:	326.436462585034	Fitness standard deviation:	45.715595338383785	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	848	Best fitness:	133.8421768707483	Average fitness:	319.7913197278911	Fitness standard deviation:	52.005520991054595	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	864	Best fitness:	133.8421768707483	Average fitness:	323.38217687074837	Fitness standard deviation:	52.90372225629712	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	880	Best fitness:	133.8421768707483	Average fitness:	319.6090340136055	Fitness standard deviation:	50.91967755961845	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	896	Best fitness:	133.8421768707483	Average fitness:	326.6804625850341	Fitness standard deviation:	53.44722748694095	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	912	Best fitness:	133.8421768707483	Average fitness:	317.5827482993198	Fitness standard deviation:	45.24263325850149	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	928	Best fitness:	133.8421768707483	Average fitness:	318.81189115646254	Fitness standard deviation:	45.33461061385886	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	944	Best fitness:	133.8421768707483	Average fitness:	316.1587482993197	Fitness standard deviation:	47.41493981040669	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	960	Best fitness:	133.8421768707483	Average fitness:	316.6073197278912	Fitness standard deviation:	49.92332808437763	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	976	Best fitness:	133.8421768707483	Average fitness:	316.59246258503407	Fitness standard deviation:	43.80046139352547	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	992	Best fitness:	133.8421768707483	Average fitness:	325.8078911564626	Fitness standard deviation:	55.06430170672266	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1008	Best fitness:	133.8421768707483	Average fitness:	314.78960544217693	Fitness standard deviation:	45.44400433635276	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1024	Best fitness:	133.8421768707483	Average fitness:	311.6158911564626	Fitness standard deviation:	48.12718654327748	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1040	Best fitness:	133.8421768707483	Average fitness:	317.18903401360546	Fitness standard deviation:	52.23738406739068	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1056	Best fitness:	133.8421768707483	Average fitness:	316.4604625850341	Fitness standard deviation:	50.48517285181414	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1072	Best fitness:	133.8421768707483	Average fitness:	319.128462585034	Fitness standard deviation:	57.45409226539757	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1088	Best fitness:	133.8421768707483	Average fitness:	326.73931972789114	Fitness standard deviation:	53.55175257712518	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1104	Best fitness:	133.8421768707483	Average fitness:	324.99474829931967	Fitness standard deviation:	43.54462186525169	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1120	Best fitness:	133.8421768707483	Average fitness:	315.4998911564626	Fitness standard deviation:	56.3061031933158	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1136	Best fitness:	133.8421768707483	Average fitness:	322.4381768707483	Fitness standard deviation:	42.462886752397544	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1152	Best fitness:	133.8421768707483	Average fitness:	325.2764625850341	Fitness standard deviation:	52.00276130816006	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1168	Best fitness:	133.8421768707483	Average fitness:	321.3118911564627	Fitness standard deviation:	47.407356411839544	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1184	Best fitness:	133.8421768707483	Average fitness:	327.7421768707483	Fitness standard deviation:	49.33781105805162	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1200	Best fitness:	133.8421768707483	Average fitness:	314.73817687074836	Fitness standard deviation:	51.06177731304843	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1216	Best fitness:	133.8421768707483	Average fitness:	322.59360544217685	Fitness standard deviation:	50.38862108347358	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1232	Best fitness:	133.8421768707483	Average fitness:	311.9147482993197	Fitness standard deviation:	56.04675721763254	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1248	Best fitness:	133.8421768707483	Average fitness:	311.628462585034	Fitness standard deviation:	51.35059683773731	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1264	Best fitness:	133.8421768707483	Average fitness:	319.2958911564626	Fitness standard deviation:	43.409685231735644	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1280	Best fitness:	133.8421768707483	Average fitness:	315.89589115646254	Fitness standard deviation:	52.40967994092507	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1296	Best fitness:	133.8421768707483	Average fitness:	314.616462585034	Fitness standard deviation:	49.29666470482977	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1312	Best fitness:	133.8421768707483	Average fitness:	323.08674829931965	Fitness standard deviation:	55.368773682483166	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1328	Best fitness:	133.8421768707483	Average fitness:	310.1936054421769	Fitness standard deviation:	50.77196599120665	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1344	Best fitness:	133.8421768707483	Average fitness:	323.1964625850341	Fitness standard deviation:	44.15048884560761	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1360	Best fitness:	133.8421768707483	Average fitness:	314.66103401360544	Fitness standard deviation:	50.1311232864294	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1376	Best fitness:	133.8421768707483	Average fitness:	319.83017687074835	Fitness standard deviation:	48.04879699570733	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1392	Best fitness:	133.8421768707483	Average fitness:	316.22674829931975	Fitness standard deviation:	50.95389743680066	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1408	Best fitness:	133.8421768707483	Average fitness:	316.7084625850341	Fitness standard deviation:	46.94704700543595	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1424	Best fitness:	133.8421768707483	Average fitness:	319.6381768707482	Fitness standard deviation:	44.857064971724924	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1440	Best fitness:	133.8421768707483	Average fitness:	319.99531972789123	Fitness standard deviation:	46.842037551319045	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1456	Best fitness:	133.8421768707483	Average fitness:	320.2650340136054	Fitness standard deviation:	53.346005875389984	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1472	Best fitness:	133.8421768707483	Average fitness:	321.43246258503393	Fitness standard deviation:	50.82561160899661	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1488	Best fitness:	133.8421768707483	Average fitness:	334.8536054421769	Fitness standard deviation:	49.37709689683248	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1504	Best fitness:	133.8421768707483	Average fitness:	323.9581768707484	Fitness standard deviation:	56.162169389461916	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1520	Best fitness:	133.8421768707483	Average fitness:	318.11989115646253	Fitness standard deviation:	56.16396899749002	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1536	Best fitness:	133.8421768707483	Average fitness:	309.885605442177	Fitness standard deviation:	50.49501029784618	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1552	Best fitness:	133.8421768707483	Average fitness:	320.03360544217685	Fitness standard deviation:	53.562014029896	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1568	Best fitness:	133.8421768707483	Average fitness:	313.4193197278912	Fitness standard deviation:	51.07744228330234	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1584	Best fitness:	133.8421768707483	Average fitness:	314.6158911564626	Fitness standard deviation:	53.52381147466527	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1600	Best fitness:	133.8421768707483	Average fitness:	312.1096054421768	Fitness standard deviation:	46.794572425547344	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1616	Best fitness:	133.8421768707483	Average fitness:	323.040462585034	Fitness standard deviation:	49.6084375344784	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1632	Best fitness:	133.8421768707483	Average fitness:	317.7233197278913	Fitness standard deviation:	48.68933264890697	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1648	Best fitness:	133.8421768707483	Average fitness:	314.29474829931974	Fitness standard deviation:	46.980289522222364	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1664	Best fitness:	133.8421768707483	Average fitness:	317.1398911564627	Fitness standard deviation:	47.94739160916315	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1680	Best fitness:	133.8421768707483	Average fitness:	326.49417687074833	Fitness standard deviation:	54.029378762571284	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1696	Best fitness:	133.8421768707483	Average fitness:	327.2941768707483	Fitness standard deviation:	46.40825707319151	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1712	Best fitness:	133.8421768707483	Average fitness:	326.7233197278912	Fitness standard deviation:	50.85783028748887	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1728	Best fitness:	133.8421768707483	Average fitness:	319.4381768707483	Fitness standard deviation:	50.554960033610946	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
Generation:	1744	Best fitness:	133.8421768707483	Average fitness:	309.3170340136054	Fitness standard deviation:	47.47282441179009	Best genome:	N3	A11	E3	N6	A6	A14	E5	A15	A17	A12	A9	E4	N5	A7	N7	A10	N12	A8	A13	N9	A16	
