Generation:	16	Best fitness:	241.87074829931973	Average fitness:	343.7474625850342	Fitness standard deviation:	33.3963942300876	Best genome:	N12	A6	A14	A12	A15	A17	E4	A16	A13	A11	E3	A7	A9	N6	N7	A10	E5	N5	N3	A8	N9	
Generation:	1104	Best fitness:	145.556462585034	Average fitness:	340.0648911564629	Fitness standard deviation:	37.292723073882726	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A8	A9	N5	A7	A17	N6	E3	N12	
Generation:	1120	Best fitness:	145.556462585034	Average fitness:	341.06560544217683	Fitness standard deviation:	40.99937378914513	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A8	A9	N5	A7	A17	N6	E3	N12	
Generation:	1136	Best fitness:	145.556462585034	Average fitness:	341.5030340136056	Fitness standard deviation:	36.50558316929907	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A8	A9	N5	A7	A17	N6	E3	N12	
Generation:	1152	Best fitness:	145.556462585034	Average fitness:	339.3870340136056	Fitness standard deviation:	38.789860395074726	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A8	A9	N5	A7	A17	N6	E3	N12	
Generation:	1168	Best fitness:	145.556462585034	Average fitness:	335.9580340136056	Fitness standard deviation:	37.187556751182896	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A8	A9	N5	A7	A17	N6	E3	N12	
Generation:	1184	Best fitness:	145.556462585034	Average fitness:	335.6796054421768	Fitness standard deviation:	40.54465156504139	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A8	A9	N5	A7	A17	N6	E3	N12	
Generation:	1200	Best fitness:	144.556462585034	Average fitness:	344.54789115646264	Fitness standard deviation:	38.58520981317234	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	N12	E3	A8	
Generation:	1216	Best fitness:	144.556462585034	Average fitness:	340.41374829932	Fitness standard deviation:	38.51334563260282	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	N12	E3	A8	
Generation:	1232	Best fitness:	144.556462585034	Average fitness:	344.0521768707484	Fitness standard deviation:	34.75147834177384	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	N12	E3	A8	
Generation:	1248	Best fitness:	144.556462585034	Average fitness:	342.2240340136055	Fitness standard deviation:	37.5567169651992	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	N12	E3	A8	
Generation:	1264	Best fitness:	144.556462585034	Average fitness:	342.7276054421769	Fitness standard deviation:	38.61554492846695	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	N12	E3	A8	
Generation:	1280	Best fitness:	144.556462585034	Average fitness:	340.6771768707482	Fitness standard deviation:	36.05111002706676	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	N12	E3	A8	
Generation:	1296	Best fitness:	144.556462585034	Average fitness:	339.70260544217706	Fitness standard deviation:	40.06739202256364	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	N12	E3	A8	
Generation:	1312	Best fitness:	144.556462585034	Average fitness:	341.00989115646274	Fitness standard deviation:	33.16167831478167	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	N12	E3	A8	
Generation:	1328	Best fitness:	141.556462585034	Average fitness:	341.7050340136057	Fitness standard deviation:	35.17030728165043	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1344	Best fitness:	141.556462585034	Average fitness:	343.17303401360556	Fitness standard deviation:	41.22825951371962	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1360	Best fitness:	141.556462585034	Average fitness:	343.40346258503416	Fitness standard deviation:	37.76105064881062	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1376	Best fitness:	141.556462585034	Average fitness:	344.09489115646255	Fitness standard deviation:	39.72644491123909	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1392	Best fitness:	141.556462585034	Average fitness:	339.16874829931993	Fitness standard deviation:	37.02235711853372	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1408	Best fitness:	141.556462585034	Average fitness:	337.38317687074857	Fitness standard deviation:	36.643317521752856	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1424	Best fitness:	141.556462585034	Average fitness:	343.0714625850342	Fitness standard deviation:	38.299776462021505	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1440	Best fitness:	141.556462585034	Average fitness:	341.77789115646266	Fitness standard deviation:	37.41552736171311	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1456	Best fitness:	141.556462585034	Average fitness:	343.659605442177	Fitness standard deviation:	37.35325374893936	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1472	Best fitness:	141.556462585034	Average fitness:	339.8954625850341	Fitness standard deviation:	39.85401233763249	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1488	Best fitness:	141.556462585034	Average fitness:	340.90817687074826	Fitness standard deviation:	41.65214347719573	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1504	Best fitness:	141.556462585034	Average fitness:	336.46674829931976	Fitness standard deviation:	38.047378417023204	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1520	Best fitness:	141.556462585034	Average fitness:	347.7843197278911	Fitness standard deviation:	40.451907594836904	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1536	Best fitness:	141.556462585034	Average fitness:	342.69631972789136	Fitness standard deviation:	36.77150997854237	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1552	Best fitness:	141.556462585034	Average fitness:	342.6448911564629	Fitness standard deviation:	39.314990296582906	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1568	Best fitness:	141.556462585034	Average fitness:	345.307462585034	Fitness standard deviation:	38.18244145853816	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1584	Best fitness:	141.556462585034	Average fitness:	345.4006054421771	Fitness standard deviation:	37.72628107912605	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1600	Best fitness:	141.556462585034	Average fitness:	339.08146258503393	Fitness standard deviation:	39.35609409414175	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1616	Best fitness:	141.556462585034	Average fitness:	342.5420340136056	Fitness standard deviation:	34.627408867507704	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1632	Best fitness:	141.556462585034	Average fitness:	344.6484625850342	Fitness standard deviation:	35.2982592112832	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1648	Best fitness:	141.556462585034	Average fitness:	341.82931972789135	Fitness standard deviation:	38.01874819461728	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1664	Best fitness:	141.556462585034	Average fitness:	342.43317687074835	Fitness standard deviation:	38.03045316558287	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1680	Best fitness:	141.556462585034	Average fitness:	343.8900340136055	Fitness standard deviation:	36.65176421262637	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1696	Best fitness:	141.556462585034	Average fitness:	336.5908911564626	Fitness standard deviation:	34.79186385038424	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1712	Best fitness:	141.556462585034	Average fitness:	336.75274829932	Fitness standard deviation:	40.5681607647763	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1728	Best fitness:	141.556462585034	Average fitness:	344.36974829932007	Fitness standard deviation:	41.01791613305042	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1744	Best fitness:	141.556462585034	Average fitness:	334.7598911564627	Fitness standard deviation:	37.61584528913748	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
Generation:	1760	Best fitness:	141.556462585034	Average fitness:	340.89846258503394	Fitness standard deviation:	39.04743372998999	Best genome:	N3	E4	A11	N7	A6	A14	A10	A15	A12	N9	A13	A16	E5	A9	N5	A7	A17	N6	E3	N12	A8	
