Generation:	16	Best fitness:	214.29931972789115	Average fitness:	341.9753197278914	Fitness standard deviation:	36.91218740608637	Best genome:	N9	A13	A12	E4	E3	A16	E5	A15	N7	A6	A14	A17	A11	N6	N12	A8	A10	N5	N3	A9	A7	
Generation:	256	Best fitness:	125.32789115646258	Average fitness:	333.3956054421769	Fitness standard deviation:	40.541804004241946	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A12	A17	A14	N7	A10	A8	A9	E4	A11	N5	N3	A7	
Generation:	272	Best fitness:	125.32789115646258	Average fitness:	331.93746258503415	Fitness standard deviation:	37.05663776255619	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A12	A17	A14	N7	A10	A8	A9	E4	A11	N5	N3	A7	
Generation:	288	Best fitness:	125.32789115646258	Average fitness:	343.4293197278912	Fitness standard deviation:	40.66257415283364	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A12	A17	A14	N7	A10	A8	A9	E4	A11	N5	N3	A7	
Generation:	304	Best fitness:	120.32789115646258	Average fitness:	341.3074625850344	Fitness standard deviation:	41.529711850035	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	A11	N5	N3	A7	
Generation:	320	Best fitness:	120.32789115646258	Average fitness:	338.6420340136056	Fitness standard deviation:	36.29671897214481	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	A11	N5	N3	A7	
Generation:	336	Best fitness:	120.32789115646258	Average fitness:	338.21246258503385	Fitness standard deviation:	38.997165448011636	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	A11	N5	N3	A7	
Generation:	352	Best fitness:	120.32789115646258	Average fitness:	336.9088911564628	Fitness standard deviation:	38.78418773922998	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	A11	N5	N3	A7	
Generation:	368	Best fitness:	120.32789115646258	Average fitness:	335.3571768707482	Fitness standard deviation:	40.833680020047076	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	A11	N5	N3	A7	
Generation:	384	Best fitness:	120.32789115646258	Average fitness:	338.08517687074857	Fitness standard deviation:	39.378815603658516	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	A11	N5	N3	A7	
Generation:	400	Best fitness:	120.32789115646258	Average fitness:	336.8594625850341	Fitness standard deviation:	39.938993773667626	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	A11	N5	N3	A7	
Generation:	416	Best fitness:	120.32789115646258	Average fitness:	338.3074625850342	Fitness standard deviation:	42.06823411374644	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	A11	N5	N3	A7	
Generation:	432	Best fitness:	115.32789115646258	Average fitness:	336.4010340136057	Fitness standard deviation:	39.325132394914455	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	N3	A11	N5	A7	
Generation:	448	Best fitness:	115.32789115646258	Average fitness:	339.1641768707484	Fitness standard deviation:	43.52111406043306	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	N3	A11	N5	A7	
Generation:	464	Best fitness:	115.32789115646258	Average fitness:	337.9911768707483	Fitness standard deviation:	39.60292628617955	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	N3	A11	N5	A7	
Generation:	480	Best fitness:	115.32789115646258	Average fitness:	338.51646258503433	Fitness standard deviation:	40.385193589043126	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	N3	A11	N5	A7	
Generation:	496	Best fitness:	115.32789115646258	Average fitness:	337.7768911564627	Fitness standard deviation:	40.01593584372331	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	N3	A11	N5	A7	
Generation:	512	Best fitness:	115.32789115646258	Average fitness:	337.553605442177	Fitness standard deviation:	39.867929723126636	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	N3	A11	N5	A7	
Generation:	528	Best fitness:	115.32789115646258	Average fitness:	337.0304625850342	Fitness standard deviation:	41.78156044701723	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	N3	A11	N5	A7	
Generation:	544	Best fitness:	115.32789115646258	Average fitness:	338.0277482993199	Fitness standard deviation:	41.54065124792872	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	N3	A11	N5	A7	
Generation:	560	Best fitness:	115.32789115646258	Average fitness:	342.5946054421769	Fitness standard deviation:	39.7714651351946	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	N3	A11	N5	A7	
Generation:	576	Best fitness:	115.32789115646258	Average fitness:	334.0814625850341	Fitness standard deviation:	43.68907092004983	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	N3	A11	N5	A7	
Generation:	592	Best fitness:	115.32789115646258	Average fitness:	338.71546258503406	Fitness standard deviation:	39.29310419612259	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	E4	N3	A11	N5	A7	
Generation:	608	Best fitness:	110.32789115646258	Average fitness:	338.2418911564628	Fitness standard deviation:	39.141751182498886	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	624	Best fitness:	110.32789115646258	Average fitness:	338.83103401360574	Fitness standard deviation:	40.57780179218331	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	640	Best fitness:	110.32789115646258	Average fitness:	345.66503401360563	Fitness standard deviation:	38.27347554916126	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	656	Best fitness:	110.32789115646258	Average fitness:	342.4868911564627	Fitness standard deviation:	38.918209113892345	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	672	Best fitness:	110.32789115646258	Average fitness:	337.22746258503406	Fitness standard deviation:	42.33994312100333	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	688	Best fitness:	110.32789115646258	Average fitness:	340.9333197278912	Fitness standard deviation:	40.46807594302715	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	704	Best fitness:	110.32789115646258	Average fitness:	340.6677482993197	Fitness standard deviation:	41.47523100500306	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	720	Best fitness:	110.32789115646258	Average fitness:	342.30431972789125	Fitness standard deviation:	41.463934310065014	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	736	Best fitness:	110.32789115646258	Average fitness:	340.01560544217705	Fitness standard deviation:	40.20712978808508	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	752	Best fitness:	110.32789115646258	Average fitness:	337.23374829931976	Fitness standard deviation:	42.75513610846142	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	768	Best fitness:	110.32789115646258	Average fitness:	340.2183197278909	Fitness standard deviation:	39.215430092851804	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	784	Best fitness:	110.32789115646258	Average fitness:	348.2373197278914	Fitness standard deviation:	40.37036194223354	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	800	Best fitness:	110.32789115646258	Average fitness:	343.7344625850341	Fitness standard deviation:	38.021560447424335	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	816	Best fitness:	110.32789115646258	Average fitness:	336.1058911564625	Fitness standard deviation:	42.41381722399204	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	832	Best fitness:	110.32789115646258	Average fitness:	341.2148911564628	Fitness standard deviation:	38.034527095892265	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	848	Best fitness:	110.32789115646258	Average fitness:	336.3883197278911	Fitness standard deviation:	39.687004419788686	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	864	Best fitness:	110.32789115646258	Average fitness:	340.4407482993197	Fitness standard deviation:	41.02026236495565	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	880	Best fitness:	110.32789115646258	Average fitness:	338.57531972789104	Fitness standard deviation:	40.022002870869905	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	896	Best fitness:	110.32789115646258	Average fitness:	337.4043197278912	Fitness standard deviation:	38.832283112568774	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	912	Best fitness:	110.32789115646258	Average fitness:	336.8824625850341	Fitness standard deviation:	41.49069806644396	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	928	Best fitness:	110.32789115646258	Average fitness:	338.0063197278913	Fitness standard deviation:	39.09812135969121	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	944	Best fitness:	110.32789115646258	Average fitness:	341.49546258503403	Fitness standard deviation:	41.576955418322086	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	960	Best fitness:	110.32789115646258	Average fitness:	337.6027482993198	Fitness standard deviation:	41.54993332935047	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	976	Best fitness:	110.32789115646258	Average fitness:	342.1307482993198	Fitness standard deviation:	39.34759925773031	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	992	Best fitness:	110.32789115646258	Average fitness:	343.2081768707482	Fitness standard deviation:	38.73377910816346	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1008	Best fitness:	110.32789115646258	Average fitness:	339.33089115646266	Fitness standard deviation:	42.29262872015909	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1024	Best fitness:	110.32789115646258	Average fitness:	339.75589115646267	Fitness standard deviation:	40.574190847616116	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1040	Best fitness:	110.32789115646258	Average fitness:	338.57560544217716	Fitness standard deviation:	40.163864976836464	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1056	Best fitness:	110.32789115646258	Average fitness:	336.76931972789134	Fitness standard deviation:	40.27906528210405	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1072	Best fitness:	110.32789115646258	Average fitness:	342.87874829932	Fitness standard deviation:	41.71772639039278	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1088	Best fitness:	110.32789115646258	Average fitness:	337.74360544217706	Fitness standard deviation:	42.03670852083099	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1104	Best fitness:	110.32789115646258	Average fitness:	335.36674829931974	Fitness standard deviation:	39.6092841147329	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1120	Best fitness:	110.32789115646258	Average fitness:	337.0776054421769	Fitness standard deviation:	40.937529634449476	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1136	Best fitness:	110.32789115646258	Average fitness:	337.4698911564629	Fitness standard deviation:	41.03581510966105	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1152	Best fitness:	110.32789115646258	Average fitness:	339.9243197278913	Fitness standard deviation:	39.08451543039227	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1168	Best fitness:	110.32789115646258	Average fitness:	337.7427482993199	Fitness standard deviation:	41.078313853677386	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1184	Best fitness:	110.32789115646258	Average fitness:	338.76246258503386	Fitness standard deviation:	41.81484333563469	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1200	Best fitness:	110.32789115646258	Average fitness:	346.4861768707484	Fitness standard deviation:	39.47381967215997	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1216	Best fitness:	110.32789115646258	Average fitness:	341.91860544217707	Fitness standard deviation:	40.65602226520163	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1232	Best fitness:	110.32789115646258	Average fitness:	339.85703401360547	Fitness standard deviation:	40.587508580038445	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1248	Best fitness:	110.32789115646258	Average fitness:	337.83389115646276	Fitness standard deviation:	38.43391992413333	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1264	Best fitness:	110.32789115646258	Average fitness:	340.94531972789133	Fitness standard deviation:	44.052878873703875	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1280	Best fitness:	110.32789115646258	Average fitness:	334.308605442177	Fitness standard deviation:	41.30896191123269	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1296	Best fitness:	110.32789115646258	Average fitness:	342.0153197278914	Fitness standard deviation:	40.72416568243739	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1312	Best fitness:	110.32789115646258	Average fitness:	338.0404625850339	Fitness standard deviation:	39.462909234171896	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1328	Best fitness:	110.32789115646258	Average fitness:	336.06574829932	Fitness standard deviation:	40.03707633085174	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1344	Best fitness:	110.32789115646258	Average fitness:	337.10731972789137	Fitness standard deviation:	39.878393839066206	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1360	Best fitness:	110.32789115646258	Average fitness:	341.67503401360557	Fitness standard deviation:	37.93419110910421	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1376	Best fitness:	110.32789115646258	Average fitness:	340.5543197278912	Fitness standard deviation:	35.9395147137123	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1392	Best fitness:	110.32789115646258	Average fitness:	341.97760544217704	Fitness standard deviation:	43.29275484844257	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1408	Best fitness:	110.32789115646258	Average fitness:	341.46360544217697	Fitness standard deviation:	40.90764668302073	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1424	Best fitness:	110.32789115646258	Average fitness:	337.10174829931964	Fitness standard deviation:	44.3183512713206	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1440	Best fitness:	110.32789115646258	Average fitness:	337.0141768707483	Fitness standard deviation:	40.25730355437864	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1456	Best fitness:	110.32789115646258	Average fitness:	333.8551768707485	Fitness standard deviation:	37.95418524930782	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1472	Best fitness:	110.32789115646258	Average fitness:	335.8257482993197	Fitness standard deviation:	43.22157515261874	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1488	Best fitness:	110.32789115646258	Average fitness:	340.88617687074844	Fitness standard deviation:	42.06626733706557	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1504	Best fitness:	110.32789115646258	Average fitness:	342.91246258503423	Fitness standard deviation:	40.57345435988754	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1520	Best fitness:	110.32789115646258	Average fitness:	337.72117687074854	Fitness standard deviation:	37.25635516011096	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1536	Best fitness:	110.32789115646258	Average fitness:	337.4006054421772	Fitness standard deviation:	45.34009954685109	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1552	Best fitness:	110.32789115646258	Average fitness:	341.07303401360537	Fitness standard deviation:	38.197709874722456	Best genome:	A13	N9	A16	E5	A15	E3	N12	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	A11	N5	A7	
Generation:	1568	Best fitness:	104.87074829931973	Average fitness:	341.8117482993198	Fitness standard deviation:	37.10848762337099	Best genome:	A16	E5	A15	A11	N12	E3	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	N5	A7	A13	N9	
Generation:	1584	Best fitness:	104.87074829931973	Average fitness:	343.0893197278914	Fitness standard deviation:	42.11146935242712	Best genome:	A16	E5	A15	A11	N12	E3	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	N5	A7	A13	N9	
Generation:	1600	Best fitness:	104.87074829931973	Average fitness:	333.53574829932006	Fitness standard deviation:	38.4615695751444	Best genome:	A16	E5	A15	A11	N12	E3	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	N5	A7	A13	N9	
Generation:	1616	Best fitness:	104.87074829931973	Average fitness:	342.7774625850341	Fitness standard deviation:	39.768084575910045	Best genome:	A16	E5	A15	A11	N12	E3	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	N5	A7	A13	N9	
Generation:	1632	Best fitness:	104.87074829931973	Average fitness:	343.8278911564628	Fitness standard deviation:	38.0752165362945	Best genome:	A16	E5	A15	A11	N12	E3	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	N5	A7	A13	N9	
Generation:	1648	Best fitness:	104.87074829931973	Average fitness:	338.2470340136055	Fitness standard deviation:	38.2797457085363	Best genome:	A16	E5	A15	A11	N12	E3	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	N5	A7	A13	N9	
Generation:	1664	Best fitness:	104.87074829931973	Average fitness:	341.42803401360555	Fitness standard deviation:	43.78657067421656	Best genome:	A16	E5	A15	A11	N12	E3	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	N5	A7	A13	N9	
Generation:	1680	Best fitness:	104.87074829931973	Average fitness:	342.75203401360574	Fitness standard deviation:	43.08207687350615	Best genome:	A16	E5	A15	A11	N12	E3	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	N5	A7	A13	N9	
Generation:	1696	Best fitness:	104.8421768707483	Average fitness:	339.4593197278913	Fitness standard deviation:	38.601608087471895	Best genome:	A16	E5	A15	A11	N12	E3	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	N5	A7	N9	A13	
Generation:	1712	Best fitness:	104.8421768707483	Average fitness:	339.02717687074846	Fitness standard deviation:	43.79244282372688	Best genome:	A16	E5	A15	A11	N12	E3	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	N5	A7	N9	A13	
Generation:	1728	Best fitness:	104.8421768707483	Average fitness:	337.1226054421771	Fitness standard deviation:	38.32542003736966	Best genome:	A16	E5	A15	A11	N12	E3	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	N5	A7	N9	A13	
Generation:	1744	Best fitness:	104.8421768707483	Average fitness:	340.1794625850342	Fitness standard deviation:	37.23452761228754	Best genome:	A16	E5	A15	A11	N12	E3	N6	A6	A14	A17	A12	N7	A10	A8	A9	N3	E4	N5	A7	N9	A13	
