Generation:	16	Best fitness:	203.81360544217688	Average fitness:	318.77360544217686	Fitness standard deviation:	32.90879815366047	Best genome:	E5	N6	A11	A15	A14	A17	A12	N7	E4	A7	A16	A9	N5	A10	N12	A6	E3	A8	N9	N3	A13	
Generation:	192	Best fitness:	167.35646258503402	Average fitness:	326.8736054421768	Fitness standard deviation:	52.89901021411131	Best genome:	A9	A7	N9	N3	E4	N5	A6	A10	A8	A16	N12	E3	A11	N7	N6	E5	A15	A14	A17	A12	A13	
Generation:	208	Best fitness:	167.35646258503402	Average fitness:	318.34160544217696	Fitness standard deviation:	48.3764024917192	Best genome:	A9	A7	N9	N3	E4	N5	A6	A10	A8	A16	N12	E3	A11	N7	N6	E5	A15	A14	A17	A12	A13	
Generation:	224	Best fitness:	164.35646258503402	Average fitness:	324.5433197278912	Fitness standard deviation:	45.225455793779474	Best genome:	A9	A7	N9	N3	E4	N5	A6	A10	A8	A16	N12	N7	N6	E3	A11	E5	A15	A14	A17	A12	A13	
Generation:	240	Best fitness:	161.35646258503402	Average fitness:	326.5730340136055	Fitness standard deviation:	41.672156451843705	Best genome:	A9	A7	N9	N3	E4	N5	A10	N12	E3	N6	N7	A6	A8	A16	A11	E5	A15	A14	A17	A12	A13	
Generation:	256	Best fitness:	161.35646258503402	Average fitness:	322.5496054421769	Fitness standard deviation:	40.113852891437865	Best genome:	A9	A7	N9	N3	E4	N5	A10	N12	E3	N6	N7	A6	A8	A16	A11	E5	A15	A14	A17	A12	A13	
Generation:	272	Best fitness:	161.35646258503402	Average fitness:	315.39131972789113	Fitness standard deviation:	44.888026598619454	Best genome:	A9	A7	N9	N3	E4	N5	A10	N12	E3	N6	N7	A6	A8	A16	A11	E5	A15	A14	A17	A12	A13	
Generation:	288	Best fitness:	161.35646258503402	Average fitness:	324.5907482993197	Fitness standard deviation:	53.43157180269098	Best genome:	A9	A7	N9	N3	E4	N5	A10	N12	E3	N6	N7	A6	A8	A16	A11	E5	A15	A14	A17	A12	A13	
Generation:	304	Best fitness:	156.35646258503402	Average fitness:	314.7970340136055	Fitness standard deviation:	49.17510174377073	Best genome:	A9	A7	N9	N3	E4	N5	E3	N7	A6	A10	N6	N12	A8	A16	A11	E5	A15	A14	A17	A12	A13	
Generation:	320	Best fitness:	156.35646258503402	Average fitness:	311.1278911564626	Fitness standard deviation:	49.311305985130666	Best genome:	A9	A7	N9	N3	E4	N5	E3	N7	A6	A10	N6	N12	A8	A16	A11	E5	A15	A14	A17	A12	A13	
Generation:	336	Best fitness:	156.35646258503402	Average fitness:	321.756462585034	Fitness standard deviation:	49.5958523611458	Best genome:	A9	A7	N9	N3	E4	N5	E3	N7	A6	A10	N6	N12	A8	A16	A11	E5	A15	A14	A17	A12	A13	
Generation:	352	Best fitness:	156.35646258503402	Average fitness:	304.50046258503403	Fitness standard deviation:	45.09747011683444	Best genome:	A9	A7	N9	N3	E4	N5	E3	N7	A6	A10	N6	N12	A8	A16	A11	E5	A15	A14	A17	A12	A13	
Generation:	368	Best fitness:	156.35646258503402	Average fitness:	320.4141768707484	Fitness standard deviation:	43.41752622325389	Best genome:	A9	A7	N9	N3	E4	N5	E3	N7	A6	A10	N6	N12	A8	A16	A11	E5	A15	A14	A17	A12	A13	
Generation:	384	Best fitness:	156.35646258503402	Average fitness:	319.9118911564626	Fitness standard deviation:	50.46231624020572	Best genome:	A9	A7	N9	N3	E4	N5	E3	N7	A6	A10	N6	N12	A8	A16	A11	E5	A15	A14	A17	A12	A13	
Generation:	400	Best fitness:	156.35646258503402	Average fitness:	320.7347482993198	Fitness standard deviation:	45.34939175525321	Best genome:	A9	A7	N9	N3	E4	N5	E3	N7	A6	A10	N6	N12	A8	A16	A11	E5	A15	A14	A17	A12	A13	
Generation:	416	Best fitness:	156.35646258503402	Average fitness:	321.24674829931973	Fitness standard deviation:	46.124722968251625	Best genome:	A9	A7	N9	N3	E4	N5	E3	N7	A6	A10	N6	N12	A8	A16	A11	E5	A15	A14	A17	A12	A13	
Generation:	432	Best fitness:	156.35646258503402	Average fitness:	321.20389115646265	Fitness standard deviation:	48.0317315557632	Best genome:	A9	A7	N9	N3	E4	N5	E3	N7	A6	A10	N6	N12	A8	A16	A11	E5	A15	A14	A17	A12	A13	
Generation:	448	Best fitness:	145.87074829931973	Average fitness:	312.75817687074834	Fitness standard deviation:	43.93183603572002	Best genome:	N3	E4	N5	A11	E5	E3	N7	A6	A10	N6	N12	A8	A16	A15	A14	A17	A12	A13	A9	A7	N9	
Generation:	464	Best fitness:	142.87074829931973	Average fitness:	314.00160544217687	Fitness standard deviation:	49.60818500273223	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	A13	A9	A7	N9	
Generation:	480	Best fitness:	142.87074829931973	Average fitness:	314.1507482993196	Fitness standard deviation:	46.23468333250638	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	A13	A9	A7	N9	
Generation:	496	Best fitness:	142.87074829931973	Average fitness:	309.93703401360546	Fitness standard deviation:	48.83125076323604	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	A13	A9	A7	N9	
Generation:	512	Best fitness:	142.87074829931973	Average fitness:	314.87817687074835	Fitness standard deviation:	47.0719070636855	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	A13	A9	A7	N9	
Generation:	528	Best fitness:	142.87074829931973	Average fitness:	315.78846258503404	Fitness standard deviation:	46.577181639397075	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	A13	A9	A7	N9	
Generation:	544	Best fitness:	142.87074829931973	Average fitness:	327.0530340136055	Fitness standard deviation:	50.91622792191031	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	A13	A9	A7	N9	
Generation:	560	Best fitness:	142.81360544217688	Average fitness:	321.4096054421769	Fitness standard deviation:	54.280087530947725	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	A13	N9	A9	A7	
Generation:	576	Best fitness:	142.81360544217688	Average fitness:	308.7621768707484	Fitness standard deviation:	52.96886047095819	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	A13	N9	A9	A7	
Generation:	592	Best fitness:	142.81360544217688	Average fitness:	324.08103401360546	Fitness standard deviation:	46.589196176007704	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	A13	N9	A9	A7	
Generation:	608	Best fitness:	142.81360544217688	Average fitness:	317.4238911564625	Fitness standard deviation:	50.76886616574278	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	A13	N9	A9	A7	
Generation:	624	Best fitness:	142.81360544217688	Average fitness:	316.1096054421769	Fitness standard deviation:	49.47127495046484	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	A13	N9	A9	A7	
Generation:	640	Best fitness:	142.81360544217688	Average fitness:	317.69589115646266	Fitness standard deviation:	51.98323800171414	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	A13	N9	A9	A7	
Generation:	656	Best fitness:	142.81360544217688	Average fitness:	313.2284625850339	Fitness standard deviation:	43.299503033392604	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	A13	N9	A9	A7	
Generation:	672	Best fitness:	142.81360544217688	Average fitness:	306.2061768707483	Fitness standard deviation:	54.3493869623538	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	A13	N9	A9	A7	
Generation:	688	Best fitness:	142.81360544217688	Average fitness:	317.54789115646264	Fitness standard deviation:	48.7076306304531	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	A13	N9	A9	A7	
Generation:	704	Best fitness:	142.81360544217688	Average fitness:	320.6678911564625	Fitness standard deviation:	50.71182231441678	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	A13	N9	A9	A7	
Generation:	720	Best fitness:	142.81360544217688	Average fitness:	308.35360544217684	Fitness standard deviation:	49.547494345510216	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	A13	N9	A9	A7	
Generation:	736	Best fitness:	142.78503401360544	Average fitness:	305.9016054421769	Fitness standard deviation:	50.65186753290968	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	752	Best fitness:	142.78503401360544	Average fitness:	319.56846258503407	Fitness standard deviation:	50.042913532042775	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	768	Best fitness:	142.78503401360544	Average fitness:	327.0581768707483	Fitness standard deviation:	47.65771639257489	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	784	Best fitness:	142.78503401360544	Average fitness:	318.74503401360545	Fitness standard deviation:	46.13483663155651	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	800	Best fitness:	142.78503401360544	Average fitness:	322.464462585034	Fitness standard deviation:	44.734040105531115	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	816	Best fitness:	142.78503401360544	Average fitness:	309.05589115646245	Fitness standard deviation:	44.51531091429014	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	832	Best fitness:	142.78503401360544	Average fitness:	305.7833197278911	Fitness standard deviation:	52.4054097254262	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	848	Best fitness:	142.78503401360544	Average fitness:	310.2970340136054	Fitness standard deviation:	46.30058168277441	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	864	Best fitness:	142.78503401360544	Average fitness:	321.66731972789114	Fitness standard deviation:	47.21007040270722	Best genome:	N3	E4	N5	A11	E5	N6	E3	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	880	Best fitness:	139.78503401360544	Average fitness:	308.37703401360545	Fitness standard deviation:	48.365379096867144	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	896	Best fitness:	139.78503401360544	Average fitness:	304.0707482993198	Fitness standard deviation:	44.21581949797552	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	912	Best fitness:	139.78503401360544	Average fitness:	310.864462585034	Fitness standard deviation:	53.50785051384745	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	928	Best fitness:	139.78503401360544	Average fitness:	316.07131972789125	Fitness standard deviation:	51.940646028688846	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	944	Best fitness:	139.78503401360544	Average fitness:	316.6410340136054	Fitness standard deviation:	52.45366809531114	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	960	Best fitness:	139.78503401360544	Average fitness:	316.8176054421769	Fitness standard deviation:	52.449270809895886	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	976	Best fitness:	139.78503401360544	Average fitness:	308.33474829931964	Fitness standard deviation:	46.93192553701846	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	992	Best fitness:	139.78503401360544	Average fitness:	319.32389115646254	Fitness standard deviation:	43.76640143082455	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1008	Best fitness:	139.78503401360544	Average fitness:	312.6273197278911	Fitness standard deviation:	53.618979350713545	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1024	Best fitness:	139.78503401360544	Average fitness:	318.34217687074823	Fitness standard deviation:	48.131234629279724	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1040	Best fitness:	139.78503401360544	Average fitness:	310.29246258503383	Fitness standard deviation:	49.891949392703445	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1056	Best fitness:	139.78503401360544	Average fitness:	317.36560544217684	Fitness standard deviation:	53.884480349453234	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1072	Best fitness:	139.78503401360544	Average fitness:	314.43017687074826	Fitness standard deviation:	47.10505327196969	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1088	Best fitness:	139.78503401360544	Average fitness:	316.8256054421769	Fitness standard deviation:	41.9915498166	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1104	Best fitness:	139.78503401360544	Average fitness:	319.52903401360544	Fitness standard deviation:	45.08765158249529	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1120	Best fitness:	139.78503401360544	Average fitness:	310.1393197278912	Fitness standard deviation:	44.93366939053564	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1136	Best fitness:	139.78503401360544	Average fitness:	306.2027482993197	Fitness standard deviation:	49.09338336564016	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1152	Best fitness:	139.78503401360544	Average fitness:	315.50446258503393	Fitness standard deviation:	46.912973251173355	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1168	Best fitness:	139.78503401360544	Average fitness:	307.0890340136055	Fitness standard deviation:	46.07578983034145	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1184	Best fitness:	139.78503401360544	Average fitness:	311.74217687074827	Fitness standard deviation:	54.303029193515876	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1200	Best fitness:	139.78503401360544	Average fitness:	323.148462585034	Fitness standard deviation:	47.738893240592986	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1216	Best fitness:	139.78503401360544	Average fitness:	328.0878911564627	Fitness standard deviation:	48.839523640057706	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1232	Best fitness:	139.78503401360544	Average fitness:	316.5433197278911	Fitness standard deviation:	43.492441082870236	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1248	Best fitness:	139.78503401360544	Average fitness:	308.62617687074834	Fitness standard deviation:	54.2898985334796	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1264	Best fitness:	139.78503401360544	Average fitness:	315.3313197278912	Fitness standard deviation:	50.69412899710884	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1280	Best fitness:	139.78503401360544	Average fitness:	315.42331972789117	Fitness standard deviation:	51.09944481826288	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1296	Best fitness:	139.78503401360544	Average fitness:	310.6564625850341	Fitness standard deviation:	55.007128072419036	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1312	Best fitness:	139.78503401360544	Average fitness:	302.4736054421768	Fitness standard deviation:	54.9247509724692	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1328	Best fitness:	139.78503401360544	Average fitness:	325.5593197278912	Fitness standard deviation:	46.350506062446584	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1344	Best fitness:	139.78503401360544	Average fitness:	313.3256054421768	Fitness standard deviation:	45.592910598209514	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1360	Best fitness:	139.78503401360544	Average fitness:	304.1318911564626	Fitness standard deviation:	52.34734666024006	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1376	Best fitness:	139.78503401360544	Average fitness:	324.2798911564626	Fitness standard deviation:	49.61137441666179	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1392	Best fitness:	139.78503401360544	Average fitness:	325.34331972789107	Fitness standard deviation:	49.811610222714066	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1408	Best fitness:	139.78503401360544	Average fitness:	313.2427482993197	Fitness standard deviation:	54.0787539072718	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1424	Best fitness:	139.78503401360544	Average fitness:	303.9581768707483	Fitness standard deviation:	50.64681658025789	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1440	Best fitness:	139.78503401360544	Average fitness:	309.4267482993197	Fitness standard deviation:	47.005064498304826	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1456	Best fitness:	139.78503401360544	Average fitness:	311.85817687074825	Fitness standard deviation:	43.32579235023302	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1472	Best fitness:	139.78503401360544	Average fitness:	314.4507482993197	Fitness standard deviation:	47.212770410090506	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1488	Best fitness:	139.78503401360544	Average fitness:	314.1056054421767	Fitness standard deviation:	43.20386992870345	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1504	Best fitness:	139.78503401360544	Average fitness:	314.15531972789114	Fitness standard deviation:	53.77495903394108	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1520	Best fitness:	139.78503401360544	Average fitness:	311.0181768707482	Fitness standard deviation:	47.02541019057501	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1536	Best fitness:	139.78503401360544	Average fitness:	315.7581768707483	Fitness standard deviation:	53.47649994194474	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1552	Best fitness:	139.78503401360544	Average fitness:	321.45131972789125	Fitness standard deviation:	49.144109432549165	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1568	Best fitness:	139.78503401360544	Average fitness:	309.05303401360544	Fitness standard deviation:	56.9893864490287	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1584	Best fitness:	139.78503401360544	Average fitness:	318.96046258503407	Fitness standard deviation:	41.19024771045908	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1600	Best fitness:	139.78503401360544	Average fitness:	324.5147482993197	Fitness standard deviation:	47.93544237230498	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1616	Best fitness:	139.78503401360544	Average fitness:	312.1341768707482	Fitness standard deviation:	45.11498064786399	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1632	Best fitness:	139.78503401360544	Average fitness:	318.040462585034	Fitness standard deviation:	41.754520091621615	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1648	Best fitness:	139.78503401360544	Average fitness:	315.91246258503395	Fitness standard deviation:	48.07197637896316	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1664	Best fitness:	139.78503401360544	Average fitness:	307.2238911564625	Fitness standard deviation:	43.77525487192554	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1680	Best fitness:	139.78503401360544	Average fitness:	316.48160544217683	Fitness standard deviation:	50.42411470067609	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1696	Best fitness:	139.78503401360544	Average fitness:	329.5078911564626	Fitness standard deviation:	49.93916372416931	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1712	Best fitness:	139.78503401360544	Average fitness:	316.7793197278911	Fitness standard deviation:	50.69246468174737	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1728	Best fitness:	139.78503401360544	Average fitness:	306.4741768707483	Fitness standard deviation:	44.691403963680735	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
Generation:	1744	Best fitness:	139.78503401360544	Average fitness:	321.90446258503385	Fitness standard deviation:	49.803255590659646	Best genome:	N3	E4	N5	A11	E5	E3	N6	N7	A6	A10	N12	A8	A16	A15	A14	A17	A12	N9	A13	A9	A7	
