Generation:	16	Best fitness:	240.6421768707483	Average fitness:	338.2130340136054	Fitness standard deviation:	39.36162245287214	Best genome:	A9	N5	N3	A11	E3	A10	N7	E5	N6	N12	A8	A14	N9	A6	A12	A15	A17	A7	E4	A13	A16	
Generation:	400	Best fitness:	135.6421768707483	Average fitness:	314.8136054421769	Fitness standard deviation:	47.42804612445755	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	416	Best fitness:	135.6421768707483	Average fitness:	314.11589115646257	Fitness standard deviation:	45.68581795396082	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	432	Best fitness:	135.6421768707483	Average fitness:	322.15131972789106	Fitness standard deviation:	51.07729514836773	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	448	Best fitness:	135.6421768707483	Average fitness:	314.6061768707483	Fitness standard deviation:	43.660685275129126	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	464	Best fitness:	135.6421768707483	Average fitness:	318.8273197278911	Fitness standard deviation:	45.62045665027468	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	480	Best fitness:	135.6421768707483	Average fitness:	316.1530340136054	Fitness standard deviation:	50.03211789338884	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	496	Best fitness:	135.6421768707483	Average fitness:	307.6101768707483	Fitness standard deviation:	44.67158075354406	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	512	Best fitness:	135.6421768707483	Average fitness:	309.05817687074835	Fitness standard deviation:	48.79025702673326	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	528	Best fitness:	135.6421768707483	Average fitness:	319.4547482993197	Fitness standard deviation:	43.98169532421229	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	544	Best fitness:	135.6421768707483	Average fitness:	313.1021768707483	Fitness standard deviation:	45.86856226307549	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	560	Best fitness:	135.6421768707483	Average fitness:	325.0976054421769	Fitness standard deviation:	48.32293118896946	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	576	Best fitness:	135.6421768707483	Average fitness:	318.40160544217684	Fitness standard deviation:	54.28818553472811	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	592	Best fitness:	135.6421768707483	Average fitness:	320.69531972789116	Fitness standard deviation:	43.19568421752812	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	608	Best fitness:	135.6421768707483	Average fitness:	314.5227482993198	Fitness standard deviation:	47.34096649039707	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	624	Best fitness:	135.6421768707483	Average fitness:	315.3793197278912	Fitness standard deviation:	41.78425169601483	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	640	Best fitness:	135.6421768707483	Average fitness:	317.77074829931973	Fitness standard deviation:	51.1484578736949	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	656	Best fitness:	135.6421768707483	Average fitness:	327.2153197278911	Fitness standard deviation:	51.05552716605796	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	672	Best fitness:	135.6421768707483	Average fitness:	318.9890340136054	Fitness standard deviation:	58.55375259694013	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	688	Best fitness:	135.6421768707483	Average fitness:	313.93931972789113	Fitness standard deviation:	48.36080855487874	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	704	Best fitness:	135.6421768707483	Average fitness:	312.0930340136054	Fitness standard deviation:	52.46389290215681	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	720	Best fitness:	135.6421768707483	Average fitness:	322.9958911564625	Fitness standard deviation:	51.17239335135814	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	736	Best fitness:	135.6421768707483	Average fitness:	318.69817687074817	Fitness standard deviation:	45.27136066712664	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	752	Best fitness:	135.6421768707483	Average fitness:	310.0981768707483	Fitness standard deviation:	42.301806189064116	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	768	Best fitness:	135.6421768707483	Average fitness:	320.1067482993196	Fitness standard deviation:	46.10978055883234	Best genome:	A9	N5	N3	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	784	Best fitness:	125.6421768707483	Average fitness:	316.2753197278911	Fitness standard deviation:	50.55686355551963	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	800	Best fitness:	125.6421768707483	Average fitness:	309.81017687074836	Fitness standard deviation:	51.33435358152134	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	816	Best fitness:	125.6421768707483	Average fitness:	322.7690340136055	Fitness standard deviation:	50.484198913307196	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	832	Best fitness:	125.6421768707483	Average fitness:	303.8930340136055	Fitness standard deviation:	51.68879222928747	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	848	Best fitness:	125.6421768707483	Average fitness:	311.8518911564626	Fitness standard deviation:	47.092849185499105	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	864	Best fitness:	125.6421768707483	Average fitness:	316.8330340136054	Fitness standard deviation:	46.58848222030673	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	880	Best fitness:	125.6421768707483	Average fitness:	315.6158911564625	Fitness standard deviation:	49.07691251203855	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	896	Best fitness:	125.6421768707483	Average fitness:	315.19017687074825	Fitness standard deviation:	47.654317727156865	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	912	Best fitness:	125.6421768707483	Average fitness:	322.0638911564626	Fitness standard deviation:	53.19189214264037	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	928	Best fitness:	125.6421768707483	Average fitness:	317.9147482993197	Fitness standard deviation:	43.815902512439386	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	944	Best fitness:	125.6421768707483	Average fitness:	318.280462585034	Fitness standard deviation:	47.80283506578381	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	960	Best fitness:	125.6421768707483	Average fitness:	321.56960544217685	Fitness standard deviation:	44.93971661354934	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	976	Best fitness:	125.6421768707483	Average fitness:	317.29760544217686	Fitness standard deviation:	48.14365693612892	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	992	Best fitness:	125.6421768707483	Average fitness:	319.0776054421768	Fitness standard deviation:	47.84885030414599	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1008	Best fitness:	125.6421768707483	Average fitness:	317.2907482993197	Fitness standard deviation:	49.20422455730518	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1024	Best fitness:	125.6421768707483	Average fitness:	315.1016054421769	Fitness standard deviation:	51.163612337564395	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1040	Best fitness:	125.6421768707483	Average fitness:	314.4776054421769	Fitness standard deviation:	43.78885649317177	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1056	Best fitness:	125.6421768707483	Average fitness:	323.52331972789113	Fitness standard deviation:	56.63381966742531	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1072	Best fitness:	125.6421768707483	Average fitness:	316.51017687074835	Fitness standard deviation:	44.85816264172929	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1088	Best fitness:	125.6421768707483	Average fitness:	306.55189115646255	Fitness standard deviation:	54.11261978428291	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1104	Best fitness:	125.6421768707483	Average fitness:	313.01646258503393	Fitness standard deviation:	59.107596459200344	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1120	Best fitness:	125.6421768707483	Average fitness:	313.1810340136053	Fitness standard deviation:	50.975389343229914	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1136	Best fitness:	125.6421768707483	Average fitness:	314.36674829931974	Fitness standard deviation:	47.57208708596129	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1152	Best fitness:	125.6421768707483	Average fitness:	323.4581768707483	Fitness standard deviation:	49.39493790803645	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1168	Best fitness:	125.6421768707483	Average fitness:	320.8410340136055	Fitness standard deviation:	50.49378121661142	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1184	Best fitness:	125.6421768707483	Average fitness:	318.8250340136054	Fitness standard deviation:	51.664580374818904	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1200	Best fitness:	125.6421768707483	Average fitness:	319.02274829931974	Fitness standard deviation:	47.147822921149626	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1216	Best fitness:	125.6421768707483	Average fitness:	330.6644625850341	Fitness standard deviation:	45.93040211059355	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1232	Best fitness:	125.6421768707483	Average fitness:	320.85360544217684	Fitness standard deviation:	56.59757317938569	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1248	Best fitness:	125.6421768707483	Average fitness:	309.692462585034	Fitness standard deviation:	50.982781426273554	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1264	Best fitness:	125.6421768707483	Average fitness:	315.3187482993198	Fitness standard deviation:	56.92466097055164	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1280	Best fitness:	125.6421768707483	Average fitness:	314.7427482993197	Fitness standard deviation:	52.56198059201253	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1296	Best fitness:	125.6421768707483	Average fitness:	317.35074829931966	Fitness standard deviation:	48.63517396842306	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1312	Best fitness:	125.6421768707483	Average fitness:	301.96046258503395	Fitness standard deviation:	49.75954130965174	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1328	Best fitness:	125.6421768707483	Average fitness:	317.07589115646255	Fitness standard deviation:	58.4961075809532	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1344	Best fitness:	125.6421768707483	Average fitness:	309.74331972789116	Fitness standard deviation:	53.861289483415895	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1360	Best fitness:	125.6421768707483	Average fitness:	313.6130340136054	Fitness standard deviation:	46.525324239513225	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1376	Best fitness:	125.6421768707483	Average fitness:	317.43531972789106	Fitness standard deviation:	52.566217928107655	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1392	Best fitness:	125.6421768707483	Average fitness:	320.4621768707483	Fitness standard deviation:	43.82539316097787	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1408	Best fitness:	125.6421768707483	Average fitness:	311.87589115646256	Fitness standard deviation:	53.78701115947407	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1424	Best fitness:	125.6421768707483	Average fitness:	322.1621768707482	Fitness standard deviation:	51.59909665401327	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1440	Best fitness:	125.6421768707483	Average fitness:	313.87131972789115	Fitness standard deviation:	54.05794517375002	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1456	Best fitness:	125.6421768707483	Average fitness:	311.4718911564626	Fitness standard deviation:	50.386630218901594	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1472	Best fitness:	125.6421768707483	Average fitness:	316.5678911564626	Fitness standard deviation:	52.512693276026525	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1488	Best fitness:	125.6421768707483	Average fitness:	322.4918911564626	Fitness standard deviation:	44.79596184788927	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1504	Best fitness:	125.6421768707483	Average fitness:	310.74560544217684	Fitness standard deviation:	47.83422560536866	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1520	Best fitness:	125.6421768707483	Average fitness:	315.11703401360546	Fitness standard deviation:	52.007185654229254	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1536	Best fitness:	125.6421768707483	Average fitness:	320.24846258503396	Fitness standard deviation:	43.25041891126605	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1552	Best fitness:	125.6421768707483	Average fitness:	321.7216054421767	Fitness standard deviation:	51.37820527048727	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1568	Best fitness:	125.6421768707483	Average fitness:	321.51817687074833	Fitness standard deviation:	54.193708682232604	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1584	Best fitness:	125.6421768707483	Average fitness:	320.9387482993197	Fitness standard deviation:	55.65433401243202	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1600	Best fitness:	125.6421768707483	Average fitness:	315.8336054421768	Fitness standard deviation:	45.71932731127962	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1616	Best fitness:	125.6421768707483	Average fitness:	328.10503401360535	Fitness standard deviation:	46.25333011728751	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1632	Best fitness:	125.6421768707483	Average fitness:	310.448462585034	Fitness standard deviation:	49.855498389580546	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1648	Best fitness:	125.6421768707483	Average fitness:	326.15703401360537	Fitness standard deviation:	44.42872374434156	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1664	Best fitness:	125.6421768707483	Average fitness:	330.32103401360547	Fitness standard deviation:	50.972244567459434	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1680	Best fitness:	125.6421768707483	Average fitness:	308.59874829931965	Fitness standard deviation:	56.53443386042145	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1696	Best fitness:	125.6421768707483	Average fitness:	323.71931972789116	Fitness standard deviation:	46.3770728894776	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1712	Best fitness:	125.6421768707483	Average fitness:	320.6867482993197	Fitness standard deviation:	48.98849916176703	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1728	Best fitness:	125.6421768707483	Average fitness:	320.240462585034	Fitness standard deviation:	53.97291275581613	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
Generation:	1744	Best fitness:	125.6421768707483	Average fitness:	310.7838911564625	Fitness standard deviation:	51.12747955885188	Best genome:	A9	N3	N5	A11	N6	N7	A6	A12	A10	E3	N12	A8	N9	E5	A15	A14	A17	E4	A7	A13	A16	
