Generation:	16	Best fitness:	254.556462585034	Average fitness:	325.09360544217685	Fitness standard deviation:	42.33941724990112	Best genome:	A16	N3	E4	A9	A6	A10	A7	A17	A8	N9	A11	N7	N6	E3	N5	A15	A14	A12	A13	N12	E5	
Generation:	192	Best fitness:	173.87074829931973	Average fitness:	280.006462585034	Fitness standard deviation:	52.67170938357474	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A10	A8	A15	A12	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	208	Best fitness:	173.87074829931973	Average fitness:	276.5850340136054	Fitness standard deviation:	48.588150062855995	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A10	A8	A15	A12	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	224	Best fitness:	173.87074829931973	Average fitness:	279.9978911564626	Fitness standard deviation:	41.04769498114731	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A10	A8	A15	A12	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	240	Best fitness:	173.87074829931973	Average fitness:	284.2350340136054	Fitness standard deviation:	38.25344575649228	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A10	A8	A15	A12	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	256	Best fitness:	173.87074829931973	Average fitness:	292.19074829931975	Fitness standard deviation:	50.0194220237683	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A10	A8	A15	A12	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	272	Best fitness:	173.87074829931973	Average fitness:	291.4821768707483	Fitness standard deviation:	50.547597613435556	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A10	A8	A15	A12	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	288	Best fitness:	165.87074829931973	Average fitness:	283.69217687074826	Fitness standard deviation:	42.61322097707255	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	304	Best fitness:	165.87074829931973	Average fitness:	300.4136054421769	Fitness standard deviation:	46.20595155587291	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	320	Best fitness:	165.87074829931973	Average fitness:	278.86360544217683	Fitness standard deviation:	42.645558540899735	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	336	Best fitness:	165.87074829931973	Average fitness:	301.7207482993197	Fitness standard deviation:	44.38947280514117	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	352	Best fitness:	165.87074829931973	Average fitness:	278.276462585034	Fitness standard deviation:	44.502766343733036	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	368	Best fitness:	165.87074829931973	Average fitness:	284.6278911564626	Fitness standard deviation:	40.855858621175365	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	384	Best fitness:	165.87074829931973	Average fitness:	306.10074829931966	Fitness standard deviation:	48.28938825836735	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	400	Best fitness:	165.87074829931973	Average fitness:	299.7021768707483	Fitness standard deviation:	49.25762006729393	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	416	Best fitness:	165.87074829931973	Average fitness:	292.97503401360547	Fitness standard deviation:	48.50813041466895	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	432	Best fitness:	165.87074829931973	Average fitness:	286.3536054421768	Fitness standard deviation:	57.53636713294595	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	448	Best fitness:	165.87074829931973	Average fitness:	286.28503401360547	Fitness standard deviation:	50.8596680753492	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	464	Best fitness:	165.87074829931973	Average fitness:	284.36789115646263	Fitness standard deviation:	46.11521631208298	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	480	Best fitness:	165.87074829931973	Average fitness:	277.82503401360543	Fitness standard deviation:	46.76437018037714	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	496	Best fitness:	165.87074829931973	Average fitness:	294.1178911564626	Fitness standard deviation:	60.036818822167064	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	512	Best fitness:	165.87074829931973	Average fitness:	302.28217687074823	Fitness standard deviation:	43.44395066035767	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	528	Best fitness:	165.87074829931973	Average fitness:	316.18074829931976	Fitness standard deviation:	54.06473917859014	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	544	Best fitness:	165.87074829931973	Average fitness:	286.6236054421768	Fitness standard deviation:	42.33418966138024	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	560	Best fitness:	165.87074829931973	Average fitness:	306.23646258503396	Fitness standard deviation:	45.37556530260105	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	576	Best fitness:	165.87074829931973	Average fitness:	287.70789115646255	Fitness standard deviation:	51.13572903238468	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	592	Best fitness:	165.87074829931973	Average fitness:	296.62503401360544	Fitness standard deviation:	37.19456774029986	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A16	A13	A9	N7	A6	A14	A17	A7	N9	
Generation:	608	Best fitness:	165.81360544217688	Average fitness:	286.32646258503394	Fitness standard deviation:	41.85970199392738	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	624	Best fitness:	165.81360544217688	Average fitness:	281.20646258503405	Fitness standard deviation:	37.70567745373232	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	640	Best fitness:	165.81360544217688	Average fitness:	280.5721768707484	Fitness standard deviation:	48.06621238946738	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	656	Best fitness:	165.81360544217688	Average fitness:	276.1121768707482	Fitness standard deviation:	44.87836029144758	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	672	Best fitness:	165.81360544217688	Average fitness:	279.88646258503405	Fitness standard deviation:	57.39070853832188	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	688	Best fitness:	165.81360544217688	Average fitness:	278.76360544217687	Fitness standard deviation:	49.58605537603391	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	704	Best fitness:	165.81360544217688	Average fitness:	280.6336054421769	Fitness standard deviation:	49.648870838219516	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	720	Best fitness:	165.81360544217688	Average fitness:	296.59360544217685	Fitness standard deviation:	50.40943959220336	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	736	Best fitness:	165.81360544217688	Average fitness:	285.84360544217685	Fitness standard deviation:	48.681182279842645	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	752	Best fitness:	165.81360544217688	Average fitness:	302.32503401360543	Fitness standard deviation:	54.41385770375118	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	768	Best fitness:	165.81360544217688	Average fitness:	273.8207482993197	Fitness standard deviation:	50.998231161802586	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	784	Best fitness:	165.81360544217688	Average fitness:	281.5693197278912	Fitness standard deviation:	43.91792946589614	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	800	Best fitness:	165.81360544217688	Average fitness:	267.9621768707483	Fitness standard deviation:	41.40946613655247	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	816	Best fitness:	165.81360544217688	Average fitness:	293.1793197278911	Fitness standard deviation:	49.440347564989246	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	832	Best fitness:	165.81360544217688	Average fitness:	281.176462585034	Fitness standard deviation:	48.26636137949831	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	848	Best fitness:	165.81360544217688	Average fitness:	295.54646258503396	Fitness standard deviation:	55.40816949637278	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	864	Best fitness:	165.81360544217688	Average fitness:	272.30217687074827	Fitness standard deviation:	50.4949889613225	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	880	Best fitness:	165.81360544217688	Average fitness:	284.9621768707483	Fitness standard deviation:	52.60018902736268	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	896	Best fitness:	165.81360544217688	Average fitness:	277.576462585034	Fitness standard deviation:	47.19802840918554	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	912	Best fitness:	165.81360544217688	Average fitness:	284.436462585034	Fitness standard deviation:	66.70037579063737	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	928	Best fitness:	165.81360544217688	Average fitness:	290.15360544217685	Fitness standard deviation:	48.36351120758842	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	944	Best fitness:	165.81360544217688	Average fitness:	295.12074829931976	Fitness standard deviation:	41.8312644283372	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	960	Best fitness:	165.81360544217688	Average fitness:	287.84646258503403	Fitness standard deviation:	57.4544087400912	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	976	Best fitness:	165.81360544217688	Average fitness:	284.506462585034	Fitness standard deviation:	56.55065482577978	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	992	Best fitness:	165.81360544217688	Average fitness:	287.57360544217687	Fitness standard deviation:	42.92569983264628	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1008	Best fitness:	165.81360544217688	Average fitness:	290.8021768707483	Fitness standard deviation:	46.90893252910802	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1024	Best fitness:	165.81360544217688	Average fitness:	287.28503401360547	Fitness standard deviation:	49.988990216418074	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1040	Best fitness:	165.81360544217688	Average fitness:	287.7378911564626	Fitness standard deviation:	48.56205058626392	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1056	Best fitness:	165.81360544217688	Average fitness:	275.99503401360545	Fitness standard deviation:	54.68448742839345	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1072	Best fitness:	165.81360544217688	Average fitness:	296.28360544217685	Fitness standard deviation:	50.037007916386145	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1088	Best fitness:	165.81360544217688	Average fitness:	306.02074829931973	Fitness standard deviation:	53.680952328150276	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1104	Best fitness:	165.81360544217688	Average fitness:	310.58931972789117	Fitness standard deviation:	50.66814583188155	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1120	Best fitness:	165.81360544217688	Average fitness:	264.7878911564626	Fitness standard deviation:	47.120476852165986	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1136	Best fitness:	165.81360544217688	Average fitness:	291.57503401360543	Fitness standard deviation:	45.54318898875337	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1152	Best fitness:	165.81360544217688	Average fitness:	273.23646258503396	Fitness standard deviation:	47.60825395766957	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1168	Best fitness:	165.81360544217688	Average fitness:	280.0021768707483	Fitness standard deviation:	52.45822236673247	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1184	Best fitness:	165.81360544217688	Average fitness:	280.69646258503394	Fitness standard deviation:	48.08804501608885	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1200	Best fitness:	165.81360544217688	Average fitness:	300.7578911564625	Fitness standard deviation:	62.61000211872	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1216	Best fitness:	165.81360544217688	Average fitness:	272.1807482993197	Fitness standard deviation:	59.6721657842897	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1232	Best fitness:	165.81360544217688	Average fitness:	265.73931972789114	Fitness standard deviation:	52.336755258808395	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1248	Best fitness:	165.81360544217688	Average fitness:	290.1121768707482	Fitness standard deviation:	39.83924992634622	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1264	Best fitness:	165.81360544217688	Average fitness:	299.1507482993197	Fitness standard deviation:	42.21464065598907	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1280	Best fitness:	165.81360544217688	Average fitness:	294.3778911564626	Fitness standard deviation:	58.430529394368165	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1296	Best fitness:	165.81360544217688	Average fitness:	293.47503401360535	Fitness standard deviation:	49.42856257225354	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1312	Best fitness:	165.81360544217688	Average fitness:	288.5250340136055	Fitness standard deviation:	48.57230663071882	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1328	Best fitness:	165.81360544217688	Average fitness:	276.4336054421769	Fitness standard deviation:	45.06726863302031	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1344	Best fitness:	165.81360544217688	Average fitness:	284.09360544217685	Fitness standard deviation:	47.88321046982918	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1360	Best fitness:	165.81360544217688	Average fitness:	296.5978911564626	Fitness standard deviation:	50.99000260155046	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1376	Best fitness:	165.81360544217688	Average fitness:	302.93217687074826	Fitness standard deviation:	52.59885486066272	Best genome:	E5	N12	A11	E3	N6	N5	E4	N3	A15	A12	A10	A8	A9	N7	A6	A14	A17	A7	N9	A16	A13	
Generation:	1392	Best fitness:	164.756462585034	Average fitness:	277.6564625850339	Fitness standard deviation:	43.213215571165264	Best genome:	A9	N12	A11	E3	N6	N5	E4	N3	A6	A14	A15	A12	A17	A10	N7	A7	N9	A13	A16	E5	A8	
Generation:	1408	Best fitness:	156.756462585034	Average fitness:	284.5650340136054	Fitness standard deviation:	52.33492695697432	Best genome:	A9	N12	A11	E3	N6	N5	E4	N3	A6	A14	A15	A12	A17	N7	A10	A7	N9	A13	A16	E5	A8	
Generation:	1424	Best fitness:	131.756462585034	Average fitness:	264.18789115646257	Fitness standard deviation:	40.2407316239734	Best genome:	A9	E4	A11	N12	E3	A15	A12	N6	N5	N3	A6	A14	A17	N7	A10	A7	N9	A13	A16	E5	A8	
Generation:	1440	Best fitness:	130.756462585034	Average fitness:	276.3936054421768	Fitness standard deviation:	56.45452141108897	Best genome:	A9	E4	A11	N12	E3	A15	A12	N6	N5	N3	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1456	Best fitness:	130.756462585034	Average fitness:	262.7207482993197	Fitness standard deviation:	55.51490101489759	Best genome:	A9	E4	A11	N12	E3	A15	A12	N6	N5	N3	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1472	Best fitness:	130.756462585034	Average fitness:	273.8093197278911	Fitness standard deviation:	58.83028463126725	Best genome:	A9	E4	A11	N12	E3	A15	A12	N6	N5	N3	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1488	Best fitness:	130.756462585034	Average fitness:	273.34789115646254	Fitness standard deviation:	59.895688986634696	Best genome:	A9	E4	A11	N12	E3	A15	A12	N6	N5	N3	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1504	Best fitness:	130.756462585034	Average fitness:	282.47646258503397	Fitness standard deviation:	56.51995031556088	Best genome:	A9	E4	A11	N12	E3	A15	A12	N6	N5	N3	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1520	Best fitness:	121.75646258503401	Average fitness:	263.25503401360544	Fitness standard deviation:	69.63416618298807	Best genome:	A9	E4	A11	N12	E3	A15	A12	N5	N3	N6	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1536	Best fitness:	121.75646258503401	Average fitness:	271.0950340136054	Fitness standard deviation:	74.2157061736742	Best genome:	A9	E4	A11	N12	E3	A15	A12	N5	N3	N6	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1552	Best fitness:	121.75646258503401	Average fitness:	262.15789115646254	Fitness standard deviation:	56.15150531356744	Best genome:	A9	E4	A11	N12	E3	A15	A12	N5	N3	N6	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1568	Best fitness:	121.75646258503401	Average fitness:	253.58074829931965	Fitness standard deviation:	64.66137999815118	Best genome:	A9	E4	A11	N12	E3	A15	A12	N5	N3	N6	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1584	Best fitness:	121.75646258503401	Average fitness:	263.8221768707483	Fitness standard deviation:	49.4479665498832	Best genome:	A9	E4	A11	N12	E3	A15	A12	N5	N3	N6	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1600	Best fitness:	121.75646258503401	Average fitness:	266.0236054421769	Fitness standard deviation:	59.37468248679873	Best genome:	A9	E4	A11	N12	E3	A15	A12	N5	N3	N6	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1616	Best fitness:	121.75646258503401	Average fitness:	265.50217687074826	Fitness standard deviation:	57.27821176378627	Best genome:	A9	E4	A11	N12	E3	A15	A12	N5	N3	N6	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1632	Best fitness:	121.75646258503401	Average fitness:	263.9978911564626	Fitness standard deviation:	49.23123736666653	Best genome:	A9	E4	A11	N12	E3	A15	A12	N5	N3	N6	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1648	Best fitness:	121.75646258503401	Average fitness:	274.08360544217686	Fitness standard deviation:	65.30818898866812	Best genome:	A9	E4	A11	N12	E3	A15	A12	N5	N3	N6	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1664	Best fitness:	121.75646258503401	Average fitness:	273.44503401360544	Fitness standard deviation:	57.99443245621399	Best genome:	A9	E4	A11	N12	E3	A15	A12	N5	N3	N6	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1680	Best fitness:	121.75646258503401	Average fitness:	259.2336054421769	Fitness standard deviation:	63.345923052292314	Best genome:	A9	E4	A11	N12	E3	A15	A12	N5	N3	N6	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1696	Best fitness:	121.75646258503401	Average fitness:	284.4850340136054	Fitness standard deviation:	60.22989257157673	Best genome:	A9	E4	A11	N12	E3	A15	A12	N5	N3	N6	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1712	Best fitness:	121.75646258503401	Average fitness:	283.0350340136054	Fitness standard deviation:	55.69077223602577	Best genome:	A9	E4	A11	N12	E3	A15	A12	N5	N3	N6	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1728	Best fitness:	121.75646258503401	Average fitness:	255.216462585034	Fitness standard deviation:	59.711161845835754	Best genome:	A9	E4	A11	N12	E3	A15	A12	N5	N3	N6	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
Generation:	1744	Best fitness:	121.75646258503401	Average fitness:	242.44360544217687	Fitness standard deviation:	67.06079999461957	Best genome:	A9	E4	A11	N12	E3	A15	A12	N5	N3	N6	N7	A10	A6	A14	A17	A7	N9	A13	A16	E5	A8	
