Generation:	16	Best fitness:	186.69931972789115	Average fitness:	242.69931972789112	Fitness standard deviation:	35.722017448798226	Best genome:	A13	E5	N6	E3	N5	A6	A12	A14	N7	A10	N12	N3	A7	A17	N9	A16	A15	A8	A9	E4	A11	
Generation:	240	Best fitness:	141.81360544217688	Average fitness:	207.24503401360545	Fitness standard deviation:	51.14316272853636	Best genome:	E5	A15	A17	A13	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N6	N5	N3	A7	N9	A16	A8	
Generation:	256	Best fitness:	128.7278911564626	Average fitness:	195.31074829931976	Fitness standard deviation:	44.39476747987128	Best genome:	A13	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N6	N5	N3	A7	N9	A16	E5	A15	A17	A8	
Generation:	272	Best fitness:	128.61360544217686	Average fitness:	198.5850340136054	Fitness standard deviation:	44.09987551465609	Best genome:	A13	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	
Generation:	288	Best fitness:	128.58503401360545	Average fitness:	222.59360544217688	Fitness standard deviation:	41.98878771621718	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	304	Best fitness:	128.58503401360545	Average fitness:	208.35074829931972	Fitness standard deviation:	41.586007850953806	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	320	Best fitness:	128.58503401360545	Average fitness:	196.596462585034	Fitness standard deviation:	33.77439484193278	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	336	Best fitness:	128.58503401360545	Average fitness:	184.7078911564626	Fitness standard deviation:	43.21897929646848	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	352	Best fitness:	128.58503401360545	Average fitness:	220.36217687074827	Fitness standard deviation:	58.22520640774482	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	368	Best fitness:	128.58503401360545	Average fitness:	183.45074829931974	Fitness standard deviation:	45.060175729070274	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	384	Best fitness:	128.58503401360545	Average fitness:	193.1421768707483	Fitness standard deviation:	46.68016622043399	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	400	Best fitness:	128.58503401360545	Average fitness:	191.6336054421769	Fitness standard deviation:	47.58825279500848	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	416	Best fitness:	128.58503401360545	Average fitness:	219.4821768707483	Fitness standard deviation:	37.40122490627541	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	432	Best fitness:	128.58503401360545	Average fitness:	235.37360544217685	Fitness standard deviation:	46.670907251450224	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	448	Best fitness:	128.58503401360545	Average fitness:	199.24789115646263	Fitness standard deviation:	43.00883971787138	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	464	Best fitness:	128.58503401360545	Average fitness:	198.5450340136055	Fitness standard deviation:	42.53734819939689	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	480	Best fitness:	128.58503401360545	Average fitness:	227.20217687074827	Fitness standard deviation:	54.64328433072979	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	496	Best fitness:	128.58503401360545	Average fitness:	211.556462585034	Fitness standard deviation:	52.035032155544705	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	512	Best fitness:	128.58503401360545	Average fitness:	227.89360544217683	Fitness standard deviation:	47.18182251153725	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	528	Best fitness:	128.58503401360545	Average fitness:	208.30789115646257	Fitness standard deviation:	40.18169966234756	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	544	Best fitness:	128.58503401360545	Average fitness:	202.696462585034	Fitness standard deviation:	40.00867548777033	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	560	Best fitness:	128.58503401360545	Average fitness:	192.33360544217686	Fitness standard deviation:	43.20958850504723	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	576	Best fitness:	128.58503401360545	Average fitness:	221.77360544217686	Fitness standard deviation:	52.42050260992878	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	592	Best fitness:	128.58503401360545	Average fitness:	228.89931972789117	Fitness standard deviation:	52.862824405073475	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	608	Best fitness:	128.58503401360545	Average fitness:	201.45360544217687	Fitness standard deviation:	41.74078258265224	Best genome:	A9	E4	A11	N7	A10	N12	E3	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A8	A13	
Generation:	624	Best fitness:	117.49931972789116	Average fitness:	216.27931972789116	Fitness standard deviation:	64.12114942888681	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A10	N12	E3	A8	A13	
Generation:	640	Best fitness:	117.49931972789116	Average fitness:	198.87360544217688	Fitness standard deviation:	41.56823443791802	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A10	N12	E3	A8	A13	
Generation:	656	Best fitness:	117.49931972789116	Average fitness:	196.70789115646258	Fitness standard deviation:	46.442132612883455	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A10	N12	E3	A8	A13	
Generation:	672	Best fitness:	117.49931972789116	Average fitness:	222.09074829931973	Fitness standard deviation:	47.57538559261201	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N6	N5	N3	A7	A10	N12	E3	A8	A13	
Generation:	688	Best fitness:	111.49931972789116	Average fitness:	200.33931972789114	Fitness standard deviation:	36.847496412059456	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	704	Best fitness:	111.49931972789116	Average fitness:	204.21360544217686	Fitness standard deviation:	49.16600119462012	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	720	Best fitness:	111.49931972789116	Average fitness:	168.04789115646258	Fitness standard deviation:	41.88387990526149	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	736	Best fitness:	111.49931972789116	Average fitness:	209.51074829931972	Fitness standard deviation:	71.04426352346708	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	752	Best fitness:	111.49931972789116	Average fitness:	186.1278911564626	Fitness standard deviation:	44.223816651027235	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	768	Best fitness:	111.49931972789116	Average fitness:	194.41646258503403	Fitness standard deviation:	35.81928439673072	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	784	Best fitness:	111.49931972789116	Average fitness:	178.96217687074832	Fitness standard deviation:	30.055423090398467	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	800	Best fitness:	111.49931972789116	Average fitness:	204.4021768707483	Fitness standard deviation:	36.27023561870993	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	816	Best fitness:	111.49931972789116	Average fitness:	209.69360544217687	Fitness standard deviation:	43.69711109864526	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	832	Best fitness:	111.49931972789116	Average fitness:	189.4621768707483	Fitness standard deviation:	42.18110429070905	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	848	Best fitness:	111.49931972789116	Average fitness:	188.15931972789116	Fitness standard deviation:	63.46836132905841	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	864	Best fitness:	111.49931972789116	Average fitness:	208.66789115646262	Fitness standard deviation:	58.798699763494355	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	880	Best fitness:	111.49931972789116	Average fitness:	212.87360544217685	Fitness standard deviation:	49.664931905968515	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	896	Best fitness:	111.49931972789116	Average fitness:	174.94503401360544	Fitness standard deviation:	41.14491105984371	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	912	Best fitness:	111.49931972789116	Average fitness:	165.86789115646258	Fitness standard deviation:	30.890972064699426	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	928	Best fitness:	111.49931972789116	Average fitness:	199.256462585034	Fitness standard deviation:	51.525735594665974	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	944	Best fitness:	111.49931972789116	Average fitness:	198.4678911564626	Fitness standard deviation:	64.47116292560257	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	960	Best fitness:	111.49931972789116	Average fitness:	173.2821768707483	Fitness standard deviation:	24.7110458652624	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	976	Best fitness:	111.49931972789116	Average fitness:	192.1821768707483	Fitness standard deviation:	44.92893517908621	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	992	Best fitness:	111.49931972789116	Average fitness:	204.93360544217688	Fitness standard deviation:	57.2907868078387	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1008	Best fitness:	111.49931972789116	Average fitness:	228.98789115646258	Fitness standard deviation:	43.49856286624388	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1024	Best fitness:	111.49931972789116	Average fitness:	200.01074829931974	Fitness standard deviation:	36.36163138164588	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1040	Best fitness:	111.49931972789116	Average fitness:	187.19074829931975	Fitness standard deviation:	53.821696254903586	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1056	Best fitness:	111.49931972789116	Average fitness:	177.33646258503398	Fitness standard deviation:	39.21696852649581	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1072	Best fitness:	111.49931972789116	Average fitness:	215.3336054421769	Fitness standard deviation:	48.70278171664094	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1088	Best fitness:	111.49931972789116	Average fitness:	173.49360544217686	Fitness standard deviation:	50.794058466617955	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1104	Best fitness:	111.49931972789116	Average fitness:	207.67360544217686	Fitness standard deviation:	55.92580573347849	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1120	Best fitness:	111.49931972789116	Average fitness:	184.41074829931975	Fitness standard deviation:	36.259917601806485	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1136	Best fitness:	111.49931972789116	Average fitness:	201.9678911564626	Fitness standard deviation:	43.79772839137776	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1152	Best fitness:	111.49931972789116	Average fitness:	207.54217687074834	Fitness standard deviation:	62.06013311659088	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1168	Best fitness:	111.49931972789116	Average fitness:	183.31074829931976	Fitness standard deviation:	42.02255215709677	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1184	Best fitness:	111.49931972789116	Average fitness:	171.7421768707483	Fitness standard deviation:	40.83863766741751	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1200	Best fitness:	111.49931972789116	Average fitness:	195.39646258503402	Fitness standard deviation:	48.840878161554755	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1216	Best fitness:	111.49931972789116	Average fitness:	186.836462585034	Fitness standard deviation:	48.15105110430072	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1232	Best fitness:	111.49931972789116	Average fitness:	206.33646258503404	Fitness standard deviation:	44.80809702702931	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1248	Best fitness:	111.49931972789116	Average fitness:	165.34503401360544	Fitness standard deviation:	30.774516889724172	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1264	Best fitness:	111.49931972789116	Average fitness:	198.6621768707483	Fitness standard deviation:	39.180261690326276	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1280	Best fitness:	111.49931972789116	Average fitness:	180.6421768707483	Fitness standard deviation:	43.6047891022656	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1296	Best fitness:	111.49931972789116	Average fitness:	199.4021768707483	Fitness standard deviation:	52.432149663802136	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1312	Best fitness:	111.49931972789116	Average fitness:	212.276462585034	Fitness standard deviation:	45.92826314048943	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1328	Best fitness:	111.49931972789116	Average fitness:	210.97074829931975	Fitness standard deviation:	53.18053541417928	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1344	Best fitness:	111.49931972789116	Average fitness:	231.59646258503403	Fitness standard deviation:	46.2301504233251	Best genome:	A9	E4	A11	N7	A6	A14	A12	N9	A16	E5	A15	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1360	Best fitness:	111.47074829931972	Average fitness:	163.24217687074827	Fitness standard deviation:	27.08081329981786	Best genome:	A9	E4	A11	N7	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1376	Best fitness:	111.47074829931972	Average fitness:	181.89931972789117	Fitness standard deviation:	38.258122253546986	Best genome:	A9	E4	A11	N7	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1392	Best fitness:	111.47074829931972	Average fitness:	196.14503401360543	Fitness standard deviation:	45.299985493532844	Best genome:	A9	E4	A11	N7	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1408	Best fitness:	111.47074829931972	Average fitness:	215.04789115646258	Fitness standard deviation:	58.78795211848865	Best genome:	A9	E4	A11	N7	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1424	Best fitness:	111.47074829931972	Average fitness:	198.6507482993197	Fitness standard deviation:	47.4661418319223	Best genome:	A9	E4	A11	N7	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1440	Best fitness:	111.47074829931972	Average fitness:	207.8936054421769	Fitness standard deviation:	55.11886791290257	Best genome:	A9	E4	A11	N7	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1456	Best fitness:	111.47074829931972	Average fitness:	180.47074829931972	Fitness standard deviation:	45.623198538659686	Best genome:	A9	E4	A11	N7	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1472	Best fitness:	111.47074829931972	Average fitness:	173.60789115646259	Fitness standard deviation:	51.156583632799325	Best genome:	A9	E4	A11	N7	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1488	Best fitness:	111.47074829931972	Average fitness:	190.99931972789116	Fitness standard deviation:	45.94711112146403	Best genome:	A9	E4	A11	N7	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1504	Best fitness:	111.47074829931972	Average fitness:	198.2421768707483	Fitness standard deviation:	40.364057561859944	Best genome:	A9	E4	A11	N7	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1520	Best fitness:	111.47074829931972	Average fitness:	194.3621768707483	Fitness standard deviation:	44.07339852045514	Best genome:	A9	E4	A11	N7	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1536	Best fitness:	111.47074829931972	Average fitness:	195.93074829931973	Fitness standard deviation:	45.05058825410403	Best genome:	A9	E4	A11	N7	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1552	Best fitness:	111.47074829931972	Average fitness:	210.19360544217685	Fitness standard deviation:	39.391856715699554	Best genome:	A9	E4	A11	N7	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1568	Best fitness:	111.47074829931972	Average fitness:	207.21931972789116	Fitness standard deviation:	50.02243872014043	Best genome:	A9	E4	A11	N7	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	A10	N12	N6	E3	A8	A13	
Generation:	1584	Best fitness:	111.4421768707483	Average fitness:	194.4821768707483	Fitness standard deviation:	61.5230969736122	Best genome:	A9	E4	A11	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	N7	A10	N12	N6	E3	A8	A13	
Generation:	1600	Best fitness:	111.4421768707483	Average fitness:	193.0307482993197	Fitness standard deviation:	44.54118607696541	Best genome:	A9	E4	A11	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	N7	A10	N12	N6	E3	A8	A13	
Generation:	1616	Best fitness:	111.4421768707483	Average fitness:	171.60503401360543	Fitness standard deviation:	46.65425246930217	Best genome:	A9	E4	A11	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	N7	A10	N12	N6	E3	A8	A13	
Generation:	1632	Best fitness:	111.4421768707483	Average fitness:	174.28789115646254	Fitness standard deviation:	42.77011010469048	Best genome:	A9	E4	A11	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	N7	A10	N12	N6	E3	A8	A13	
Generation:	1648	Best fitness:	111.4421768707483	Average fitness:	177.99360544217686	Fitness standard deviation:	40.02325456684462	Best genome:	A9	E4	A11	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	N7	A10	N12	N6	E3	A8	A13	
Generation:	1664	Best fitness:	111.4421768707483	Average fitness:	211.3421768707483	Fitness standard deviation:	41.15468927084242	Best genome:	A9	E4	A11	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	N7	A10	N12	N6	E3	A8	A13	
Generation:	1680	Best fitness:	111.4421768707483	Average fitness:	195.73931972789111	Fitness standard deviation:	49.49178814588892	Best genome:	A9	E4	A11	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	N7	A10	N12	N6	E3	A8	A13	
Generation:	1696	Best fitness:	111.4421768707483	Average fitness:	200.13360544217687	Fitness standard deviation:	46.56462491932638	Best genome:	A9	E4	A11	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	N7	A10	N12	N6	E3	A8	A13	
Generation:	1712	Best fitness:	111.4421768707483	Average fitness:	205.25646258503403	Fitness standard deviation:	49.52399253629188	Best genome:	A9	E4	A11	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	N7	A10	N12	N6	E3	A8	A13	
Generation:	1728	Best fitness:	111.4421768707483	Average fitness:	170.44503401360546	Fitness standard deviation:	38.25297416741685	Best genome:	A9	E4	A11	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	N7	A10	N12	N6	E3	A8	A13	
Generation:	1744	Best fitness:	111.4421768707483	Average fitness:	167.92789115646258	Fitness standard deviation:	44.39121810558884	Best genome:	A9	E4	A11	A6	A12	N9	A16	E5	A15	A14	A17	N5	N3	A7	N7	A10	N12	N6	E3	A8	A13	
