Generation:	16	Best fitness:	215.29931972789115	Average fitness:	274.196462585034	Fitness standard deviation:	28.635058289888402	Best genome:	N9	A16	A7	A12	A9	N12	A6	A14	A17	E4	A10	A15	N7	N3	N5	A11	E5	A8	A13	E3	N6	
Generation:	240	Best fitness:	166.87074829931973	Average fitness:	231.7336054421769	Fitness standard deviation:	39.40287112713012	Best genome:	A16	N7	A6	A14	A10	N12	E3	A11	N6	N3	N5	E4	A15	A17	A12	A9	A7	E5	A8	A13	N9	
Generation:	256	Best fitness:	166.87074829931973	Average fitness:	225.69360544217685	Fitness standard deviation:	42.94614149592202	Best genome:	A16	N7	A6	A14	A10	N12	E3	A11	N6	N3	N5	E4	A15	A17	A12	A9	A7	E5	A8	A13	N9	
Generation:	272	Best fitness:	160.87074829931973	Average fitness:	236.696462585034	Fitness standard deviation:	35.33371737693996	Best genome:	A16	A11	N12	E3	N7	A6	A14	A10	N6	N3	N5	E4	A15	A17	A12	A9	A7	E5	A8	A13	N9	
Generation:	288	Best fitness:	160.87074829931973	Average fitness:	230.63931972789115	Fitness standard deviation:	56.9193807960354	Best genome:	A16	A11	N12	E3	N7	A6	A14	A10	N6	N3	N5	E4	A15	A17	A12	A9	A7	E5	A8	A13	N9	
Generation:	304	Best fitness:	158.87074829931973	Average fitness:	214.976462585034	Fitness standard deviation:	56.058875828754125	Best genome:	A16	A11	N7	A6	A14	A10	N6	A15	A17	A12	A9	A7	N3	N5	E4	N12	E3	E5	A8	A13	N9	
Generation:	320	Best fitness:	158.87074829931973	Average fitness:	243.9850340136054	Fitness standard deviation:	42.37165976239789	Best genome:	A16	A11	N7	A6	A14	A10	N6	A15	A17	A12	A9	A7	N3	N5	E4	N12	E3	E5	A8	A13	N9	
Generation:	336	Best fitness:	158.87074829931973	Average fitness:	243.6850340136054	Fitness standard deviation:	39.352403136950365	Best genome:	A16	A11	N7	A6	A14	A10	N6	A15	A17	A12	A9	A7	N3	N5	E4	N12	E3	E5	A8	A13	N9	
Generation:	352	Best fitness:	158.87074829931973	Average fitness:	223.79360544217684	Fitness standard deviation:	30.385512256699585	Best genome:	A16	A11	N7	A6	A14	A10	N6	A15	A17	A12	A9	A7	N3	N5	E4	N12	E3	E5	A8	A13	N9	
Generation:	368	Best fitness:	158.8421768707483	Average fitness:	192.30503401360542	Fitness standard deviation:	22.374937874728488	Best genome:	A11	N7	A6	A14	A10	A15	A17	A12	N6	A7	A9	N3	N5	E4	N12	E3	E5	A8	A13	N9	A16	
Generation:	384	Best fitness:	154.8421768707483	Average fitness:	199.08217687074827	Fitness standard deviation:	35.37076205234015	Best genome:	A15	A17	A14	A12	N6	A7	A9	N3	N5	A11	N7	A6	A10	E4	N12	E3	E5	A8	A13	N9	A16	
Generation:	400	Best fitness:	153.8421768707483	Average fitness:	209.9993197278912	Fitness standard deviation:	31.45195558632375	Best genome:	A17	A14	A12	N6	A7	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	E5	A15	A8	A13	N9	A16	
Generation:	416	Best fitness:	153.69931972789115	Average fitness:	210.1336054421769	Fitness standard deviation:	41.40072522287009	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	E5	A15	A8	A13	N9	A16	A17	A14	A12	N6	A7	
Generation:	432	Best fitness:	153.69931972789115	Average fitness:	209.1621768707483	Fitness standard deviation:	33.70910081196205	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	E5	A15	A8	A13	N9	A16	A17	A14	A12	N6	A7	
Generation:	448	Best fitness:	153.69931972789115	Average fitness:	224.47360544217685	Fitness standard deviation:	30.54757266819031	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	E5	A15	A8	A13	N9	A16	A17	A14	A12	N6	A7	
Generation:	464	Best fitness:	153.69931972789115	Average fitness:	260.18789115646257	Fitness standard deviation:	52.445179852832226	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	E5	A15	A8	A13	N9	A16	A17	A14	A12	N6	A7	
Generation:	480	Best fitness:	153.69931972789115	Average fitness:	203.14789115646258	Fitness standard deviation:	26.12275589424294	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	E5	A15	A8	A13	N9	A16	A17	A14	A12	N6	A7	
Generation:	496	Best fitness:	153.69931972789115	Average fitness:	236.71074829931976	Fitness standard deviation:	38.133101374110176	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	E5	A15	A8	A13	N9	A16	A17	A14	A12	N6	A7	
Generation:	512	Best fitness:	153.69931972789115	Average fitness:	212.91931972789112	Fitness standard deviation:	33.726007768486326	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	E5	A15	A8	A13	N9	A16	A17	A14	A12	N6	A7	
Generation:	528	Best fitness:	107.6421768707483	Average fitness:	194.876462585034	Fitness standard deviation:	49.03503420608409	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	544	Best fitness:	107.6421768707483	Average fitness:	169.3821768707483	Fitness standard deviation:	44.722420893912314	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	560	Best fitness:	107.6421768707483	Average fitness:	166.856462585034	Fitness standard deviation:	38.697255611176544	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	576	Best fitness:	107.6421768707483	Average fitness:	185.35931972789115	Fitness standard deviation:	55.983378655760724	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	592	Best fitness:	107.6421768707483	Average fitness:	225.89074829931968	Fitness standard deviation:	50.70834097954654	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	608	Best fitness:	107.6421768707483	Average fitness:	192.15931972789116	Fitness standard deviation:	35.26486011858935	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	624	Best fitness:	107.6421768707483	Average fitness:	184.1021768707483	Fitness standard deviation:	38.0621392044158	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	640	Best fitness:	107.6421768707483	Average fitness:	170.62789115646257	Fitness standard deviation:	54.60768616005536	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	656	Best fitness:	107.6421768707483	Average fitness:	222.26217687074828	Fitness standard deviation:	54.29269586684562	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	672	Best fitness:	107.6421768707483	Average fitness:	189.18217687074826	Fitness standard deviation:	57.949557868398415	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	688	Best fitness:	107.6421768707483	Average fitness:	214.51646258503402	Fitness standard deviation:	43.63261315360616	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	704	Best fitness:	107.6421768707483	Average fitness:	171.54789115646255	Fitness standard deviation:	48.455796898423046	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	720	Best fitness:	107.6421768707483	Average fitness:	198.73931972789117	Fitness standard deviation:	53.38375997034519	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	736	Best fitness:	107.6421768707483	Average fitness:	204.97074829931975	Fitness standard deviation:	51.097364043998375	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	752	Best fitness:	107.6421768707483	Average fitness:	186.076462585034	Fitness standard deviation:	46.438894324934665	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	768	Best fitness:	107.6421768707483	Average fitness:	189.0678911564626	Fitness standard deviation:	45.576776130491936	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	784	Best fitness:	107.6421768707483	Average fitness:	167.57360544217687	Fitness standard deviation:	37.71813010709187	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	800	Best fitness:	107.6421768707483	Average fitness:	183.3393197278911	Fitness standard deviation:	42.86208009656183	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	816	Best fitness:	107.6421768707483	Average fitness:	205.0793197278912	Fitness standard deviation:	46.40197048947514	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	832	Best fitness:	107.6421768707483	Average fitness:	213.09646258503403	Fitness standard deviation:	45.94722340659455	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	848	Best fitness:	107.6421768707483	Average fitness:	192.60789115646259	Fitness standard deviation:	60.200138043098896	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	864	Best fitness:	107.6421768707483	Average fitness:	196.72503401360547	Fitness standard deviation:	59.11158655717272	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	880	Best fitness:	107.6421768707483	Average fitness:	181.776462585034	Fitness standard deviation:	54.98880635629215	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	896	Best fitness:	107.6421768707483	Average fitness:	187.10503401360546	Fitness standard deviation:	32.926373772341194	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	912	Best fitness:	107.6421768707483	Average fitness:	196.72503401360547	Fitness standard deviation:	53.56007872149798	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	928	Best fitness:	107.6421768707483	Average fitness:	200.5650340136054	Fitness standard deviation:	52.295092133244104	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	944	Best fitness:	107.6421768707483	Average fitness:	197.41646258503403	Fitness standard deviation:	37.653618846598235	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	960	Best fitness:	107.6421768707483	Average fitness:	202.47931972789112	Fitness standard deviation:	47.65557046052819	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	976	Best fitness:	107.6421768707483	Average fitness:	172.32789115646256	Fitness standard deviation:	49.32935872939219	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	992	Best fitness:	107.6421768707483	Average fitness:	214.476462585034	Fitness standard deviation:	61.515730591484335	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1008	Best fitness:	107.6421768707483	Average fitness:	192.53360544217688	Fitness standard deviation:	46.89696008598129	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1024	Best fitness:	107.6421768707483	Average fitness:	170.60503401360543	Fitness standard deviation:	39.65245145161202	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1040	Best fitness:	107.6421768707483	Average fitness:	204.63931972789115	Fitness standard deviation:	50.275504564187855	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1056	Best fitness:	107.6421768707483	Average fitness:	200.7507482993197	Fitness standard deviation:	44.98936618121837	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1072	Best fitness:	107.6421768707483	Average fitness:	188.80503401360542	Fitness standard deviation:	40.500199142871445	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1088	Best fitness:	107.6421768707483	Average fitness:	210.33646258503398	Fitness standard deviation:	49.85236334028954	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1104	Best fitness:	107.6421768707483	Average fitness:	175.18503401360545	Fitness standard deviation:	51.64976243104776	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1120	Best fitness:	107.6421768707483	Average fitness:	183.31360544217688	Fitness standard deviation:	38.03190980302338	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1136	Best fitness:	107.6421768707483	Average fitness:	194.4621768707483	Fitness standard deviation:	60.09902990829691	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1152	Best fitness:	107.6421768707483	Average fitness:	189.75646258503403	Fitness standard deviation:	48.51568902564049	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1168	Best fitness:	107.6421768707483	Average fitness:	193.13360544217684	Fitness standard deviation:	50.709589802710724	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1184	Best fitness:	107.6421768707483	Average fitness:	195.54503401360543	Fitness standard deviation:	45.65610082844507	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1200	Best fitness:	107.6421768707483	Average fitness:	180.63074829931972	Fitness standard deviation:	38.56222789736303	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1216	Best fitness:	107.6421768707483	Average fitness:	160.68503401360545	Fitness standard deviation:	31.70385220912372	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1232	Best fitness:	107.6421768707483	Average fitness:	203.04503401360543	Fitness standard deviation:	48.15299842318084	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1248	Best fitness:	107.6421768707483	Average fitness:	204.52789115646257	Fitness standard deviation:	52.926687840014	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1264	Best fitness:	107.6421768707483	Average fitness:	174.9221768707483	Fitness standard deviation:	47.489299847439305	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1280	Best fitness:	107.6421768707483	Average fitness:	188.76503401360546	Fitness standard deviation:	42.99613660859899	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1296	Best fitness:	107.6421768707483	Average fitness:	176.38503401360546	Fitness standard deviation:	38.93463072109141	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1312	Best fitness:	107.6421768707483	Average fitness:	166.99360544217686	Fitness standard deviation:	35.6067043675537	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1328	Best fitness:	107.6421768707483	Average fitness:	199.42503401360545	Fitness standard deviation:	50.42401792472977	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1344	Best fitness:	107.6421768707483	Average fitness:	201.51360544217684	Fitness standard deviation:	45.28103130360844	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1360	Best fitness:	107.6421768707483	Average fitness:	199.00217687074831	Fitness standard deviation:	55.0880396663896	Best genome:	A9	N3	E4	N5	A11	N7	A6	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N6	A7	
Generation:	1376	Best fitness:	107.58503401360544	Average fitness:	202.9993197278912	Fitness standard deviation:	66.27162319436825	Best genome:	A9	N3	E4	N5	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	A7	
Generation:	1392	Best fitness:	107.58503401360544	Average fitness:	176.22503401360547	Fitness standard deviation:	48.71522445681177	Best genome:	A9	N3	E4	N5	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	A7	
Generation:	1408	Best fitness:	107.58503401360544	Average fitness:	201.84503401360547	Fitness standard deviation:	49.4731581728096	Best genome:	A9	N3	E4	N5	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	A7	
Generation:	1424	Best fitness:	107.58503401360544	Average fitness:	190.61360544217692	Fitness standard deviation:	61.62929067730503	Best genome:	A9	N3	E4	N5	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	A7	
Generation:	1440	Best fitness:	107.58503401360544	Average fitness:	185.07360544217687	Fitness standard deviation:	32.92615968856275	Best genome:	A9	N3	E4	N5	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	A7	
Generation:	1456	Best fitness:	107.58503401360544	Average fitness:	204.98503401360546	Fitness standard deviation:	42.8123804333203	Best genome:	A9	N3	E4	N5	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	A7	
Generation:	1472	Best fitness:	107.58503401360544	Average fitness:	178.85360544217687	Fitness standard deviation:	52.5775310122769	Best genome:	A9	N3	E4	N5	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	A7	
Generation:	1488	Best fitness:	107.58503401360544	Average fitness:	205.76503401360546	Fitness standard deviation:	61.74471478662472	Best genome:	A9	N3	E4	N5	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	A7	
Generation:	1504	Best fitness:	107.55646258503401	Average fitness:	210.15931972789116	Fitness standard deviation:	52.27561565239318	Best genome:	A9	N3	E4	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	N5	A7	
Generation:	1520	Best fitness:	107.55646258503401	Average fitness:	184.72789115646262	Fitness standard deviation:	46.857224738604415	Best genome:	A9	N3	E4	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	N5	A7	
Generation:	1536	Best fitness:	107.55646258503401	Average fitness:	190.31646258503403	Fitness standard deviation:	46.357630549933006	Best genome:	A9	N3	E4	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	N5	A7	
Generation:	1552	Best fitness:	107.55646258503401	Average fitness:	171.81646258503403	Fitness standard deviation:	37.78491751792949	Best genome:	A9	N3	E4	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	N5	A7	
Generation:	1568	Best fitness:	107.55646258503401	Average fitness:	201.91646258503403	Fitness standard deviation:	61.617018852301655	Best genome:	A9	N3	E4	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	N5	A7	
Generation:	1584	Best fitness:	107.55646258503401	Average fitness:	184.77931972789114	Fitness standard deviation:	38.43814601912734	Best genome:	A9	N3	E4	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	N5	A7	
Generation:	1600	Best fitness:	107.55646258503401	Average fitness:	160.00789115646256	Fitness standard deviation:	41.388498451642725	Best genome:	A9	N3	E4	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	N5	A7	
Generation:	1616	Best fitness:	107.55646258503401	Average fitness:	186.11931972789114	Fitness standard deviation:	45.64119880734323	Best genome:	A9	N3	E4	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	N5	A7	
Generation:	1632	Best fitness:	107.55646258503401	Average fitness:	186.92217687074833	Fitness standard deviation:	59.17779064921611	Best genome:	A9	N3	E4	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	N5	A7	
Generation:	1648	Best fitness:	107.55646258503401	Average fitness:	185.5078911564626	Fitness standard deviation:	43.29602149795084	Best genome:	A9	N3	E4	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	N5	A7	
Generation:	1664	Best fitness:	107.55646258503401	Average fitness:	186.53646258503403	Fitness standard deviation:	63.57854733817574	Best genome:	A9	N3	E4	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	N5	A7	
Generation:	1680	Best fitness:	107.55646258503401	Average fitness:	188.71360544217688	Fitness standard deviation:	56.825503400627206	Best genome:	A9	N3	E4	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	N5	A7	
Generation:	1696	Best fitness:	107.55646258503401	Average fitness:	196.44789115646262	Fitness standard deviation:	49.540658708843615	Best genome:	A9	N3	E4	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	N5	A7	
Generation:	1712	Best fitness:	107.55646258503401	Average fitness:	205.5307482993197	Fitness standard deviation:	37.61001049981133	Best genome:	A9	N3	E4	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	N5	A7	
Generation:	1728	Best fitness:	107.55646258503401	Average fitness:	197.62789115646257	Fitness standard deviation:	46.5213021208608	Best genome:	A9	N3	E4	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	N5	A7	
Generation:	1744	Best fitness:	107.55646258503401	Average fitness:	192.66503401360546	Fitness standard deviation:	46.7577042434982	Best genome:	A9	N3	E4	A11	A10	N12	E3	A8	A13	N9	A16	E5	A15	A17	A14	A12	N7	A6	N6	N5	A7	
