Generation:	16	Best fitness:	232.8421768707483	Average fitness:	338.63874829931973	Fitness standard deviation:	38.55134509525006	Best genome:	A9	N3	A11	A14	N7	E4	A7	A10	A16	A6	N6	N12	E3	A17	A12	N5	E5	A15	A8	N9	A13	
Generation:	192	Best fitness:	185.47074829931972	Average fitness:	333.4418911564626	Fitness standard deviation:	36.7129877469285	Best genome:	A9	N3	A11	A14	A10	A15	N9	A16	N5	N12	E3	E4	A7	N7	A6	A17	A12	N6	E5	A8	A13	
Generation:	208	Best fitness:	184.47074829931972	Average fitness:	333.9507482993197	Fitness standard deviation:	36.78302603214739	Best genome:	A9	N3	A11	A14	A10	A15	N9	A16	N5	N12	E3	E4	A7	N7	A6	A12	A17	N6	E5	A8	A13	
Generation:	224	Best fitness:	168.47074829931972	Average fitness:	338.71931972789105	Fitness standard deviation:	44.54255740758677	Best genome:	A9	N3	A11	A10	A15	A14	N9	A16	N5	N12	E3	E4	A7	N7	A6	A12	A17	N6	E5	A8	A13	
Generation:	240	Best fitness:	168.47074829931972	Average fitness:	332.1336054421769	Fitness standard deviation:	37.364456099237366	Best genome:	A9	N3	A11	A10	A15	A14	N9	A16	N5	N12	E3	E4	A7	N7	A6	A12	A17	N6	E5	A8	A13	
Generation:	256	Best fitness:	168.47074829931972	Average fitness:	340.1238911564625	Fitness standard deviation:	38.51669259541629	Best genome:	A9	N3	A11	A10	A15	A14	N9	A16	N5	N12	E3	E4	A7	N7	A6	A12	A17	N6	E5	A8	A13	
Generation:	272	Best fitness:	168.47074829931972	Average fitness:	339.3478911564625	Fitness standard deviation:	40.8514104869772	Best genome:	A9	N3	A11	A10	A15	A14	N9	A16	N5	N12	E3	E4	A7	N7	A6	A12	A17	N6	E5	A8	A13	
Generation:	288	Best fitness:	168.47074829931972	Average fitness:	335.79017687074827	Fitness standard deviation:	39.64453018451625	Best genome:	A9	N3	A11	A10	A15	A14	N9	A16	N5	N12	E3	E4	A7	N7	A6	A12	A17	N6	E5	A8	A13	
Generation:	304	Best fitness:	168.47074829931972	Average fitness:	340.666462585034	Fitness standard deviation:	39.19696914043123	Best genome:	A9	N3	A11	A10	A15	A14	N9	A16	N5	N12	E3	E4	A7	N7	A6	A12	A17	N6	E5	A8	A13	
Generation:	320	Best fitness:	167.78503401360544	Average fitness:	340.200462585034	Fitness standard deviation:	38.06031505869792	Best genome:	A9	N3	A11	A10	A15	A14	A16	N5	N12	N6	E3	E4	A7	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	336	Best fitness:	161.78503401360544	Average fitness:	338.6116054421768	Fitness standard deviation:	39.33713128890841	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	E3	N6	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	352	Best fitness:	161.78503401360544	Average fitness:	339.29131972789116	Fitness standard deviation:	37.79995768921075	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	E3	N6	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	368	Best fitness:	161.78503401360544	Average fitness:	327.0196054421769	Fitness standard deviation:	40.928893101702755	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	E3	N6	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	384	Best fitness:	161.78503401360544	Average fitness:	343.4450340136056	Fitness standard deviation:	40.52938394875139	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	E3	N6	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	400	Best fitness:	161.78503401360544	Average fitness:	341.4610340136055	Fitness standard deviation:	42.258340409960276	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	E3	N6	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	416	Best fitness:	161.78503401360544	Average fitness:	336.35789115646264	Fitness standard deviation:	41.76288976141965	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	E3	N6	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	432	Best fitness:	161.78503401360544	Average fitness:	336.92731972789124	Fitness standard deviation:	43.280161261912404	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	E3	N6	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	448	Best fitness:	161.78503401360544	Average fitness:	338.8507482993198	Fitness standard deviation:	42.548497083700056	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	E3	N6	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	464	Best fitness:	161.78503401360544	Average fitness:	341.89074829931974	Fitness standard deviation:	40.97261673909759	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	E3	N6	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	480	Best fitness:	158.78503401360544	Average fitness:	339.21246258503425	Fitness standard deviation:	41.51316248996657	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	496	Best fitness:	158.78503401360544	Average fitness:	333.7821768707483	Fitness standard deviation:	38.9191617461169	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	512	Best fitness:	158.78503401360544	Average fitness:	335.7378911564625	Fitness standard deviation:	41.98229021667035	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	528	Best fitness:	158.78503401360544	Average fitness:	325.2587482993197	Fitness standard deviation:	40.910901931103	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	544	Best fitness:	158.78503401360544	Average fitness:	341.126462585034	Fitness standard deviation:	38.235516425524196	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	560	Best fitness:	158.78503401360544	Average fitness:	337.08703401360543	Fitness standard deviation:	41.9806033451699	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	576	Best fitness:	158.78503401360544	Average fitness:	334.6096054421768	Fitness standard deviation:	39.060986960999166	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	592	Best fitness:	158.78503401360544	Average fitness:	337.3890340136054	Fitness standard deviation:	41.18886475636793	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	608	Best fitness:	158.78503401360544	Average fitness:	329.7570340136054	Fitness standard deviation:	40.59102986862884	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	624	Best fitness:	158.78503401360544	Average fitness:	338.5527482993198	Fitness standard deviation:	41.177072212579674	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	640	Best fitness:	158.78503401360544	Average fitness:	339.4618911564625	Fitness standard deviation:	39.813736260496924	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	656	Best fitness:	158.78503401360544	Average fitness:	336.0818911564627	Fitness standard deviation:	38.3485790695439	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	672	Best fitness:	158.78503401360544	Average fitness:	333.57303401360537	Fitness standard deviation:	42.98982949109554	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	688	Best fitness:	158.78503401360544	Average fitness:	326.73046258503393	Fitness standard deviation:	44.07670829129506	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	704	Best fitness:	158.78503401360544	Average fitness:	336.13360544217693	Fitness standard deviation:	44.302810709194226	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	720	Best fitness:	158.78503401360544	Average fitness:	335.61989115646253	Fitness standard deviation:	41.889861143387016	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	736	Best fitness:	158.78503401360544	Average fitness:	337.1601768707483	Fitness standard deviation:	42.11170386639101	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	752	Best fitness:	158.78503401360544	Average fitness:	338.5687482993197	Fitness standard deviation:	42.10347860077259	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	768	Best fitness:	158.78503401360544	Average fitness:	329.76331972789114	Fitness standard deviation:	38.087713615939144	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	784	Best fitness:	158.78503401360544	Average fitness:	336.92931972789114	Fitness standard deviation:	36.80775592070736	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	800	Best fitness:	158.78503401360544	Average fitness:	336.37274829931965	Fitness standard deviation:	41.188197686389024	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	816	Best fitness:	158.78503401360544	Average fitness:	338.1438911564625	Fitness standard deviation:	39.34064799690425	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	832	Best fitness:	158.78503401360544	Average fitness:	333.1776054421768	Fitness standard deviation:	37.3397534222262	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	848	Best fitness:	158.78503401360544	Average fitness:	336.73246258503394	Fitness standard deviation:	38.8690491674761	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	864	Best fitness:	158.78503401360544	Average fitness:	334.9096054421769	Fitness standard deviation:	44.230246465143594	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	880	Best fitness:	158.78503401360544	Average fitness:	340.36103401360555	Fitness standard deviation:	41.62427465225707	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	896	Best fitness:	158.78503401360544	Average fitness:	335.3933197278912	Fitness standard deviation:	44.3372207932959	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	912	Best fitness:	158.78503401360544	Average fitness:	331.84217687074835	Fitness standard deviation:	39.5589246877235	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	928	Best fitness:	158.78503401360544	Average fitness:	334.47274829931973	Fitness standard deviation:	46.09283325672933	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	944	Best fitness:	158.78503401360544	Average fitness:	338.57589115646266	Fitness standard deviation:	39.456652087565466	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	960	Best fitness:	158.78503401360544	Average fitness:	335.3947482993197	Fitness standard deviation:	43.765397797896945	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	976	Best fitness:	158.78503401360544	Average fitness:	330.12960544217697	Fitness standard deviation:	43.44630254952071	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	992	Best fitness:	158.78503401360544	Average fitness:	338.7713197278913	Fitness standard deviation:	36.69182358565483	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	A7	N5	N6	E3	N12	N7	A6	A12	A17	N9	E5	A8	A13	
Generation:	1008	Best fitness:	153.78503401360544	Average fitness:	334.76674829931983	Fitness standard deviation:	39.42683899299551	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1024	Best fitness:	153.78503401360544	Average fitness:	334.2301768707482	Fitness standard deviation:	43.06755702666332	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1040	Best fitness:	153.78503401360544	Average fitness:	340.7813197278912	Fitness standard deviation:	43.915630178322424	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1056	Best fitness:	153.78503401360544	Average fitness:	337.8758911564626	Fitness standard deviation:	42.08619481444222	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1072	Best fitness:	153.78503401360544	Average fitness:	339.3910340136054	Fitness standard deviation:	43.69930990815506	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1088	Best fitness:	153.78503401360544	Average fitness:	340.7836054421769	Fitness standard deviation:	42.35107735419755	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1104	Best fitness:	153.78503401360544	Average fitness:	335.63503401360526	Fitness standard deviation:	43.83603277428005	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1120	Best fitness:	153.78503401360544	Average fitness:	337.74074829931976	Fitness standard deviation:	37.99398155884531	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1136	Best fitness:	153.78503401360544	Average fitness:	332.82931972789106	Fitness standard deviation:	43.19312707515644	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1152	Best fitness:	153.78503401360544	Average fitness:	331.26874829931984	Fitness standard deviation:	44.13675746206677	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1168	Best fitness:	153.78503401360544	Average fitness:	337.7961768707483	Fitness standard deviation:	43.90651830088697	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1184	Best fitness:	153.78503401360544	Average fitness:	336.64331972789114	Fitness standard deviation:	47.73124521864529	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1200	Best fitness:	153.78503401360544	Average fitness:	340.12560544217706	Fitness standard deviation:	39.470583141765474	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1216	Best fitness:	153.78503401360544	Average fitness:	329.9661768707483	Fitness standard deviation:	45.03926055506395	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1232	Best fitness:	153.78503401360544	Average fitness:	333.16360544217684	Fitness standard deviation:	36.421919700832326	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1248	Best fitness:	153.78503401360544	Average fitness:	341.3087482993197	Fitness standard deviation:	44.0744077816835	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1264	Best fitness:	153.78503401360544	Average fitness:	337.1873197278912	Fitness standard deviation:	38.77133354657267	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1280	Best fitness:	153.78503401360544	Average fitness:	338.1127482993198	Fitness standard deviation:	43.72386066099426	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1296	Best fitness:	153.78503401360544	Average fitness:	335.54131972789116	Fitness standard deviation:	45.32329931161009	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1312	Best fitness:	153.78503401360544	Average fitness:	332.5736054421767	Fitness standard deviation:	45.43681219056654	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1328	Best fitness:	153.78503401360544	Average fitness:	328.6513197278911	Fitness standard deviation:	41.32162311449451	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1344	Best fitness:	153.78503401360544	Average fitness:	335.42074829931977	Fitness standard deviation:	36.995426606486355	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1360	Best fitness:	153.78503401360544	Average fitness:	337.09189115646257	Fitness standard deviation:	38.757466823984316	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1376	Best fitness:	153.78503401360544	Average fitness:	340.0467482993198	Fitness standard deviation:	46.26694552798788	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1392	Best fitness:	153.78503401360544	Average fitness:	327.78046258503394	Fitness standard deviation:	39.3116946239167	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1408	Best fitness:	153.78503401360544	Average fitness:	332.12617687074834	Fitness standard deviation:	42.79607569649826	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1424	Best fitness:	153.78503401360544	Average fitness:	334.03046258503394	Fitness standard deviation:	43.98665903407068	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1440	Best fitness:	153.78503401360544	Average fitness:	333.9173197278911	Fitness standard deviation:	40.21415278435274	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1456	Best fitness:	153.78503401360544	Average fitness:	333.53331972789107	Fitness standard deviation:	44.4951443707224	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1472	Best fitness:	153.78503401360544	Average fitness:	332.09274829931974	Fitness standard deviation:	39.19692717131625	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1488	Best fitness:	153.78503401360544	Average fitness:	339.45360544217687	Fitness standard deviation:	42.242270347149116	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1504	Best fitness:	153.78503401360544	Average fitness:	336.64017687074835	Fitness standard deviation:	41.30765768904238	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1520	Best fitness:	153.78503401360544	Average fitness:	337.62817687074835	Fitness standard deviation:	39.87358728762279	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1536	Best fitness:	153.78503401360544	Average fitness:	340.4250340136054	Fitness standard deviation:	44.4443347322909	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1552	Best fitness:	153.78503401360544	Average fitness:	333.9790340136054	Fitness standard deviation:	41.01808506958255	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1568	Best fitness:	153.78503401360544	Average fitness:	330.80960544217686	Fitness standard deviation:	39.579802934407475	Best genome:	A9	N3	A11	A10	A15	A14	A16	E4	N5	A7	N7	N6	E3	N12	A6	A12	A17	N9	E5	A8	A13	
Generation:	1584	Best fitness:	152.756462585034	Average fitness:	332.2921768707481	Fitness standard deviation:	43.363695974529534	Best genome:	A9	N3	A11	A10	E4	N5	A7	E3	N12	N6	A15	A17	A12	N7	A14	A6	N9	A16	E5	A8	A13	
Generation:	1600	Best fitness:	136.756462585034	Average fitness:	328.11674829931974	Fitness standard deviation:	42.01251745343893	Best genome:	A9	N3	A11	A10	E4	N5	A7	E3	N12	N6	A15	A17	A14	A12	N7	A6	N9	A16	E5	A8	A13	
Generation:	1616	Best fitness:	133.756462585034	Average fitness:	332.116462585034	Fitness standard deviation:	40.862257621908064	Best genome:	A9	N3	A11	A10	E4	N5	A7	E3	N6	N12	A15	A17	A14	A12	N7	A6	N9	A16	E5	A8	A13	
Generation:	1632	Best fitness:	121.75646258503401	Average fitness:	328.4218911564625	Fitness standard deviation:	47.12835799458015	Best genome:	A9	N3	A7	N5	E4	A11	A10	E3	N6	N12	A15	A17	A14	A12	N7	A6	N9	A16	E5	A8	A13	
Generation:	1648	Best fitness:	121.75646258503401	Average fitness:	332.72960544217693	Fitness standard deviation:	49.92366365742393	Best genome:	A9	N3	A7	N5	E4	A11	A10	E3	N6	N12	A15	A17	A14	A12	N7	A6	N9	A16	E5	A8	A13	
Generation:	1664	Best fitness:	121.75646258503401	Average fitness:	334.9953197278912	Fitness standard deviation:	42.7534638329374	Best genome:	A9	N3	A7	N5	E4	A11	A10	E3	N6	N12	A15	A17	A14	A12	N7	A6	N9	A16	E5	A8	A13	
Generation:	1680	Best fitness:	121.75646258503401	Average fitness:	332.03074829931967	Fitness standard deviation:	50.74203844255887	Best genome:	A9	N3	A7	N5	E4	A11	A10	E3	N6	N12	A15	A17	A14	A12	N7	A6	N9	A16	E5	A8	A13	
Generation:	1696	Best fitness:	121.75646258503401	Average fitness:	331.50989115646263	Fitness standard deviation:	40.4246095292439	Best genome:	A9	N3	A7	N5	E4	A11	A10	E3	N6	N12	A15	A17	A14	A12	N7	A6	N9	A16	E5	A8	A13	
Generation:	1712	Best fitness:	121.75646258503401	Average fitness:	335.8827482993197	Fitness standard deviation:	45.11826023929123	Best genome:	A9	N3	A7	N5	E4	A11	A10	E3	N6	N12	A15	A17	A14	A12	N7	A6	N9	A16	E5	A8	A13	
Generation:	1728	Best fitness:	121.75646258503401	Average fitness:	325.8741768707483	Fitness standard deviation:	45.41910975681977	Best genome:	A9	N3	A7	N5	E4	A11	A10	E3	N6	N12	A15	A17	A14	A12	N7	A6	N9	A16	E5	A8	A13	
Generation:	1744	Best fitness:	121.75646258503401	Average fitness:	325.30446258503383	Fitness standard deviation:	42.4425293789335	Best genome:	A9	N3	A7	N5	E4	A11	A10	E3	N6	N12	A15	A17	A14	A12	N7	A6	N9	A16	E5	A8	A13	
