Generation:	16	Best fitness:	246.35646258503402	Average fitness:	295.85931972789115	Fitness standard deviation:	28.954382700223817	Best genome:	A7	A16	N9	A9	N5	A11	N7	A6	N12	A14	A12	E4	E5	A10	N6	A15	A17	N3	A13	E3	A8	
Generation:	1504	Best fitness:	96.75646258503401	Average fitness:	168.3621768707483	Fitness standard deviation:	40.125757008562516	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1520	Best fitness:	96.75646258503401	Average fitness:	164.59646258503403	Fitness standard deviation:	45.4957637857524	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1536	Best fitness:	96.75646258503401	Average fitness:	160.6736054421769	Fitness standard deviation:	47.30658745171258	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1552	Best fitness:	96.75646258503401	Average fitness:	196.46503401360548	Fitness standard deviation:	57.74651122954246	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1568	Best fitness:	96.75646258503401	Average fitness:	198.91074829931975	Fitness standard deviation:	50.94401120397785	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1584	Best fitness:	96.75646258503401	Average fitness:	168.6821768707483	Fitness standard deviation:	37.285285602352296	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1600	Best fitness:	96.75646258503401	Average fitness:	193.05931972789116	Fitness standard deviation:	52.503053672124246	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1616	Best fitness:	96.75646258503401	Average fitness:	206.39931972789114	Fitness standard deviation:	54.40298798816859	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1632	Best fitness:	96.75646258503401	Average fitness:	199.0878911564626	Fitness standard deviation:	44.9484933347184	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1648	Best fitness:	96.75646258503401	Average fitness:	184.42789115646258	Fitness standard deviation:	54.73084009169654	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1664	Best fitness:	96.75646258503401	Average fitness:	149.7936054421769	Fitness standard deviation:	30.66397221230046	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1680	Best fitness:	96.75646258503401	Average fitness:	171.40789115646263	Fitness standard deviation:	42.24692777140663	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1696	Best fitness:	96.75646258503401	Average fitness:	153.90217687074835	Fitness standard deviation:	38.08346033411891	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1712	Best fitness:	96.75646258503401	Average fitness:	159.12789115646262	Fitness standard deviation:	33.44008592899807	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1728	Best fitness:	96.75646258503401	Average fitness:	162.74217687074832	Fitness standard deviation:	39.08573360484067	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
Generation:	1744	Best fitness:	96.75646258503401	Average fitness:	188.81931972789116	Fitness standard deviation:	32.918664887251786	Best genome:	A9	N3	E4	A11	N12	E3	N6	N5	A7	A12	A14	N7	A6	A10	A15	A17	N9	A16	E5	A8	A13	
