Generation:	16	Best fitness:	231.29931972789115	Average fitness:	336.3650340136054	Fitness standard deviation:	34.31754629447551	Best genome:	N9	A16	A9	N5	E3	A15	A14	E4	A7	A11	N12	N6	A8	E5	A13	N7	A6	A12	N3	A10	A17	
Generation:	560	Best fitness:	131.29931972789115	Average fitness:	328.029605442177	Fitness standard deviation:	45.163030270163155	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	576	Best fitness:	131.29931972789115	Average fitness:	322.0621768707483	Fitness standard deviation:	45.89938783994437	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	592	Best fitness:	131.29931972789115	Average fitness:	310.8141768707482	Fitness standard deviation:	50.17911444220674	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	608	Best fitness:	131.29931972789115	Average fitness:	307.816462585034	Fitness standard deviation:	63.64659729269725	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	624	Best fitness:	131.29931972789115	Average fitness:	314.03246258503407	Fitness standard deviation:	50.92171938998774	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	640	Best fitness:	131.29931972789115	Average fitness:	321.79874829931987	Fitness standard deviation:	53.38766753259997	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	656	Best fitness:	131.29931972789115	Average fitness:	312.86446258503406	Fitness standard deviation:	44.65968891014603	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	672	Best fitness:	131.29931972789115	Average fitness:	315.4067482993197	Fitness standard deviation:	52.03366306301242	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	688	Best fitness:	131.29931972789115	Average fitness:	326.82846258503406	Fitness standard deviation:	47.038582596998964	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	704	Best fitness:	131.29931972789115	Average fitness:	323.47531972789125	Fitness standard deviation:	52.51545416390128	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	720	Best fitness:	131.29931972789115	Average fitness:	328.02389115646247	Fitness standard deviation:	46.58194754474339	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	736	Best fitness:	131.29931972789115	Average fitness:	323.26846258503406	Fitness standard deviation:	45.38728756300084	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	752	Best fitness:	131.29931972789115	Average fitness:	317.4918911564626	Fitness standard deviation:	49.806141350689856	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	768	Best fitness:	131.29931972789115	Average fitness:	317.73989115646265	Fitness standard deviation:	47.993157025831536	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	784	Best fitness:	131.29931972789115	Average fitness:	315.00389115646266	Fitness standard deviation:	51.78459233779712	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	800	Best fitness:	131.29931972789115	Average fitness:	319.74903401360547	Fitness standard deviation:	53.48429113185994	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	816	Best fitness:	131.29931972789115	Average fitness:	323.781605442177	Fitness standard deviation:	52.61102472808124	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	832	Best fitness:	131.29931972789115	Average fitness:	317.4473197278912	Fitness standard deviation:	40.93844406083906	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	848	Best fitness:	131.29931972789115	Average fitness:	314.36560544217696	Fitness standard deviation:	52.07102259375346	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	864	Best fitness:	131.29931972789115	Average fitness:	315.61703401360546	Fitness standard deviation:	42.18987542343421	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	880	Best fitness:	131.29931972789115	Average fitness:	314.19874829931973	Fitness standard deviation:	58.878133355504495	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	896	Best fitness:	131.29931972789115	Average fitness:	317.1530340136055	Fitness standard deviation:	53.93434698003922	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	912	Best fitness:	131.29931972789115	Average fitness:	319.83703401360543	Fitness standard deviation:	58.1108639784897	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	928	Best fitness:	131.29931972789115	Average fitness:	318.86446258503406	Fitness standard deviation:	43.62616413603756	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	944	Best fitness:	131.29931972789115	Average fitness:	300.684462585034	Fitness standard deviation:	51.425883498011196	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	960	Best fitness:	131.29931972789115	Average fitness:	320.1518911564626	Fitness standard deviation:	48.70711748181939	Best genome:	N9	A13	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	976	Best fitness:	127.32789115646258	Average fitness:	311.2021768707483	Fitness standard deviation:	52.30289678636259	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	992	Best fitness:	127.32789115646258	Average fitness:	317.64274829931986	Fitness standard deviation:	55.98776002969628	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1008	Best fitness:	127.32789115646258	Average fitness:	327.6021768707484	Fitness standard deviation:	51.741640121366274	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1024	Best fitness:	127.32789115646258	Average fitness:	312.52903401360555	Fitness standard deviation:	53.66228119623386	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1040	Best fitness:	127.32789115646258	Average fitness:	317.72674829931975	Fitness standard deviation:	47.986620570695735	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1056	Best fitness:	127.32789115646258	Average fitness:	317.4101768707483	Fitness standard deviation:	52.29286091361433	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1072	Best fitness:	127.32789115646258	Average fitness:	317.9736054421769	Fitness standard deviation:	43.37251607896881	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1088	Best fitness:	127.32789115646258	Average fitness:	311.3147482993197	Fitness standard deviation:	43.99429655428215	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1104	Best fitness:	127.32789115646258	Average fitness:	314.1993197278913	Fitness standard deviation:	51.32751062479824	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1120	Best fitness:	127.32789115646258	Average fitness:	325.3844625850341	Fitness standard deviation:	49.76584108049395	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1136	Best fitness:	127.32789115646258	Average fitness:	322.1027482993197	Fitness standard deviation:	50.049199839472244	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1152	Best fitness:	127.32789115646258	Average fitness:	321.15646258503403	Fitness standard deviation:	50.651164903903734	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1168	Best fitness:	127.32789115646258	Average fitness:	314.736462585034	Fitness standard deviation:	49.74146326101535	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1184	Best fitness:	127.32789115646258	Average fitness:	324.64446258503403	Fitness standard deviation:	50.59504366788413	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1200	Best fitness:	127.32789115646258	Average fitness:	320.8136054421768	Fitness standard deviation:	48.04875754939784	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1216	Best fitness:	127.32789115646258	Average fitness:	319.0747482993197	Fitness standard deviation:	54.18248018972742	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1232	Best fitness:	127.32789115646258	Average fitness:	314.48274829931984	Fitness standard deviation:	46.87474620208844	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1248	Best fitness:	127.32789115646258	Average fitness:	315.63874829931973	Fitness standard deviation:	48.3953661603662	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1264	Best fitness:	127.32789115646258	Average fitness:	324.52446258503403	Fitness standard deviation:	44.26605412083362	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1280	Best fitness:	127.32789115646258	Average fitness:	314.52160544217696	Fitness standard deviation:	47.45445499913898	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1296	Best fitness:	127.32789115646258	Average fitness:	305.3913197278912	Fitness standard deviation:	54.708293081747364	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1312	Best fitness:	127.32789115646258	Average fitness:	314.6838911564626	Fitness standard deviation:	45.456415980540285	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1328	Best fitness:	127.32789115646258	Average fitness:	314.10103401360544	Fitness standard deviation:	52.2669313366199	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1344	Best fitness:	127.32789115646258	Average fitness:	315.3496054421769	Fitness standard deviation:	48.26304474101763	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1360	Best fitness:	127.32789115646258	Average fitness:	316.7981768707483	Fitness standard deviation:	55.16551665003516	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1376	Best fitness:	127.32789115646258	Average fitness:	323.51246258503403	Fitness standard deviation:	55.06161126800206	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1392	Best fitness:	127.32789115646258	Average fitness:	313.1181768707484	Fitness standard deviation:	50.42699491182014	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1408	Best fitness:	127.32789115646258	Average fitness:	318.87360544217694	Fitness standard deviation:	57.907238770647815	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1424	Best fitness:	127.32789115646258	Average fitness:	316.6210340136055	Fitness standard deviation:	56.554282772557265	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1440	Best fitness:	127.32789115646258	Average fitness:	317.4227482993198	Fitness standard deviation:	48.77001703204667	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1456	Best fitness:	127.32789115646258	Average fitness:	317.3930340136055	Fitness standard deviation:	48.61741253199437	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1472	Best fitness:	127.32789115646258	Average fitness:	312.8913197278912	Fitness standard deviation:	50.21983803158238	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1488	Best fitness:	127.32789115646258	Average fitness:	313.9833197278912	Fitness standard deviation:	50.95861062726519	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1504	Best fitness:	127.32789115646258	Average fitness:	311.3993197278912	Fitness standard deviation:	55.7347453276203	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1520	Best fitness:	127.32789115646258	Average fitness:	325.0953197278912	Fitness standard deviation:	50.91927986088395	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1536	Best fitness:	127.32789115646258	Average fitness:	326.4181768707483	Fitness standard deviation:	50.643963593796606	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1552	Best fitness:	127.32789115646258	Average fitness:	314.84046258503406	Fitness standard deviation:	54.55151152173625	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1568	Best fitness:	127.32789115646258	Average fitness:	316.66903401360554	Fitness standard deviation:	58.10034568304905	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1584	Best fitness:	127.32789115646258	Average fitness:	310.75531972789116	Fitness standard deviation:	49.82826145381961	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1600	Best fitness:	127.32789115646258	Average fitness:	312.96046258503407	Fitness standard deviation:	58.95172982454478	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1616	Best fitness:	127.32789115646258	Average fitness:	312.096462585034	Fitness standard deviation:	43.82173098044449	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1632	Best fitness:	127.32789115646258	Average fitness:	319.6216054421768	Fitness standard deviation:	55.83093547853344	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1648	Best fitness:	127.32789115646258	Average fitness:	306.2856054421769	Fitness standard deviation:	46.42047093818038	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1664	Best fitness:	127.32789115646258	Average fitness:	323.3536054421769	Fitness standard deviation:	53.852480662169945	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1680	Best fitness:	127.32789115646258	Average fitness:	318.188462585034	Fitness standard deviation:	48.09532325348425	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1696	Best fitness:	127.32789115646258	Average fitness:	312.0850340136055	Fitness standard deviation:	38.903587893925774	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1712	Best fitness:	127.32789115646258	Average fitness:	325.3518911564626	Fitness standard deviation:	56.640296713162634	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1728	Best fitness:	127.32789115646258	Average fitness:	323.27017687074834	Fitness standard deviation:	45.47126385320913	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
Generation:	1744	Best fitness:	127.32789115646258	Average fitness:	313.5090340136055	Fitness standard deviation:	55.21144649436383	Best genome:	A13	N9	A9	N5	A11	N12	N7	A6	A12	A14	A17	E4	N3	A7	N6	E3	E5	A15	A10	A8	A16	
