Generation:	16	Best fitness:	229.52789115646257	Average fitness:	339.0758911564626	Fitness standard deviation:	37.00448012148292	Best genome:	A13	A15	A16	E4	N5	A11	E3	N3	N9	A9	A7	A14	A17	A12	A10	A8	N6	N7	E5	N12	A6	
Generation:	960	Best fitness:	157.32789115646258	Average fitness:	329.6207482993196	Fitness standard deviation:	44.02326200952382	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	E3	N12	N6	A6	A12	A16	E5	E4	N5	A11	
Generation:	976	Best fitness:	157.32789115646258	Average fitness:	331.68989115646264	Fitness standard deviation:	44.110543152680506	Best genome:	A13	N9	A9	N3	A8	A15	A17	A7	A14	N7	A10	E3	N12	N6	A6	A12	A16	E5	E4	N5	A11	
Generation:	992	Best fitness:	153.29931972789115	Average fitness:	336.4510340136055	Fitness standard deviation:	43.19748002759761	Best genome:	N9	A9	N3	A7	A10	A8	N12	N6	E3	A15	A17	A14	N7	A6	A12	A16	E5	E4	N5	A11	A13	
Generation:	1008	Best fitness:	153.29931972789115	Average fitness:	331.5333197278911	Fitness standard deviation:	40.64780752076179	Best genome:	N9	A9	N3	A7	A10	A8	N12	N6	E3	A15	A17	A14	N7	A6	A12	A16	E5	E4	N5	A11	A13	
Generation:	1024	Best fitness:	145.29931972789115	Average fitness:	336.40017687074834	Fitness standard deviation:	44.06570149498245	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A8	A15	A17	A14	N7	A6	A12	A16	E5	E4	N5	A11	A13	
Generation:	1040	Best fitness:	145.29931972789115	Average fitness:	337.1438911564626	Fitness standard deviation:	42.61951020509797	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A8	A15	A17	A14	N7	A6	A12	A16	E5	E4	N5	A11	A13	
Generation:	1056	Best fitness:	145.29931972789115	Average fitness:	334.4473197278913	Fitness standard deviation:	44.34111049210957	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A8	A15	A17	A14	N7	A6	A12	A16	E5	E4	N5	A11	A13	
Generation:	1072	Best fitness:	145.29931972789115	Average fitness:	343.1564625850341	Fitness standard deviation:	43.39956907526119	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A8	A15	A17	A14	N7	A6	A12	A16	E5	E4	N5	A11	A13	
Generation:	1088	Best fitness:	145.29931972789115	Average fitness:	336.282462585034	Fitness standard deviation:	38.714153103621065	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A8	A15	A17	A14	N7	A6	A12	A16	E5	E4	N5	A11	A13	
Generation:	1104	Best fitness:	145.29931972789115	Average fitness:	327.4630340136055	Fitness standard deviation:	45.032786940999664	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A8	A15	A17	A14	N7	A6	A12	A16	E5	E4	N5	A11	A13	
Generation:	1120	Best fitness:	145.29931972789115	Average fitness:	340.69874829931985	Fitness standard deviation:	47.7892160971874	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A8	A15	A17	A14	N7	A6	A12	A16	E5	E4	N5	A11	A13	
Generation:	1136	Best fitness:	145.29931972789115	Average fitness:	334.18303401360555	Fitness standard deviation:	44.76332650822135	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A8	A15	A17	A14	N7	A6	A12	A16	E5	E4	N5	A11	A13	
Generation:	1152	Best fitness:	145.29931972789115	Average fitness:	332.99617687074823	Fitness standard deviation:	37.76042327136513	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A8	A15	A17	A14	N7	A6	A12	A16	E5	E4	N5	A11	A13	
Generation:	1168	Best fitness:	145.29931972789115	Average fitness:	338.3973197278911	Fitness standard deviation:	42.155735224599404	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A8	A15	A17	A14	N7	A6	A12	A16	E5	E4	N5	A11	A13	
Generation:	1184	Best fitness:	145.29931972789115	Average fitness:	335.65217687074835	Fitness standard deviation:	43.101769341967426	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A8	A15	A17	A14	N7	A6	A12	A16	E5	E4	N5	A11	A13	
Generation:	1200	Best fitness:	145.29931972789115	Average fitness:	337.6127482993198	Fitness standard deviation:	43.128682715041194	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A8	A15	A17	A14	N7	A6	A12	A16	E5	E4	N5	A11	A13	
Generation:	1216	Best fitness:	145.29931972789115	Average fitness:	331.17131972789116	Fitness standard deviation:	45.63720760564581	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A8	A15	A17	A14	N7	A6	A12	A16	E5	E4	N5	A11	A13	
Generation:	1232	Best fitness:	137.29931972789115	Average fitness:	335.2247482993199	Fitness standard deviation:	44.37970208856058	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	
Generation:	1248	Best fitness:	137.29931972789115	Average fitness:	332.143605442177	Fitness standard deviation:	36.53514592491869	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	
Generation:	1264	Best fitness:	137.29931972789115	Average fitness:	334.74589115646245	Fitness standard deviation:	44.53020688229049	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	
Generation:	1280	Best fitness:	137.29931972789115	Average fitness:	336.07189115646264	Fitness standard deviation:	47.2018771539559	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	
Generation:	1296	Best fitness:	137.29931972789115	Average fitness:	330.69131972789114	Fitness standard deviation:	44.0985577217992	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	
Generation:	1312	Best fitness:	137.29931972789115	Average fitness:	330.26389115646253	Fitness standard deviation:	45.101876719176964	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	
Generation:	1328	Best fitness:	137.29931972789115	Average fitness:	336.0521768707483	Fitness standard deviation:	38.357853651301895	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	
Generation:	1344	Best fitness:	137.29931972789115	Average fitness:	330.05531972789106	Fitness standard deviation:	44.84493745140479	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	
Generation:	1360	Best fitness:	137.29931972789115	Average fitness:	325.3678911564626	Fitness standard deviation:	40.26076187727668	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	
Generation:	1376	Best fitness:	137.29931972789115	Average fitness:	333.02017687074834	Fitness standard deviation:	41.99680490373582	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	
Generation:	1392	Best fitness:	137.29931972789115	Average fitness:	329.5001768707485	Fitness standard deviation:	43.743654085303554	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	
Generation:	1408	Best fitness:	137.29931972789115	Average fitness:	334.84246258503407	Fitness standard deviation:	38.347372843520844	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	
Generation:	1424	Best fitness:	137.29931972789115	Average fitness:	332.00617687074833	Fitness standard deviation:	45.27147006624795	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	
Generation:	1440	Best fitness:	137.29931972789115	Average fitness:	332.72417687074835	Fitness standard deviation:	47.714936634567756	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	
Generation:	1456	Best fitness:	137.29931972789115	Average fitness:	331.62817687074835	Fitness standard deviation:	44.05815905720761	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	
Generation:	1472	Best fitness:	137.29931972789115	Average fitness:	331.1538911564626	Fitness standard deviation:	42.142814352520645	Best genome:	N9	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	
Generation:	1488	Best fitness:	133.87074829931973	Average fitness:	333.79131972789105	Fitness standard deviation:	41.17029176184087	Best genome:	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	N9	
Generation:	1504	Best fitness:	133.87074829931973	Average fitness:	332.96274829931974	Fitness standard deviation:	40.96862922893514	Best genome:	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	N9	
Generation:	1520	Best fitness:	133.87074829931973	Average fitness:	336.10074829931966	Fitness standard deviation:	48.413923511691536	Best genome:	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	N9	
Generation:	1536	Best fitness:	133.87074829931973	Average fitness:	338.4221768707481	Fitness standard deviation:	42.9200073225929	Best genome:	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	N9	
Generation:	1552	Best fitness:	133.87074829931973	Average fitness:	337.26874829931984	Fitness standard deviation:	40.084562299911795	Best genome:	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A16	A13	N9	
Generation:	1568	Best fitness:	133.8421768707483	Average fitness:	333.30931972789097	Fitness standard deviation:	46.408352234730955	Best genome:	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A13	N9	A16	
Generation:	1584	Best fitness:	133.8421768707483	Average fitness:	339.66874829931976	Fitness standard deviation:	41.139355853995	Best genome:	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A13	N9	A16	
Generation:	1600	Best fitness:	133.8421768707483	Average fitness:	331.86560544217684	Fitness standard deviation:	47.08931390193642	Best genome:	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A13	N9	A16	
Generation:	1616	Best fitness:	133.8421768707483	Average fitness:	333.57046258503397	Fitness standard deviation:	42.36039341803393	Best genome:	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A13	N9	A16	
Generation:	1632	Best fitness:	133.8421768707483	Average fitness:	338.8656054421769	Fitness standard deviation:	43.34489973151046	Best genome:	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A13	N9	A16	
Generation:	1648	Best fitness:	133.8421768707483	Average fitness:	333.30417687074834	Fitness standard deviation:	43.44023660156561	Best genome:	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A13	N9	A16	
Generation:	1664	Best fitness:	133.8421768707483	Average fitness:	330.4461768707482	Fitness standard deviation:	49.16225979429376	Best genome:	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A13	N9	A16	
Generation:	1680	Best fitness:	133.8421768707483	Average fitness:	342.7938911564625	Fitness standard deviation:	39.239809376682345	Best genome:	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A13	N9	A16	
Generation:	1696	Best fitness:	133.8421768707483	Average fitness:	333.9481768707482	Fitness standard deviation:	42.520955370648174	Best genome:	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A13	N9	A16	
Generation:	1712	Best fitness:	133.8421768707483	Average fitness:	334.12217687074815	Fitness standard deviation:	39.583642880279086	Best genome:	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A13	N9	A16	
Generation:	1728	Best fitness:	133.8421768707483	Average fitness:	333.07646258503416	Fitness standard deviation:	47.642392887007674	Best genome:	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A13	N9	A16	
Generation:	1744	Best fitness:	133.8421768707483	Average fitness:	339.0824625850341	Fitness standard deviation:	42.54419303188972	Best genome:	A9	N3	A7	A10	N12	E3	N6	A15	A17	A14	N7	A6	A12	E5	E4	N5	A11	A8	A13	N9	A16	
