Generation:	16	Best fitness:	243.8421768707483	Average fitness:	329.5056054421769	Fitness standard deviation:	36.35615223573247	Best genome:	A9	E4	A11	N5	A16	A15	A10	N12	A6	A7	N3	A13	A14	A17	N7	E3	N6	E5	A8	N9	A12	
Generation:	496	Best fitness:	153.756462585034	Average fitness:	328.0496054421769	Fitness standard deviation:	42.19508311040373	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	512	Best fitness:	153.756462585034	Average fitness:	310.92903401360553	Fitness standard deviation:	43.561274305305176	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	528	Best fitness:	153.756462585034	Average fitness:	330.80674829931974	Fitness standard deviation:	44.04540720480099	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	544	Best fitness:	153.756462585034	Average fitness:	323.07589115646266	Fitness standard deviation:	48.961726223403424	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	560	Best fitness:	153.756462585034	Average fitness:	326.01360544217687	Fitness standard deviation:	45.18624533358507	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	576	Best fitness:	153.756462585034	Average fitness:	314.6061768707483	Fitness standard deviation:	42.64401819333481	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	592	Best fitness:	153.756462585034	Average fitness:	325.148462585034	Fitness standard deviation:	45.393827159243415	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	608	Best fitness:	153.756462585034	Average fitness:	323.7233197278911	Fitness standard deviation:	48.26892433702104	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	624	Best fitness:	153.756462585034	Average fitness:	321.69760544217684	Fitness standard deviation:	41.536323089998405	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	640	Best fitness:	153.756462585034	Average fitness:	317.85760544217686	Fitness standard deviation:	46.207346075564	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	656	Best fitness:	153.756462585034	Average fitness:	325.492462585034	Fitness standard deviation:	51.67153135895619	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	672	Best fitness:	153.756462585034	Average fitness:	313.2118911564626	Fitness standard deviation:	53.24042484689197	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	688	Best fitness:	153.756462585034	Average fitness:	318.15474829931964	Fitness standard deviation:	43.08793378519736	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	704	Best fitness:	153.756462585034	Average fitness:	328.23874829931975	Fitness standard deviation:	50.1198754465283	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	720	Best fitness:	153.756462585034	Average fitness:	318.93874829931974	Fitness standard deviation:	47.481830300158634	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	736	Best fitness:	153.756462585034	Average fitness:	321.37017687074837	Fitness standard deviation:	43.01196349569621	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	752	Best fitness:	153.756462585034	Average fitness:	328.36331972789134	Fitness standard deviation:	46.73521577778281	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	768	Best fitness:	153.756462585034	Average fitness:	322.09303401360535	Fitness standard deviation:	44.655731735313964	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	784	Best fitness:	153.756462585034	Average fitness:	332.0016054421768	Fitness standard deviation:	44.0404511978963	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	800	Best fitness:	153.756462585034	Average fitness:	320.0918911564626	Fitness standard deviation:	49.041687825933636	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	816	Best fitness:	153.756462585034	Average fitness:	331.09417687074824	Fitness standard deviation:	39.91655405764298	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	832	Best fitness:	153.756462585034	Average fitness:	323.9267482993198	Fitness standard deviation:	49.14819504564637	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	848	Best fitness:	153.756462585034	Average fitness:	323.46046258503395	Fitness standard deviation:	46.828879545748315	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	864	Best fitness:	153.756462585034	Average fitness:	324.6633197278911	Fitness standard deviation:	46.435137930367404	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	880	Best fitness:	153.756462585034	Average fitness:	325.04560544217685	Fitness standard deviation:	50.47680336591073	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	896	Best fitness:	153.756462585034	Average fitness:	308.4890340136054	Fitness standard deviation:	51.348862598137934	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	912	Best fitness:	153.756462585034	Average fitness:	321.0587482993197	Fitness standard deviation:	47.27116326480832	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	928	Best fitness:	153.756462585034	Average fitness:	319.920462585034	Fitness standard deviation:	46.52275311136718	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	944	Best fitness:	153.756462585034	Average fitness:	321.5238911564626	Fitness standard deviation:	47.43448018615375	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	960	Best fitness:	153.756462585034	Average fitness:	328.45646258503393	Fitness standard deviation:	43.35710444808842	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	976	Best fitness:	153.756462585034	Average fitness:	323.1336054421768	Fitness standard deviation:	50.14240944041078	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	992	Best fitness:	153.756462585034	Average fitness:	329.2976054421769	Fitness standard deviation:	47.27783461666595	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1008	Best fitness:	153.756462585034	Average fitness:	328.7027482993198	Fitness standard deviation:	44.00464674535717	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1024	Best fitness:	153.756462585034	Average fitness:	322.61074829931977	Fitness standard deviation:	39.35341999504138	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1040	Best fitness:	153.756462585034	Average fitness:	317.4827482993197	Fitness standard deviation:	44.14237820914482	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1056	Best fitness:	153.756462585034	Average fitness:	332.5587482993197	Fitness standard deviation:	55.88792424494011	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1072	Best fitness:	153.756462585034	Average fitness:	332.74731972789124	Fitness standard deviation:	48.5464807997533	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1088	Best fitness:	153.756462585034	Average fitness:	318.06274829931965	Fitness standard deviation:	46.77737008775217	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1104	Best fitness:	153.756462585034	Average fitness:	326.62560544217695	Fitness standard deviation:	46.513622701487435	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1120	Best fitness:	153.756462585034	Average fitness:	323.70217687074836	Fitness standard deviation:	41.456704241058674	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1136	Best fitness:	153.756462585034	Average fitness:	315.52960544217683	Fitness standard deviation:	51.01175483900845	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1152	Best fitness:	153.756462585034	Average fitness:	315.0616054421769	Fitness standard deviation:	50.62082799216391	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1168	Best fitness:	153.756462585034	Average fitness:	322.2421768707483	Fitness standard deviation:	51.357090323835635	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1184	Best fitness:	153.756462585034	Average fitness:	322.9490340136054	Fitness standard deviation:	46.563370664863484	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1200	Best fitness:	153.756462585034	Average fitness:	310.41474829931974	Fitness standard deviation:	45.24783669110039	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1216	Best fitness:	153.756462585034	Average fitness:	315.340462585034	Fitness standard deviation:	39.8844237040487	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1232	Best fitness:	153.756462585034	Average fitness:	321.6633197278911	Fitness standard deviation:	42.412410509478114	Best genome:	N7	N6	N3	N5	E3	A6	A14	A17	A10	N12	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1248	Best fitness:	149.756462585034	Average fitness:	314.4616054421769	Fitness standard deviation:	55.82285200707756	Best genome:	N7	N6	N3	N5	A10	N12	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1264	Best fitness:	149.756462585034	Average fitness:	316.13989115646257	Fitness standard deviation:	45.95126081279724	Best genome:	N7	N6	N3	N5	A10	N12	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1280	Best fitness:	149.756462585034	Average fitness:	320.9267482993197	Fitness standard deviation:	53.14874098303395	Best genome:	N7	N6	N3	N5	A10	N12	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1296	Best fitness:	149.756462585034	Average fitness:	323.5530340136054	Fitness standard deviation:	48.003603483786215	Best genome:	N7	N6	N3	N5	A10	N12	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1312	Best fitness:	149.756462585034	Average fitness:	319.5604625850341	Fitness standard deviation:	48.415494571596035	Best genome:	N7	N6	N3	N5	A10	N12	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1328	Best fitness:	149.756462585034	Average fitness:	315.40103401360534	Fitness standard deviation:	46.05437182731042	Best genome:	N7	N6	N3	N5	A10	N12	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1344	Best fitness:	149.756462585034	Average fitness:	325.44560544217694	Fitness standard deviation:	39.0177678584137	Best genome:	N7	N6	N3	N5	A10	N12	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1360	Best fitness:	149.756462585034	Average fitness:	304.84560544217686	Fitness standard deviation:	49.739361702082704	Best genome:	N7	N6	N3	N5	A10	N12	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1376	Best fitness:	133.756462585034	Average fitness:	311.1027482993197	Fitness standard deviation:	58.84297045457824	Best genome:	N3	N5	N7	A10	N6	N12	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1392	Best fitness:	133.756462585034	Average fitness:	308.9490340136054	Fitness standard deviation:	53.205468434616186	Best genome:	N3	N5	N7	A10	N6	N12	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1408	Best fitness:	133.756462585034	Average fitness:	309.55074829931976	Fitness standard deviation:	51.72956017518772	Best genome:	N3	N5	N7	A10	N6	N12	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1424	Best fitness:	133.756462585034	Average fitness:	327.43017687074837	Fitness standard deviation:	51.68247580156733	Best genome:	N3	N5	N7	A10	N6	N12	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1440	Best fitness:	133.756462585034	Average fitness:	319.0456054421768	Fitness standard deviation:	49.940879542408815	Best genome:	N3	N5	N7	A10	N6	N12	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1456	Best fitness:	133.756462585034	Average fitness:	318.81817687074835	Fitness standard deviation:	51.41055410107531	Best genome:	N3	N5	N7	A10	N6	N12	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1472	Best fitness:	130.756462585034	Average fitness:	331.40846258503404	Fitness standard deviation:	45.92923774322267	Best genome:	N3	N5	N7	A10	N12	N6	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1488	Best fitness:	130.756462585034	Average fitness:	325.21874829931966	Fitness standard deviation:	51.07758058930692	Best genome:	N3	N5	N7	A10	N12	N6	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1504	Best fitness:	130.756462585034	Average fitness:	323.476462585034	Fitness standard deviation:	46.348532328215015	Best genome:	N3	N5	N7	A10	N12	N6	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1520	Best fitness:	130.756462585034	Average fitness:	308.1490340136054	Fitness standard deviation:	48.916668436625734	Best genome:	N3	N5	N7	A10	N12	N6	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1536	Best fitness:	130.756462585034	Average fitness:	318.67303401360545	Fitness standard deviation:	52.9016510185627	Best genome:	N3	N5	N7	A10	N12	N6	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1552	Best fitness:	130.756462585034	Average fitness:	308.7416054421769	Fitness standard deviation:	48.31879078092303	Best genome:	N3	N5	N7	A10	N12	N6	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1568	Best fitness:	130.756462585034	Average fitness:	323.54674829931975	Fitness standard deviation:	50.16590324602753	Best genome:	N3	N5	N7	A10	N12	N6	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1584	Best fitness:	130.756462585034	Average fitness:	318.19589115646255	Fitness standard deviation:	48.57230180391509	Best genome:	N3	N5	N7	A10	N12	N6	E3	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1600	Best fitness:	127.75646258503401	Average fitness:	318.8473197278912	Fitness standard deviation:	60.432908642728826	Best genome:	N3	N5	N7	A10	N12	E3	N6	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1616	Best fitness:	127.75646258503401	Average fitness:	319.6661768707483	Fitness standard deviation:	46.75198945368583	Best genome:	N3	N5	N7	A10	N12	E3	N6	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1632	Best fitness:	127.75646258503401	Average fitness:	322.6753197278912	Fitness standard deviation:	45.76629732607583	Best genome:	N3	N5	N7	A10	N12	E3	N6	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1648	Best fitness:	127.75646258503401	Average fitness:	328.9296054421769	Fitness standard deviation:	57.1294311113111	Best genome:	N3	N5	N7	A10	N12	E3	N6	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1664	Best fitness:	127.75646258503401	Average fitness:	319.6301768707483	Fitness standard deviation:	49.278602249591756	Best genome:	N3	N5	N7	A10	N12	E3	N6	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1680	Best fitness:	127.75646258503401	Average fitness:	316.01531972789115	Fitness standard deviation:	50.803686001578065	Best genome:	N3	N5	N7	A10	N12	E3	N6	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1696	Best fitness:	127.75646258503401	Average fitness:	328.2718911564625	Fitness standard deviation:	51.72224688839102	Best genome:	N3	N5	N7	A10	N12	E3	N6	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1712	Best fitness:	127.75646258503401	Average fitness:	327.56903401360546	Fitness standard deviation:	46.88390948384953	Best genome:	N3	N5	N7	A10	N12	E3	N6	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1728	Best fitness:	127.75646258503401	Average fitness:	321.6553197278911	Fitness standard deviation:	47.246791476420135	Best genome:	N3	N5	N7	A10	N12	E3	N6	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1744	Best fitness:	127.75646258503401	Average fitness:	316.27646258503404	Fitness standard deviation:	47.18723279421575	Best genome:	N3	N5	N7	A10	N12	E3	N6	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
Generation:	1760	Best fitness:	127.75646258503401	Average fitness:	318.66217687074834	Fitness standard deviation:	47.957143197582866	Best genome:	N3	N5	N7	A10	N12	E3	N6	A6	A14	A17	A7	A9	E4	A11	A15	A12	N9	A16	E5	A8	A13	
