Generation:	16	Best fitness:	436.0	Average fitness:	534.02	Fitness standard deviation:	50.957821774483264	Best genome:	A4	E11	E10	A2	N4	E2	E3	A11	E7	A8	A1	N2	N12	N3	A6	N11	E9	A10	N10	E4	A5	A9	N7	E6	E1	E5	A7	A3	E8	
Generation:	192	Best fitness:	369.0	Average fitness:	491.11	Fitness standard deviation:	49.06687171605706	Best genome:	A2	N4	E2	E3	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	N3	A6	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	E1	E10	
Generation:	208	Best fitness:	369.0	Average fitness:	491.83	Fitness standard deviation:	50.04499075831666	Best genome:	A2	N4	E2	E3	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	N3	A6	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	E1	E10	
Generation:	224	Best fitness:	369.0	Average fitness:	479.97	Fitness standard deviation:	40.81309961274688	Best genome:	A2	N4	E2	E3	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	N3	A6	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	E1	E10	
Generation:	240	Best fitness:	369.0	Average fitness:	466.72	Fitness standard deviation:	35.90573213290602	Best genome:	A2	N4	E2	E3	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	N3	A6	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	E1	E10	
Generation:	256	Best fitness:	367.0	Average fitness:	441.75	Fitness standard deviation:	28.636471500518354	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	N3	A6	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	E1	E3	
Generation:	272	Best fitness:	367.0	Average fitness:	481.53	Fitness standard deviation:	42.41802800696892	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	N3	A6	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	E1	E3	
Generation:	288	Best fitness:	367.0	Average fitness:	451.55	Fitness standard deviation:	36.719306910670305	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	N3	A6	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	E1	E3	
Generation:	304	Best fitness:	354.0	Average fitness:	461.75	Fitness standard deviation:	40.26422109019371	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	320	Best fitness:	354.0	Average fitness:	485.03	Fitness standard deviation:	53.442016241904646	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	336	Best fitness:	354.0	Average fitness:	506.16	Fitness standard deviation:	73.3537620030493	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	352	Best fitness:	354.0	Average fitness:	475.22	Fitness standard deviation:	49.87596214610801	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	368	Best fitness:	354.0	Average fitness:	467.36	Fitness standard deviation:	50.468508993232604	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	384	Best fitness:	354.0	Average fitness:	519.75	Fitness standard deviation:	74.22336222511076	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	400	Best fitness:	354.0	Average fitness:	471.21	Fitness standard deviation:	43.9739229544056	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	416	Best fitness:	354.0	Average fitness:	477.6	Fitness standard deviation:	43.810501024297814	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	432	Best fitness:	354.0	Average fitness:	464.97	Fitness standard deviation:	45.25581841045414	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	448	Best fitness:	354.0	Average fitness:	474.27	Fitness standard deviation:	52.82837400488492	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	464	Best fitness:	354.0	Average fitness:	458.51	Fitness standard deviation:	37.599333770693335	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	480	Best fitness:	354.0	Average fitness:	493.86	Fitness standard deviation:	56.875129889961556	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	496	Best fitness:	354.0	Average fitness:	473.93	Fitness standard deviation:	41.42831278244384	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	512	Best fitness:	354.0	Average fitness:	494.56	Fitness standard deviation:	61.08703954195194	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	528	Best fitness:	354.0	Average fitness:	469.38	Fitness standard deviation:	44.21623683670965	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	544	Best fitness:	354.0	Average fitness:	455.4	Fitness standard deviation:	39.06097797034785	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	560	Best fitness:	354.0	Average fitness:	448.58	Fitness standard deviation:	33.51542331524398	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	576	Best fitness:	354.0	Average fitness:	502.48	Fitness standard deviation:	60.839868507418714	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	592	Best fitness:	354.0	Average fitness:	479.66	Fitness standard deviation:	48.24276526071034	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	608	Best fitness:	354.0	Average fitness:	482.82	Fitness standard deviation:	56.714791721384294	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	624	Best fitness:	354.0	Average fitness:	491.33	Fitness standard deviation:	55.8589393024966	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	640	Best fitness:	354.0	Average fitness:	443.82	Fitness standard deviation:	31.033330469029586	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	656	Best fitness:	354.0	Average fitness:	479.25	Fitness standard deviation:	48.07751553481108	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	672	Best fitness:	354.0	Average fitness:	471.38	Fitness standard deviation:	54.96085516074144	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	688	Best fitness:	354.0	Average fitness:	470.52	Fitness standard deviation:	51.911362917958535	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	704	Best fitness:	354.0	Average fitness:	476.25	Fitness standard deviation:	51.88436662425398	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	720	Best fitness:	354.0	Average fitness:	443.61	Fitness standard deviation:	38.950454426103946	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	736	Best fitness:	354.0	Average fitness:	453.07	Fitness standard deviation:	46.90058741636398	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	752	Best fitness:	354.0	Average fitness:	483.87	Fitness standard deviation:	53.92228759984132	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	768	Best fitness:	354.0	Average fitness:	471.08	Fitness standard deviation:	53.50358492661963	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	784	Best fitness:	354.0	Average fitness:	479.95	Fitness standard deviation:	47.97673915555329	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	800	Best fitness:	354.0	Average fitness:	461.46	Fitness standard deviation:	40.07453555563683	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	E11	N10	E7	A8	A1	N2	A5	N12	A4	E8	A3	N7	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	816	Best fitness:	351.0	Average fitness:	487.72	Fitness standard deviation:	47.72904356887952	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	A5	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	832	Best fitness:	351.0	Average fitness:	474.33	Fitness standard deviation:	44.75825175316838	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	A5	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	848	Best fitness:	351.0	Average fitness:	457.57	Fitness standard deviation:	41.69106738859057	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	A5	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	864	Best fitness:	351.0	Average fitness:	426.16	Fitness standard deviation:	37.36996655069416	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	A5	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	880	Best fitness:	351.0	Average fitness:	454.42	Fitness standard deviation:	41.86004777828139	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	A5	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	896	Best fitness:	351.0	Average fitness:	472.56	Fitness standard deviation:	56.81431509751745	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	A5	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	912	Best fitness:	351.0	Average fitness:	489.99	Fitness standard deviation:	50.399899801487706	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	A5	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	928	Best fitness:	351.0	Average fitness:	447.58	Fitness standard deviation:	34.10987540288003	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	A5	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	944	Best fitness:	351.0	Average fitness:	505.44	Fitness standard deviation:	72.60114599646484	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	A5	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	960	Best fitness:	351.0	Average fitness:	444.99	Fitness standard deviation:	38.82975534303557	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	A5	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	976	Best fitness:	351.0	Average fitness:	486.7	Fitness standard deviation:	58.650745945810456	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	A5	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	992	Best fitness:	351.0	Average fitness:	459.04	Fitness standard deviation:	44.463899963903295	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	A5	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	1008	Best fitness:	351.0	Average fitness:	444.2	Fitness standard deviation:	31.25859881696555	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	A5	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	1024	Best fitness:	351.0	Average fitness:	476.98	Fitness standard deviation:	49.01774780627931	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	A5	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	A6	E1	E3	
Generation:	1040	Best fitness:	346.0	Average fitness:	491.03	Fitness standard deviation:	55.017534477655396	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	A5	
Generation:	1056	Best fitness:	346.0	Average fitness:	483.52	Fitness standard deviation:	64.29362021227301	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	A5	
Generation:	1072	Best fitness:	346.0	Average fitness:	463.21	Fitness standard deviation:	41.21681574309205	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	A5	
Generation:	1088	Best fitness:	346.0	Average fitness:	484.01	Fitness standard deviation:	68.67393901619451	Best genome:	A2	N4	E2	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A4	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	A5	
Generation:	1104	Best fitness:	342.0	Average fitness:	457.21	Fitness standard deviation:	43.150271146309144	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	E2	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	A5	
Generation:	1120	Best fitness:	338.0	Average fitness:	481.01	Fitness standard deviation:	70.58661275341096	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1136	Best fitness:	338.0	Average fitness:	463.3	Fitness standard deviation:	50.054670111788774	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1152	Best fitness:	338.0	Average fitness:	481.27	Fitness standard deviation:	71.83813123961396	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1168	Best fitness:	338.0	Average fitness:	459.41	Fitness standard deviation:	44.76876031341497	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1184	Best fitness:	338.0	Average fitness:	461.84	Fitness standard deviation:	52.912894458723386	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1200	Best fitness:	338.0	Average fitness:	444.42	Fitness standard deviation:	42.690087842495714	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1216	Best fitness:	338.0	Average fitness:	464.19	Fitness standard deviation:	53.217421019812676	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1232	Best fitness:	338.0	Average fitness:	486.14	Fitness standard deviation:	60.3110305002327	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1248	Best fitness:	338.0	Average fitness:	426.55	Fitness standard deviation:	31.336679785835646	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1264	Best fitness:	338.0	Average fitness:	499.23	Fitness standard deviation:	66.56137844125527	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1280	Best fitness:	338.0	Average fitness:	482.49	Fitness standard deviation:	53.83892550933757	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1296	Best fitness:	338.0	Average fitness:	485.37	Fitness standard deviation:	66.52768671763658	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1312	Best fitness:	338.0	Average fitness:	438.1	Fitness standard deviation:	35.9225555883765	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1328	Best fitness:	338.0	Average fitness:	464.65	Fitness standard deviation:	50.52947159826629	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1344	Best fitness:	338.0	Average fitness:	467.41	Fitness standard deviation:	46.741864532771906	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1360	Best fitness:	338.0	Average fitness:	466.37	Fitness standard deviation:	53.29027209538341	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1376	Best fitness:	338.0	Average fitness:	451.55	Fitness standard deviation:	41.37520392698989	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1392	Best fitness:	338.0	Average fitness:	452.9	Fitness standard deviation:	48.24987046614736	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1408	Best fitness:	338.0	Average fitness:	471.45	Fitness standard deviation:	51.828442963299615	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1424	Best fitness:	338.0	Average fitness:	476.17	Fitness standard deviation:	57.66629084655958	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1440	Best fitness:	338.0	Average fitness:	470.91	Fitness standard deviation:	50.14201731083423	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1456	Best fitness:	338.0	Average fitness:	419.25	Fitness standard deviation:	37.86089671415615	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1472	Best fitness:	338.0	Average fitness:	434.4	Fitness standard deviation:	32.57483691440372	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1488	Best fitness:	338.0	Average fitness:	443.67	Fitness standard deviation:	38.82191520262749	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1504	Best fitness:	338.0	Average fitness:	442.71	Fitness standard deviation:	44.054351657923654	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1520	Best fitness:	338.0	Average fitness:	422.38	Fitness standard deviation:	29.85457418889106	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1536	Best fitness:	338.0	Average fitness:	467.3	Fitness standard deviation:	54.0274930012489	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
Generation:	1552	Best fitness:	338.0	Average fitness:	472.21	Fitness standard deviation:	57.792611119415604	Best genome:	A2	N4	A4	E10	A11	E5	N11	E9	A10	N10	E11	E7	A8	A1	N2	E3	A5	A3	N7	E8	N12	E6	A9	E4	A7	N3	E1	A6	E2	
