Generation:	16	Best fitness:	253.29931972789115	Average fitness:	323.53217687074834	Fitness standard deviation:	36.717844491222976	Best genome:	N9	A15	A11	A8	A17	E4	N6	N7	A6	A14	A12	A16	E3	A9	N5	A7	A13	E5	N12	A10	N3	
Generation:	352	Best fitness:	151.556462585034	Average fitness:	282.266462585034	Fitness standard deviation:	59.02071464446069	Best genome:	A9	A7	A12	A17	N5	A11	E3	N6	A8	N9	A13	A16	E5	E4	N3	N7	A10	N12	A15	A6	A14	
Generation:	368	Best fitness:	151.556462585034	Average fitness:	265.7521768707483	Fitness standard deviation:	65.7638262175758	Best genome:	A9	A7	A12	A17	N5	A11	E3	N6	A8	N9	A13	A16	E5	E4	N3	N7	A10	N12	A15	A6	A14	
Generation:	384	Best fitness:	151.556462585034	Average fitness:	270.90074829931973	Fitness standard deviation:	38.54420359291712	Best genome:	A9	A7	A12	A17	N5	A11	E3	N6	A8	N9	A13	A16	E5	E4	N3	N7	A10	N12	A15	A6	A14	
Generation:	400	Best fitness:	151.556462585034	Average fitness:	278.1750340136054	Fitness standard deviation:	50.7391160742873	Best genome:	A9	A7	A12	A17	N5	A11	E3	N6	A8	N9	A13	A16	E5	E4	N3	N7	A10	N12	A15	A6	A14	
Generation:	416	Best fitness:	151.556462585034	Average fitness:	285.4993197278912	Fitness standard deviation:	59.91522378174287	Best genome:	A9	A7	A12	A17	N5	A11	E3	N6	A8	N9	A13	A16	E5	E4	N3	N7	A10	N12	A15	A6	A14	
Generation:	432	Best fitness:	151.556462585034	Average fitness:	261.9836054421768	Fitness standard deviation:	66.05773570853587	Best genome:	A9	A7	A12	A17	N5	A11	E3	N6	A8	N9	A13	A16	E5	E4	N3	N7	A10	N12	A15	A6	A14	
Generation:	448	Best fitness:	151.556462585034	Average fitness:	267.2250340136054	Fitness standard deviation:	48.4421332886055	Best genome:	A9	A7	A12	A17	N5	A11	E3	N6	A8	N9	A13	A16	E5	E4	N3	N7	A10	N12	A15	A6	A14	
Generation:	464	Best fitness:	148.52789115646257	Average fitness:	261.20360544217687	Fitness standard deviation:	48.28182932384753	Best genome:	A9	A7	A12	A17	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	
Generation:	480	Best fitness:	148.52789115646257	Average fitness:	269.5036054421769	Fitness standard deviation:	44.329020553868624	Best genome:	A9	A7	A12	A17	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	
Generation:	496	Best fitness:	148.52789115646257	Average fitness:	276.7121768707483	Fitness standard deviation:	46.54526651222311	Best genome:	A9	A7	A12	A17	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	
Generation:	512	Best fitness:	148.52789115646257	Average fitness:	288.4607482993198	Fitness standard deviation:	48.48488026473526	Best genome:	A9	A7	A12	A17	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	
Generation:	528	Best fitness:	148.52789115646257	Average fitness:	275.6578911564626	Fitness standard deviation:	43.61035027399354	Best genome:	A9	A7	A12	A17	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	
Generation:	544	Best fitness:	148.52789115646257	Average fitness:	263.3707482993197	Fitness standard deviation:	47.99341919174218	Best genome:	A9	A7	A12	A17	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	
Generation:	560	Best fitness:	148.52789115646257	Average fitness:	276.5421768707484	Fitness standard deviation:	47.36088586802492	Best genome:	A9	A7	A12	A17	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	
Generation:	576	Best fitness:	148.52789115646257	Average fitness:	282.33789115646255	Fitness standard deviation:	51.76752766366347	Best genome:	A9	A7	A12	A17	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	
Generation:	592	Best fitness:	148.52789115646257	Average fitness:	275.9621768707483	Fitness standard deviation:	54.90427484193164	Best genome:	A9	A7	A12	A17	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	
Generation:	608	Best fitness:	148.52789115646257	Average fitness:	289.1993197278912	Fitness standard deviation:	58.63832033956036	Best genome:	A9	A7	A12	A17	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	
Generation:	624	Best fitness:	148.52789115646257	Average fitness:	264.48074829931977	Fitness standard deviation:	49.587064866160574	Best genome:	A9	A7	A12	A17	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	
Generation:	640	Best fitness:	148.52789115646257	Average fitness:	276.8350340136055	Fitness standard deviation:	45.9447964009694	Best genome:	A9	A7	A12	A17	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	
Generation:	656	Best fitness:	148.52789115646257	Average fitness:	288.546462585034	Fitness standard deviation:	56.10052004197102	Best genome:	A9	A7	A12	A17	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	
Generation:	672	Best fitness:	140.47074829931972	Average fitness:	274.5864625850339	Fitness standard deviation:	61.04801621407095	Best genome:	A9	A7	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A17	A14	A12	
Generation:	688	Best fitness:	140.47074829931972	Average fitness:	264.56503401360544	Fitness standard deviation:	47.39701971169728	Best genome:	A9	A7	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A17	A14	A12	
Generation:	704	Best fitness:	134.47074829931972	Average fitness:	277.5521768707483	Fitness standard deviation:	46.945387528532365	Best genome:	A9	A7	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	
Generation:	720	Best fitness:	134.47074829931972	Average fitness:	266.64217687074836	Fitness standard deviation:	59.14088816598229	Best genome:	A9	A7	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	
Generation:	736	Best fitness:	134.47074829931972	Average fitness:	275.7536054421768	Fitness standard deviation:	58.08843286449602	Best genome:	A9	A7	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	
Generation:	752	Best fitness:	134.47074829931972	Average fitness:	272.3621768707483	Fitness standard deviation:	50.06893664066106	Best genome:	A9	A7	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	
Generation:	768	Best fitness:	134.47074829931972	Average fitness:	276.016462585034	Fitness standard deviation:	62.76088012025794	Best genome:	A9	A7	N5	A11	E3	A8	N9	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	
Generation:	784	Best fitness:	130.87074829931973	Average fitness:	263.81503401360544	Fitness standard deviation:	61.3452082023344	Best genome:	A9	N5	A7	A11	E3	A8	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	800	Best fitness:	130.87074829931973	Average fitness:	278.4221768707483	Fitness standard deviation:	56.567769795103615	Best genome:	A9	N5	A7	A11	E3	A8	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	816	Best fitness:	130.87074829931973	Average fitness:	272.2121768707483	Fitness standard deviation:	61.84799501806911	Best genome:	A9	N5	A7	A11	E3	A8	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	832	Best fitness:	130.87074829931973	Average fitness:	266.71646258503404	Fitness standard deviation:	49.57729104897829	Best genome:	A9	N5	A7	A11	E3	A8	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	848	Best fitness:	130.87074829931973	Average fitness:	263.6178911564626	Fitness standard deviation:	52.233085359017885	Best genome:	A9	N5	A7	A11	E3	A8	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	864	Best fitness:	130.87074829931973	Average fitness:	289.6936054421769	Fitness standard deviation:	47.19176908516733	Best genome:	A9	N5	A7	A11	E3	A8	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	880	Best fitness:	130.87074829931973	Average fitness:	273.8736054421769	Fitness standard deviation:	59.6056132817529	Best genome:	A9	N5	A7	A11	E3	A8	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	896	Best fitness:	130.87074829931973	Average fitness:	269.7821768707483	Fitness standard deviation:	64.69125600946107	Best genome:	A9	N5	A7	A11	E3	A8	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	912	Best fitness:	130.87074829931973	Average fitness:	290.90360544217685	Fitness standard deviation:	55.402135282654505	Best genome:	A9	N5	A7	A11	E3	A8	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	928	Best fitness:	130.87074829931973	Average fitness:	281.9878911564625	Fitness standard deviation:	60.87491618399292	Best genome:	A9	N5	A7	A11	E3	A8	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	944	Best fitness:	130.87074829931973	Average fitness:	274.3336054421769	Fitness standard deviation:	58.46102179561828	Best genome:	A9	N5	A7	A11	E3	A8	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	960	Best fitness:	130.87074829931973	Average fitness:	253.8193197278912	Fitness standard deviation:	62.1768206695343	Best genome:	A9	N5	A7	A11	E3	A8	A13	A16	E5	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	976	Best fitness:	127.87074829931973	Average fitness:	255.2178911564626	Fitness standard deviation:	61.83985589853052	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	992	Best fitness:	127.87074829931973	Average fitness:	251.896462585034	Fitness standard deviation:	46.29150307716155	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1008	Best fitness:	127.87074829931973	Average fitness:	247.73074829931974	Fitness standard deviation:	43.20868289535125	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1024	Best fitness:	127.87074829931973	Average fitness:	268.466462585034	Fitness standard deviation:	59.59273772697407	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1040	Best fitness:	127.87074829931973	Average fitness:	257.7436054421769	Fitness standard deviation:	53.05411905761505	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1056	Best fitness:	127.87074829931973	Average fitness:	269.8121768707483	Fitness standard deviation:	53.93002834361259	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1072	Best fitness:	127.87074829931973	Average fitness:	272.94217687074826	Fitness standard deviation:	59.44323342483987	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1088	Best fitness:	127.87074829931973	Average fitness:	256.04503401360546	Fitness standard deviation:	59.1346480845336	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1104	Best fitness:	127.87074829931973	Average fitness:	267.37931972789113	Fitness standard deviation:	57.916934607122585	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1120	Best fitness:	127.87074829931973	Average fitness:	284.1707482993197	Fitness standard deviation:	51.75331163612742	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1136	Best fitness:	127.87074829931973	Average fitness:	280.9607482993197	Fitness standard deviation:	55.607715126883726	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1152	Best fitness:	127.87074829931973	Average fitness:	247.7936054421769	Fitness standard deviation:	49.103633931778646	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1168	Best fitness:	127.87074829931973	Average fitness:	271.7336054421768	Fitness standard deviation:	64.65168375413666	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1184	Best fitness:	127.87074829931973	Average fitness:	267.7636054421768	Fitness standard deviation:	53.40923551948212	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1200	Best fitness:	127.87074829931973	Average fitness:	269.736462585034	Fitness standard deviation:	61.44590791907953	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1216	Best fitness:	127.87074829931973	Average fitness:	280.19074829931975	Fitness standard deviation:	61.608011405885804	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1232	Best fitness:	127.87074829931973	Average fitness:	268.6036054421769	Fitness standard deviation:	52.35892553971548	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1248	Best fitness:	127.87074829931973	Average fitness:	273.81503401360544	Fitness standard deviation:	60.983307501951316	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1264	Best fitness:	127.87074829931973	Average fitness:	280.3293197278912	Fitness standard deviation:	49.12943793112814	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1280	Best fitness:	127.87074829931973	Average fitness:	267.9293197278911	Fitness standard deviation:	62.375644432481394	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1296	Best fitness:	127.87074829931973	Average fitness:	271.1236054421768	Fitness standard deviation:	52.32152113107366	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1312	Best fitness:	127.87074829931973	Average fitness:	274.03646258503403	Fitness standard deviation:	64.35311425475628	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1328	Best fitness:	127.87074829931973	Average fitness:	243.34217687074823	Fitness standard deviation:	51.01266389389031	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1344	Best fitness:	127.87074829931973	Average fitness:	260.37789115646257	Fitness standard deviation:	72.6127080995539	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1360	Best fitness:	127.87074829931973	Average fitness:	292.44503401360555	Fitness standard deviation:	61.8569857470786	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1376	Best fitness:	127.87074829931973	Average fitness:	265.6007482993198	Fitness standard deviation:	45.3683477498467	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1392	Best fitness:	127.87074829931973	Average fitness:	265.14503401360537	Fitness standard deviation:	55.55431862931402	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1408	Best fitness:	127.87074829931973	Average fitness:	263.4207482993197	Fitness standard deviation:	68.60558487113279	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1424	Best fitness:	127.87074829931973	Average fitness:	279.806462585034	Fitness standard deviation:	62.62857851603192	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1440	Best fitness:	127.87074829931973	Average fitness:	266.50503401360544	Fitness standard deviation:	53.03316836602143	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1456	Best fitness:	127.87074829931973	Average fitness:	260.4093197278911	Fitness standard deviation:	62.42869779326865	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1472	Best fitness:	127.87074829931973	Average fitness:	261.3850340136054	Fitness standard deviation:	45.277476492744384	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1488	Best fitness:	127.87074829931973	Average fitness:	266.9593197278911	Fitness standard deviation:	59.289300339048346	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1504	Best fitness:	127.87074829931973	Average fitness:	271.42360544217684	Fitness standard deviation:	63.10414603604724	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1520	Best fitness:	127.87074829931973	Average fitness:	263.816462585034	Fitness standard deviation:	63.725650427822075	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1536	Best fitness:	127.87074829931973	Average fitness:	261.6578911564626	Fitness standard deviation:	50.57290915911725	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1552	Best fitness:	127.87074829931973	Average fitness:	249.5278911564626	Fitness standard deviation:	54.246965117781436	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1568	Best fitness:	127.87074829931973	Average fitness:	278.58217687074824	Fitness standard deviation:	65.9328012263321	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1584	Best fitness:	127.87074829931973	Average fitness:	262.086462585034	Fitness standard deviation:	45.94633291312012	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1600	Best fitness:	127.87074829931973	Average fitness:	281.86789115646263	Fitness standard deviation:	56.9629796715483	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1616	Best fitness:	127.87074829931973	Average fitness:	266.05503401360545	Fitness standard deviation:	55.94581523990104	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1632	Best fitness:	127.87074829931973	Average fitness:	271.66360544217684	Fitness standard deviation:	71.81450304039411	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1648	Best fitness:	127.87074829931973	Average fitness:	266.016462585034	Fitness standard deviation:	59.09834757177467	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1664	Best fitness:	127.87074829931973	Average fitness:	268.006462585034	Fitness standard deviation:	52.57188654691822	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1680	Best fitness:	127.87074829931973	Average fitness:	270.3178911564626	Fitness standard deviation:	49.881962119567426	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1696	Best fitness:	127.87074829931973	Average fitness:	272.3107482993197	Fitness standard deviation:	62.95068066286788	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1712	Best fitness:	127.87074829931973	Average fitness:	267.2621768707483	Fitness standard deviation:	51.5894310486011	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1728	Best fitness:	127.87074829931973	Average fitness:	275.8950340136054	Fitness standard deviation:	59.29557458450101	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
Generation:	1744	Best fitness:	127.87074829931973	Average fitness:	277.5336054421769	Fitness standard deviation:	62.85506334222488	Best genome:	A9	N5	A7	A11	A8	A13	A16	E5	E3	E4	N3	N6	N7	A10	N12	A15	A6	A14	A17	A12	N9	
