Generation:	16	Best fitness:	231.87074829931973	Average fitness:	340.3450340136057	Fitness standard deviation:	32.6915344468533	Best genome:	A9	N6	A15	A13	N3	N7	N12	E3	A11	A7	A10	A12	E4	N5	A14	A6	A17	A16	E5	A8	N9	
Generation:	320	Best fitness:	162.38503401360543	Average fitness:	334.5947482993197	Fitness standard deviation:	41.68926044252762	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	336	Best fitness:	162.38503401360543	Average fitness:	335.6053197278912	Fitness standard deviation:	41.15139262552858	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	352	Best fitness:	162.38503401360543	Average fitness:	342.7036054421767	Fitness standard deviation:	36.01894068063499	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	368	Best fitness:	162.38503401360543	Average fitness:	328.3696054421769	Fitness standard deviation:	42.412676853478025	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	384	Best fitness:	162.38503401360543	Average fitness:	336.0367482993195	Fitness standard deviation:	41.89306146728884	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	400	Best fitness:	162.38503401360543	Average fitness:	335.3464625850341	Fitness standard deviation:	41.789912927032766	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	416	Best fitness:	162.38503401360543	Average fitness:	337.92074829931965	Fitness standard deviation:	39.87353096263951	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	432	Best fitness:	162.38503401360543	Average fitness:	335.08931972789105	Fitness standard deviation:	38.63023271469947	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	448	Best fitness:	162.38503401360543	Average fitness:	338.61817687074836	Fitness standard deviation:	40.70733148027389	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	464	Best fitness:	162.38503401360543	Average fitness:	334.04589115646263	Fitness standard deviation:	41.376058473173956	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	480	Best fitness:	162.38503401360543	Average fitness:	335.8841768707483	Fitness standard deviation:	37.53467130914715	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	496	Best fitness:	162.38503401360543	Average fitness:	336.4241768707483	Fitness standard deviation:	36.79929849708485	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	512	Best fitness:	162.38503401360543	Average fitness:	331.8741768707483	Fitness standard deviation:	43.24071707007984	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	528	Best fitness:	162.38503401360543	Average fitness:	333.48046258503405	Fitness standard deviation:	40.1017239631456	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	544	Best fitness:	162.38503401360543	Average fitness:	339.49589115646273	Fitness standard deviation:	36.98292541049677	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	560	Best fitness:	162.38503401360543	Average fitness:	342.317605442177	Fitness standard deviation:	39.31354059094548	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	576	Best fitness:	162.38503401360543	Average fitness:	335.1133197278912	Fitness standard deviation:	39.64953168933618	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	592	Best fitness:	162.38503401360543	Average fitness:	334.11674829931957	Fitness standard deviation:	41.85301372027333	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	608	Best fitness:	162.38503401360543	Average fitness:	343.73017687074827	Fitness standard deviation:	43.64247877881346	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	624	Best fitness:	162.38503401360543	Average fitness:	336.4184625850339	Fitness standard deviation:	42.55091261257819	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	640	Best fitness:	162.38503401360543	Average fitness:	336.61074829931977	Fitness standard deviation:	38.795257336905685	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	656	Best fitness:	162.38503401360543	Average fitness:	331.890462585034	Fitness standard deviation:	39.48086298397217	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	672	Best fitness:	162.38503401360543	Average fitness:	328.35389115646257	Fitness standard deviation:	40.325395673755	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	688	Best fitness:	162.38503401360543	Average fitness:	337.62760544217684	Fitness standard deviation:	40.80065135434452	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	704	Best fitness:	162.38503401360543	Average fitness:	339.28703401360536	Fitness standard deviation:	39.72483873254278	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	720	Best fitness:	162.38503401360543	Average fitness:	337.2721768707483	Fitness standard deviation:	37.49156691572011	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	736	Best fitness:	162.38503401360543	Average fitness:	335.655319727891	Fitness standard deviation:	40.534709826699064	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	752	Best fitness:	162.38503401360543	Average fitness:	337.6627482993198	Fitness standard deviation:	38.9469965476368	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	768	Best fitness:	162.38503401360543	Average fitness:	331.1861768707481	Fitness standard deviation:	41.29643200874697	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	784	Best fitness:	162.38503401360543	Average fitness:	322.37589115646256	Fitness standard deviation:	39.23334876331197	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	800	Best fitness:	162.38503401360543	Average fitness:	335.54731972789114	Fitness standard deviation:	38.383172095094395	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	816	Best fitness:	162.38503401360543	Average fitness:	339.5698911564627	Fitness standard deviation:	42.638724653554455	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	832	Best fitness:	162.38503401360543	Average fitness:	333.55503401360545	Fitness standard deviation:	39.232237551091906	Best genome:	A15	A14	A17	N9	A13	A9	N7	E3	N5	A11	E5	N6	A6	A12	A10	N12	A8	A16	N3	E4	A7	
Generation:	848	Best fitness:	160.67074829931974	Average fitness:	333.61703401360535	Fitness standard deviation:	42.60262678113946	Best genome:	A15	A14	A17	A13	A9	N5	A11	E3	N12	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	864	Best fitness:	160.67074829931974	Average fitness:	328.9221768707482	Fitness standard deviation:	37.55952880537284	Best genome:	A15	A14	A17	A13	A9	N5	A11	E3	N12	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	880	Best fitness:	160.67074829931974	Average fitness:	337.18131972789126	Fitness standard deviation:	40.00669875643021	Best genome:	A15	A14	A17	A13	A9	N5	A11	E3	N12	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	896	Best fitness:	160.67074829931974	Average fitness:	331.29474829931974	Fitness standard deviation:	36.5855077184998	Best genome:	A15	A14	A17	A13	A9	N5	A11	E3	N12	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	912	Best fitness:	160.67074829931974	Average fitness:	335.34989115646255	Fitness standard deviation:	41.56239859806565	Best genome:	A15	A14	A17	A13	A9	N5	A11	E3	N12	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	928	Best fitness:	160.67074829931974	Average fitness:	331.4513197278912	Fitness standard deviation:	39.91490456213169	Best genome:	A15	A14	A17	A13	A9	N5	A11	E3	N12	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	944	Best fitness:	157.67074829931974	Average fitness:	333.39646258503404	Fitness standard deviation:	46.215010018612006	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	960	Best fitness:	157.67074829931974	Average fitness:	332.0347482993197	Fitness standard deviation:	39.9373725275983	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	976	Best fitness:	157.67074829931974	Average fitness:	340.93246258503416	Fitness standard deviation:	40.12439691860344	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	992	Best fitness:	157.67074829931974	Average fitness:	332.09674829931976	Fitness standard deviation:	43.804283472402695	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	1008	Best fitness:	157.67074829931974	Average fitness:	325.2381768707484	Fitness standard deviation:	40.522201326267194	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	1024	Best fitness:	157.67074829931974	Average fitness:	331.3181768707483	Fitness standard deviation:	40.949767579515346	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	1040	Best fitness:	157.67074829931974	Average fitness:	334.1727482993197	Fitness standard deviation:	37.718402860770055	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	1056	Best fitness:	157.67074829931974	Average fitness:	337.38331972789126	Fitness standard deviation:	41.89292742802532	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	1072	Best fitness:	157.67074829931974	Average fitness:	334.3110340136055	Fitness standard deviation:	39.04986996659737	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	1088	Best fitness:	157.67074829931974	Average fitness:	333.1173197278911	Fitness standard deviation:	43.931634951016655	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	1104	Best fitness:	157.67074829931974	Average fitness:	337.41531972789124	Fitness standard deviation:	39.177287218437144	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	1120	Best fitness:	157.67074829931974	Average fitness:	335.6130340136055	Fitness standard deviation:	37.37219199307617	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	1136	Best fitness:	157.67074829931974	Average fitness:	329.94074829931975	Fitness standard deviation:	40.55455431280442	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	N9	E5	A6	A12	A16	N3	E4	A7	
Generation:	1152	Best fitness:	153.756462585034	Average fitness:	326.6501768707483	Fitness standard deviation:	44.6151999503784	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	E5	A6	A12	N9	A16	N3	E4	A7	
Generation:	1168	Best fitness:	153.756462585034	Average fitness:	332.712462585034	Fitness standard deviation:	47.818481512947294	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	E5	A6	A12	N9	A16	N3	E4	A7	
Generation:	1184	Best fitness:	153.756462585034	Average fitness:	336.8310340136054	Fitness standard deviation:	39.07050558220331	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	E5	A6	A12	N9	A16	N3	E4	A7	
Generation:	1200	Best fitness:	153.756462585034	Average fitness:	334.8196054421769	Fitness standard deviation:	39.05924172331051	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	E5	A6	A12	N9	A16	N3	E4	A7	
Generation:	1216	Best fitness:	153.756462585034	Average fitness:	329.38589115646266	Fitness standard deviation:	42.71006103426944	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	E5	A6	A12	N9	A16	N3	E4	A7	
Generation:	1232	Best fitness:	153.756462585034	Average fitness:	331.21360544217686	Fitness standard deviation:	39.81180257775068	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	E5	A6	A12	N9	A16	N3	E4	A7	
Generation:	1248	Best fitness:	153.756462585034	Average fitness:	335.8573197278913	Fitness standard deviation:	45.00216928195387	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	E5	A6	A12	N9	A16	N3	E4	A7	
Generation:	1264	Best fitness:	153.756462585034	Average fitness:	326.0141768707483	Fitness standard deviation:	40.94034205813057	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	E5	A6	A12	N9	A16	N3	E4	A7	
Generation:	1280	Best fitness:	153.756462585034	Average fitness:	323.3638911564625	Fitness standard deviation:	40.65342993185802	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	E5	A6	A12	N9	A16	N3	E4	A7	
Generation:	1296	Best fitness:	153.756462585034	Average fitness:	336.74074829931976	Fitness standard deviation:	39.7142247430159	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	E5	A6	A12	N9	A16	N3	E4	A7	
Generation:	1312	Best fitness:	153.756462585034	Average fitness:	337.8561768707483	Fitness standard deviation:	42.641437065610354	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	E5	A6	A12	N9	A16	N3	E4	A7	
Generation:	1328	Best fitness:	153.756462585034	Average fitness:	336.2836054421769	Fitness standard deviation:	39.96504276060696	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	N6	A8	E5	A6	A12	N9	A16	N3	E4	A7	
Generation:	1344	Best fitness:	147.756462585034	Average fitness:	331.38189115646253	Fitness standard deviation:	44.067544981933054	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1360	Best fitness:	147.756462585034	Average fitness:	331.83017687074823	Fitness standard deviation:	40.364435584826815	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1376	Best fitness:	147.756462585034	Average fitness:	338.2670340136053	Fitness standard deviation:	44.07940342849759	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1392	Best fitness:	147.756462585034	Average fitness:	341.201319727891	Fitness standard deviation:	43.5600127911752	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1408	Best fitness:	147.756462585034	Average fitness:	330.55931972789114	Fitness standard deviation:	42.136181844208	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1424	Best fitness:	147.756462585034	Average fitness:	329.33417687074825	Fitness standard deviation:	39.44787282850467	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1440	Best fitness:	147.756462585034	Average fitness:	334.3870340136055	Fitness standard deviation:	41.55882268470529	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1456	Best fitness:	147.756462585034	Average fitness:	334.2127482993196	Fitness standard deviation:	39.70179052251772	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1472	Best fitness:	147.756462585034	Average fitness:	340.97446258503413	Fitness standard deviation:	37.94439899083276	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1488	Best fitness:	147.756462585034	Average fitness:	331.2370340136056	Fitness standard deviation:	41.164225478749216	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1504	Best fitness:	147.756462585034	Average fitness:	332.4841768707482	Fitness standard deviation:	39.49272306103379	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1520	Best fitness:	147.756462585034	Average fitness:	338.1564625850341	Fitness standard deviation:	41.16430413226826	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1536	Best fitness:	147.756462585034	Average fitness:	330.9833197278912	Fitness standard deviation:	39.23044461660263	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1552	Best fitness:	147.756462585034	Average fitness:	338.93617687074834	Fitness standard deviation:	39.03276996764307	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1568	Best fitness:	147.756462585034	Average fitness:	335.51646258503405	Fitness standard deviation:	44.62070719076606	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1584	Best fitness:	147.756462585034	Average fitness:	330.5167482993197	Fitness standard deviation:	38.82609513705745	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1600	Best fitness:	147.756462585034	Average fitness:	325.5221768707482	Fitness standard deviation:	42.02554014512837	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1616	Best fitness:	147.756462585034	Average fitness:	335.4381768707483	Fitness standard deviation:	38.21410681293237	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1632	Best fitness:	147.756462585034	Average fitness:	333.1596054421769	Fitness standard deviation:	45.124784428452244	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1648	Best fitness:	147.756462585034	Average fitness:	338.02017687074823	Fitness standard deviation:	43.456837390679965	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1664	Best fitness:	147.756462585034	Average fitness:	332.99131972789115	Fitness standard deviation:	40.231209040966675	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1680	Best fitness:	147.756462585034	Average fitness:	339.05503401360545	Fitness standard deviation:	39.35261781090845	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1696	Best fitness:	147.756462585034	Average fitness:	332.3273197278911	Fitness standard deviation:	41.566128671487974	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1712	Best fitness:	147.756462585034	Average fitness:	333.11989115646264	Fitness standard deviation:	42.64634368709176	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1728	Best fitness:	147.756462585034	Average fitness:	334.5161768707484	Fitness standard deviation:	43.11425165103265	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1744	Best fitness:	147.756462585034	Average fitness:	332.89760544217694	Fitness standard deviation:	36.04961271155435	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
Generation:	1760	Best fitness:	147.756462585034	Average fitness:	337.16131972789117	Fitness standard deviation:	46.341840935661175	Best genome:	A15	A14	A17	A13	A9	N5	A11	N12	E3	N7	A10	A8	E5	N6	A6	A12	N9	A16	N3	E4	A7	
