Generation:	16	Best fitness:	238.29931972789115	Average fitness:	339.3850340136055	Fitness standard deviation:	30.412244580237143	Best genome:	N9	N3	N5	E3	A15	A12	A14	N7	N6	A9	A16	E5	N12	A13	A11	A6	E4	A7	A17	A10	A8	
Generation:	224	Best fitness:	157.8421768707483	Average fitness:	324.656462585034	Fitness standard deviation:	45.44531093208942	Best genome:	A9	N3	N5	E4	A11	N6	E3	A16	E5	N12	A6	A12	A7	N7	A14	A15	A17	A10	A8	N9	A13	
Generation:	240	Best fitness:	144.8421768707483	Average fitness:	313.0907482993197	Fitness standard deviation:	47.38628312678078	Best genome:	A9	N3	N5	E4	A11	N6	E3	A16	E5	N12	A15	A7	A12	A17	A14	A6	N7	A10	A8	N9	A13	
Generation:	256	Best fitness:	136.8421768707483	Average fitness:	315.5130340136055	Fitness standard deviation:	51.78810902522087	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	A16	E5	A15	A7	A12	A17	A14	A6	N7	A10	A8	N9	A13	
Generation:	272	Best fitness:	136.8421768707483	Average fitness:	313.1193197278911	Fitness standard deviation:	46.1541163618464	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	A16	E5	A15	A7	A12	A17	A14	A6	N7	A10	A8	N9	A13	
Generation:	288	Best fitness:	136.8421768707483	Average fitness:	302.82731972789117	Fitness standard deviation:	54.702453398698076	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	A16	E5	A15	A7	A12	A17	A14	A6	N7	A10	A8	N9	A13	
Generation:	304	Best fitness:	136.8421768707483	Average fitness:	317.4576054421769	Fitness standard deviation:	50.34980954425605	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	A16	E5	A15	A7	A12	A17	A14	A6	N7	A10	A8	N9	A13	
Generation:	320	Best fitness:	135.8421768707483	Average fitness:	314.93760544217696	Fitness standard deviation:	44.43366460838688	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A6	A14	A12	A17	A16	A7	N7	A10	A8	N9	A13	
Generation:	336	Best fitness:	135.8421768707483	Average fitness:	306.680462585034	Fitness standard deviation:	48.37550724851389	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A6	A14	A12	A17	A16	A7	N7	A10	A8	N9	A13	
Generation:	352	Best fitness:	135.8421768707483	Average fitness:	310.71417687074836	Fitness standard deviation:	45.844575132301365	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A6	A14	A12	A17	A16	A7	N7	A10	A8	N9	A13	
Generation:	368	Best fitness:	135.8421768707483	Average fitness:	319.4381768707483	Fitness standard deviation:	49.300189347651454	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A6	A14	A12	A17	A16	A7	N7	A10	A8	N9	A13	
Generation:	384	Best fitness:	135.8421768707483	Average fitness:	314.64674829931965	Fitness standard deviation:	51.25551816504587	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A6	A14	A12	A17	A16	A7	N7	A10	A8	N9	A13	
Generation:	400	Best fitness:	135.8421768707483	Average fitness:	310.6753197278911	Fitness standard deviation:	48.8154894654873	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A6	A14	A12	A17	A16	A7	N7	A10	A8	N9	A13	
Generation:	416	Best fitness:	135.8421768707483	Average fitness:	311.14217687074836	Fitness standard deviation:	53.26619244082364	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A6	A14	A12	A17	A16	A7	N7	A10	A8	N9	A13	
Generation:	432	Best fitness:	130.8421768707483	Average fitness:	307.06503401360544	Fitness standard deviation:	50.301409888140256	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	N9	A13	
Generation:	448	Best fitness:	130.8421768707483	Average fitness:	305.4198911564627	Fitness standard deviation:	53.940581153558895	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	N9	A13	
Generation:	464	Best fitness:	130.8421768707483	Average fitness:	316.2667482993197	Fitness standard deviation:	50.81457223422175	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	N9	A13	
Generation:	480	Best fitness:	130.8421768707483	Average fitness:	325.2153197278912	Fitness standard deviation:	54.72813831651719	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	N9	A13	
Generation:	496	Best fitness:	130.8421768707483	Average fitness:	318.8570340136054	Fitness standard deviation:	53.02464186179317	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	N9	A13	
Generation:	512	Best fitness:	126.87074829931973	Average fitness:	315.3873197278913	Fitness standard deviation:	54.64761408687258	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	528	Best fitness:	126.87074829931973	Average fitness:	305.9713197278911	Fitness standard deviation:	51.523532405204946	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	544	Best fitness:	126.87074829931973	Average fitness:	318.62846258503396	Fitness standard deviation:	50.748626840576506	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	560	Best fitness:	126.87074829931973	Average fitness:	316.85931972789115	Fitness standard deviation:	49.5536040411733	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	576	Best fitness:	126.87074829931973	Average fitness:	325.5776054421769	Fitness standard deviation:	60.41931109322244	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	592	Best fitness:	126.87074829931973	Average fitness:	305.92846258503397	Fitness standard deviation:	52.5107122956442	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	608	Best fitness:	126.87074829931973	Average fitness:	309.05131972789115	Fitness standard deviation:	51.68539949047309	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	624	Best fitness:	126.87074829931973	Average fitness:	313.484462585034	Fitness standard deviation:	41.773513037691764	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	640	Best fitness:	126.87074829931973	Average fitness:	312.276462585034	Fitness standard deviation:	50.804941106316875	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	656	Best fitness:	126.87074829931973	Average fitness:	315.84789115646265	Fitness standard deviation:	51.19719061169873	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	672	Best fitness:	126.87074829931973	Average fitness:	311.35874829931976	Fitness standard deviation:	52.92570559891344	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	688	Best fitness:	126.87074829931973	Average fitness:	312.2941768707484	Fitness standard deviation:	43.848134091964944	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	704	Best fitness:	126.87074829931973	Average fitness:	320.4587482993198	Fitness standard deviation:	52.432206675061146	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	720	Best fitness:	126.87074829931973	Average fitness:	312.17931972789125	Fitness standard deviation:	51.75517499512016	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	736	Best fitness:	126.87074829931973	Average fitness:	315.41817687074825	Fitness standard deviation:	52.43451125870037	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	752	Best fitness:	126.87074829931973	Average fitness:	327.5856054421768	Fitness standard deviation:	52.52723406044541	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	768	Best fitness:	126.87074829931973	Average fitness:	317.0210340136054	Fitness standard deviation:	49.27695054506121	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	784	Best fitness:	126.87074829931973	Average fitness:	312.5427482993197	Fitness standard deviation:	57.701708457004486	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	800	Best fitness:	126.87074829931973	Average fitness:	315.20160544217686	Fitness standard deviation:	49.85272517145284	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	816	Best fitness:	126.87074829931973	Average fitness:	313.78160544217684	Fitness standard deviation:	47.890333101487485	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	832	Best fitness:	126.87074829931973	Average fitness:	323.43760544217685	Fitness standard deviation:	50.626144849942385	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A16	A7	A6	A12	N7	A10	A8	A13	N9	
Generation:	848	Best fitness:	118.87074829931973	Average fitness:	306.56617687074834	Fitness standard deviation:	44.77329984602476	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A13	A16	N9	
Generation:	864	Best fitness:	118.87074829931973	Average fitness:	311.5638911564626	Fitness standard deviation:	51.74240239920076	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A13	A16	N9	
Generation:	880	Best fitness:	118.87074829931973	Average fitness:	319.67646258503396	Fitness standard deviation:	51.13599347398492	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A13	A16	N9	
Generation:	896	Best fitness:	118.87074829931973	Average fitness:	317.2004625850341	Fitness standard deviation:	46.198055338522906	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A13	A16	N9	
Generation:	912	Best fitness:	118.87074829931973	Average fitness:	313.4821768707482	Fitness standard deviation:	52.64888424501414	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A13	A16	N9	
Generation:	928	Best fitness:	118.87074829931973	Average fitness:	315.2193197278912	Fitness standard deviation:	44.07328738844529	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A13	A16	N9	
Generation:	944	Best fitness:	118.87074829931973	Average fitness:	308.4393197278912	Fitness standard deviation:	47.389098634472425	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A13	A16	N9	
Generation:	960	Best fitness:	118.87074829931973	Average fitness:	315.1553197278911	Fitness standard deviation:	58.20540628792876	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A13	A16	N9	
Generation:	976	Best fitness:	118.87074829931973	Average fitness:	317.352462585034	Fitness standard deviation:	46.07254864995034	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A13	A16	N9	
Generation:	992	Best fitness:	118.87074829931973	Average fitness:	311.67931972789114	Fitness standard deviation:	55.999096567056604	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A13	A16	N9	
Generation:	1008	Best fitness:	118.87074829931973	Average fitness:	301.7976054421769	Fitness standard deviation:	58.41595816632468	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A13	A16	N9	
Generation:	1024	Best fitness:	118.87074829931973	Average fitness:	309.76617687074827	Fitness standard deviation:	58.79264916151144	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A13	A16	N9	
Generation:	1040	Best fitness:	118.87074829931973	Average fitness:	309.8113197278912	Fitness standard deviation:	51.00716199091405	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A13	A16	N9	
Generation:	1056	Best fitness:	118.87074829931973	Average fitness:	315.55703401360546	Fitness standard deviation:	56.314138287840656	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A13	A16	N9	
Generation:	1072	Best fitness:	118.87074829931973	Average fitness:	309.6667482993198	Fitness standard deviation:	55.62248994859573	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A13	A16	N9	
Generation:	1088	Best fitness:	118.87074829931973	Average fitness:	304.9541768707482	Fitness standard deviation:	53.17522020410543	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A13	A16	N9	
Generation:	1104	Best fitness:	114.87074829931973	Average fitness:	309.5861768707483	Fitness standard deviation:	66.90847112958089	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1120	Best fitness:	114.87074829931973	Average fitness:	313.1867482993197	Fitness standard deviation:	60.89540109574979	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1136	Best fitness:	114.87074829931973	Average fitness:	309.1387482993198	Fitness standard deviation:	57.03046372182616	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1152	Best fitness:	114.87074829931973	Average fitness:	308.70617687074827	Fitness standard deviation:	63.1505873897739	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1168	Best fitness:	114.87074829931973	Average fitness:	308.15303401360546	Fitness standard deviation:	57.21110314387214	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1184	Best fitness:	114.87074829931973	Average fitness:	318.6907482993196	Fitness standard deviation:	49.077785240184106	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1200	Best fitness:	114.87074829931973	Average fitness:	318.05131972789115	Fitness standard deviation:	51.14384881400895	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1216	Best fitness:	114.87074829931973	Average fitness:	314.93646258503406	Fitness standard deviation:	55.721049919053335	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1232	Best fitness:	114.87074829931973	Average fitness:	311.7410340136054	Fitness standard deviation:	46.978872962389445	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1248	Best fitness:	114.87074829931973	Average fitness:	311.3478911564625	Fitness standard deviation:	51.67228926176022	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1264	Best fitness:	114.87074829931973	Average fitness:	303.44731972789106	Fitness standard deviation:	54.74076366113357	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1280	Best fitness:	114.87074829931973	Average fitness:	304.860462585034	Fitness standard deviation:	62.41926619372631	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1296	Best fitness:	114.87074829931973	Average fitness:	305.69131972789114	Fitness standard deviation:	50.035687848264665	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1312	Best fitness:	114.87074829931973	Average fitness:	310.29989115646254	Fitness standard deviation:	55.89371706942324	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1328	Best fitness:	114.87074829931973	Average fitness:	315.42789115646264	Fitness standard deviation:	54.54827998186187	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1344	Best fitness:	114.87074829931973	Average fitness:	317.27131972789124	Fitness standard deviation:	56.71464972607184	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1360	Best fitness:	114.87074829931973	Average fitness:	312.0730340136054	Fitness standard deviation:	44.01902439924384	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1376	Best fitness:	114.87074829931973	Average fitness:	322.0398911564626	Fitness standard deviation:	54.599729935790194	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1392	Best fitness:	114.87074829931973	Average fitness:	312.77931972789116	Fitness standard deviation:	49.92874629031305	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1408	Best fitness:	114.87074829931973	Average fitness:	311.77017687074834	Fitness standard deviation:	64.90017080949819	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1424	Best fitness:	114.87074829931973	Average fitness:	310.58789115646266	Fitness standard deviation:	57.07446028064155	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1440	Best fitness:	114.87074829931973	Average fitness:	319.08789115646255	Fitness standard deviation:	58.3232450596305	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1456	Best fitness:	114.87074829931973	Average fitness:	320.9433197278912	Fitness standard deviation:	51.24273159728139	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1472	Best fitness:	114.87074829931973	Average fitness:	317.11303401360544	Fitness standard deviation:	56.99725571338625	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1488	Best fitness:	114.87074829931973	Average fitness:	320.83074829931974	Fitness standard deviation:	48.54283292692577	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1504	Best fitness:	114.87074829931973	Average fitness:	315.324462585034	Fitness standard deviation:	53.1495131438527	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1520	Best fitness:	114.87074829931973	Average fitness:	313.0307482993198	Fitness standard deviation:	50.95241349353656	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1536	Best fitness:	114.87074829931973	Average fitness:	309.0301768707483	Fitness standard deviation:	46.61645574039192	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1552	Best fitness:	114.87074829931973	Average fitness:	303.432462585034	Fitness standard deviation:	58.085619172151766	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1568	Best fitness:	114.87074829931973	Average fitness:	312.17531972789124	Fitness standard deviation:	61.1204649544234	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1584	Best fitness:	114.87074829931973	Average fitness:	318.9010340136054	Fitness standard deviation:	58.28588694932409	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1600	Best fitness:	114.87074829931973	Average fitness:	308.7518911564626	Fitness standard deviation:	51.40977413937183	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1616	Best fitness:	114.87074829931973	Average fitness:	311.6061768707483	Fitness standard deviation:	44.08922819437318	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1632	Best fitness:	114.87074829931973	Average fitness:	307.0067482993197	Fitness standard deviation:	46.186141064706625	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1648	Best fitness:	114.87074829931973	Average fitness:	318.112462585034	Fitness standard deviation:	51.96358354675328	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1664	Best fitness:	114.87074829931973	Average fitness:	307.78103401360545	Fitness standard deviation:	54.346802022956695	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1680	Best fitness:	114.87074829931973	Average fitness:	313.992462585034	Fitness standard deviation:	50.456004455690426	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1696	Best fitness:	114.87074829931973	Average fitness:	312.4690340136055	Fitness standard deviation:	47.65161133023046	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1712	Best fitness:	114.87074829931973	Average fitness:	312.8518911564626	Fitness standard deviation:	53.75173090255242	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1728	Best fitness:	114.87074829931973	Average fitness:	303.28046258503406	Fitness standard deviation:	48.983470634782215	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
Generation:	1744	Best fitness:	114.87074829931973	Average fitness:	299.0301768707483	Fitness standard deviation:	60.11063679582839	Best genome:	A9	N3	N5	E4	A11	N6	E3	N12	E5	A15	A14	A17	A7	A12	A6	N7	A10	A8	A16	A13	N9	
