Generation:	16	Best fitness:	225.67074829931974	Average fitness:	347.0703197278914	Fitness standard deviation:	32.98151597083878	Best genome:	A9	N6	A12	A17	A7	A10	A11	N12	A15	A14	N7	E4	E3	N9	A13	A16	E5	N5	N3	A6	A8	
Generation:	192	Best fitness:	177.6421768707483	Average fitness:	337.5027482993198	Fitness standard deviation:	36.58051701356327	Best genome:	A7	A17	A14	N7	A6	N6	A10	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	208	Best fitness:	177.6421768707483	Average fitness:	341.7293197278912	Fitness standard deviation:	37.247769718193766	Best genome:	A7	A17	A14	N7	A6	N6	A10	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	224	Best fitness:	177.6421768707483	Average fitness:	340.07060544217705	Fitness standard deviation:	36.00489768243272	Best genome:	A7	A17	A14	N7	A6	N6	A10	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	240	Best fitness:	177.6421768707483	Average fitness:	340.9343197278914	Fitness standard deviation:	37.47629633841766	Best genome:	A7	A17	A14	N7	A6	N6	A10	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	256	Best fitness:	177.6421768707483	Average fitness:	337.48389115646285	Fitness standard deviation:	36.52673874837222	Best genome:	A7	A17	A14	N7	A6	N6	A10	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	272	Best fitness:	177.6421768707483	Average fitness:	340.6396054421768	Fitness standard deviation:	37.776377478903036	Best genome:	A7	A17	A14	N7	A6	N6	A10	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	288	Best fitness:	177.6421768707483	Average fitness:	339.6586054421771	Fitness standard deviation:	30.910499561852202	Best genome:	A7	A17	A14	N7	A6	N6	A10	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	304	Best fitness:	177.6421768707483	Average fitness:	339.92103401360566	Fitness standard deviation:	36.796310733439526	Best genome:	A7	A17	A14	N7	A6	N6	A10	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	320	Best fitness:	177.6421768707483	Average fitness:	345.73731972789136	Fitness standard deviation:	34.36865409892317	Best genome:	A7	A17	A14	N7	A6	N6	A10	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	336	Best fitness:	177.6421768707483	Average fitness:	341.49560544217695	Fitness standard deviation:	35.49866675392362	Best genome:	A7	A17	A14	N7	A6	N6	A10	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	352	Best fitness:	177.6421768707483	Average fitness:	341.92217687074844	Fitness standard deviation:	35.956103623099956	Best genome:	A7	A17	A14	N7	A6	N6	A10	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	368	Best fitness:	177.6421768707483	Average fitness:	346.89089115646277	Fitness standard deviation:	37.54743001042487	Best genome:	A7	A17	A14	N7	A6	N6	A10	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	384	Best fitness:	177.6421768707483	Average fitness:	336.20503401360554	Fitness standard deviation:	36.06506704866205	Best genome:	A7	A17	A14	N7	A6	N6	A10	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	400	Best fitness:	172.6421768707483	Average fitness:	337.3473197278914	Fitness standard deviation:	36.751217307063726	Best genome:	A7	A14	A17	N7	A6	N6	A10	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	416	Best fitness:	172.6421768707483	Average fitness:	339.231605442177	Fitness standard deviation:	40.231117442769055	Best genome:	A7	A14	A17	N7	A6	N6	A10	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	432	Best fitness:	170.6421768707483	Average fitness:	340.23374829931976	Fitness standard deviation:	38.27995828772811	Best genome:	A7	A14	A17	N7	A6	A10	N6	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	448	Best fitness:	170.6421768707483	Average fitness:	337.2411768707485	Fitness standard deviation:	38.457253489280475	Best genome:	A7	A14	A17	N7	A6	A10	N6	N12	A8	A9	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	
Generation:	464	Best fitness:	148.556462585034	Average fitness:	342.8153197278911	Fitness standard deviation:	35.41202881530973	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	480	Best fitness:	148.556462585034	Average fitness:	338.9671768707486	Fitness standard deviation:	41.01283337603745	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	496	Best fitness:	148.556462585034	Average fitness:	339.0636054421768	Fitness standard deviation:	39.163054200173335	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	512	Best fitness:	148.556462585034	Average fitness:	337.4051768707484	Fitness standard deviation:	37.453252363882264	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	528	Best fitness:	148.556462585034	Average fitness:	338.58460544217706	Fitness standard deviation:	38.7433815258971	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	544	Best fitness:	148.556462585034	Average fitness:	339.89774829931986	Fitness standard deviation:	39.326629519542436	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	560	Best fitness:	148.556462585034	Average fitness:	343.2808911564626	Fitness standard deviation:	37.519016990027325	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	576	Best fitness:	148.556462585034	Average fitness:	344.92146258503425	Fitness standard deviation:	34.762425344275485	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	592	Best fitness:	148.556462585034	Average fitness:	343.94689115646264	Fitness standard deviation:	39.19751660995573	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	608	Best fitness:	148.556462585034	Average fitness:	342.83289115646267	Fitness standard deviation:	34.67199598540939	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	624	Best fitness:	148.556462585034	Average fitness:	345.19274829931993	Fitness standard deviation:	36.69645600527302	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	640	Best fitness:	148.556462585034	Average fitness:	344.0941768707486	Fitness standard deviation:	38.14023016742937	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	656	Best fitness:	148.556462585034	Average fitness:	340.67674829931974	Fitness standard deviation:	38.856080194502795	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	672	Best fitness:	148.556462585034	Average fitness:	343.00046258503426	Fitness standard deviation:	35.55685000625544	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	688	Best fitness:	148.556462585034	Average fitness:	341.20789115646267	Fitness standard deviation:	39.11168435469411	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	704	Best fitness:	148.556462585034	Average fitness:	338.61174829931974	Fitness standard deviation:	35.077937839639795	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	720	Best fitness:	148.556462585034	Average fitness:	338.8460340136054	Fitness standard deviation:	36.6807985889409	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	736	Best fitness:	148.556462585034	Average fitness:	342.39417687074865	Fitness standard deviation:	37.13124277313582	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	752	Best fitness:	148.556462585034	Average fitness:	339.41646258503425	Fitness standard deviation:	36.427649400096165	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	768	Best fitness:	148.556462585034	Average fitness:	336.4571768707483	Fitness standard deviation:	36.05105653154725	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	784	Best fitness:	148.556462585034	Average fitness:	344.1248911564628	Fitness standard deviation:	39.49323294113634	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	800	Best fitness:	148.556462585034	Average fitness:	341.06174829931996	Fitness standard deviation:	35.09057232275894	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	816	Best fitness:	148.556462585034	Average fitness:	342.78031972789125	Fitness standard deviation:	34.74485435724436	Best genome:	A9	N7	A6	A10	N12	N6	A8	A15	A12	N9	A13	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	832	Best fitness:	148.52789115646257	Average fitness:	345.3704625850343	Fitness standard deviation:	37.00514293986717	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	848	Best fitness:	148.52789115646257	Average fitness:	341.50374829932	Fitness standard deviation:	35.34482868938019	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	864	Best fitness:	148.52789115646257	Average fitness:	344.5453197278914	Fitness standard deviation:	36.69306310351273	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	880	Best fitness:	148.52789115646257	Average fitness:	341.77189115646274	Fitness standard deviation:	37.97807819234241	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	896	Best fitness:	148.52789115646257	Average fitness:	339.35931972789155	Fitness standard deviation:	37.018465662423125	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	912	Best fitness:	148.52789115646257	Average fitness:	339.55589115646274	Fitness standard deviation:	35.03940300488545	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	928	Best fitness:	148.52789115646257	Average fitness:	340.34846258503427	Fitness standard deviation:	38.48629665059437	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	944	Best fitness:	148.52789115646257	Average fitness:	340.7840340136056	Fitness standard deviation:	40.10563911466714	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	960	Best fitness:	148.52789115646257	Average fitness:	340.5346054421772	Fitness standard deviation:	40.02796828111921	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	976	Best fitness:	148.52789115646257	Average fitness:	340.35260544217687	Fitness standard deviation:	35.49082119653026	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	992	Best fitness:	148.52789115646257	Average fitness:	335.76889115646276	Fitness standard deviation:	37.87890076390328	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1008	Best fitness:	148.52789115646257	Average fitness:	340.8433197278913	Fitness standard deviation:	35.617460157647855	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1024	Best fitness:	148.52789115646257	Average fitness:	336.39160544217697	Fitness standard deviation:	38.74659555393748	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1040	Best fitness:	148.52789115646257	Average fitness:	334.6161768707483	Fitness standard deviation:	37.71464904478667	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1056	Best fitness:	148.52789115646257	Average fitness:	341.69360544217693	Fitness standard deviation:	37.381072805386864	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1072	Best fitness:	148.52789115646257	Average fitness:	336.4848911564628	Fitness standard deviation:	35.944399694074	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1088	Best fitness:	148.52789115646257	Average fitness:	342.50917687074855	Fitness standard deviation:	35.18107881970601	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1104	Best fitness:	148.52789115646257	Average fitness:	345.8727482993199	Fitness standard deviation:	39.229594774915554	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1120	Best fitness:	148.52789115646257	Average fitness:	336.86003401360546	Fitness standard deviation:	38.32649314822343	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1136	Best fitness:	148.52789115646257	Average fitness:	345.5588911564628	Fitness standard deviation:	36.46668457507426	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1152	Best fitness:	148.52789115646257	Average fitness:	342.4630340136056	Fitness standard deviation:	41.25496340800605	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1168	Best fitness:	148.52789115646257	Average fitness:	342.2938911564628	Fitness standard deviation:	40.883131733351	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1184	Best fitness:	148.52789115646257	Average fitness:	343.8243197278913	Fitness standard deviation:	38.22041098439847	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1200	Best fitness:	148.52789115646257	Average fitness:	335.92117687074847	Fitness standard deviation:	38.73749899500166	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1216	Best fitness:	148.52789115646257	Average fitness:	344.2760340136057	Fitness standard deviation:	38.478212873505115	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1232	Best fitness:	148.52789115646257	Average fitness:	339.80931972789125	Fitness standard deviation:	37.9286744954209	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1248	Best fitness:	148.52789115646257	Average fitness:	335.04003401360535	Fitness standard deviation:	38.81025668530926	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1264	Best fitness:	148.52789115646257	Average fitness:	336.9157482993199	Fitness standard deviation:	38.26924394527357	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1280	Best fitness:	148.52789115646257	Average fitness:	342.83174829932	Fitness standard deviation:	36.48629210611927	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1296	Best fitness:	148.52789115646257	Average fitness:	344.16717687074856	Fitness standard deviation:	34.90394638087768	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1312	Best fitness:	148.52789115646257	Average fitness:	340.49460544217686	Fitness standard deviation:	38.94674414911118	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1328	Best fitness:	148.52789115646257	Average fitness:	344.9091768707486	Fitness standard deviation:	38.63076954835303	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1344	Best fitness:	148.52789115646257	Average fitness:	341.6998911564626	Fitness standard deviation:	40.22173713862915	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1360	Best fitness:	148.52789115646257	Average fitness:	333.34974829931974	Fitness standard deviation:	35.00484421024716	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1376	Best fitness:	148.52789115646257	Average fitness:	344.9738911564626	Fitness standard deviation:	36.51274731724609	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1392	Best fitness:	148.52789115646257	Average fitness:	336.4340340136056	Fitness standard deviation:	38.52638156576634	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1408	Best fitness:	148.52789115646257	Average fitness:	339.15203401360554	Fitness standard deviation:	38.24765668132161	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1424	Best fitness:	148.52789115646257	Average fitness:	342.77689115646274	Fitness standard deviation:	36.90809560853798	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1440	Best fitness:	148.52789115646257	Average fitness:	346.0077482993199	Fitness standard deviation:	35.95274975121472	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1456	Best fitness:	148.52789115646257	Average fitness:	337.7668911564628	Fitness standard deviation:	35.13185846208537	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1472	Best fitness:	148.52789115646257	Average fitness:	338.20389115646276	Fitness standard deviation:	35.99434302946019	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1488	Best fitness:	148.52789115646257	Average fitness:	344.4313197278913	Fitness standard deviation:	38.33561466195898	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1504	Best fitness:	148.52789115646257	Average fitness:	340.3798911564627	Fitness standard deviation:	38.873089454725644	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1520	Best fitness:	148.52789115646257	Average fitness:	342.6046054421771	Fitness standard deviation:	35.60838626027897	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1536	Best fitness:	148.52789115646257	Average fitness:	345.67174829932003	Fitness standard deviation:	37.91377826956144	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1552	Best fitness:	148.52789115646257	Average fitness:	337.4136054421769	Fitness standard deviation:	38.979271100293865	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1568	Best fitness:	148.52789115646257	Average fitness:	341.8434625850342	Fitness standard deviation:	39.63089408143448	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1584	Best fitness:	148.52789115646257	Average fitness:	340.35817687074837	Fitness standard deviation:	34.19769041491378	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1600	Best fitness:	148.52789115646257	Average fitness:	339.55189115646283	Fitness standard deviation:	35.696948184883894	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1616	Best fitness:	148.52789115646257	Average fitness:	347.19031972789116	Fitness standard deviation:	35.90300994459423	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1632	Best fitness:	148.52789115646257	Average fitness:	338.1937482993199	Fitness standard deviation:	38.95355174369829	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1648	Best fitness:	148.52789115646257	Average fitness:	339.59346258503416	Fitness standard deviation:	39.635590870492415	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1664	Best fitness:	148.52789115646257	Average fitness:	342.657605442177	Fitness standard deviation:	33.877212838636616	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1680	Best fitness:	148.52789115646257	Average fitness:	339.17846258503414	Fitness standard deviation:	37.6701831648516	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1696	Best fitness:	148.52789115646257	Average fitness:	343.67217687074844	Fitness standard deviation:	36.72562601403071	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1712	Best fitness:	148.52789115646257	Average fitness:	334.40489115646267	Fitness standard deviation:	34.99115529031615	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1728	Best fitness:	148.52789115646257	Average fitness:	339.01217687074825	Fitness standard deviation:	40.72942322604791	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
Generation:	1744	Best fitness:	148.52789115646257	Average fitness:	340.99317687074836	Fitness standard deviation:	37.68295185126147	Best genome:	A9	N7	A6	A10	N12	N6	A8	A13	N9	A15	A12	A16	E5	E3	N5	N3	E4	A11	A7	A14	A17	
