Generation:	16	Best fitness:	224.87074829931973	Average fitness:	338.520462585034	Fitness standard deviation:	33.70646946198662	Best genome:	E5	A13	A16	N7	A10	N12	E4	E3	A15	A7	A12	N6	A14	A11	A8	A9	N3	N5	A6	A17	N9	
Generation:	192	Best fitness:	169.29931972789115	Average fitness:	329.57674829931983	Fitness standard deviation:	36.84070559163865	Best genome:	N9	A9	N3	N5	E4	A6	A14	A17	A12	A16	A13	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	208	Best fitness:	162.29931972789115	Average fitness:	332.27331972789113	Fitness standard deviation:	39.63710117183297	Best genome:	N9	A9	N3	N5	E4	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	224	Best fitness:	162.29931972789115	Average fitness:	334.60303401360557	Fitness standard deviation:	41.078685004686875	Best genome:	N9	A9	N3	N5	E4	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	240	Best fitness:	162.29931972789115	Average fitness:	331.0181768707483	Fitness standard deviation:	35.5450825486136	Best genome:	N9	A9	N3	N5	E4	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	256	Best fitness:	162.29931972789115	Average fitness:	328.20960544217684	Fitness standard deviation:	43.51908594103118	Best genome:	N9	A9	N3	N5	E4	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	272	Best fitness:	162.29931972789115	Average fitness:	327.95589115646266	Fitness standard deviation:	38.57547893654301	Best genome:	N9	A9	N3	N5	E4	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	288	Best fitness:	162.29931972789115	Average fitness:	338.6470340136055	Fitness standard deviation:	45.83939826776765	Best genome:	N9	A9	N3	N5	E4	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	304	Best fitness:	157.29931972789115	Average fitness:	333.88874829931973	Fitness standard deviation:	38.023426861419445	Best genome:	N9	A9	N3	E4	N5	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	320	Best fitness:	157.29931972789115	Average fitness:	339.53074829931967	Fitness standard deviation:	37.39729041805362	Best genome:	N9	A9	N3	E4	N5	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	336	Best fitness:	157.29931972789115	Average fitness:	334.1381768707483	Fitness standard deviation:	36.43333515519287	Best genome:	N9	A9	N3	E4	N5	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	352	Best fitness:	157.29931972789115	Average fitness:	334.88874829931984	Fitness standard deviation:	42.042973089495966	Best genome:	N9	A9	N3	E4	N5	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	368	Best fitness:	157.29931972789115	Average fitness:	336.4258911564627	Fitness standard deviation:	41.295120086261704	Best genome:	N9	A9	N3	E4	N5	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	384	Best fitness:	157.29931972789115	Average fitness:	330.3067482993197	Fitness standard deviation:	40.93782515583596	Best genome:	N9	A9	N3	E4	N5	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	400	Best fitness:	157.29931972789115	Average fitness:	336.25446258503393	Fitness standard deviation:	39.81069392891865	Best genome:	N9	A9	N3	E4	N5	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	416	Best fitness:	157.29931972789115	Average fitness:	327.88217687074837	Fitness standard deviation:	39.18706471294229	Best genome:	N9	A9	N3	E4	N5	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	432	Best fitness:	157.29931972789115	Average fitness:	334.7710340136055	Fitness standard deviation:	40.624309098300806	Best genome:	N9	A9	N3	E4	N5	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	448	Best fitness:	157.29931972789115	Average fitness:	336.8030340136055	Fitness standard deviation:	43.448778504706205	Best genome:	N9	A9	N3	E4	N5	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	464	Best fitness:	157.29931972789115	Average fitness:	341.30474829931967	Fitness standard deviation:	45.57009307402729	Best genome:	N9	A9	N3	E4	N5	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	480	Best fitness:	157.29931972789115	Average fitness:	330.845605442177	Fitness standard deviation:	43.11164211908522	Best genome:	N9	A9	N3	E4	N5	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	496	Best fitness:	157.29931972789115	Average fitness:	337.7193197278911	Fitness standard deviation:	41.54353339987993	Best genome:	N9	A9	N3	E4	N5	A6	A14	A17	A12	A13	A16	A11	N6	N7	A10	A8	E5	A15	E3	N12	A7	
Generation:	512	Best fitness:	153.87074829931973	Average fitness:	334.0224625850341	Fitness standard deviation:	38.57899305612434	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	528	Best fitness:	153.87074829931973	Average fitness:	341.44160544217686	Fitness standard deviation:	40.94838761969831	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	544	Best fitness:	153.87074829931973	Average fitness:	337.1058911564627	Fitness standard deviation:	46.12282871035662	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	560	Best fitness:	153.87074829931973	Average fitness:	332.17189115646244	Fitness standard deviation:	40.68780039194419	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	576	Best fitness:	153.87074829931973	Average fitness:	335.48103401360555	Fitness standard deviation:	39.78500764081354	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	592	Best fitness:	153.87074829931973	Average fitness:	334.0156054421769	Fitness standard deviation:	44.224356619955245	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	608	Best fitness:	153.87074829931973	Average fitness:	339.07360544217687	Fitness standard deviation:	44.35822349730356	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	624	Best fitness:	153.87074829931973	Average fitness:	341.2504625850339	Fitness standard deviation:	41.03024316033136	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	640	Best fitness:	153.87074829931973	Average fitness:	336.70817687074833	Fitness standard deviation:	35.181250965680626	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	656	Best fitness:	153.87074829931973	Average fitness:	335.81703401360545	Fitness standard deviation:	42.35913284267836	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	672	Best fitness:	153.87074829931973	Average fitness:	338.66674829931975	Fitness standard deviation:	44.72927143130671	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	688	Best fitness:	153.87074829931973	Average fitness:	338.60417687074835	Fitness standard deviation:	36.75847947267212	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	704	Best fitness:	153.87074829931973	Average fitness:	333.12531972789117	Fitness standard deviation:	43.970497362273655	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	720	Best fitness:	153.87074829931973	Average fitness:	342.5641768707481	Fitness standard deviation:	46.06544020527886	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	736	Best fitness:	153.87074829931973	Average fitness:	330.10474829931974	Fitness standard deviation:	38.27146146108543	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	752	Best fitness:	153.87074829931973	Average fitness:	340.55703401360535	Fitness standard deviation:	38.458877689590174	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	768	Best fitness:	153.87074829931973	Average fitness:	334.09789115646265	Fitness standard deviation:	44.846758101839406	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	784	Best fitness:	153.87074829931973	Average fitness:	335.5136054421769	Fitness standard deviation:	38.808829733787675	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	E3	N12	A7	N9	
Generation:	800	Best fitness:	150.87074829931973	Average fitness:	337.39474829931976	Fitness standard deviation:	35.30235887823003	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	816	Best fitness:	150.87074829931973	Average fitness:	337.43760544217696	Fitness standard deviation:	40.721428089307636	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	832	Best fitness:	150.87074829931973	Average fitness:	335.43731972789107	Fitness standard deviation:	40.13351046348237	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	848	Best fitness:	150.87074829931973	Average fitness:	337.15617687074825	Fitness standard deviation:	45.002109790904825	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	864	Best fitness:	150.87074829931973	Average fitness:	335.49760544217696	Fitness standard deviation:	45.79925172189731	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	880	Best fitness:	150.87074829931973	Average fitness:	337.78817687074826	Fitness standard deviation:	36.6128294443132	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	896	Best fitness:	150.87074829931973	Average fitness:	333.54646258503396	Fitness standard deviation:	42.02161433629807	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	912	Best fitness:	150.87074829931973	Average fitness:	332.5970340136054	Fitness standard deviation:	39.81739650157033	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	928	Best fitness:	150.87074829931973	Average fitness:	333.1696054421768	Fitness standard deviation:	39.96222694454536	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	944	Best fitness:	150.87074829931973	Average fitness:	340.9896054421768	Fitness standard deviation:	40.20266388168418	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	960	Best fitness:	150.87074829931973	Average fitness:	339.6053197278912	Fitness standard deviation:	41.397924288888824	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	976	Best fitness:	150.87074829931973	Average fitness:	334.1427482993197	Fitness standard deviation:	41.6772693844851	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	992	Best fitness:	150.87074829931973	Average fitness:	332.9873197278911	Fitness standard deviation:	40.35771735216885	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1008	Best fitness:	150.87074829931973	Average fitness:	336.2110340136054	Fitness standard deviation:	44.319523885860825	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1024	Best fitness:	150.87074829931973	Average fitness:	339.17989115646265	Fitness standard deviation:	40.78709747566987	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1040	Best fitness:	150.87074829931973	Average fitness:	331.45389115646253	Fitness standard deviation:	40.67246796704882	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1056	Best fitness:	150.87074829931973	Average fitness:	338.5216054421768	Fitness standard deviation:	41.42414332591219	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1072	Best fitness:	150.87074829931973	Average fitness:	329.9836054421769	Fitness standard deviation:	44.35137572354919	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1088	Best fitness:	150.87074829931973	Average fitness:	336.14217687074824	Fitness standard deviation:	40.35830916140253	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1104	Best fitness:	150.87074829931973	Average fitness:	327.77103401360546	Fitness standard deviation:	37.167346760624305	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1120	Best fitness:	150.87074829931973	Average fitness:	339.8707482993196	Fitness standard deviation:	42.02115657618196	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1136	Best fitness:	150.87074829931973	Average fitness:	334.30789115646263	Fitness standard deviation:	38.95464102187128	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1152	Best fitness:	150.87074829931973	Average fitness:	336.6473197278912	Fitness standard deviation:	35.884408843407414	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1168	Best fitness:	150.87074829931973	Average fitness:	330.7567482993197	Fitness standard deviation:	39.75984693745431	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1184	Best fitness:	150.87074829931973	Average fitness:	332.62017687074825	Fitness standard deviation:	43.46601879019274	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1200	Best fitness:	150.87074829931973	Average fitness:	332.47503401360547	Fitness standard deviation:	38.2029494266864	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1216	Best fitness:	150.87074829931973	Average fitness:	335.7956054421768	Fitness standard deviation:	48.13952403129038	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1232	Best fitness:	150.87074829931973	Average fitness:	337.46417687074836	Fitness standard deviation:	42.820765486108805	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1248	Best fitness:	150.87074829931973	Average fitness:	330.3658911564626	Fitness standard deviation:	38.670315790628585	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1264	Best fitness:	150.87074829931973	Average fitness:	331.1338911564625	Fitness standard deviation:	42.35745541585474	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1280	Best fitness:	150.87074829931973	Average fitness:	331.96103401360546	Fitness standard deviation:	41.36275554709791	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1296	Best fitness:	150.87074829931973	Average fitness:	334.6264625850342	Fitness standard deviation:	42.6493934928285	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1312	Best fitness:	150.87074829931973	Average fitness:	330.2661768707483	Fitness standard deviation:	42.19298204919963	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1328	Best fitness:	150.87074829931973	Average fitness:	332.15674829931964	Fitness standard deviation:	43.75367608952348	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1344	Best fitness:	150.87074829931973	Average fitness:	330.4410340136055	Fitness standard deviation:	40.00270009662357	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1360	Best fitness:	150.87074829931973	Average fitness:	334.172462585034	Fitness standard deviation:	40.881614912788734	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1376	Best fitness:	150.87074829931973	Average fitness:	337.1673197278911	Fitness standard deviation:	43.693363579586766	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1392	Best fitness:	150.87074829931973	Average fitness:	340.19303401360526	Fitness standard deviation:	43.322121620648794	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1408	Best fitness:	150.87074829931973	Average fitness:	341.8156054421769	Fitness standard deviation:	41.46733501867489	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1424	Best fitness:	150.87074829931973	Average fitness:	339.9536054421769	Fitness standard deviation:	43.32702008432792	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1440	Best fitness:	150.87074829931973	Average fitness:	331.8873197278913	Fitness standard deviation:	36.391685791888094	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1456	Best fitness:	150.87074829931973	Average fitness:	340.7627482993197	Fitness standard deviation:	41.269597364309774	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1472	Best fitness:	150.87074829931973	Average fitness:	335.6653197278913	Fitness standard deviation:	39.6677535609395	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1488	Best fitness:	150.87074829931973	Average fitness:	338.26446258503415	Fitness standard deviation:	37.27987618881078	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1504	Best fitness:	150.87074829931973	Average fitness:	336.66331972789106	Fitness standard deviation:	43.546959990430594	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1520	Best fitness:	150.87074829931973	Average fitness:	336.7447482993198	Fitness standard deviation:	42.71635180765209	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1536	Best fitness:	150.87074829931973	Average fitness:	330.68103401360537	Fitness standard deviation:	46.52103733379389	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1552	Best fitness:	150.87074829931973	Average fitness:	328.5093197278911	Fitness standard deviation:	46.61139676262948	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1568	Best fitness:	150.87074829931973	Average fitness:	341.19446258503405	Fitness standard deviation:	39.34575838560969	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1584	Best fitness:	150.87074829931973	Average fitness:	340.26131972789125	Fitness standard deviation:	44.522139606982876	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1600	Best fitness:	150.87074829931973	Average fitness:	332.83789115646255	Fitness standard deviation:	45.81345464523072	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1616	Best fitness:	150.87074829931973	Average fitness:	334.2401768707483	Fitness standard deviation:	41.37561309836152	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1632	Best fitness:	150.87074829931973	Average fitness:	332.8973197278911	Fitness standard deviation:	40.6939015147208	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1648	Best fitness:	150.87074829931973	Average fitness:	331.9264625850339	Fitness standard deviation:	39.74564340135602	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1664	Best fitness:	150.87074829931973	Average fitness:	330.0870340136056	Fitness standard deviation:	39.624370001816004	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1680	Best fitness:	150.87074829931973	Average fitness:	334.3210340136054	Fitness standard deviation:	45.41042676635004	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1696	Best fitness:	150.87074829931973	Average fitness:	337.2687482993197	Fitness standard deviation:	39.7706318177581	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1712	Best fitness:	150.87074829931973	Average fitness:	336.16303401360545	Fitness standard deviation:	39.8349494493548	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1728	Best fitness:	150.87074829931973	Average fitness:	336.33017687074823	Fitness standard deviation:	45.76052191795983	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
Generation:	1744	Best fitness:	150.87074829931973	Average fitness:	340.5561768707482	Fitness standard deviation:	38.42171654102903	Best genome:	A9	N3	E4	N5	A6	A12	A13	A11	N6	N7	A10	A8	A15	A14	A17	A16	E5	N12	E3	A7	N9	
