Generation:	16	Best fitness:	231.29931972789115	Average fitness:	326.8261768707483	Fitness standard deviation:	39.12539304255861	Best genome:	N9	A13	A16	A9	A10	A15	A11	A7	A14	E5	N12	N3	E4	N5	E3	A8	N7	A6	A12	N6	A17	
Generation:	192	Best fitness:	163.8421768707483	Average fitness:	318.2987482993198	Fitness standard deviation:	46.91249569927711	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	208	Best fitness:	163.8421768707483	Average fitness:	328.4210340136053	Fitness standard deviation:	41.34491881916405	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	224	Best fitness:	163.8421768707483	Average fitness:	318.8873197278911	Fitness standard deviation:	45.439768643417935	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	240	Best fitness:	163.8421768707483	Average fitness:	317.9553197278912	Fitness standard deviation:	42.48426549936351	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	256	Best fitness:	163.8421768707483	Average fitness:	320.7273197278912	Fitness standard deviation:	42.81931873367822	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	272	Best fitness:	163.8421768707483	Average fitness:	318.1650340136054	Fitness standard deviation:	48.52935127007034	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	288	Best fitness:	163.8421768707483	Average fitness:	326.40046258503406	Fitness standard deviation:	46.52952969231212	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	304	Best fitness:	163.8421768707483	Average fitness:	313.3798911564627	Fitness standard deviation:	53.85911044227016	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	320	Best fitness:	163.8421768707483	Average fitness:	319.38217687074825	Fitness standard deviation:	48.02814421497769	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	336	Best fitness:	163.8421768707483	Average fitness:	317.24846258503396	Fitness standard deviation:	47.985367256007095	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	352	Best fitness:	163.8421768707483	Average fitness:	313.9867482993197	Fitness standard deviation:	50.284906295456665	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	368	Best fitness:	163.8421768707483	Average fitness:	325.2427482993197	Fitness standard deviation:	43.98626594188468	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	384	Best fitness:	163.8421768707483	Average fitness:	314.0364625850341	Fitness standard deviation:	39.684521631775496	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	400	Best fitness:	163.8421768707483	Average fitness:	323.45246258503397	Fitness standard deviation:	50.4875969444426	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	416	Best fitness:	163.8421768707483	Average fitness:	324.2450340136054	Fitness standard deviation:	46.06867252000109	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	432	Best fitness:	163.8421768707483	Average fitness:	315.5267482993197	Fitness standard deviation:	42.19076403814523	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	448	Best fitness:	163.8421768707483	Average fitness:	339.0758911564626	Fitness standard deviation:	45.634551424935715	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	464	Best fitness:	163.8421768707483	Average fitness:	318.8890340136055	Fitness standard deviation:	49.366439152649505	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	480	Best fitness:	163.8421768707483	Average fitness:	327.620462585034	Fitness standard deviation:	47.929166293093616	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	496	Best fitness:	163.8421768707483	Average fitness:	326.85874829931976	Fitness standard deviation:	47.579711707870636	Best genome:	A16	A9	E4	A11	A10	N12	E5	A15	A14	N6	N3	N5	A7	E3	A8	N7	A6	A12	A17	N9	A13	
Generation:	512	Best fitness:	163.6421768707483	Average fitness:	312.5838911564627	Fitness standard deviation:	48.41799933824577	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A8	A14	A17	A16	
Generation:	528	Best fitness:	163.6421768707483	Average fitness:	323.7296054421768	Fitness standard deviation:	38.48785078808265	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A8	A14	A17	A16	
Generation:	544	Best fitness:	163.6421768707483	Average fitness:	324.93874829931957	Fitness standard deviation:	48.44548508354098	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A8	A14	A17	A16	
Generation:	560	Best fitness:	163.6421768707483	Average fitness:	327.63589115646255	Fitness standard deviation:	47.911274218334974	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A8	A14	A17	A16	
Generation:	576	Best fitness:	163.6421768707483	Average fitness:	322.1947482993198	Fitness standard deviation:	40.66022219439976	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A8	A14	A17	A16	
Generation:	592	Best fitness:	163.6421768707483	Average fitness:	316.5638911564626	Fitness standard deviation:	51.19682637166695	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A8	A14	A17	A16	
Generation:	608	Best fitness:	163.6421768707483	Average fitness:	320.248462585034	Fitness standard deviation:	49.146137196183815	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A8	A14	A17	A16	
Generation:	624	Best fitness:	163.6421768707483	Average fitness:	318.7101768707483	Fitness standard deviation:	45.86786768756622	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A8	A14	A17	A16	
Generation:	640	Best fitness:	163.6421768707483	Average fitness:	325.6518911564626	Fitness standard deviation:	44.52478900842651	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A8	A14	A17	A16	
Generation:	656	Best fitness:	163.6421768707483	Average fitness:	327.440462585034	Fitness standard deviation:	41.806478322316096	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A8	A14	A17	A16	
Generation:	672	Best fitness:	163.6421768707483	Average fitness:	321.53417687074824	Fitness standard deviation:	42.99933489376461	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A8	A14	A17	A16	
Generation:	688	Best fitness:	163.6421768707483	Average fitness:	312.0913197278911	Fitness standard deviation:	42.76709627453216	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A8	A14	A17	A16	
Generation:	704	Best fitness:	163.6421768707483	Average fitness:	319.7078911564626	Fitness standard deviation:	46.20854280943544	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A8	A14	A17	A16	
Generation:	720	Best fitness:	163.6421768707483	Average fitness:	330.8621768707482	Fitness standard deviation:	42.70518899790679	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A8	A14	A17	A16	
Generation:	736	Best fitness:	163.6421768707483	Average fitness:	328.52046258503395	Fitness standard deviation:	45.75627885897639	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A8	A14	A17	A16	
Generation:	752	Best fitness:	163.6421768707483	Average fitness:	328.24046258503404	Fitness standard deviation:	45.127825855551464	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A8	A14	A17	A16	
Generation:	768	Best fitness:	161.6421768707483	Average fitness:	331.34046258503406	Fitness standard deviation:	53.02599567636037	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A14	A17	A16	A8	
Generation:	784	Best fitness:	161.6421768707483	Average fitness:	317.6427482993198	Fitness standard deviation:	43.64940189037824	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A14	A17	A16	A8	
Generation:	800	Best fitness:	161.6421768707483	Average fitness:	323.23303401360556	Fitness standard deviation:	38.691602185402836	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A14	A17	A16	A8	
Generation:	816	Best fitness:	161.6421768707483	Average fitness:	336.09131972789123	Fitness standard deviation:	47.121579281250575	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A14	A17	A16	A8	
Generation:	832	Best fitness:	161.6421768707483	Average fitness:	324.3770340136054	Fitness standard deviation:	48.82035842990596	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A14	A17	A16	A8	
Generation:	848	Best fitness:	161.6421768707483	Average fitness:	315.176462585034	Fitness standard deviation:	41.46272926819153	Best genome:	A15	A10	N12	E5	E3	N6	N3	N5	A7	N7	A6	A12	N9	A13	A9	E4	A11	A14	A17	A16	A8	
Generation:	864	Best fitness:	156.61360544217686	Average fitness:	330.72046258503406	Fitness standard deviation:	57.25890468062142	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	E4	N3	A11	A14	A17	A16	A8	
Generation:	880	Best fitness:	156.61360544217686	Average fitness:	326.8833197278912	Fitness standard deviation:	47.23042954083993	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	E4	N3	A11	A14	A17	A16	A8	
Generation:	896	Best fitness:	156.61360544217686	Average fitness:	313.904462585034	Fitness standard deviation:	41.88066650152842	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	E4	N3	A11	A14	A17	A16	A8	
Generation:	912	Best fitness:	156.61360544217686	Average fitness:	326.316462585034	Fitness standard deviation:	44.85759526614444	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	E4	N3	A11	A14	A17	A16	A8	
Generation:	928	Best fitness:	156.61360544217686	Average fitness:	334.33017687074823	Fitness standard deviation:	43.43046719170536	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	E4	N3	A11	A14	A17	A16	A8	
Generation:	944	Best fitness:	156.61360544217686	Average fitness:	326.9398911564625	Fitness standard deviation:	48.492141367105525	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	E4	N3	A11	A14	A17	A16	A8	
Generation:	960	Best fitness:	156.61360544217686	Average fitness:	322.3878911564626	Fitness standard deviation:	45.16810731442427	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	E4	N3	A11	A14	A17	A16	A8	
Generation:	976	Best fitness:	156.61360544217686	Average fitness:	327.232462585034	Fitness standard deviation:	46.53540152860585	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	E4	N3	A11	A14	A17	A16	A8	
Generation:	992	Best fitness:	151.61360544217686	Average fitness:	318.8233197278912	Fitness standard deviation:	46.73047639389096	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1008	Best fitness:	151.61360544217686	Average fitness:	323.98674829931974	Fitness standard deviation:	46.97614693368001	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1024	Best fitness:	151.61360544217686	Average fitness:	320.89017687074835	Fitness standard deviation:	40.60367790318146	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1040	Best fitness:	151.61360544217686	Average fitness:	313.4507482993197	Fitness standard deviation:	42.720092199701774	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1056	Best fitness:	151.61360544217686	Average fitness:	318.20103401360547	Fitness standard deviation:	48.386897588972516	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1072	Best fitness:	151.61360544217686	Average fitness:	327.4547482993197	Fitness standard deviation:	46.083211041748896	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1088	Best fitness:	151.61360544217686	Average fitness:	324.19074829931975	Fitness standard deviation:	49.66364613013	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1104	Best fitness:	151.61360544217686	Average fitness:	323.30503401360545	Fitness standard deviation:	48.72833278829198	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1120	Best fitness:	151.61360544217686	Average fitness:	324.1570340136055	Fitness standard deviation:	49.42604931302802	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1136	Best fitness:	151.61360544217686	Average fitness:	323.43760544217696	Fitness standard deviation:	42.621280249688056	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1152	Best fitness:	151.61360544217686	Average fitness:	333.0096054421769	Fitness standard deviation:	42.851988646255094	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1168	Best fitness:	151.61360544217686	Average fitness:	326.50503401360544	Fitness standard deviation:	52.283035372433204	Best genome:	A15	A10	N12	E5	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1184	Best fitness:	147.61360544217686	Average fitness:	324.32103401360547	Fitness standard deviation:	41.7340726299952	Best genome:	E5	N12	A15	A10	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1200	Best fitness:	147.61360544217686	Average fitness:	310.0050340136054	Fitness standard deviation:	49.20882690024178	Best genome:	E5	N12	A15	A10	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1216	Best fitness:	147.61360544217686	Average fitness:	323.1273197278912	Fitness standard deviation:	38.41486212817287	Best genome:	E5	N12	A15	A10	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1232	Best fitness:	147.61360544217686	Average fitness:	318.53531972789114	Fitness standard deviation:	44.04639810055589	Best genome:	E5	N12	A15	A10	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1248	Best fitness:	147.61360544217686	Average fitness:	312.34160544217684	Fitness standard deviation:	42.61530020917801	Best genome:	E5	N12	A15	A10	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1264	Best fitness:	147.61360544217686	Average fitness:	313.1473197278912	Fitness standard deviation:	48.17916204318703	Best genome:	E5	N12	A15	A10	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1280	Best fitness:	147.61360544217686	Average fitness:	320.3336054421768	Fitness standard deviation:	48.89412568530715	Best genome:	E5	N12	A15	A10	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1296	Best fitness:	147.61360544217686	Average fitness:	334.72789115646265	Fitness standard deviation:	42.535037945924344	Best genome:	E5	N12	A15	A10	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1312	Best fitness:	139.61360544217686	Average fitness:	316.8296054421769	Fitness standard deviation:	45.671502179662745	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1328	Best fitness:	139.61360544217686	Average fitness:	315.8376054421768	Fitness standard deviation:	48.633931334627114	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1344	Best fitness:	139.61360544217686	Average fitness:	319.6496054421769	Fitness standard deviation:	56.11251490077589	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1360	Best fitness:	139.61360544217686	Average fitness:	323.0016054421769	Fitness standard deviation:	44.14121868064185	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1376	Best fitness:	139.61360544217686	Average fitness:	320.52217687074835	Fitness standard deviation:	40.71327998757824	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1392	Best fitness:	139.61360544217686	Average fitness:	316.8353197278911	Fitness standard deviation:	49.072922184796596	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1408	Best fitness:	139.61360544217686	Average fitness:	320.16789115646253	Fitness standard deviation:	48.40993084152912	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1424	Best fitness:	139.61360544217686	Average fitness:	317.15474829931986	Fitness standard deviation:	51.46711933430341	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1440	Best fitness:	139.61360544217686	Average fitness:	321.31931972789124	Fitness standard deviation:	54.50140406354647	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1456	Best fitness:	139.61360544217686	Average fitness:	324.0838911564626	Fitness standard deviation:	50.48121192956396	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1472	Best fitness:	139.61360544217686	Average fitness:	319.73589115646257	Fitness standard deviation:	51.73141248835969	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1488	Best fitness:	139.61360544217686	Average fitness:	326.4341768707482	Fitness standard deviation:	44.548089508497924	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1504	Best fitness:	139.61360544217686	Average fitness:	318.47303401360546	Fitness standard deviation:	45.50990521113542	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1520	Best fitness:	139.61360544217686	Average fitness:	307.1993197278912	Fitness standard deviation:	51.126607234853154	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1536	Best fitness:	139.61360544217686	Average fitness:	317.90389115646263	Fitness standard deviation:	49.96243106452638	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1552	Best fitness:	139.61360544217686	Average fitness:	316.8261768707482	Fitness standard deviation:	44.57749012262414	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1568	Best fitness:	139.61360544217686	Average fitness:	312.4147482993197	Fitness standard deviation:	50.41507968771215	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1584	Best fitness:	139.61360544217686	Average fitness:	323.47817687074826	Fitness standard deviation:	51.68753966925902	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1600	Best fitness:	139.61360544217686	Average fitness:	312.7650340136054	Fitness standard deviation:	49.89810981655824	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1616	Best fitness:	139.61360544217686	Average fitness:	322.4490340136055	Fitness standard deviation:	43.15683919503515	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1632	Best fitness:	139.61360544217686	Average fitness:	311.504462585034	Fitness standard deviation:	48.398114549209126	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1648	Best fitness:	139.61360544217686	Average fitness:	324.7381768707483	Fitness standard deviation:	51.69436167415127	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1664	Best fitness:	139.61360544217686	Average fitness:	324.02960544217683	Fitness standard deviation:	47.47563900677948	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1680	Best fitness:	139.61360544217686	Average fitness:	323.18503401360545	Fitness standard deviation:	51.14573303965118	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1696	Best fitness:	139.61360544217686	Average fitness:	310.89874829931983	Fitness standard deviation:	47.80581178570024	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1712	Best fitness:	139.61360544217686	Average fitness:	314.30446258503395	Fitness standard deviation:	52.399067351101834	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1728	Best fitness:	139.61360544217686	Average fitness:	315.14789115646255	Fitness standard deviation:	56.8465265752752	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
Generation:	1744	Best fitness:	139.61360544217686	Average fitness:	329.56274829931976	Fitness standard deviation:	48.471475067132765	Best genome:	E5	A15	A10	N12	E3	N6	N5	A7	N7	A6	A12	N9	A13	A9	N3	E4	A11	A14	A17	A16	A8	
