Generation:	16	Best fitness:	242.38503401360543	Average fitness:	333.2724625850341	Fitness standard deviation:	32.83530872554788	Best genome:	A9	A13	A16	N9	E4	A11	E5	A8	E3	A7	A14	A12	N12	A15	N3	N5	A6	N6	A10	N7	A17	
Generation:	1104	Best fitness:	136.61360544217686	Average fitness:	316.58617687074826	Fitness standard deviation:	51.14509363346117	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1120	Best fitness:	136.61360544217686	Average fitness:	329.13703401360544	Fitness standard deviation:	51.568644939516865	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1136	Best fitness:	136.61360544217686	Average fitness:	320.66046258503405	Fitness standard deviation:	58.063574660602384	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1152	Best fitness:	136.61360544217686	Average fitness:	318.79703401360547	Fitness standard deviation:	51.475894763610334	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1168	Best fitness:	136.61360544217686	Average fitness:	317.61931972789114	Fitness standard deviation:	44.60117432333377	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1184	Best fitness:	136.61360544217686	Average fitness:	309.02560544217687	Fitness standard deviation:	44.749964803087295	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1200	Best fitness:	136.61360544217686	Average fitness:	316.58960544217695	Fitness standard deviation:	46.751833004772365	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1216	Best fitness:	136.61360544217686	Average fitness:	323.09074829931984	Fitness standard deviation:	53.67317552957503	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1232	Best fitness:	136.61360544217686	Average fitness:	318.41303401360545	Fitness standard deviation:	51.13889194205545	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1248	Best fitness:	136.61360544217686	Average fitness:	311.8810340136055	Fitness standard deviation:	52.903858509795775	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1264	Best fitness:	136.61360544217686	Average fitness:	312.7736054421769	Fitness standard deviation:	49.5912286516847	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1280	Best fitness:	136.61360544217686	Average fitness:	328.6838911564625	Fitness standard deviation:	56.455910400081585	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1296	Best fitness:	136.61360544217686	Average fitness:	319.364462585034	Fitness standard deviation:	44.282378137934515	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1312	Best fitness:	136.61360544217686	Average fitness:	318.4736054421769	Fitness standard deviation:	54.48227579231804	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1328	Best fitness:	136.61360544217686	Average fitness:	315.2336054421769	Fitness standard deviation:	46.455254662032424	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1344	Best fitness:	136.61360544217686	Average fitness:	316.97931972789115	Fitness standard deviation:	49.25197288082033	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1360	Best fitness:	136.61360544217686	Average fitness:	322.8164625850341	Fitness standard deviation:	55.25009299096432	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1376	Best fitness:	136.61360544217686	Average fitness:	312.28731972789114	Fitness standard deviation:	46.68383982598217	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1392	Best fitness:	136.61360544217686	Average fitness:	329.12331972789116	Fitness standard deviation:	47.22690874611936	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1408	Best fitness:	136.61360544217686	Average fitness:	323.1873197278912	Fitness standard deviation:	50.06665755627334	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1424	Best fitness:	136.61360544217686	Average fitness:	325.99531972789123	Fitness standard deviation:	47.97836919415469	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1440	Best fitness:	136.61360544217686	Average fitness:	329.5301768707484	Fitness standard deviation:	47.22240694018561	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1456	Best fitness:	136.61360544217686	Average fitness:	323.3964625850339	Fitness standard deviation:	54.30723603456803	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1472	Best fitness:	136.61360544217686	Average fitness:	314.2730340136055	Fitness standard deviation:	49.80859161688015	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1488	Best fitness:	136.61360544217686	Average fitness:	316.2690340136054	Fitness standard deviation:	50.40623298354914	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1504	Best fitness:	136.61360544217686	Average fitness:	325.4970340136054	Fitness standard deviation:	45.77165358960205	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1520	Best fitness:	136.61360544217686	Average fitness:	312.8210340136054	Fitness standard deviation:	54.54202074042527	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1536	Best fitness:	136.61360544217686	Average fitness:	311.57931972789106	Fitness standard deviation:	52.64904518776835	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1552	Best fitness:	136.61360544217686	Average fitness:	319.0581768707483	Fitness standard deviation:	44.28401882837461	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1568	Best fitness:	136.61360544217686	Average fitness:	307.8193197278911	Fitness standard deviation:	48.76789911072108	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1584	Best fitness:	136.61360544217686	Average fitness:	316.6467482993197	Fitness standard deviation:	50.928675010113054	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1600	Best fitness:	136.61360544217686	Average fitness:	317.9947482993198	Fitness standard deviation:	47.762331878259246	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1616	Best fitness:	136.61360544217686	Average fitness:	318.0256054421768	Fitness standard deviation:	43.59810821209413	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1632	Best fitness:	136.61360544217686	Average fitness:	325.4067482993197	Fitness standard deviation:	48.56233110095914	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1648	Best fitness:	136.61360544217686	Average fitness:	322.96046258503395	Fitness standard deviation:	50.358908422139066	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1664	Best fitness:	136.61360544217686	Average fitness:	316.0793197278911	Fitness standard deviation:	41.93097038646995	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1680	Best fitness:	136.61360544217686	Average fitness:	323.0518911564626	Fitness standard deviation:	49.74684930562673	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1696	Best fitness:	136.61360544217686	Average fitness:	331.0238911564626	Fitness standard deviation:	50.87803287174101	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1712	Best fitness:	136.61360544217686	Average fitness:	309.5976054421768	Fitness standard deviation:	49.5422244678667	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1728	Best fitness:	136.61360544217686	Average fitness:	313.8998911564627	Fitness standard deviation:	50.620765760743694	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
Generation:	1744	Best fitness:	136.61360544217686	Average fitness:	328.5067482993198	Fitness standard deviation:	44.59932526624233	Best genome:	A9	N3	A7	N7	A15	A14	A17	N5	A11	A6	A12	N9	A13	A16	E5	E3	N6	E4	A10	N12	A8	
