Generation:	16	Best fitness:	236.52789115646257	Average fitness:	343.78517687074816	Fitness standard deviation:	31.348917306760733	Best genome:	E3	A11	A10	N12	N5	A7	A17	E5	N9	N3	A13	A9	E4	A6	A12	N6	N7	A15	A14	A8	A16	
Generation:	240	Best fitness:	189.87074829931973	Average fitness:	341.05803401360555	Fitness standard deviation:	33.19034746545373	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	A8	A15	A17	N6	E3	E5	N7	N5	E4	N3	A7	N9	
Generation:	256	Best fitness:	189.87074829931973	Average fitness:	342.1251768707483	Fitness standard deviation:	34.031585520525134	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	A8	A15	A17	N6	E3	E5	N7	N5	E4	N3	A7	N9	
Generation:	272	Best fitness:	185.87074829931973	Average fitness:	341.04846258503386	Fitness standard deviation:	34.73927368267794	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	288	Best fitness:	185.87074829931973	Average fitness:	340.71446258503437	Fitness standard deviation:	35.767422517579035	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	304	Best fitness:	185.87074829931973	Average fitness:	342.8551768707483	Fitness standard deviation:	36.154207455208926	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	320	Best fitness:	185.87074829931973	Average fitness:	343.21089115646265	Fitness standard deviation:	37.36727560995321	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	336	Best fitness:	185.87074829931973	Average fitness:	342.9167482993201	Fitness standard deviation:	36.42156356011183	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	352	Best fitness:	185.87074829931973	Average fitness:	345.9481768707486	Fitness standard deviation:	33.89649149142978	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	368	Best fitness:	185.87074829931973	Average fitness:	342.2148911564628	Fitness standard deviation:	37.421632977109226	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	384	Best fitness:	185.87074829931973	Average fitness:	338.421462585034	Fitness standard deviation:	35.85540120272207	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	400	Best fitness:	185.87074829931973	Average fitness:	336.16317687074866	Fitness standard deviation:	34.93449087760621	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	416	Best fitness:	185.87074829931973	Average fitness:	345.9176054421771	Fitness standard deviation:	33.09090497649263	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	432	Best fitness:	185.87074829931973	Average fitness:	341.1760340136056	Fitness standard deviation:	36.83467461094068	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	448	Best fitness:	185.87074829931973	Average fitness:	344.1861768707485	Fitness standard deviation:	37.98739681869798	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	464	Best fitness:	185.87074829931973	Average fitness:	339.3074625850342	Fitness standard deviation:	37.86489843765433	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	480	Best fitness:	185.87074829931973	Average fitness:	341.61789115646275	Fitness standard deviation:	36.01327496173304	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	496	Best fitness:	185.87074829931973	Average fitness:	341.26489115646285	Fitness standard deviation:	33.561171964832525	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	512	Best fitness:	185.87074829931973	Average fitness:	340.72531972789113	Fitness standard deviation:	36.27429417476722	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	528	Best fitness:	185.87074829931973	Average fitness:	344.3674625850343	Fitness standard deviation:	32.23714674130464	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	544	Best fitness:	185.87074829931973	Average fitness:	346.13617687074844	Fitness standard deviation:	35.38719618443821	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	560	Best fitness:	185.87074829931973	Average fitness:	344.4214625850341	Fitness standard deviation:	33.63360539303947	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	576	Best fitness:	185.87074829931973	Average fitness:	343.40346258503416	Fitness standard deviation:	36.136636946117584	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	592	Best fitness:	185.87074829931973	Average fitness:	342.4503197278915	Fitness standard deviation:	33.32176433791939	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	608	Best fitness:	185.87074829931973	Average fitness:	346.8701768707484	Fitness standard deviation:	35.89330947376672	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	624	Best fitness:	185.87074829931973	Average fitness:	341.91031972789125	Fitness standard deviation:	32.70011204842563	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	640	Best fitness:	185.87074829931973	Average fitness:	339.56374829931985	Fitness standard deviation:	35.23200469859234	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	656	Best fitness:	185.87074829931973	Average fitness:	343.52389115646264	Fitness standard deviation:	33.90280658299666	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	672	Best fitness:	185.87074829931973	Average fitness:	342.6013197278912	Fitness standard deviation:	30.43858822519299	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	688	Best fitness:	185.87074829931973	Average fitness:	343.32960544217696	Fitness standard deviation:	35.062055964957274	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	704	Best fitness:	185.87074829931973	Average fitness:	336.9456054421771	Fitness standard deviation:	35.402386932095354	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	720	Best fitness:	185.87074829931973	Average fitness:	343.8866054421771	Fitness standard deviation:	36.13869741138765	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	736	Best fitness:	185.87074829931973	Average fitness:	341.5304625850341	Fitness standard deviation:	34.745008414364854	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	752	Best fitness:	185.87074829931973	Average fitness:	341.0493197278913	Fitness standard deviation:	33.162694894309496	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	768	Best fitness:	185.87074829931973	Average fitness:	341.80531972789123	Fitness standard deviation:	36.76195044791142	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	784	Best fitness:	185.87074829931973	Average fitness:	344.4941768707484	Fitness standard deviation:	35.031328458267474	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	800	Best fitness:	185.87074829931973	Average fitness:	343.57931972789135	Fitness standard deviation:	35.827181335530426	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	816	Best fitness:	185.87074829931973	Average fitness:	342.99617687074846	Fitness standard deviation:	34.490728809289	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	832	Best fitness:	185.87074829931973	Average fitness:	344.57074829932	Fitness standard deviation:	35.95439378786772	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	848	Best fitness:	185.87074829931973	Average fitness:	342.5893197278913	Fitness standard deviation:	36.86124005466104	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	864	Best fitness:	185.87074829931973	Average fitness:	344.77731972789144	Fitness standard deviation:	33.508427415155346	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	880	Best fitness:	185.87074829931973	Average fitness:	344.8556054421769	Fitness standard deviation:	34.118541958702686	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	896	Best fitness:	185.87074829931973	Average fitness:	347.34774829931985	Fitness standard deviation:	35.31542302809158	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	912	Best fitness:	185.87074829931973	Average fitness:	339.7823197278914	Fitness standard deviation:	37.09275649597085	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	928	Best fitness:	185.87074829931973	Average fitness:	346.7181768707482	Fitness standard deviation:	36.71581969446868	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	944	Best fitness:	185.87074829931973	Average fitness:	341.1603197278915	Fitness standard deviation:	31.799742480987845	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	960	Best fitness:	185.87074829931973	Average fitness:	340.8764625850342	Fitness standard deviation:	35.07233423328747	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	976	Best fitness:	185.87074829931973	Average fitness:	341.8746054421769	Fitness standard deviation:	36.35372374352328	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	992	Best fitness:	185.87074829931973	Average fitness:	344.66160544217695	Fitness standard deviation:	35.85171999517241	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1008	Best fitness:	185.87074829931973	Average fitness:	342.2866054421772	Fitness standard deviation:	38.31979269015331	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1024	Best fitness:	185.87074829931973	Average fitness:	346.59246258503424	Fitness standard deviation:	33.909699923443135	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1040	Best fitness:	185.87074829931973	Average fitness:	342.3484625850345	Fitness standard deviation:	36.806006736922264	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1056	Best fitness:	185.87074829931973	Average fitness:	339.3033197278913	Fitness standard deviation:	38.69963349929287	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1072	Best fitness:	185.87074829931973	Average fitness:	344.4224625850344	Fitness standard deviation:	33.378468238659245	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1088	Best fitness:	185.87074829931973	Average fitness:	338.7117482993199	Fitness standard deviation:	34.87629515728353	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1104	Best fitness:	185.87074829931973	Average fitness:	343.7698911564628	Fitness standard deviation:	36.798883069784516	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1120	Best fitness:	185.87074829931973	Average fitness:	343.8367482993198	Fitness standard deviation:	34.62970087620611	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1136	Best fitness:	185.87074829931973	Average fitness:	341.24974829931966	Fitness standard deviation:	35.305210285249885	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1152	Best fitness:	185.87074829931973	Average fitness:	345.0188911564626	Fitness standard deviation:	34.51542915294905	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1168	Best fitness:	185.87074829931973	Average fitness:	340.03760544217715	Fitness standard deviation:	32.17535797368374	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1184	Best fitness:	185.87074829931973	Average fitness:	339.2317482993198	Fitness standard deviation:	34.64907622263013	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1200	Best fitness:	185.87074829931973	Average fitness:	345.65817687074866	Fitness standard deviation:	35.661783081772974	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1216	Best fitness:	185.87074829931973	Average fitness:	345.34460544217706	Fitness standard deviation:	34.36897346385522	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1232	Best fitness:	185.87074829931973	Average fitness:	343.4651768707484	Fitness standard deviation:	36.90880606139341	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1248	Best fitness:	185.87074829931973	Average fitness:	343.1510340136056	Fitness standard deviation:	37.290044454633886	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1264	Best fitness:	185.87074829931973	Average fitness:	338.97917687074846	Fitness standard deviation:	35.44856121515356	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1280	Best fitness:	185.87074829931973	Average fitness:	344.3138911564627	Fitness standard deviation:	35.205623969787	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1296	Best fitness:	185.87074829931973	Average fitness:	340.1321768707484	Fitness standard deviation:	37.62311423167673	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1312	Best fitness:	185.87074829931973	Average fitness:	340.39774829931986	Fitness standard deviation:	34.56647150972533	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1328	Best fitness:	185.87074829931973	Average fitness:	340.9396054421772	Fitness standard deviation:	33.16200742182081	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1344	Best fitness:	185.87074829931973	Average fitness:	344.0968911564628	Fitness standard deviation:	33.03408811781414	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1360	Best fitness:	185.87074829931973	Average fitness:	340.86831972789133	Fitness standard deviation:	31.273348211980036	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1376	Best fitness:	185.87074829931973	Average fitness:	346.7597482993199	Fitness standard deviation:	37.91975578771572	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1392	Best fitness:	185.87074829931973	Average fitness:	341.78403401360544	Fitness standard deviation:	35.56796843498146	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1408	Best fitness:	185.87074829931973	Average fitness:	342.6630340136055	Fitness standard deviation:	33.98353715599146	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1424	Best fitness:	185.87074829931973	Average fitness:	335.63346258503407	Fitness standard deviation:	32.68630034408412	Best genome:	A16	A11	A10	N12	A6	A14	A12	A13	A9	E3	A15	A17	N6	A8	E5	N7	N5	E4	N3	A7	N9	
Generation:	1440	Best fitness:	184.556462585034	Average fitness:	340.356605442177	Fitness standard deviation:	34.410694409957934	Best genome:	A9	E3	A15	A14	A17	A13	N12	A11	A8	N9	A16	E5	N6	N7	N5	E4	N3	A7	A6	A10	A12	
Generation:	1456	Best fitness:	184.556462585034	Average fitness:	338.5308911564627	Fitness standard deviation:	35.464548023486834	Best genome:	A9	E3	A15	A14	A17	A13	N12	A11	A8	N9	A16	E5	N6	N7	N5	E4	N3	A7	A6	A10	A12	
Generation:	1472	Best fitness:	184.556462585034	Average fitness:	336.2621768707484	Fitness standard deviation:	34.66059834381139	Best genome:	A9	E3	A15	A14	A17	A13	N12	A11	A8	N9	A16	E5	N6	N7	N5	E4	N3	A7	A6	A10	A12	
Generation:	1488	Best fitness:	184.556462585034	Average fitness:	338.43674829931996	Fitness standard deviation:	34.643803744357385	Best genome:	A9	E3	A15	A14	A17	A13	N12	A11	A8	N9	A16	E5	N6	N7	N5	E4	N3	A7	A6	A10	A12	
Generation:	1504	Best fitness:	184.556462585034	Average fitness:	338.6503197278913	Fitness standard deviation:	40.653294504898874	Best genome:	A9	E3	A15	A14	A17	A13	N12	A11	A8	N9	A16	E5	N6	N7	N5	E4	N3	A7	A6	A10	A12	
Generation:	1520	Best fitness:	184.556462585034	Average fitness:	346.34646258503415	Fitness standard deviation:	35.1569140005322	Best genome:	A9	E3	A15	A14	A17	A13	N12	A11	A8	N9	A16	E5	N6	N7	N5	E4	N3	A7	A6	A10	A12	
Generation:	1536	Best fitness:	184.556462585034	Average fitness:	346.20746258503425	Fitness standard deviation:	34.498982165109915	Best genome:	A9	E3	A15	A14	A17	A13	N12	A11	A8	N9	A16	E5	N6	N7	N5	E4	N3	A7	A6	A10	A12	
Generation:	1552	Best fitness:	184.556462585034	Average fitness:	345.18589115646273	Fitness standard deviation:	33.513617203173055	Best genome:	A9	E3	A15	A14	A17	A13	N12	A11	A8	N9	A16	E5	N6	N7	N5	E4	N3	A7	A6	A10	A12	
Generation:	1568	Best fitness:	184.556462585034	Average fitness:	344.68446258503405	Fitness standard deviation:	32.10754453395649	Best genome:	A9	E3	A15	A14	A17	A13	N12	A11	A8	N9	A16	E5	N6	N7	N5	E4	N3	A7	A6	A10	A12	
Generation:	1584	Best fitness:	184.556462585034	Average fitness:	341.6828911564625	Fitness standard deviation:	34.863575804227864	Best genome:	A9	E3	A15	A14	A17	A13	N12	A11	A8	N9	A16	E5	N6	N7	N5	E4	N3	A7	A6	A10	A12	
Generation:	1600	Best fitness:	168.556462585034	Average fitness:	338.1747482993201	Fitness standard deviation:	37.36199608354643	Best genome:	A9	E3	A15	A14	A17	A13	N12	A11	A8	N9	A16	E5	N6	N7	N5	E4	N3	A7	A10	A6	A12	
Generation:	1616	Best fitness:	168.556462585034	Average fitness:	343.2906054421772	Fitness standard deviation:	35.11080921968653	Best genome:	A9	E3	A15	A14	A17	A13	N12	A11	A8	N9	A16	E5	N6	N7	N5	E4	N3	A7	A10	A6	A12	
Generation:	1632	Best fitness:	168.556462585034	Average fitness:	343.01517687074835	Fitness standard deviation:	36.38800589536086	Best genome:	A9	E3	A15	A14	A17	A13	N12	A11	A8	N9	A16	E5	N6	N7	N5	E4	N3	A7	A10	A6	A12	
Generation:	1648	Best fitness:	168.52789115646257	Average fitness:	341.49860544217694	Fitness standard deviation:	35.35987827081043	Best genome:	A9	E3	A15	A14	A17	A13	N12	A8	N9	A16	E5	N6	N5	A11	N7	E4	N3	A7	A10	A6	A12	
Generation:	1664	Best fitness:	168.52789115646257	Average fitness:	337.11931972789154	Fitness standard deviation:	38.20046265346503	Best genome:	A9	E3	A15	A14	A17	A13	N12	A8	N9	A16	E5	N6	N5	A11	N7	E4	N3	A7	A10	A6	A12	
Generation:	1680	Best fitness:	168.52789115646257	Average fitness:	343.65003401360576	Fitness standard deviation:	35.55290027349588	Best genome:	A9	E3	A15	A14	A17	A13	N12	A8	N9	A16	E5	N6	N5	A11	N7	E4	N3	A7	A10	A6	A12	
Generation:	1696	Best fitness:	168.52789115646257	Average fitness:	341.8270340136057	Fitness standard deviation:	37.21560906997197	Best genome:	A9	E3	A15	A14	A17	A13	N12	A8	N9	A16	E5	N6	N5	A11	N7	E4	N3	A7	A10	A6	A12	
Generation:	1712	Best fitness:	168.52789115646257	Average fitness:	342.1844625850341	Fitness standard deviation:	37.47304282346151	Best genome:	A9	E3	A15	A14	A17	A13	N12	A8	N9	A16	E5	N6	N5	A11	N7	E4	N3	A7	A10	A6	A12	
Generation:	1728	Best fitness:	168.52789115646257	Average fitness:	340.8734625850343	Fitness standard deviation:	36.76835713640472	Best genome:	A9	E3	A15	A14	A17	A13	N12	A8	N9	A16	E5	N6	N5	A11	N7	E4	N3	A7	A10	A6	A12	
Generation:	1744	Best fitness:	168.52789115646257	Average fitness:	341.51317687074845	Fitness standard deviation:	33.498370472399436	Best genome:	A9	E3	A15	A14	A17	A13	N12	A8	N9	A16	E5	N6	N5	A11	N7	E4	N3	A7	A10	A6	A12	
