Generation:	16	Best fitness:	252.61360544217686	Average fitness:	337.20789115646255	Fitness standard deviation:	31.199601253338912	Best genome:	A16	A9	N6	N12	E5	A15	A11	N3	N5	E4	E3	N9	A17	A6	A12	A13	N7	A14	A7	A10	A8	
Generation:	208	Best fitness:	188.78503401360544	Average fitness:	327.82160544217686	Fitness standard deviation:	44.398677325398985	Best genome:	A9	E4	N3	A17	A15	A14	A12	N7	E3	N6	N12	A7	A6	N5	A11	A10	A8	N9	A16	E5	A13	
Generation:	224	Best fitness:	188.78503401360544	Average fitness:	319.8633197278911	Fitness standard deviation:	38.56834222996039	Best genome:	A9	E4	N3	A17	A15	A14	A12	N7	E3	N6	N12	A7	A6	N5	A11	A10	A8	N9	A16	E5	A13	
Generation:	240	Best fitness:	187.41360544217687	Average fitness:	317.26503401360543	Fitness standard deviation:	37.22440717856926	Best genome:	A9	E4	N3	A8	N9	A6	A12	A17	A14	E3	N6	N7	N5	A11	A10	N12	A15	A7	A16	E5	A13	
Generation:	256	Best fitness:	187.41360544217687	Average fitness:	325.27874829931966	Fitness standard deviation:	38.52057771410719	Best genome:	A9	E4	N3	A8	N9	A6	A12	A17	A14	E3	N6	N7	N5	A11	A10	N12	A15	A7	A16	E5	A13	
Generation:	272	Best fitness:	187.41360544217687	Average fitness:	323.0136054421768	Fitness standard deviation:	39.427194178844715	Best genome:	A9	E4	N3	A8	N9	A6	A12	A17	A14	E3	N6	N7	N5	A11	A10	N12	A15	A7	A16	E5	A13	
Generation:	288	Best fitness:	187.41360544217687	Average fitness:	325.41646258503397	Fitness standard deviation:	43.17064280271953	Best genome:	A9	E4	N3	A8	N9	A6	A12	A17	A14	E3	N6	N7	N5	A11	A10	N12	A15	A7	A16	E5	A13	
Generation:	304	Best fitness:	187.41360544217687	Average fitness:	325.14960544217683	Fitness standard deviation:	49.2614719874198	Best genome:	A9	E4	N3	A8	N9	A6	A12	A17	A14	E3	N6	N7	N5	A11	A10	N12	A15	A7	A16	E5	A13	
Generation:	320	Best fitness:	187.41360544217687	Average fitness:	328.85360544217684	Fitness standard deviation:	44.416833359823	Best genome:	A9	E4	N3	A8	N9	A6	A12	A17	A14	E3	N6	N7	N5	A11	A10	N12	A15	A7	A16	E5	A13	
Generation:	336	Best fitness:	187.41360544217687	Average fitness:	321.4667482993197	Fitness standard deviation:	40.062185136080025	Best genome:	A9	E4	N3	A8	N9	A6	A12	A17	A14	E3	N6	N7	N5	A11	A10	N12	A15	A7	A16	E5	A13	
Generation:	352	Best fitness:	187.41360544217687	Average fitness:	317.89474829931964	Fitness standard deviation:	44.6943113250034	Best genome:	A9	E4	N3	A8	N9	A6	A12	A17	A14	E3	N6	N7	N5	A11	A10	N12	A15	A7	A16	E5	A13	
Generation:	368	Best fitness:	187.41360544217687	Average fitness:	328.45417687074826	Fitness standard deviation:	38.05187869641301	Best genome:	A9	E4	N3	A8	N9	A6	A12	A17	A14	E3	N6	N7	N5	A11	A10	N12	A15	A7	A16	E5	A13	
Generation:	384	Best fitness:	187.41360544217687	Average fitness:	330.78903401360554	Fitness standard deviation:	44.460266144419926	Best genome:	A9	E4	N3	A8	N9	A6	A12	A17	A14	E3	N6	N7	N5	A11	A10	N12	A15	A7	A16	E5	A13	
Generation:	400	Best fitness:	187.41360544217687	Average fitness:	322.08674829931977	Fitness standard deviation:	46.88044896351152	Best genome:	A9	E4	N3	A8	N9	A6	A12	A17	A14	E3	N6	N7	N5	A11	A10	N12	A15	A7	A16	E5	A13	
Generation:	416	Best fitness:	187.41360544217687	Average fitness:	320.896462585034	Fitness standard deviation:	38.57246443053514	Best genome:	A9	E4	N3	A8	N9	A6	A12	A17	A14	E3	N6	N7	N5	A11	A10	N12	A15	A7	A16	E5	A13	
Generation:	432	Best fitness:	187.41360544217687	Average fitness:	326.54617687074824	Fitness standard deviation:	46.4789636893149	Best genome:	A9	E4	N3	A8	N9	A6	A12	A17	A14	E3	N6	N7	N5	A11	A10	N12	A15	A7	A16	E5	A13	
Generation:	448	Best fitness:	187.41360544217687	Average fitness:	326.1301768707483	Fitness standard deviation:	40.447503226089125	Best genome:	A9	E4	N3	A8	N9	A6	A12	A17	A14	E3	N6	N7	N5	A11	A10	N12	A15	A7	A16	E5	A13	
Generation:	464	Best fitness:	179.41360544217687	Average fitness:	323.5838911564626	Fitness standard deviation:	42.94885651847902	Best genome:	A9	E4	N3	A8	N9	A6	A12	A17	A14	E3	N6	N7	A10	N5	A11	N12	A15	A7	A16	E5	A13	
Generation:	480	Best fitness:	170.32789115646258	Average fitness:	313.3718911564626	Fitness standard deviation:	46.9043052582074	Best genome:	A13	N9	E4	N3	A9	A6	A14	A17	A12	E3	N6	N7	A10	N5	A11	N12	A15	A7	A16	E5	A8	
Generation:	496	Best fitness:	170.32789115646258	Average fitness:	320.644462585034	Fitness standard deviation:	46.650630230447675	Best genome:	A13	N9	E4	N3	A9	A6	A14	A17	A12	E3	N6	N7	A10	N5	A11	N12	A15	A7	A16	E5	A8	
Generation:	512	Best fitness:	170.32789115646258	Average fitness:	317.42274829931966	Fitness standard deviation:	39.0707617347117	Best genome:	A13	N9	E4	N3	A9	A6	A14	A17	A12	E3	N6	N7	A10	N5	A11	N12	A15	A7	A16	E5	A8	
Generation:	528	Best fitness:	167.87074829931973	Average fitness:	326.69017687074825	Fitness standard deviation:	38.72310724587466	Best genome:	E4	N3	A9	A6	A14	A17	A12	A10	E3	N6	N7	N5	A11	N12	A15	A7	A16	E5	A8	A13	N9	
Generation:	544	Best fitness:	167.87074829931973	Average fitness:	311.8438911564627	Fitness standard deviation:	42.978707366056774	Best genome:	E4	N3	A9	A6	A14	A17	A12	A10	E3	N6	N7	N5	A11	N12	A15	A7	A16	E5	A8	A13	N9	
Generation:	560	Best fitness:	167.87074829931973	Average fitness:	323.36217687074827	Fitness standard deviation:	46.13879681383739	Best genome:	E4	N3	A9	A6	A14	A17	A12	A10	E3	N6	N7	N5	A11	N12	A15	A7	A16	E5	A8	A13	N9	
Generation:	576	Best fitness:	167.32789115646258	Average fitness:	322.95646258503393	Fitness standard deviation:	44.87237885017317	Best genome:	A13	N9	A9	A6	A14	A17	A12	A10	E3	N6	N7	N5	A11	N12	A15	A7	A16	E5	A8	E4	N3	
Generation:	592	Best fitness:	167.32789115646258	Average fitness:	327.38446258503404	Fitness standard deviation:	38.539826414783356	Best genome:	A13	N9	A9	A6	A14	A17	A12	A10	E3	N6	N7	N5	A11	N12	A15	A7	A16	E5	A8	E4	N3	
Generation:	608	Best fitness:	167.32789115646258	Average fitness:	316.2907482993198	Fitness standard deviation:	45.74790808198284	Best genome:	A13	N9	A9	A6	A14	A17	A12	A10	E3	N6	N7	N5	A11	N12	A15	A7	A16	E5	A8	E4	N3	
Generation:	624	Best fitness:	167.32789115646258	Average fitness:	322.3118911564626	Fitness standard deviation:	38.80376171960441	Best genome:	A13	N9	A9	A6	A14	A17	A12	A10	E3	N6	N7	N5	A11	N12	A15	A7	A16	E5	A8	E4	N3	
Generation:	640	Best fitness:	167.32789115646258	Average fitness:	324.58274829931975	Fitness standard deviation:	43.361366738004875	Best genome:	A13	N9	A9	A6	A14	A17	A12	A10	E3	N6	N7	N5	A11	N12	A15	A7	A16	E5	A8	E4	N3	
Generation:	656	Best fitness:	167.32789115646258	Average fitness:	335.3541768707483	Fitness standard deviation:	53.773251780233714	Best genome:	A13	N9	A9	A6	A14	A17	A12	A10	E3	N6	N7	N5	A11	N12	A15	A7	A16	E5	A8	E4	N3	
Generation:	672	Best fitness:	167.32789115646258	Average fitness:	321.1770340136055	Fitness standard deviation:	46.537934332309675	Best genome:	A13	N9	A9	A6	A14	A17	A12	A10	E3	N6	N7	N5	A11	N12	A15	A7	A16	E5	A8	E4	N3	
Generation:	688	Best fitness:	167.32789115646258	Average fitness:	325.46846258503405	Fitness standard deviation:	45.24812819310421	Best genome:	A13	N9	A9	A6	A14	A17	A12	A10	E3	N6	N7	N5	A11	N12	A15	A7	A16	E5	A8	E4	N3	
Generation:	704	Best fitness:	167.32789115646258	Average fitness:	317.76103401360547	Fitness standard deviation:	50.88786242678451	Best genome:	A13	N9	A9	A6	A14	A17	A12	A10	E3	N6	N7	N5	A11	N12	A15	A7	A16	E5	A8	E4	N3	
Generation:	720	Best fitness:	167.32789115646258	Average fitness:	319.321605442177	Fitness standard deviation:	45.28589933806264	Best genome:	A13	N9	A9	A6	A14	A17	A12	A10	E3	N6	N7	N5	A11	N12	A15	A7	A16	E5	A8	E4	N3	
Generation:	736	Best fitness:	167.32789115646258	Average fitness:	327.81360544217694	Fitness standard deviation:	41.89259191244745	Best genome:	A13	N9	A9	A6	A14	A17	A12	A10	E3	N6	N7	N5	A11	N12	A15	A7	A16	E5	A8	E4	N3	
Generation:	752	Best fitness:	162.87074829931973	Average fitness:	327.65417687074836	Fitness standard deviation:	45.45914230674954	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	A8	E4	N3	A13	N9	
Generation:	768	Best fitness:	162.87074829931973	Average fitness:	326.8518911564626	Fitness standard deviation:	42.61341883510787	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	A8	E4	N3	A13	N9	
Generation:	784	Best fitness:	162.87074829931973	Average fitness:	319.62674829931973	Fitness standard deviation:	47.256628157501105	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	A8	E4	N3	A13	N9	
Generation:	800	Best fitness:	162.87074829931973	Average fitness:	316.0673197278912	Fitness standard deviation:	39.57679783686912	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	A8	E4	N3	A13	N9	
Generation:	816	Best fitness:	162.87074829931973	Average fitness:	322.39360544217686	Fitness standard deviation:	48.38333740840446	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	A8	E4	N3	A13	N9	
Generation:	832	Best fitness:	162.87074829931973	Average fitness:	323.04160544217683	Fitness standard deviation:	42.95904399422733	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	A8	E4	N3	A13	N9	
Generation:	848	Best fitness:	162.87074829931973	Average fitness:	324.9358911564626	Fitness standard deviation:	47.68115121196173	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	A8	E4	N3	A13	N9	
Generation:	864	Best fitness:	162.87074829931973	Average fitness:	320.0067482993197	Fitness standard deviation:	43.83617313850026	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	A8	E4	N3	A13	N9	
Generation:	880	Best fitness:	162.87074829931973	Average fitness:	324.29989115646254	Fitness standard deviation:	37.58939602535561	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	A8	E4	N3	A13	N9	
Generation:	896	Best fitness:	162.87074829931973	Average fitness:	325.9038911564626	Fitness standard deviation:	53.05721220397037	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	A8	E4	N3	A13	N9	
Generation:	912	Best fitness:	162.87074829931973	Average fitness:	322.3661768707483	Fitness standard deviation:	43.512800128472634	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	A8	E4	N3	A13	N9	
Generation:	928	Best fitness:	162.87074829931973	Average fitness:	327.73246258503406	Fitness standard deviation:	41.360030537232646	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	A8	E4	N3	A13	N9	
Generation:	944	Best fitness:	162.87074829931973	Average fitness:	327.10903401360554	Fitness standard deviation:	45.38830294699465	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	A8	E4	N3	A13	N9	
Generation:	960	Best fitness:	162.87074829931973	Average fitness:	328.71417687074825	Fitness standard deviation:	43.259557298158434	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	A8	E4	N3	A13	N9	
Generation:	976	Best fitness:	159.87074829931973	Average fitness:	328.7336054421769	Fitness standard deviation:	46.809796288505986	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	992	Best fitness:	159.87074829931973	Average fitness:	310.96617687074837	Fitness standard deviation:	42.241819151458074	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1008	Best fitness:	159.87074829931973	Average fitness:	329.8478911564625	Fitness standard deviation:	40.44876749465593	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1024	Best fitness:	159.87074829931973	Average fitness:	311.07874829931984	Fitness standard deviation:	40.6059479065291	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1040	Best fitness:	159.87074829931973	Average fitness:	312.7136054421768	Fitness standard deviation:	43.0859606851613	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1056	Best fitness:	159.87074829931973	Average fitness:	321.46446258503397	Fitness standard deviation:	52.130729326201006	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1072	Best fitness:	159.87074829931973	Average fitness:	319.96160544217685	Fitness standard deviation:	52.5824357079395	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1088	Best fitness:	159.87074829931973	Average fitness:	326.1690340136054	Fitness standard deviation:	48.431176722168104	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1104	Best fitness:	159.87074829931973	Average fitness:	329.53646258503403	Fitness standard deviation:	44.746242984461716	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1120	Best fitness:	159.87074829931973	Average fitness:	321.6770340136054	Fitness standard deviation:	55.32010721727328	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1136	Best fitness:	159.87074829931973	Average fitness:	335.5936054421769	Fitness standard deviation:	45.19417164879126	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1152	Best fitness:	159.87074829931973	Average fitness:	326.212462585034	Fitness standard deviation:	47.66270367009049	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1168	Best fitness:	159.87074829931973	Average fitness:	312.41817687074825	Fitness standard deviation:	38.580472742842645	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1184	Best fitness:	159.87074829931973	Average fitness:	315.90846258503404	Fitness standard deviation:	37.704137353227175	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1200	Best fitness:	159.87074829931973	Average fitness:	318.0907482993198	Fitness standard deviation:	51.94632433815599	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1216	Best fitness:	159.87074829931973	Average fitness:	321.35303401360545	Fitness standard deviation:	47.67654406048136	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1232	Best fitness:	159.87074829931973	Average fitness:	327.29589115646263	Fitness standard deviation:	48.58664287431185	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1248	Best fitness:	159.87074829931973	Average fitness:	314.80446258503406	Fitness standard deviation:	45.275516270397404	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1264	Best fitness:	159.87074829931973	Average fitness:	319.8238911564626	Fitness standard deviation:	42.06189870625802	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1280	Best fitness:	159.87074829931973	Average fitness:	323.5776054421769	Fitness standard deviation:	49.363476810041554	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1296	Best fitness:	159.87074829931973	Average fitness:	322.0130340136054	Fitness standard deviation:	39.39939023251347	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1312	Best fitness:	159.87074829931973	Average fitness:	321.48389115646256	Fitness standard deviation:	47.123749273934614	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1328	Best fitness:	159.87074829931973	Average fitness:	322.04674829931975	Fitness standard deviation:	47.8247045236613	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1344	Best fitness:	159.87074829931973	Average fitness:	311.3627482993197	Fitness standard deviation:	37.36511099506422	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1360	Best fitness:	159.87074829931973	Average fitness:	317.94446258503405	Fitness standard deviation:	48.55561560747025	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1376	Best fitness:	159.87074829931973	Average fitness:	326.372462585034	Fitness standard deviation:	44.597949677407485	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1392	Best fitness:	159.87074829931973	Average fitness:	323.79646258503396	Fitness standard deviation:	44.52387793221126	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1408	Best fitness:	159.87074829931973	Average fitness:	322.7564625850339	Fitness standard deviation:	52.21529402974041	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1424	Best fitness:	159.87074829931973	Average fitness:	321.93474829931966	Fitness standard deviation:	46.97769598784652	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1440	Best fitness:	159.87074829931973	Average fitness:	318.816462585034	Fitness standard deviation:	43.21487659572423	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1456	Best fitness:	159.87074829931973	Average fitness:	329.6347482993197	Fitness standard deviation:	43.30589998357908	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1472	Best fitness:	159.87074829931973	Average fitness:	324.2981768707483	Fitness standard deviation:	46.64103753527945	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1488	Best fitness:	159.87074829931973	Average fitness:	315.3473197278911	Fitness standard deviation:	49.1443692259067	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1504	Best fitness:	159.87074829931973	Average fitness:	317.9078911564626	Fitness standard deviation:	39.82910073433899	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1520	Best fitness:	159.87074829931973	Average fitness:	320.33189115646263	Fitness standard deviation:	44.25845170433899	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1536	Best fitness:	159.87074829931973	Average fitness:	325.87931972789113	Fitness standard deviation:	43.30328780466765	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1552	Best fitness:	159.87074829931973	Average fitness:	314.6147482993198	Fitness standard deviation:	47.71337072176574	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1568	Best fitness:	159.87074829931973	Average fitness:	312.8558911564626	Fitness standard deviation:	44.69959822309505	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1584	Best fitness:	159.87074829931973	Average fitness:	312.01017687074824	Fitness standard deviation:	49.60696055175799	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1600	Best fitness:	159.87074829931973	Average fitness:	326.61303401360544	Fitness standard deviation:	48.303268994881044	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1616	Best fitness:	159.87074829931973	Average fitness:	316.90617687074825	Fitness standard deviation:	49.97078315682197	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N12	A7	A16	E5	E4	N3	A8	A13	N9	
Generation:	1632	Best fitness:	151.87074829931973	Average fitness:	321.5073197278912	Fitness standard deviation:	46.633240326476766	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N3	E4	N12	A7	A16	E5	A8	A13	N9	
Generation:	1648	Best fitness:	151.87074829931973	Average fitness:	319.3564625850341	Fitness standard deviation:	43.303217583237675	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N3	E4	N12	A7	A16	E5	A8	A13	N9	
Generation:	1664	Best fitness:	151.87074829931973	Average fitness:	325.076462585034	Fitness standard deviation:	50.76885723852884	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N3	E4	N12	A7	A16	E5	A8	A13	N9	
Generation:	1680	Best fitness:	151.87074829931973	Average fitness:	323.7301768707482	Fitness standard deviation:	46.10591421268811	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N3	E4	N12	A7	A16	E5	A8	A13	N9	
Generation:	1696	Best fitness:	151.87074829931973	Average fitness:	313.140462585034	Fitness standard deviation:	53.11353020595389	Best genome:	A9	A6	A14	A17	A12	A10	E3	A15	N7	N6	N5	A11	N3	E4	N12	A7	A16	E5	A8	A13	N9	
Generation:	1712	Best fitness:	151.7278911564626	Average fitness:	325.67246258503394	Fitness standard deviation:	45.294233866475984	Best genome:	A15	N12	N7	A10	N6	E3	N3	E4	N5	A11	A7	A16	E5	A8	A13	N9	A9	A6	A14	A17	A12	
Generation:	1728	Best fitness:	151.7278911564626	Average fitness:	314.3947482993198	Fitness standard deviation:	49.042060618557684	Best genome:	A15	N12	N7	A10	N6	E3	N3	E4	N5	A11	A7	A16	E5	A8	A13	N9	A9	A6	A14	A17	A12	
Generation:	1744	Best fitness:	151.7278911564626	Average fitness:	326.94274829931976	Fitness standard deviation:	45.15275596352941	Best genome:	A15	N12	N7	A10	N6	E3	N3	E4	N5	A11	A7	A16	E5	A8	A13	N9	A9	A6	A14	A17	A12	
