Generation:	16	Best fitness:	239.52789115646257	Average fitness:	347.40574829931995	Fitness standard deviation:	35.89886860106783	Best genome:	N3	A14	A15	N7	E3	N6	A8	A13	N9	A9	A11	N12	N5	A10	E5	A16	A12	A6	A17	E4	A7	
Generation:	448	Best fitness:	156.87074829931973	Average fitness:	339.765605442177	Fitness standard deviation:	35.17287484086891	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	464	Best fitness:	156.87074829931973	Average fitness:	344.74203401360575	Fitness standard deviation:	39.40276608932164	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	480	Best fitness:	156.87074829931973	Average fitness:	341.58989115646284	Fitness standard deviation:	35.33896907935822	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	496	Best fitness:	156.87074829931973	Average fitness:	338.31189115646254	Fitness standard deviation:	35.161978263865805	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	512	Best fitness:	156.87074829931973	Average fitness:	338.6528911564628	Fitness standard deviation:	36.78214611682118	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	528	Best fitness:	156.87074829931973	Average fitness:	345.3687482993198	Fitness standard deviation:	35.52862502264899	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	544	Best fitness:	156.87074829931973	Average fitness:	339.9407482993199	Fitness standard deviation:	32.37488731364834	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	560	Best fitness:	156.87074829931973	Average fitness:	335.04703401360547	Fitness standard deviation:	40.03312231803326	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	576	Best fitness:	156.87074829931973	Average fitness:	338.19917687074843	Fitness standard deviation:	38.81004866694465	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	592	Best fitness:	156.87074829931973	Average fitness:	343.0637482993202	Fitness standard deviation:	40.8895988468601	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	608	Best fitness:	156.87074829931973	Average fitness:	343.9788911564626	Fitness standard deviation:	39.16391476101647	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	624	Best fitness:	156.87074829931973	Average fitness:	338.75374829931985	Fitness standard deviation:	37.764616048434995	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	640	Best fitness:	156.87074829931973	Average fitness:	339.3341768707484	Fitness standard deviation:	36.28130368694722	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	656	Best fitness:	156.87074829931973	Average fitness:	343.3240340136057	Fitness standard deviation:	38.44152884868771	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	672	Best fitness:	156.87074829931973	Average fitness:	341.30560544217695	Fitness standard deviation:	34.714823177497216	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	688	Best fitness:	156.87074829931973	Average fitness:	342.07260544217695	Fitness standard deviation:	35.96670694956544	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	704	Best fitness:	156.87074829931973	Average fitness:	343.37760544217707	Fitness standard deviation:	37.904032981265956	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	720	Best fitness:	156.87074829931973	Average fitness:	340.8621768707484	Fitness standard deviation:	36.643390695085166	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	736	Best fitness:	156.87074829931973	Average fitness:	347.6816054421771	Fitness standard deviation:	35.59243872464131	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	752	Best fitness:	156.87074829931973	Average fitness:	338.1851768707485	Fitness standard deviation:	38.87724464259266	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	768	Best fitness:	156.87074829931973	Average fitness:	344.06117687074834	Fitness standard deviation:	37.13991903516721	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	784	Best fitness:	156.87074829931973	Average fitness:	340.7064625850341	Fitness standard deviation:	36.01546263731165	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	800	Best fitness:	156.87074829931973	Average fitness:	341.8698911564628	Fitness standard deviation:	34.91823579595683	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	816	Best fitness:	156.87074829931973	Average fitness:	339.58689115646285	Fitness standard deviation:	35.27416954893973	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	832	Best fitness:	156.87074829931973	Average fitness:	342.37217687074843	Fitness standard deviation:	38.07102575503866	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	848	Best fitness:	156.87074829931973	Average fitness:	341.7831768707484	Fitness standard deviation:	35.610745348926955	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	864	Best fitness:	156.87074829931973	Average fitness:	336.0907482993197	Fitness standard deviation:	34.6057415314103	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	880	Best fitness:	156.87074829931973	Average fitness:	341.5031768707485	Fitness standard deviation:	35.980007337125315	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	896	Best fitness:	156.87074829931973	Average fitness:	342.8871768707483	Fitness standard deviation:	36.204692946171086	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	912	Best fitness:	156.87074829931973	Average fitness:	343.4533197278914	Fitness standard deviation:	35.750683371804534	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	928	Best fitness:	156.87074829931973	Average fitness:	343.02489115646284	Fitness standard deviation:	37.11117614791577	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	944	Best fitness:	156.87074829931973	Average fitness:	346.4158911564629	Fitness standard deviation:	35.41651688470929	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	960	Best fitness:	156.87074829931973	Average fitness:	343.4380340136058	Fitness standard deviation:	37.898427450817756	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	976	Best fitness:	156.87074829931973	Average fitness:	341.1384625850341	Fitness standard deviation:	35.1790491117677	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	992	Best fitness:	156.87074829931973	Average fitness:	342.2918911564627	Fitness standard deviation:	34.46246384407362	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	1008	Best fitness:	156.87074829931973	Average fitness:	339.46503401360576	Fitness standard deviation:	35.83062468484359	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	1024	Best fitness:	156.87074829931973	Average fitness:	337.42803401360567	Fitness standard deviation:	37.511111387569045	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	1040	Best fitness:	156.87074829931973	Average fitness:	336.5820340136056	Fitness standard deviation:	38.01007604301678	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	1056	Best fitness:	156.87074829931973	Average fitness:	335.41489115646283	Fitness standard deviation:	35.62013272700982	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	1072	Best fitness:	156.87074829931973	Average fitness:	339.1794625850341	Fitness standard deviation:	34.305697949704026	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	1088	Best fitness:	156.87074829931973	Average fitness:	346.0744625850343	Fitness standard deviation:	34.50929485083751	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	1104	Best fitness:	156.87074829931973	Average fitness:	343.375462585034	Fitness standard deviation:	38.816926171031945	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	1120	Best fitness:	156.87074829931973	Average fitness:	340.20374829931984	Fitness standard deviation:	36.8437337288396	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	1136	Best fitness:	156.87074829931973	Average fitness:	340.26603401360575	Fitness standard deviation:	38.31867022718288	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	1152	Best fitness:	156.87074829931973	Average fitness:	342.20817687074845	Fitness standard deviation:	37.69687892564441	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	1168	Best fitness:	156.87074829931973	Average fitness:	338.9383197278912	Fitness standard deviation:	36.353733006251176	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	1184	Best fitness:	156.87074829931973	Average fitness:	342.99189115646254	Fitness standard deviation:	34.43030940960037	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	1200	Best fitness:	156.87074829931973	Average fitness:	344.80531972789134	Fitness standard deviation:	36.37231696704267	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	1216	Best fitness:	156.87074829931973	Average fitness:	343.666605442177	Fitness standard deviation:	32.57976765398664	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	1232	Best fitness:	156.87074829931973	Average fitness:	341.2271768707485	Fitness standard deviation:	39.01065421582852	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	A9	N3	A7	N7	A11	N12	A8	A13	N9	
Generation:	1248	Best fitness:	147.87074829931973	Average fitness:	342.7323197278914	Fitness standard deviation:	33.875027717136035	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1264	Best fitness:	147.87074829931973	Average fitness:	343.9681768707484	Fitness standard deviation:	37.7739123010923	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1280	Best fitness:	147.87074829931973	Average fitness:	343.7764625850339	Fitness standard deviation:	40.08968272791005	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1296	Best fitness:	147.87074829931973	Average fitness:	339.74274829931977	Fitness standard deviation:	35.54846923539172	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1312	Best fitness:	147.87074829931973	Average fitness:	341.05860544217677	Fitness standard deviation:	36.377380439677914	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1328	Best fitness:	147.87074829931973	Average fitness:	339.7337482993199	Fitness standard deviation:	35.69309054470701	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1344	Best fitness:	147.87074829931973	Average fitness:	339.6308911564629	Fitness standard deviation:	35.85246320032436	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1360	Best fitness:	147.87074829931973	Average fitness:	341.7574625850341	Fitness standard deviation:	40.02402160106415	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1376	Best fitness:	147.87074829931973	Average fitness:	343.6261768707487	Fitness standard deviation:	40.67860347571796	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1392	Best fitness:	147.87074829931973	Average fitness:	345.0790340136058	Fitness standard deviation:	38.84263579929579	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1408	Best fitness:	147.87074829931973	Average fitness:	341.14260544217694	Fitness standard deviation:	37.55755811078375	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1424	Best fitness:	147.87074829931973	Average fitness:	340.4850340136057	Fitness standard deviation:	40.15896860209029	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1440	Best fitness:	147.87074829931973	Average fitness:	343.1813197278913	Fitness standard deviation:	32.90581281196875	Best genome:	E4	N5	N6	A6	A12	A17	A16	E5	A15	A14	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1456	Best fitness:	142.87074829931973	Average fitness:	340.79574829932005	Fitness standard deviation:	37.316467606029335	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1472	Best fitness:	142.87074829931973	Average fitness:	340.54760544217703	Fitness standard deviation:	35.45404342272413	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1488	Best fitness:	142.87074829931973	Average fitness:	342.07417687074843	Fitness standard deviation:	40.44953838539862	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1504	Best fitness:	142.87074829931973	Average fitness:	343.67703401360575	Fitness standard deviation:	34.45763766050796	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1520	Best fitness:	142.87074829931973	Average fitness:	344.28160544217724	Fitness standard deviation:	35.5417505064287	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1536	Best fitness:	142.87074829931973	Average fitness:	339.1931768707486	Fitness standard deviation:	39.31900214415729	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1552	Best fitness:	142.87074829931973	Average fitness:	340.9150340136057	Fitness standard deviation:	35.757960352506515	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N7	N12	A7	A9	N3	A11	A8	A13	N9	
Generation:	1568	Best fitness:	139.87074829931973	Average fitness:	338.7321768707487	Fitness standard deviation:	37.90846545379045	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N12	N7	A7	A9	N3	A11	A8	A13	N9	
Generation:	1584	Best fitness:	139.87074829931973	Average fitness:	340.9443197278911	Fitness standard deviation:	37.450655582665426	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N12	N7	A7	A9	N3	A11	A8	A13	N9	
Generation:	1600	Best fitness:	139.87074829931973	Average fitness:	342.2911768707483	Fitness standard deviation:	39.32659954347771	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N12	N7	A7	A9	N3	A11	A8	A13	N9	
Generation:	1616	Best fitness:	139.87074829931973	Average fitness:	339.41731972789125	Fitness standard deviation:	34.752137424794995	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N12	N7	A7	A9	N3	A11	A8	A13	N9	
Generation:	1632	Best fitness:	139.87074829931973	Average fitness:	344.8238911564627	Fitness standard deviation:	34.42939643824795	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N12	N7	A7	A9	N3	A11	A8	A13	N9	
Generation:	1648	Best fitness:	139.87074829931973	Average fitness:	344.43417687074856	Fitness standard deviation:	40.18197038677006	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N12	N7	A7	A9	N3	A11	A8	A13	N9	
Generation:	1664	Best fitness:	139.87074829931973	Average fitness:	342.59603401360545	Fitness standard deviation:	38.1552831206952	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N12	N7	A7	A9	N3	A11	A8	A13	N9	
Generation:	1680	Best fitness:	139.87074829931973	Average fitness:	339.89160544217685	Fitness standard deviation:	38.537816541095076	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N12	N7	A7	A9	N3	A11	A8	A13	N9	
Generation:	1696	Best fitness:	139.87074829931973	Average fitness:	341.0770340136055	Fitness standard deviation:	39.599841801374374	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N12	N7	A7	A9	N3	A11	A8	A13	N9	
Generation:	1712	Best fitness:	139.87074829931973	Average fitness:	341.07746258503414	Fitness standard deviation:	37.222501311679196	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N12	N7	A7	A9	N3	A11	A8	A13	N9	
Generation:	1728	Best fitness:	139.87074829931973	Average fitness:	343.5401768707483	Fitness standard deviation:	41.028346349362714	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N12	N7	A7	A9	N3	A11	A8	A13	N9	
Generation:	1744	Best fitness:	139.87074829931973	Average fitness:	337.70189115646264	Fitness standard deviation:	35.80972199425908	Best genome:	E4	N5	N6	A6	A12	A16	E5	A15	A14	A17	A10	E3	N12	N7	A7	A9	N3	A11	A8	A13	N9	
