Generation:	16	Best fitness:	226.29931972789115	Average fitness:	325.98503401360546	Fitness standard deviation:	33.8860110803673	Best genome:	N9	A12	N3	N5	A11	N12	A6	A14	N6	E5	N7	A10	A8	A9	E4	A17	A7	A13	A16	E3	A15	
Generation:	752	Best fitness:	130.87074829931973	Average fitness:	317.5056054421769	Fitness standard deviation:	43.04915511840114	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	768	Best fitness:	130.87074829931973	Average fitness:	327.3038911564626	Fitness standard deviation:	45.45769214357905	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	784	Best fitness:	130.87074829931973	Average fitness:	320.46560544217687	Fitness standard deviation:	49.324489819966715	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	800	Best fitness:	130.87074829931973	Average fitness:	319.0250340136055	Fitness standard deviation:	47.206630803698914	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	816	Best fitness:	130.87074829931973	Average fitness:	318.9598911564626	Fitness standard deviation:	44.754504099861165	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	832	Best fitness:	130.87074829931973	Average fitness:	322.9016054421768	Fitness standard deviation:	44.03999475059747	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	848	Best fitness:	130.87074829931973	Average fitness:	319.09474829931963	Fitness standard deviation:	53.773111362768034	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	864	Best fitness:	130.87074829931973	Average fitness:	324.13017687074824	Fitness standard deviation:	48.69496955622452	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	880	Best fitness:	130.87074829931973	Average fitness:	323.08331972789114	Fitness standard deviation:	56.05053992275768	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	896	Best fitness:	130.87074829931973	Average fitness:	315.61360544217695	Fitness standard deviation:	48.582407834733836	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	912	Best fitness:	130.87074829931973	Average fitness:	321.4107482993198	Fitness standard deviation:	47.959001283196386	Best genome:	A13	E4	N3	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	928	Best fitness:	125.87074829931973	Average fitness:	315.96103401360546	Fitness standard deviation:	50.471439281871824	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	944	Best fitness:	125.87074829931973	Average fitness:	328.40903401360544	Fitness standard deviation:	52.43672785444981	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	960	Best fitness:	125.87074829931973	Average fitness:	317.64160544217685	Fitness standard deviation:	55.26513385563843	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	976	Best fitness:	125.87074829931973	Average fitness:	324.812462585034	Fitness standard deviation:	43.49939524233618	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	992	Best fitness:	125.87074829931973	Average fitness:	325.552462585034	Fitness standard deviation:	49.05055651268476	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1008	Best fitness:	125.87074829931973	Average fitness:	315.8330340136055	Fitness standard deviation:	53.60939924898184	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1024	Best fitness:	125.87074829931973	Average fitness:	319.42389115646273	Fitness standard deviation:	45.634032327299096	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1040	Best fitness:	125.87074829931973	Average fitness:	313.30160544217694	Fitness standard deviation:	56.10074752021163	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1056	Best fitness:	125.87074829931973	Average fitness:	312.4650340136055	Fitness standard deviation:	49.84487872082624	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1072	Best fitness:	125.87074829931973	Average fitness:	305.4221768707483	Fitness standard deviation:	42.32404141422051	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1088	Best fitness:	125.87074829931973	Average fitness:	318.9827482993197	Fitness standard deviation:	42.86320827174441	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1104	Best fitness:	125.87074829931973	Average fitness:	310.700462585034	Fitness standard deviation:	44.360270130386	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1120	Best fitness:	125.87074829931973	Average fitness:	316.71074829931973	Fitness standard deviation:	53.05235765789515	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1136	Best fitness:	125.87074829931973	Average fitness:	324.79760544217686	Fitness standard deviation:	51.44478701819009	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1152	Best fitness:	125.87074829931973	Average fitness:	320.3747482993197	Fitness standard deviation:	49.660289152338585	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1168	Best fitness:	125.87074829931973	Average fitness:	320.4307482993196	Fitness standard deviation:	51.7740100270948	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1184	Best fitness:	125.87074829931973	Average fitness:	309.49989115646264	Fitness standard deviation:	54.41219865929675	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1200	Best fitness:	125.87074829931973	Average fitness:	309.5358911564626	Fitness standard deviation:	46.75619405959787	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1216	Best fitness:	125.87074829931973	Average fitness:	317.49017687074826	Fitness standard deviation:	53.63771029217927	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1232	Best fitness:	125.87074829931973	Average fitness:	310.26617687074827	Fitness standard deviation:	58.70271178522143	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1248	Best fitness:	125.87074829931973	Average fitness:	323.22617687074836	Fitness standard deviation:	45.66379538875544	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1264	Best fitness:	125.87074829931973	Average fitness:	312.92789115646264	Fitness standard deviation:	54.5229148606158	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1280	Best fitness:	125.87074829931973	Average fitness:	322.4056054421768	Fitness standard deviation:	45.32247666557997	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1296	Best fitness:	125.87074829931973	Average fitness:	324.7936054421769	Fitness standard deviation:	57.04445191144842	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1312	Best fitness:	125.87074829931973	Average fitness:	314.42046258503404	Fitness standard deviation:	50.15105006245978	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1328	Best fitness:	125.87074829931973	Average fitness:	322.66446258503396	Fitness standard deviation:	43.636323865442606	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1344	Best fitness:	125.87074829931973	Average fitness:	312.18389115646255	Fitness standard deviation:	48.30269387341219	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1360	Best fitness:	125.87074829931973	Average fitness:	313.69189115646265	Fitness standard deviation:	47.654903959056924	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1376	Best fitness:	125.87074829931973	Average fitness:	315.12960544217674	Fitness standard deviation:	49.96535727555112	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1392	Best fitness:	125.87074829931973	Average fitness:	316.2530340136053	Fitness standard deviation:	49.58679379489203	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1408	Best fitness:	125.87074829931973	Average fitness:	316.4187482993197	Fitness standard deviation:	49.94587002680696	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1424	Best fitness:	125.87074829931973	Average fitness:	320.235319727891	Fitness standard deviation:	45.58813900880046	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1440	Best fitness:	125.87074829931973	Average fitness:	307.34217687074835	Fitness standard deviation:	44.03785801756836	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1456	Best fitness:	125.87074829931973	Average fitness:	322.2296054421768	Fitness standard deviation:	53.48570700854651	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1472	Best fitness:	125.87074829931973	Average fitness:	326.63589115646255	Fitness standard deviation:	48.772373675669954	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1488	Best fitness:	125.87074829931973	Average fitness:	321.93474829931966	Fitness standard deviation:	49.14307161414993	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1504	Best fitness:	125.87074829931973	Average fitness:	302.55360544217694	Fitness standard deviation:	54.35224021442475	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1520	Best fitness:	125.87074829931973	Average fitness:	318.06903401360546	Fitness standard deviation:	46.67475073575539	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1536	Best fitness:	125.87074829931973	Average fitness:	314.4347482993198	Fitness standard deviation:	46.811076592566224	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1552	Best fitness:	125.87074829931973	Average fitness:	328.3256054421769	Fitness standard deviation:	46.81182437053654	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1568	Best fitness:	125.87074829931973	Average fitness:	319.86503401360545	Fitness standard deviation:	47.541958095895005	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1584	Best fitness:	125.87074829931973	Average fitness:	315.2644625850341	Fitness standard deviation:	51.86091581394629	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1600	Best fitness:	125.87074829931973	Average fitness:	313.38674829931983	Fitness standard deviation:	48.207428137927764	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1616	Best fitness:	125.87074829931973	Average fitness:	323.96446258503397	Fitness standard deviation:	49.91614684239797	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1632	Best fitness:	125.87074829931973	Average fitness:	319.0741768707482	Fitness standard deviation:	50.89846752514424	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1648	Best fitness:	125.87074829931973	Average fitness:	324.93074829931976	Fitness standard deviation:	45.18932048298896	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1664	Best fitness:	125.87074829931973	Average fitness:	329.9661768707483	Fitness standard deviation:	53.650549605568735	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1680	Best fitness:	125.87074829931973	Average fitness:	314.69531972789116	Fitness standard deviation:	50.4033037498333	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1696	Best fitness:	125.87074829931973	Average fitness:	322.15874829931977	Fitness standard deviation:	49.15541761077609	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1712	Best fitness:	125.87074829931973	Average fitness:	318.98046258503393	Fitness standard deviation:	46.71644778220787	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1728	Best fitness:	125.87074829931973	Average fitness:	328.0198911564626	Fitness standard deviation:	52.90423671626511	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
Generation:	1744	Best fitness:	125.87074829931973	Average fitness:	327.20103401360535	Fitness standard deviation:	53.34928973687065	Best genome:	A13	N3	E4	N5	A11	N6	N7	A10	A8	A9	A7	A14	A17	A16	E5	N12	E3	A15	A6	A12	N9	
