Generation:	16	Best fitness:	253.4421768707483	Average fitness:	327.5350340136054	Fitness standard deviation:	38.30633653023148	Best genome:	A16	N3	E3	N12	A8	N9	E4	A7	A14	A6	N7	N5	A17	A10	E5	A13	A9	A15	A11	N6	A12	
Generation:	352	Best fitness:	154.81360544217688	Average fitness:	277.6278911564626	Fitness standard deviation:	47.94739506873706	Best genome:	A9	N3	E4	N6	A11	E3	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	368	Best fitness:	154.81360544217688	Average fitness:	275.58646258503404	Fitness standard deviation:	49.894065309024725	Best genome:	A9	N3	E4	N6	A11	E3	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	384	Best fitness:	154.81360544217688	Average fitness:	257.4993197278912	Fitness standard deviation:	51.486568091858196	Best genome:	A9	N3	E4	N6	A11	E3	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	400	Best fitness:	154.81360544217688	Average fitness:	272.9621768707483	Fitness standard deviation:	45.95700528422057	Best genome:	A9	N3	E4	N6	A11	E3	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	416	Best fitness:	154.81360544217688	Average fitness:	288.73789115646264	Fitness standard deviation:	50.87040218405342	Best genome:	A9	N3	E4	N6	A11	E3	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	432	Best fitness:	154.81360544217688	Average fitness:	290.16217687074834	Fitness standard deviation:	54.22259006603601	Best genome:	A9	N3	E4	N6	A11	E3	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	448	Best fitness:	154.81360544217688	Average fitness:	274.6621768707482	Fitness standard deviation:	49.67011017601993	Best genome:	A9	N3	E4	N6	A11	E3	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	464	Best fitness:	143.81360544217688	Average fitness:	268.69074829931964	Fitness standard deviation:	53.46287905392576	Best genome:	A9	N3	E4	A11	N6	E3	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	480	Best fitness:	143.81360544217688	Average fitness:	280.5807482993197	Fitness standard deviation:	56.61167203151732	Best genome:	A9	N3	E4	A11	N6	E3	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	496	Best fitness:	143.81360544217688	Average fitness:	265.80217687074827	Fitness standard deviation:	56.6668044496124	Best genome:	A9	N3	E4	A11	N6	E3	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	512	Best fitness:	143.81360544217688	Average fitness:	269.2621768707483	Fitness standard deviation:	54.774659789925124	Best genome:	A9	N3	E4	A11	N6	E3	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	528	Best fitness:	143.81360544217688	Average fitness:	262.04646258503396	Fitness standard deviation:	38.96614886209384	Best genome:	A9	N3	E4	A11	N6	E3	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	544	Best fitness:	143.81360544217688	Average fitness:	260.686462585034	Fitness standard deviation:	48.110941073942925	Best genome:	A9	N3	E4	A11	N6	E3	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	560	Best fitness:	143.81360544217688	Average fitness:	284.6236054421768	Fitness standard deviation:	68.68925191448389	Best genome:	A9	N3	E4	A11	N6	E3	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	576	Best fitness:	140.81360544217688	Average fitness:	277.59360544217685	Fitness standard deviation:	59.237392424249144	Best genome:	A9	N3	E4	A11	E3	N6	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	592	Best fitness:	140.81360544217688	Average fitness:	278.6050340136054	Fitness standard deviation:	51.97258311762431	Best genome:	A9	N3	E4	A11	E3	N6	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	608	Best fitness:	140.81360544217688	Average fitness:	268.67360544217684	Fitness standard deviation:	53.80634049580979	Best genome:	A9	N3	E4	A11	E3	N6	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	624	Best fitness:	140.81360544217688	Average fitness:	272.86646258503407	Fitness standard deviation:	62.219403939049535	Best genome:	A9	N3	E4	A11	E3	N6	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	640	Best fitness:	140.81360544217688	Average fitness:	271.1521768707483	Fitness standard deviation:	56.1218559593901	Best genome:	A9	N3	E4	A11	E3	N6	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	656	Best fitness:	140.81360544217688	Average fitness:	293.49931972789113	Fitness standard deviation:	54.079167213730386	Best genome:	A9	N3	E4	A11	E3	N6	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	672	Best fitness:	140.81360544217688	Average fitness:	275.27217687074824	Fitness standard deviation:	57.619093685538445	Best genome:	A9	N3	E4	A11	E3	N6	A10	A15	A17	N5	A7	A14	A6	N7	N12	E5	A8	A13	N9	A12	A16	
Generation:	688	Best fitness:	140.67074829931974	Average fitness:	274.3107482993197	Fitness standard deviation:	50.61866752533907	Best genome:	A9	N3	E4	A11	E3	N6	A10	A15	N7	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	704	Best fitness:	140.67074829931974	Average fitness:	272.45074829931974	Fitness standard deviation:	50.55338507812451	Best genome:	A9	N3	E4	A11	E3	N6	A10	A15	N7	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	720	Best fitness:	140.67074829931974	Average fitness:	265.85503401360546	Fitness standard deviation:	52.2585202310082	Best genome:	A9	N3	E4	A11	E3	N6	A10	A15	N7	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	736	Best fitness:	140.67074829931974	Average fitness:	267.51931972789123	Fitness standard deviation:	42.1885390181954	Best genome:	A9	N3	E4	A11	E3	N6	A10	A15	N7	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	752	Best fitness:	140.67074829931974	Average fitness:	263.566462585034	Fitness standard deviation:	49.88781232292459	Best genome:	A9	N3	E4	A11	E3	N6	A10	A15	N7	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	768	Best fitness:	140.67074829931974	Average fitness:	266.54789115646264	Fitness standard deviation:	51.16220152911837	Best genome:	A9	N3	E4	A11	E3	N6	A10	A15	N7	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	784	Best fitness:	140.67074829931974	Average fitness:	271.7750340136055	Fitness standard deviation:	61.764996543019286	Best genome:	A9	N3	E4	A11	E3	N6	A10	A15	N7	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	800	Best fitness:	140.67074829931974	Average fitness:	279.21931972789116	Fitness standard deviation:	49.96809970126042	Best genome:	A9	N3	E4	A11	E3	N6	A10	A15	N7	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	816	Best fitness:	132.67074829931974	Average fitness:	270.6793197278911	Fitness standard deviation:	56.050818851088614	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	832	Best fitness:	132.67074829931974	Average fitness:	250.0121768707483	Fitness standard deviation:	59.596307566074955	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	848	Best fitness:	132.67074829931974	Average fitness:	276.70646258503405	Fitness standard deviation:	44.42885886448132	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	864	Best fitness:	132.67074829931974	Average fitness:	263.576462585034	Fitness standard deviation:	49.32169460981317	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	880	Best fitness:	132.67074829931974	Average fitness:	255.08789115646263	Fitness standard deviation:	42.012515530785464	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	896	Best fitness:	132.67074829931974	Average fitness:	277.6321768707483	Fitness standard deviation:	66.80382750552361	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	912	Best fitness:	132.67074829931974	Average fitness:	264.1093197278912	Fitness standard deviation:	48.009788351449956	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	928	Best fitness:	132.67074829931974	Average fitness:	263.70789115646255	Fitness standard deviation:	48.75746900397384	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	944	Best fitness:	132.67074829931974	Average fitness:	272.0150340136055	Fitness standard deviation:	50.48258901718047	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	960	Best fitness:	132.67074829931974	Average fitness:	285.48503401360546	Fitness standard deviation:	65.34267755612775	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	976	Best fitness:	132.67074829931974	Average fitness:	258.2378911564626	Fitness standard deviation:	55.26548930538175	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	992	Best fitness:	132.67074829931974	Average fitness:	273.31646258503395	Fitness standard deviation:	54.56460495857835	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	1008	Best fitness:	132.67074829931974	Average fitness:	284.07217687074825	Fitness standard deviation:	59.93501479068127	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	1024	Best fitness:	132.67074829931974	Average fitness:	272.4178911564626	Fitness standard deviation:	54.61532510875215	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	1040	Best fitness:	132.67074829931974	Average fitness:	277.99074829931976	Fitness standard deviation:	47.961881633187815	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	1056	Best fitness:	132.67074829931974	Average fitness:	262.72789115646253	Fitness standard deviation:	55.36389967980129	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	1072	Best fitness:	132.67074829931974	Average fitness:	277.74931972789113	Fitness standard deviation:	57.499142762021656	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	1088	Best fitness:	132.67074829931974	Average fitness:	275.2750340136054	Fitness standard deviation:	58.15751817614093	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	1104	Best fitness:	132.67074829931974	Average fitness:	267.0193197278911	Fitness standard deviation:	56.720941387081496	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	1120	Best fitness:	132.67074829931974	Average fitness:	275.53789115646254	Fitness standard deviation:	50.90641535690562	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	1136	Best fitness:	132.67074829931974	Average fitness:	270.3336054421768	Fitness standard deviation:	64.15601048719171	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	1152	Best fitness:	132.67074829931974	Average fitness:	265.30217687074827	Fitness standard deviation:	47.24042017128111	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	1168	Best fitness:	132.67074829931974	Average fitness:	278.98360544217684	Fitness standard deviation:	54.83312604844719	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	1184	Best fitness:	132.67074829931974	Average fitness:	268.9136054421769	Fitness standard deviation:	54.680097860563635	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	1200	Best fitness:	132.67074829931974	Average fitness:	285.7150340136055	Fitness standard deviation:	48.517105315169665	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	1216	Best fitness:	132.67074829931974	Average fitness:	276.5593197278912	Fitness standard deviation:	52.744812608851475	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	A17	N5	A7	A14	A6	A12	A16	
Generation:	1232	Best fitness:	128.67074829931974	Average fitness:	255.126462585034	Fitness standard deviation:	46.187406601490714	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1248	Best fitness:	128.67074829931974	Average fitness:	264.2750340136055	Fitness standard deviation:	57.41966261745222	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1264	Best fitness:	128.67074829931974	Average fitness:	274.2750340136055	Fitness standard deviation:	47.89774846653302	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1280	Best fitness:	128.67074829931974	Average fitness:	261.9836054421768	Fitness standard deviation:	60.85630950133641	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1296	Best fitness:	128.67074829931974	Average fitness:	268.8278911564625	Fitness standard deviation:	59.79097433764478	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1312	Best fitness:	128.67074829931974	Average fitness:	255.8350340136054	Fitness standard deviation:	50.766692338780636	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1328	Best fitness:	128.67074829931974	Average fitness:	279.51074829931974	Fitness standard deviation:	61.052600539641716	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1344	Best fitness:	128.67074829931974	Average fitness:	278.956462585034	Fitness standard deviation:	52.002861773685694	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1360	Best fitness:	128.67074829931974	Average fitness:	271.97503401360547	Fitness standard deviation:	63.73951087778111	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1376	Best fitness:	128.67074829931974	Average fitness:	265.58217687074824	Fitness standard deviation:	55.34185403619277	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1392	Best fitness:	128.67074829931974	Average fitness:	257.5236054421769	Fitness standard deviation:	51.33650749749943	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1408	Best fitness:	128.67074829931974	Average fitness:	282.1678911564626	Fitness standard deviation:	46.07171641106097	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1424	Best fitness:	128.67074829931974	Average fitness:	254.67646258503402	Fitness standard deviation:	45.6760202347993	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1440	Best fitness:	128.67074829931974	Average fitness:	280.5593197278912	Fitness standard deviation:	44.981741329802084	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1456	Best fitness:	128.67074829931974	Average fitness:	269.7278911564626	Fitness standard deviation:	65.52001096409168	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1472	Best fitness:	128.67074829931974	Average fitness:	266.51217687074825	Fitness standard deviation:	53.811448197784614	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1488	Best fitness:	128.67074829931974	Average fitness:	284.0578911564625	Fitness standard deviation:	53.4942975980637	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1504	Best fitness:	128.67074829931974	Average fitness:	264.55217687074827	Fitness standard deviation:	46.80001768271077	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1520	Best fitness:	128.67074829931974	Average fitness:	272.0878911564626	Fitness standard deviation:	59.3433712062472	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1536	Best fitness:	128.67074829931974	Average fitness:	272.51074829931974	Fitness standard deviation:	66.34452895641795	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1552	Best fitness:	128.67074829931974	Average fitness:	285.796462585034	Fitness standard deviation:	53.17437037996898	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1568	Best fitness:	128.67074829931974	Average fitness:	262.9193197278912	Fitness standard deviation:	52.42004843140666	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1584	Best fitness:	128.67074829931974	Average fitness:	271.30217687074827	Fitness standard deviation:	60.457909055366265	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1600	Best fitness:	128.67074829931974	Average fitness:	262.4921768707483	Fitness standard deviation:	71.40265922847662	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1616	Best fitness:	128.67074829931974	Average fitness:	259.45646258503405	Fitness standard deviation:	51.911457977866064	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1632	Best fitness:	128.67074829931974	Average fitness:	265.41931972789115	Fitness standard deviation:	53.718515486957095	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1648	Best fitness:	128.67074829931974	Average fitness:	299.81789115646257	Fitness standard deviation:	59.38823375184066	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1664	Best fitness:	128.67074829931974	Average fitness:	265.82503401360543	Fitness standard deviation:	66.20378088962619	Best genome:	A9	N3	E4	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N5	A7	A14	A17	A6	A12	A16	
Generation:	1680	Best fitness:	128.61360544217686	Average fitness:	272.3907482993197	Fitness standard deviation:	61.6845560666757	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	
Generation:	1696	Best fitness:	128.61360544217686	Average fitness:	272.6393197278911	Fitness standard deviation:	50.920694562170674	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	
Generation:	1712	Best fitness:	128.61360544217686	Average fitness:	279.42503401360545	Fitness standard deviation:	51.25261279551851	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	
Generation:	1728	Best fitness:	128.61360544217686	Average fitness:	262.4650340136054	Fitness standard deviation:	68.57820359387716	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	
Generation:	1744	Best fitness:	128.61360544217686	Average fitness:	270.8336054421769	Fitness standard deviation:	55.766647262846774	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	E5	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	
