Generation:	16	Best fitness:	219.6421768707483	Average fitness:	331.52960544217683	Fitness standard deviation:	36.26899070634779	Best genome:	E5	N6	A17	A15	N7	A6	A12	A14	A16	A13	A9	A7	N9	E3	A10	E4	N3	A11	N12	N5	A8	
Generation:	192	Best fitness:	191.8421768707483	Average fitness:	329.17703401360546	Fitness standard deviation:	45.434238654592306	Best genome:	E5	A15	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	E3	E4	N3	A11	N12	N5	A17	N9	A8	
Generation:	208	Best fitness:	177.8421768707483	Average fitness:	316.2056054421769	Fitness standard deviation:	37.651553472030116	Best genome:	E5	A15	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A17	N9	A8	
Generation:	224	Best fitness:	177.8421768707483	Average fitness:	316.13760544217695	Fitness standard deviation:	42.87458753915962	Best genome:	E5	A15	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A17	N9	A8	
Generation:	240	Best fitness:	177.8421768707483	Average fitness:	325.8193197278912	Fitness standard deviation:	44.61391491543454	Best genome:	E5	A15	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A17	N9	A8	
Generation:	256	Best fitness:	177.8421768707483	Average fitness:	320.44446258503393	Fitness standard deviation:	43.625541606836194	Best genome:	E5	A15	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A17	N9	A8	
Generation:	272	Best fitness:	177.29931972789115	Average fitness:	327.8970340136055	Fitness standard deviation:	50.22736577132561	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A8	E5	A15	
Generation:	288	Best fitness:	177.29931972789115	Average fitness:	324.22617687074836	Fitness standard deviation:	44.3181168685619	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A8	E5	A15	
Generation:	304	Best fitness:	177.29931972789115	Average fitness:	323.26103401360547	Fitness standard deviation:	47.94761413825531	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A8	E5	A15	
Generation:	320	Best fitness:	177.29931972789115	Average fitness:	333.2673197278911	Fitness standard deviation:	47.49932747622726	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A8	E5	A15	
Generation:	336	Best fitness:	177.29931972789115	Average fitness:	322.0930340136054	Fitness standard deviation:	47.93016528412212	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A8	E5	A15	
Generation:	352	Best fitness:	177.29931972789115	Average fitness:	311.89474829931976	Fitness standard deviation:	42.859998899121	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A8	E5	A15	
Generation:	368	Best fitness:	177.29931972789115	Average fitness:	324.0901768707483	Fitness standard deviation:	49.5713065259922	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A8	E5	A15	
Generation:	384	Best fitness:	177.29931972789115	Average fitness:	313.83303401360547	Fitness standard deviation:	45.925962935034946	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A8	E5	A15	
Generation:	400	Best fitness:	177.29931972789115	Average fitness:	325.60674829931975	Fitness standard deviation:	45.60788065092904	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A8	E5	A15	
Generation:	416	Best fitness:	169.29931972789115	Average fitness:	315.9347482993197	Fitness standard deviation:	48.08765552825467	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	432	Best fitness:	169.29931972789115	Average fitness:	322.52846258503405	Fitness standard deviation:	44.95670969513055	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	448	Best fitness:	169.29931972789115	Average fitness:	321.06160544217704	Fitness standard deviation:	42.77617282209949	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	464	Best fitness:	169.29931972789115	Average fitness:	320.81589115646256	Fitness standard deviation:	49.91354937391291	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	480	Best fitness:	169.29931972789115	Average fitness:	315.1816054421768	Fitness standard deviation:	45.728686888772884	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	496	Best fitness:	169.29931972789115	Average fitness:	322.50617687074845	Fitness standard deviation:	43.426250148489494	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	512	Best fitness:	169.29931972789115	Average fitness:	321.645605442177	Fitness standard deviation:	35.62348028237235	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	528	Best fitness:	169.29931972789115	Average fitness:	321.3604625850341	Fitness standard deviation:	45.83195890936136	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	544	Best fitness:	169.29931972789115	Average fitness:	320.2021768707483	Fitness standard deviation:	39.828803032735095	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	560	Best fitness:	169.29931972789115	Average fitness:	328.22046258503406	Fitness standard deviation:	41.567646194154996	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	576	Best fitness:	169.29931972789115	Average fitness:	314.85531972789124	Fitness standard deviation:	43.61213020175343	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	592	Best fitness:	169.29931972789115	Average fitness:	318.34217687074835	Fitness standard deviation:	43.42347611086681	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	608	Best fitness:	169.29931972789115	Average fitness:	319.9456054421769	Fitness standard deviation:	42.20191151101658	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	624	Best fitness:	169.29931972789115	Average fitness:	319.86789115646263	Fitness standard deviation:	41.957350259714055	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	640	Best fitness:	169.29931972789115	Average fitness:	316.70674829931977	Fitness standard deviation:	43.97709415277968	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	656	Best fitness:	169.29931972789115	Average fitness:	317.27017687074846	Fitness standard deviation:	47.1672233100011	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	672	Best fitness:	169.29931972789115	Average fitness:	326.9416054421769	Fitness standard deviation:	46.04744110508781	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	688	Best fitness:	169.29931972789115	Average fitness:	321.0376054421769	Fitness standard deviation:	41.61757492174847	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	704	Best fitness:	169.29931972789115	Average fitness:	318.2176054421769	Fitness standard deviation:	40.16418102067095	Best genome:	N9	A17	N6	N7	A6	A12	A14	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	720	Best fitness:	160.29931972789115	Average fitness:	324.10846258503403	Fitness standard deviation:	52.67117848443089	Best genome:	N9	A17	N6	N7	A6	A14	A12	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	736	Best fitness:	160.29931972789115	Average fitness:	323.772462585034	Fitness standard deviation:	51.75523592875234	Best genome:	N9	A17	N6	N7	A6	A14	A12	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	752	Best fitness:	160.29931972789115	Average fitness:	327.4890340136055	Fitness standard deviation:	48.23121954815201	Best genome:	N9	A17	N6	N7	A6	A14	A12	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	768	Best fitness:	160.29931972789115	Average fitness:	326.2438911564626	Fitness standard deviation:	47.91587914890266	Best genome:	N9	A17	N6	N7	A6	A14	A12	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	784	Best fitness:	160.29931972789115	Average fitness:	312.98046258503416	Fitness standard deviation:	43.79283115687651	Best genome:	N9	A17	N6	N7	A6	A14	A12	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	800	Best fitness:	160.29931972789115	Average fitness:	317.20103401360547	Fitness standard deviation:	48.78583339370526	Best genome:	N9	A17	N6	N7	A6	A14	A12	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	816	Best fitness:	160.29931972789115	Average fitness:	320.90217687074824	Fitness standard deviation:	46.51310045874942	Best genome:	N9	A17	N6	N7	A6	A14	A12	A16	A13	A9	A7	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	832	Best fitness:	156.29931972789115	Average fitness:	325.8473197278912	Fitness standard deviation:	45.295263775474325	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	848	Best fitness:	156.29931972789115	Average fitness:	325.6078911564626	Fitness standard deviation:	46.48800977737404	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	864	Best fitness:	156.29931972789115	Average fitness:	312.73874829931975	Fitness standard deviation:	43.12000488054193	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	880	Best fitness:	156.29931972789115	Average fitness:	324.3038911564625	Fitness standard deviation:	45.092550399717034	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	896	Best fitness:	156.29931972789115	Average fitness:	334.2850340136055	Fitness standard deviation:	52.80429087388522	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	912	Best fitness:	156.29931972789115	Average fitness:	323.2244625850342	Fitness standard deviation:	50.93335762402812	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	928	Best fitness:	156.29931972789115	Average fitness:	316.12960544217674	Fitness standard deviation:	51.34700560710748	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	944	Best fitness:	156.29931972789115	Average fitness:	330.5141768707482	Fitness standard deviation:	43.19469099653005	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	960	Best fitness:	156.29931972789115	Average fitness:	316.4627482993198	Fitness standard deviation:	48.908462617340945	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	976	Best fitness:	156.29931972789115	Average fitness:	326.32789115646267	Fitness standard deviation:	48.652966182621874	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	992	Best fitness:	156.29931972789115	Average fitness:	324.22160544217695	Fitness standard deviation:	45.98636214517234	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	1008	Best fitness:	156.29931972789115	Average fitness:	319.66103401360544	Fitness standard deviation:	47.66505128284159	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	1024	Best fitness:	156.29931972789115	Average fitness:	316.79474829931985	Fitness standard deviation:	46.26236116687834	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	1040	Best fitness:	156.29931972789115	Average fitness:	313.4421768707484	Fitness standard deviation:	46.183545793288935	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	1056	Best fitness:	156.29931972789115	Average fitness:	325.67017687074826	Fitness standard deviation:	48.48329768874545	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	1072	Best fitness:	156.29931972789115	Average fitness:	309.37131972789115	Fitness standard deviation:	44.32769410853211	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	1088	Best fitness:	156.29931972789115	Average fitness:	319.2610340136054	Fitness standard deviation:	38.871514825336135	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	1104	Best fitness:	156.29931972789115	Average fitness:	319.8353197278912	Fitness standard deviation:	41.51169574459512	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	1120	Best fitness:	156.29931972789115	Average fitness:	329.99360544217683	Fitness standard deviation:	47.84832507251323	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	1136	Best fitness:	156.29931972789115	Average fitness:	312.4136054421769	Fitness standard deviation:	42.089403000018415	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	1152	Best fitness:	156.29931972789115	Average fitness:	321.9238911564627	Fitness standard deviation:	48.62302302072002	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	1168	Best fitness:	156.29931972789115	Average fitness:	317.20674829931977	Fitness standard deviation:	46.94550329382149	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	1184	Best fitness:	156.29931972789115	Average fitness:	318.1256054421769	Fitness standard deviation:	44.262896551197834	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	1200	Best fitness:	156.29931972789115	Average fitness:	321.9398911564626	Fitness standard deviation:	48.136408924672246	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	1216	Best fitness:	156.29931972789115	Average fitness:	320.9581768707483	Fitness standard deviation:	47.74484954720995	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	1232	Best fitness:	156.29931972789115	Average fitness:	324.98160544217694	Fitness standard deviation:	49.15310180259559	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	1248	Best fitness:	156.29931972789115	Average fitness:	325.54674829931975	Fitness standard deviation:	45.6113829723794	Best genome:	N9	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	E5	A8	
Generation:	1264	Best fitness:	152.87074829931973	Average fitness:	315.3090340136053	Fitness standard deviation:	43.06456381589231	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1280	Best fitness:	152.87074829931973	Average fitness:	327.68274829931977	Fitness standard deviation:	45.634895022943816	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1296	Best fitness:	152.87074829931973	Average fitness:	325.22789115646265	Fitness standard deviation:	43.41542855638642	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1312	Best fitness:	152.87074829931973	Average fitness:	319.89417687074825	Fitness standard deviation:	39.5730878208091	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1328	Best fitness:	152.87074829931973	Average fitness:	319.3256054421769	Fitness standard deviation:	40.02767485077273	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1344	Best fitness:	152.87074829931973	Average fitness:	321.04446258503395	Fitness standard deviation:	44.841619457729635	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1360	Best fitness:	152.87074829931973	Average fitness:	319.4930340136054	Fitness standard deviation:	47.56447972929345	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1376	Best fitness:	152.87074829931973	Average fitness:	329.29931972789115	Fitness standard deviation:	45.974222413550535	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1392	Best fitness:	152.87074829931973	Average fitness:	320.5456054421768	Fitness standard deviation:	45.41340407718354	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1408	Best fitness:	152.87074829931973	Average fitness:	319.5713197278912	Fitness standard deviation:	45.629623116961184	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1424	Best fitness:	152.87074829931973	Average fitness:	322.6301768707483	Fitness standard deviation:	44.380733488526204	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1440	Best fitness:	152.87074829931973	Average fitness:	327.7318911564626	Fitness standard deviation:	45.36062700138947	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1456	Best fitness:	152.87074829931973	Average fitness:	310.49760544217696	Fitness standard deviation:	40.88297181977268	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1472	Best fitness:	152.87074829931973	Average fitness:	333.82217687074825	Fitness standard deviation:	44.29737956961668	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1488	Best fitness:	152.87074829931973	Average fitness:	309.9467482993197	Fitness standard deviation:	45.84416500293495	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1504	Best fitness:	152.87074829931973	Average fitness:	326.17931972789114	Fitness standard deviation:	43.476392843632716	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1520	Best fitness:	152.87074829931973	Average fitness:	324.9256054421769	Fitness standard deviation:	45.57634002731806	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1536	Best fitness:	152.87074829931973	Average fitness:	314.7524625850339	Fitness standard deviation:	45.0376031587574	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1552	Best fitness:	152.87074829931973	Average fitness:	327.4147482993196	Fitness standard deviation:	47.81441127133628	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1568	Best fitness:	152.87074829931973	Average fitness:	325.64846258503405	Fitness standard deviation:	42.92646062412187	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1584	Best fitness:	152.87074829931973	Average fitness:	327.26446258503404	Fitness standard deviation:	39.61059033405391	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1600	Best fitness:	152.87074829931973	Average fitness:	325.9341768707484	Fitness standard deviation:	46.558617094968774	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1616	Best fitness:	152.87074829931973	Average fitness:	326.82389115646254	Fitness standard deviation:	44.9885985592631	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1632	Best fitness:	152.87074829931973	Average fitness:	328.01531972789127	Fitness standard deviation:	44.80962557308418	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1648	Best fitness:	152.87074829931973	Average fitness:	316.8736054421769	Fitness standard deviation:	44.83817114732419	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1664	Best fitness:	152.87074829931973	Average fitness:	327.17760544217685	Fitness standard deviation:	48.662357848206845	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1680	Best fitness:	152.87074829931973	Average fitness:	323.1650340136054	Fitness standard deviation:	40.145182342419645	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1696	Best fitness:	152.87074829931973	Average fitness:	328.93874829931985	Fitness standard deviation:	40.19919824157326	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1712	Best fitness:	152.87074829931973	Average fitness:	319.89017687074835	Fitness standard deviation:	42.34630270924318	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1728	Best fitness:	152.87074829931973	Average fitness:	318.80160544217694	Fitness standard deviation:	48.09378392181642	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
Generation:	1744	Best fitness:	152.87074829931973	Average fitness:	313.1273197278912	Fitness standard deviation:	45.03012669177771	Best genome:	E5	N6	N7	A6	A14	A12	A16	A13	A9	A7	A17	A10	N12	E3	E4	N3	N5	A11	A15	A8	N9	
