Generation:	16	Best fitness:	220.8421768707483	Average fitness:	339.76889115646264	Fitness standard deviation:	35.216278538511716	Best genome:	A15	E5	A9	N6	N7	A10	N5	E4	A11	A6	E3	A7	A17	A14	A12	N3	A16	N12	A8	N9	A13	
Generation:	864	Best fitness:	148.81360544217688	Average fitness:	337.8744625850344	Fitness standard deviation:	40.81225749348209	Best genome:	A9	N5	A15	N7	A10	A11	E3	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	880	Best fitness:	136.81360544217688	Average fitness:	340.476462585034	Fitness standard deviation:	41.115541626802205	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	896	Best fitness:	136.81360544217688	Average fitness:	342.24289115646275	Fitness standard deviation:	36.91032568735934	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	912	Best fitness:	136.81360544217688	Average fitness:	339.65803401360574	Fitness standard deviation:	38.34095435958894	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	928	Best fitness:	136.81360544217688	Average fitness:	342.76446258503427	Fitness standard deviation:	39.67784527148311	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	944	Best fitness:	136.81360544217688	Average fitness:	339.54046258503416	Fitness standard deviation:	38.64672826028731	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	960	Best fitness:	136.81360544217688	Average fitness:	336.3477482993198	Fitness standard deviation:	39.910757099114136	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	976	Best fitness:	136.81360544217688	Average fitness:	336.58217687074847	Fitness standard deviation:	37.75758445231195	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	992	Best fitness:	136.81360544217688	Average fitness:	338.84617687074837	Fitness standard deviation:	35.778430058757294	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1008	Best fitness:	136.81360544217688	Average fitness:	338.3786054421769	Fitness standard deviation:	39.16293941955318	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1024	Best fitness:	136.81360544217688	Average fitness:	343.887605442177	Fitness standard deviation:	37.40669700926368	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1040	Best fitness:	136.81360544217688	Average fitness:	341.2984625850342	Fitness standard deviation:	38.753942884063086	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1056	Best fitness:	136.81360544217688	Average fitness:	338.3521768707485	Fitness standard deviation:	35.91587208111393	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1072	Best fitness:	136.81360544217688	Average fitness:	344.43531972789145	Fitness standard deviation:	36.462881460578004	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1088	Best fitness:	136.81360544217688	Average fitness:	341.64803401360564	Fitness standard deviation:	37.09938448221456	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1104	Best fitness:	136.81360544217688	Average fitness:	336.3364625850339	Fitness standard deviation:	38.21298529162514	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1120	Best fitness:	136.81360544217688	Average fitness:	338.4488911564627	Fitness standard deviation:	41.9641752924991	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1136	Best fitness:	136.81360544217688	Average fitness:	346.33189115646275	Fitness standard deviation:	35.4402645496184	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1152	Best fitness:	136.81360544217688	Average fitness:	340.3770340136057	Fitness standard deviation:	37.01276372897791	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1168	Best fitness:	136.81360544217688	Average fitness:	341.15760544217716	Fitness standard deviation:	40.52178993971475	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1184	Best fitness:	136.81360544217688	Average fitness:	341.19903401360557	Fitness standard deviation:	38.63092205337426	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1200	Best fitness:	136.81360544217688	Average fitness:	342.98503401360574	Fitness standard deviation:	39.70016645212626	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1216	Best fitness:	136.81360544217688	Average fitness:	339.0964625850343	Fitness standard deviation:	36.98081554491933	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1232	Best fitness:	136.81360544217688	Average fitness:	341.8208911564627	Fitness standard deviation:	38.03415285835958	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1248	Best fitness:	136.81360544217688	Average fitness:	336.1441768707485	Fitness standard deviation:	38.6773696961446	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1264	Best fitness:	136.81360544217688	Average fitness:	341.45874829931984	Fitness standard deviation:	36.77235256470351	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1280	Best fitness:	136.81360544217688	Average fitness:	338.1971768707484	Fitness standard deviation:	39.34228087942944	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1296	Best fitness:	136.81360544217688	Average fitness:	338.22374829931994	Fitness standard deviation:	38.11806833848146	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1312	Best fitness:	136.81360544217688	Average fitness:	342.68203401360535	Fitness standard deviation:	38.02739569906228	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1328	Best fitness:	136.81360544217688	Average fitness:	341.8148911564629	Fitness standard deviation:	38.825062208447214	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1344	Best fitness:	136.81360544217688	Average fitness:	339.0107482993199	Fitness standard deviation:	38.97073187479474	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1360	Best fitness:	136.81360544217688	Average fitness:	336.1500340136055	Fitness standard deviation:	35.90332591466553	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1376	Best fitness:	136.81360544217688	Average fitness:	339.8291768707484	Fitness standard deviation:	41.34009022210073	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1392	Best fitness:	136.81360544217688	Average fitness:	338.70503401360554	Fitness standard deviation:	35.67350654740511	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1408	Best fitness:	136.81360544217688	Average fitness:	342.83617687074855	Fitness standard deviation:	37.312206963536696	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1424	Best fitness:	136.81360544217688	Average fitness:	341.68131972789126	Fitness standard deviation:	38.67649123122706	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1440	Best fitness:	136.81360544217688	Average fitness:	344.354891156463	Fitness standard deviation:	37.94964861739399	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1456	Best fitness:	136.81360544217688	Average fitness:	344.527605442177	Fitness standard deviation:	38.00521156421598	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1472	Best fitness:	136.81360544217688	Average fitness:	342.5853197278913	Fitness standard deviation:	40.72414436930805	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1488	Best fitness:	136.81360544217688	Average fitness:	340.98574829932	Fitness standard deviation:	38.83382466697436	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1504	Best fitness:	136.81360544217688	Average fitness:	339.8927482993198	Fitness standard deviation:	39.488124870597716	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1520	Best fitness:	136.81360544217688	Average fitness:	338.22560544217697	Fitness standard deviation:	35.16738695125914	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1536	Best fitness:	136.81360544217688	Average fitness:	340.88931972789135	Fitness standard deviation:	39.096199695267636	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1552	Best fitness:	136.81360544217688	Average fitness:	339.33717687074846	Fitness standard deviation:	38.491190928336216	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1568	Best fitness:	136.81360544217688	Average fitness:	342.0851768707486	Fitness standard deviation:	35.3173582802842	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1584	Best fitness:	136.81360544217688	Average fitness:	336.49846258503413	Fitness standard deviation:	35.97327317521684	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1600	Best fitness:	136.81360544217688	Average fitness:	337.12274829932	Fitness standard deviation:	35.843860005329134	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1616	Best fitness:	136.81360544217688	Average fitness:	338.7824625850342	Fitness standard deviation:	40.540951650580354	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1632	Best fitness:	136.81360544217688	Average fitness:	337.0968911564627	Fitness standard deviation:	36.99461833752006	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1648	Best fitness:	136.81360544217688	Average fitness:	338.3104625850341	Fitness standard deviation:	36.77402441608889	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1664	Best fitness:	136.81360544217688	Average fitness:	340.00903401360534	Fitness standard deviation:	38.941078194353786	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1680	Best fitness:	136.81360544217688	Average fitness:	339.8210340136054	Fitness standard deviation:	38.14409288955956	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1696	Best fitness:	136.81360544217688	Average fitness:	338.6453197278911	Fitness standard deviation:	39.38872083348174	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1712	Best fitness:	136.81360544217688	Average fitness:	337.9630340136055	Fitness standard deviation:	35.67781849169776	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1728	Best fitness:	136.81360544217688	Average fitness:	335.352462585034	Fitness standard deviation:	35.672666039523136	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
Generation:	1744	Best fitness:	136.81360544217688	Average fitness:	339.13174829931995	Fitness standard deviation:	40.71198085481042	Best genome:	A9	N5	A11	A15	A10	E3	N7	E4	N3	A7	A6	A12	A14	A17	N6	N12	A8	A13	N9	A16	E5	
