Generation:	16	Best fitness:	217.8421768707483	Average fitness:	334.6158911564627	Fitness standard deviation:	31.50836459852318	Best genome:	A9	N3	E4	N12	E3	A6	A12	N5	A17	A16	A8	A14	A7	A11	N7	A10	N6	E5	A15	N9	A13	
Generation:	192	Best fitness:	189.87074829931973	Average fitness:	331.58903401360544	Fitness standard deviation:	39.648306553640204	Best genome:	A16	A15	A17	A12	A14	A10	A6	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	208	Best fitness:	189.87074829931973	Average fitness:	329.01617687074844	Fitness standard deviation:	37.2865915813594	Best genome:	A16	A15	A17	A12	A14	A10	A6	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	224	Best fitness:	189.87074829931973	Average fitness:	341.2947482993197	Fitness standard deviation:	36.969835849994105	Best genome:	A16	A15	A17	A12	A14	A10	A6	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	240	Best fitness:	189.87074829931973	Average fitness:	341.802462585034	Fitness standard deviation:	36.79797108315531	Best genome:	A16	A15	A17	A12	A14	A10	A6	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	256	Best fitness:	181.87074829931973	Average fitness:	334.56960544217685	Fitness standard deviation:	37.793003438440294	Best genome:	A16	A15	A17	A12	A14	A6	A10	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	272	Best fitness:	181.87074829931973	Average fitness:	340.7027482993197	Fitness standard deviation:	39.15401640304345	Best genome:	A16	A15	A17	A12	A14	A6	A10	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	288	Best fitness:	181.87074829931973	Average fitness:	333.4841768707483	Fitness standard deviation:	38.66089422300587	Best genome:	A16	A15	A17	A12	A14	A6	A10	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	304	Best fitness:	181.87074829931973	Average fitness:	338.73303401360533	Fitness standard deviation:	36.497540399096394	Best genome:	A16	A15	A17	A12	A14	A6	A10	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	320	Best fitness:	181.87074829931973	Average fitness:	330.86817687074836	Fitness standard deviation:	39.33974862602942	Best genome:	A16	A15	A17	A12	A14	A6	A10	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	336	Best fitness:	181.87074829931973	Average fitness:	337.60017687074827	Fitness standard deviation:	40.350062985561436	Best genome:	A16	A15	A17	A12	A14	A6	A10	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	352	Best fitness:	181.87074829931973	Average fitness:	332.74360544217683	Fitness standard deviation:	36.17626448715923	Best genome:	A16	A15	A17	A12	A14	A6	A10	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	368	Best fitness:	181.87074829931973	Average fitness:	333.2390340136054	Fitness standard deviation:	38.27548304551292	Best genome:	A16	A15	A17	A12	A14	A6	A10	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	384	Best fitness:	181.87074829931973	Average fitness:	337.7424625850341	Fitness standard deviation:	42.984999280954675	Best genome:	A16	A15	A17	A12	A14	A6	A10	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	400	Best fitness:	181.87074829931973	Average fitness:	339.58160544217685	Fitness standard deviation:	37.03789372950853	Best genome:	A16	A15	A17	A12	A14	A6	A10	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	416	Best fitness:	181.87074829931973	Average fitness:	333.03531972789114	Fitness standard deviation:	39.58615880969159	Best genome:	A16	A15	A17	A12	A14	A6	A10	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	432	Best fitness:	181.87074829931973	Average fitness:	338.71960544217677	Fitness standard deviation:	40.00865218567461	Best genome:	A16	A15	A17	A12	A14	A6	A10	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	448	Best fitness:	181.87074829931973	Average fitness:	334.798462585034	Fitness standard deviation:	42.0894769833826	Best genome:	A16	A15	A17	A12	A14	A6	A10	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	464	Best fitness:	181.87074829931973	Average fitness:	335.24817687074835	Fitness standard deviation:	39.767506845849596	Best genome:	A16	A15	A17	A12	A14	A6	A10	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	480	Best fitness:	181.87074829931973	Average fitness:	339.3438911564626	Fitness standard deviation:	34.56943402038564	Best genome:	A16	A15	A17	A12	A14	A6	A10	A11	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	N6	A7	N9	
Generation:	496	Best fitness:	172.8421768707483	Average fitness:	330.2396054421768	Fitness standard deviation:	36.18125280600777	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	A11	N6	A7	N9	A16	
Generation:	512	Best fitness:	172.8421768707483	Average fitness:	325.3516054421769	Fitness standard deviation:	37.88826969511534	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	E5	N12	E3	N7	N5	E4	N3	A9	A11	N6	A7	N9	A16	
Generation:	528	Best fitness:	167.8421768707483	Average fitness:	332.5027482993198	Fitness standard deviation:	43.99581896276146	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N12	N7	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	544	Best fitness:	167.8421768707483	Average fitness:	336.9293197278912	Fitness standard deviation:	34.38714339127699	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N12	N7	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	560	Best fitness:	167.8421768707483	Average fitness:	324.5010340136053	Fitness standard deviation:	38.85111756226241	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N12	N7	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	576	Best fitness:	167.8421768707483	Average fitness:	336.37103401360554	Fitness standard deviation:	36.45346678622891	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N12	N7	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	592	Best fitness:	167.8421768707483	Average fitness:	335.04903401360536	Fitness standard deviation:	41.45323996987449	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N12	N7	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	608	Best fitness:	167.8421768707483	Average fitness:	334.9427482993197	Fitness standard deviation:	38.79691013996041	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N12	N7	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	624	Best fitness:	167.8421768707483	Average fitness:	330.03103401360545	Fitness standard deviation:	38.965829068818856	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N12	N7	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	640	Best fitness:	167.8421768707483	Average fitness:	338.9081768707482	Fitness standard deviation:	37.42776524649767	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N12	N7	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	656	Best fitness:	167.8421768707483	Average fitness:	337.29303401360534	Fitness standard deviation:	40.13970451880709	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N12	N7	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	672	Best fitness:	167.8421768707483	Average fitness:	337.933605442177	Fitness standard deviation:	38.78881492473451	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N12	N7	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	688	Best fitness:	167.8421768707483	Average fitness:	332.68189115646265	Fitness standard deviation:	38.837239418278095	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N12	N7	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	704	Best fitness:	164.8421768707483	Average fitness:	334.8213197278912	Fitness standard deviation:	40.40770644926281	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N7	N12	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	720	Best fitness:	164.8421768707483	Average fitness:	335.21131972789124	Fitness standard deviation:	40.028350296116024	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N7	N12	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	736	Best fitness:	164.8421768707483	Average fitness:	334.1041768707481	Fitness standard deviation:	41.102066297926974	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N7	N12	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	752	Best fitness:	164.8421768707483	Average fitness:	328.5516054421768	Fitness standard deviation:	34.706039950723635	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N7	N12	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	768	Best fitness:	164.8421768707483	Average fitness:	330.5607482993197	Fitness standard deviation:	36.12380511405696	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N7	N12	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	784	Best fitness:	164.8421768707483	Average fitness:	334.5607482993196	Fitness standard deviation:	39.07704214048166	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N7	N12	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	800	Best fitness:	164.8421768707483	Average fitness:	342.99074829931965	Fitness standard deviation:	39.766835531171765	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N7	N12	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	816	Best fitness:	164.8421768707483	Average fitness:	343.47389115646257	Fitness standard deviation:	39.83034919069956	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N7	N12	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	832	Best fitness:	164.8421768707483	Average fitness:	335.7358911564627	Fitness standard deviation:	38.58453493305317	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N7	N12	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	848	Best fitness:	164.8421768707483	Average fitness:	336.27531972789103	Fitness standard deviation:	38.38084337642562	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N7	N12	E3	N5	A11	E5	N6	N3	A7	N9	A16	
Generation:	864	Best fitness:	161.8421768707483	Average fitness:	334.8418911564625	Fitness standard deviation:	41.527199347327205	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N7	N5	A11	E3	N12	E5	N6	N3	A7	N9	A16	
Generation:	880	Best fitness:	161.8421768707483	Average fitness:	339.4533197278911	Fitness standard deviation:	40.443428243431995	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N7	N5	A11	E3	N12	E5	N6	N3	A7	N9	A16	
Generation:	896	Best fitness:	161.8421768707483	Average fitness:	341.97474829931974	Fitness standard deviation:	37.49369264398524	Best genome:	A15	A17	A12	A14	A6	A10	A8	A13	A9	E4	N7	N5	A11	E3	N12	E5	N6	N3	A7	N9	A16	
Generation:	912	Best fitness:	160.78503401360544	Average fitness:	336.7550340136053	Fitness standard deviation:	42.023255830697416	Best genome:	E5	N7	A12	A14	A6	A10	A8	A13	A9	E4	N5	A11	E3	N12	N6	N3	A7	N9	A16	A15	A17	
Generation:	928	Best fitness:	160.78503401360544	Average fitness:	328.48389115646256	Fitness standard deviation:	43.025896221143995	Best genome:	E5	N7	A12	A14	A6	A10	A8	A13	A9	E4	N5	A11	E3	N12	N6	N3	A7	N9	A16	A15	A17	
Generation:	944	Best fitness:	160.78503401360544	Average fitness:	332.6221768707483	Fitness standard deviation:	46.82293847407421	Best genome:	E5	N7	A12	A14	A6	A10	A8	A13	A9	E4	N5	A11	E3	N12	N6	N3	A7	N9	A16	A15	A17	
Generation:	960	Best fitness:	160.78503401360544	Average fitness:	332.88646258503394	Fitness standard deviation:	41.70748171026686	Best genome:	E5	N7	A12	A14	A6	A10	A8	A13	A9	E4	N5	A11	E3	N12	N6	N3	A7	N9	A16	A15	A17	
Generation:	976	Best fitness:	157.78503401360544	Average fitness:	335.74503401360556	Fitness standard deviation:	37.05180884620223	Best genome:	E5	N7	A12	A14	A6	A10	A8	A13	A9	E4	N5	A11	N12	E3	N6	N3	A7	N9	A16	A15	A17	
Generation:	992	Best fitness:	157.78503401360544	Average fitness:	334.29074829931983	Fitness standard deviation:	39.171017920114856	Best genome:	E5	N7	A12	A14	A6	A10	A8	A13	A9	E4	N5	A11	N12	E3	N6	N3	A7	N9	A16	A15	A17	
Generation:	1008	Best fitness:	157.78503401360544	Average fitness:	339.5330340136055	Fitness standard deviation:	42.50747629415277	Best genome:	E5	N7	A12	A14	A6	A10	A8	A13	A9	E4	N5	A11	N12	E3	N6	N3	A7	N9	A16	A15	A17	
Generation:	1024	Best fitness:	157.78503401360544	Average fitness:	332.13674829931944	Fitness standard deviation:	41.38739859386365	Best genome:	E5	N7	A12	A14	A6	A10	A8	A13	A9	E4	N5	A11	N12	E3	N6	N3	A7	N9	A16	A15	A17	
Generation:	1040	Best fitness:	147.78503401360544	Average fitness:	334.68817687074824	Fitness standard deviation:	43.35393151581009	Best genome:	A15	A12	A14	N7	A6	A10	A8	A13	A9	E4	N5	A11	N12	E3	N6	N3	A7	N9	A16	E5	A17	
Generation:	1056	Best fitness:	147.78503401360544	Average fitness:	337.54503401360546	Fitness standard deviation:	41.377433463181355	Best genome:	A15	A12	A14	N7	A6	A10	A8	A13	A9	E4	N5	A11	N12	E3	N6	N3	A7	N9	A16	E5	A17	
Generation:	1072	Best fitness:	147.78503401360544	Average fitness:	329.44989115646246	Fitness standard deviation:	40.19055688764185	Best genome:	A15	A12	A14	N7	A6	A10	A8	A13	A9	E4	N5	A11	N12	E3	N6	N3	A7	N9	A16	E5	A17	
Generation:	1088	Best fitness:	147.78503401360544	Average fitness:	336.2507482993198	Fitness standard deviation:	41.95566221425583	Best genome:	A15	A12	A14	N7	A6	A10	A8	A13	A9	E4	N5	A11	N12	E3	N6	N3	A7	N9	A16	E5	A17	
Generation:	1104	Best fitness:	147.78503401360544	Average fitness:	334.6101768707484	Fitness standard deviation:	43.75259409778711	Best genome:	A15	A12	A14	N7	A6	A10	A8	A13	A9	E4	N5	A11	N12	E3	N6	N3	A7	N9	A16	E5	A17	
Generation:	1120	Best fitness:	147.78503401360544	Average fitness:	332.8067482993197	Fitness standard deviation:	40.917401341867105	Best genome:	A15	A12	A14	N7	A6	A10	A8	A13	A9	E4	N5	A11	N12	E3	N6	N3	A7	N9	A16	E5	A17	
Generation:	1136	Best fitness:	142.78503401360544	Average fitness:	338.06989115646263	Fitness standard deviation:	45.21297347768533	Best genome:	A17	A12	A14	N7	A6	A10	A8	A13	A9	E4	N5	A11	N12	E3	N6	N3	A7	N9	A16	E5	A15	
Generation:	1152	Best fitness:	142.78503401360544	Average fitness:	335.2007482993198	Fitness standard deviation:	45.21990068949009	Best genome:	A17	A12	A14	N7	A6	A10	A8	A13	A9	E4	N5	A11	N12	E3	N6	N3	A7	N9	A16	E5	A15	
Generation:	1168	Best fitness:	142.78503401360544	Average fitness:	338.0567482993197	Fitness standard deviation:	44.87719815456488	Best genome:	A17	A12	A14	N7	A6	A10	A8	A13	A9	E4	N5	A11	N12	E3	N6	N3	A7	N9	A16	E5	A15	
Generation:	1184	Best fitness:	142.78503401360544	Average fitness:	330.07760544217695	Fitness standard deviation:	39.439746060365586	Best genome:	A17	A12	A14	N7	A6	A10	A8	A13	A9	E4	N5	A11	N12	E3	N6	N3	A7	N9	A16	E5	A15	
Generation:	1200	Best fitness:	142.78503401360544	Average fitness:	333.4150340136055	Fitness standard deviation:	45.64716454077126	Best genome:	A17	A12	A14	N7	A6	A10	A8	A13	A9	E4	N5	A11	N12	E3	N6	N3	A7	N9	A16	E5	A15	
Generation:	1216	Best fitness:	142.78503401360544	Average fitness:	334.1218911564628	Fitness standard deviation:	40.06466697116305	Best genome:	A17	A12	A14	N7	A6	A10	A8	A13	A9	E4	N5	A11	N12	E3	N6	N3	A7	N9	A16	E5	A15	
Generation:	1232	Best fitness:	142.78503401360544	Average fitness:	328.37417687074844	Fitness standard deviation:	40.18306370416598	Best genome:	A17	A12	A14	N7	A6	A10	A8	A13	A9	E4	N5	A11	N12	E3	N6	N3	A7	N9	A16	E5	A15	
Generation:	1248	Best fitness:	133.756462585034	Average fitness:	336.1396054421769	Fitness standard deviation:	36.69592294430941	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1264	Best fitness:	133.756462585034	Average fitness:	332.8273197278912	Fitness standard deviation:	43.52234208883937	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1280	Best fitness:	133.756462585034	Average fitness:	325.18503401360545	Fitness standard deviation:	44.34332308297177	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1296	Best fitness:	133.756462585034	Average fitness:	332.56817687074835	Fitness standard deviation:	42.848436657595805	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1312	Best fitness:	133.756462585034	Average fitness:	332.24903401360564	Fitness standard deviation:	42.090648749612605	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1328	Best fitness:	133.756462585034	Average fitness:	336.0593197278912	Fitness standard deviation:	44.52112564357991	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1344	Best fitness:	133.756462585034	Average fitness:	333.5370340136056	Fitness standard deviation:	41.37814978552653	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1360	Best fitness:	133.756462585034	Average fitness:	334.85246258503423	Fitness standard deviation:	42.94986189804602	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1376	Best fitness:	133.756462585034	Average fitness:	329.89846258503394	Fitness standard deviation:	49.7006635614554	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1392	Best fitness:	133.756462585034	Average fitness:	335.99903401360547	Fitness standard deviation:	43.592129695014215	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1408	Best fitness:	133.756462585034	Average fitness:	323.19817687074834	Fitness standard deviation:	39.90589837636148	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1424	Best fitness:	133.756462585034	Average fitness:	330.7098911564626	Fitness standard deviation:	39.983144337358475	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1440	Best fitness:	133.756462585034	Average fitness:	334.4127482993198	Fitness standard deviation:	41.232155760438495	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1456	Best fitness:	133.756462585034	Average fitness:	335.12446258503405	Fitness standard deviation:	45.42302055575084	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1472	Best fitness:	133.756462585034	Average fitness:	331.4764625850341	Fitness standard deviation:	43.00539007508482	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1488	Best fitness:	133.756462585034	Average fitness:	328.63446258503393	Fitness standard deviation:	50.7023127685674	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1504	Best fitness:	133.756462585034	Average fitness:	327.6221768707482	Fitness standard deviation:	48.59661271474524	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1520	Best fitness:	133.756462585034	Average fitness:	324.76789115646255	Fitness standard deviation:	47.34612662216889	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1536	Best fitness:	133.756462585034	Average fitness:	336.18760544217685	Fitness standard deviation:	40.82273778078055	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1552	Best fitness:	133.756462585034	Average fitness:	331.61074829931977	Fitness standard deviation:	41.48122319256053	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1568	Best fitness:	133.756462585034	Average fitness:	330.4221768707484	Fitness standard deviation:	42.65452972572138	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1584	Best fitness:	133.756462585034	Average fitness:	326.43617687074834	Fitness standard deviation:	45.84875816447475	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1600	Best fitness:	133.756462585034	Average fitness:	334.46617687074837	Fitness standard deviation:	41.95405430920344	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1616	Best fitness:	133.756462585034	Average fitness:	333.5950340136055	Fitness standard deviation:	41.74068819533775	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1632	Best fitness:	133.756462585034	Average fitness:	334.317319727891	Fitness standard deviation:	39.24353531162938	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1648	Best fitness:	133.756462585034	Average fitness:	325.32903401360556	Fitness standard deviation:	47.621334426614176	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1664	Best fitness:	133.756462585034	Average fitness:	331.80160544217694	Fitness standard deviation:	42.671923031235345	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1680	Best fitness:	133.756462585034	Average fitness:	331.7656054421768	Fitness standard deviation:	44.130909317897476	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1696	Best fitness:	133.756462585034	Average fitness:	335.34789115646265	Fitness standard deviation:	45.85591711757466	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1712	Best fitness:	133.756462585034	Average fitness:	327.77474829931975	Fitness standard deviation:	43.2905574885964	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1728	Best fitness:	133.756462585034	Average fitness:	326.0696054421769	Fitness standard deviation:	44.23797609866575	Best genome:	A12	A14	N7	A6	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1744	Best fitness:	128.756462585034	Average fitness:	332.3296054421769	Fitness standard deviation:	42.080164083640675	Best genome:	N7	A6	A14	A12	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
Generation:	1760	Best fitness:	128.756462585034	Average fitness:	333.7944625850341	Fitness standard deviation:	43.83238650838451	Best genome:	N7	A6	A14	A12	A10	A8	A13	A9	N5	A11	N12	E3	N6	E4	N3	A7	N9	A16	E5	A15	A17	
