Generation:	16	Best fitness:	242.35646258503402	Average fitness:	334.08846258503405	Fitness standard deviation:	35.166296429556354	Best genome:	A13	A16	N9	A10	A8	N12	A14	A17	A9	E4	A15	A12	N7	E5	N6	A6	E3	N5	N3	A7	A11	
Generation:	480	Best fitness:	142.87074829931973	Average fitness:	318.2650340136055	Fitness standard deviation:	48.14147009447408	Best genome:	A16	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A8	A13	A15	A17	N9	
Generation:	496	Best fitness:	142.87074829931973	Average fitness:	322.0650340136053	Fitness standard deviation:	49.02893872656292	Best genome:	A16	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A8	A13	A15	A17	N9	
Generation:	512	Best fitness:	142.81360544217688	Average fitness:	309.4873197278912	Fitness standard deviation:	45.917948503559145	Best genome:	A16	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A8	A13	N9	A15	A17	
Generation:	528	Best fitness:	142.81360544217688	Average fitness:	322.5158911564626	Fitness standard deviation:	48.829397331475455	Best genome:	A16	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A8	A13	N9	A15	A17	
Generation:	544	Best fitness:	142.81360544217688	Average fitness:	317.7913197278912	Fitness standard deviation:	53.19711801001468	Best genome:	A16	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A8	A13	N9	A15	A17	
Generation:	560	Best fitness:	142.81360544217688	Average fitness:	306.9484625850341	Fitness standard deviation:	43.67880242060168	Best genome:	A16	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A8	A13	N9	A15	A17	
Generation:	576	Best fitness:	142.81360544217688	Average fitness:	309.48274829931984	Fitness standard deviation:	47.54207213981043	Best genome:	A16	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A8	A13	N9	A15	A17	
Generation:	592	Best fitness:	141.29931972789115	Average fitness:	317.47817687074826	Fitness standard deviation:	50.32674034542589	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	608	Best fitness:	141.29931972789115	Average fitness:	316.55703401360546	Fitness standard deviation:	46.09942068430548	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	624	Best fitness:	141.29931972789115	Average fitness:	319.91531972789113	Fitness standard deviation:	60.62284425891627	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	640	Best fitness:	141.29931972789115	Average fitness:	320.8398911564626	Fitness standard deviation:	42.07699253627758	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	656	Best fitness:	141.29931972789115	Average fitness:	306.8816054421769	Fitness standard deviation:	47.86786537107827	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	672	Best fitness:	141.29931972789115	Average fitness:	319.0970340136054	Fitness standard deviation:	46.66234310622716	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	688	Best fitness:	141.29931972789115	Average fitness:	325.7090340136056	Fitness standard deviation:	45.93578183259134	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	704	Best fitness:	141.29931972789115	Average fitness:	320.94617687074833	Fitness standard deviation:	49.32208273405017	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	720	Best fitness:	141.29931972789115	Average fitness:	318.5650340136055	Fitness standard deviation:	52.01619881128869	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	736	Best fitness:	141.29931972789115	Average fitness:	319.2998911564627	Fitness standard deviation:	40.955529686702484	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	752	Best fitness:	141.29931972789115	Average fitness:	319.7244625850341	Fitness standard deviation:	49.858290167724164	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	768	Best fitness:	141.29931972789115	Average fitness:	317.77074829931985	Fitness standard deviation:	50.51343931094386	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	784	Best fitness:	141.29931972789115	Average fitness:	315.1867482993198	Fitness standard deviation:	40.74025694367593	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	800	Best fitness:	141.29931972789115	Average fitness:	317.8141768707483	Fitness standard deviation:	52.20589989021298	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	816	Best fitness:	141.29931972789115	Average fitness:	318.0393197278912	Fitness standard deviation:	50.32606343858508	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	832	Best fitness:	141.29931972789115	Average fitness:	314.0570340136056	Fitness standard deviation:	46.421596395625684	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	848	Best fitness:	141.29931972789115	Average fitness:	319.9136054421769	Fitness standard deviation:	48.24865906987277	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	864	Best fitness:	141.29931972789115	Average fitness:	315.80560544217695	Fitness standard deviation:	51.32793138323064	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	880	Best fitness:	141.29931972789115	Average fitness:	311.2667482993197	Fitness standard deviation:	54.58274826801775	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	896	Best fitness:	141.29931972789115	Average fitness:	321.69131972789114	Fitness standard deviation:	50.021696856545795	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	912	Best fitness:	141.29931972789115	Average fitness:	313.4513197278912	Fitness standard deviation:	49.89682103161708	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	928	Best fitness:	141.29931972789115	Average fitness:	320.61360544217695	Fitness standard deviation:	49.01810744146348	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	944	Best fitness:	141.29931972789115	Average fitness:	306.36503401360534	Fitness standard deviation:	48.934164602107224	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	960	Best fitness:	141.29931972789115	Average fitness:	315.00560544217694	Fitness standard deviation:	49.913165426957	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	976	Best fitness:	141.29931972789115	Average fitness:	313.45817687074833	Fitness standard deviation:	45.74159582806397	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	992	Best fitness:	141.29931972789115	Average fitness:	321.36103401360543	Fitness standard deviation:	43.352078634815	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1008	Best fitness:	141.29931972789115	Average fitness:	319.92503401360557	Fitness standard deviation:	47.69743389324	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1024	Best fitness:	141.29931972789115	Average fitness:	315.8638911564626	Fitness standard deviation:	54.24856189121797	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1040	Best fitness:	141.29931972789115	Average fitness:	312.29989115646254	Fitness standard deviation:	48.773275214851765	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1056	Best fitness:	141.29931972789115	Average fitness:	323.9478911564627	Fitness standard deviation:	50.5696423413357	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1072	Best fitness:	141.29931972789115	Average fitness:	309.2278911564626	Fitness standard deviation:	46.38738436872066	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1088	Best fitness:	141.29931972789115	Average fitness:	311.72674829931987	Fitness standard deviation:	47.65341128247948	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1104	Best fitness:	141.29931972789115	Average fitness:	318.68446258503405	Fitness standard deviation:	56.29646633779468	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1120	Best fitness:	141.29931972789115	Average fitness:	325.5021768707484	Fitness standard deviation:	56.1860191049085	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1136	Best fitness:	141.29931972789115	Average fitness:	318.4301768707484	Fitness standard deviation:	53.52856558465788	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1152	Best fitness:	141.29931972789115	Average fitness:	322.7627482993198	Fitness standard deviation:	47.50469907239898	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1168	Best fitness:	141.29931972789115	Average fitness:	321.3690340136055	Fitness standard deviation:	42.8912980699168	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1184	Best fitness:	141.29931972789115	Average fitness:	321.397605442177	Fitness standard deviation:	49.86452836333619	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1200	Best fitness:	141.29931972789115	Average fitness:	318.25817687074846	Fitness standard deviation:	51.933772633214005	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1216	Best fitness:	141.29931972789115	Average fitness:	316.740462585034	Fitness standard deviation:	47.76712426268228	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1232	Best fitness:	141.29931972789115	Average fitness:	321.52331972789113	Fitness standard deviation:	48.01553740367035	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1248	Best fitness:	141.29931972789115	Average fitness:	315.26331972789126	Fitness standard deviation:	48.76870318270161	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1264	Best fitness:	141.29931972789115	Average fitness:	319.07131972789125	Fitness standard deviation:	53.65659926394356	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1280	Best fitness:	141.29931972789115	Average fitness:	311.3976054421769	Fitness standard deviation:	51.482033849743374	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1296	Best fitness:	141.29931972789115	Average fitness:	314.1016054421769	Fitness standard deviation:	48.62855995970991	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1312	Best fitness:	141.29931972789115	Average fitness:	321.2421768707483	Fitness standard deviation:	45.53243436926953	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1328	Best fitness:	141.29931972789115	Average fitness:	323.11360544217706	Fitness standard deviation:	58.418665244762245	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1344	Best fitness:	141.29931972789115	Average fitness:	323.36446258503406	Fitness standard deviation:	46.376623963864745	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1360	Best fitness:	141.29931972789115	Average fitness:	327.01017687074835	Fitness standard deviation:	45.556315143670126	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1376	Best fitness:	141.29931972789115	Average fitness:	316.369605442177	Fitness standard deviation:	40.82814483831926	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1392	Best fitness:	141.29931972789115	Average fitness:	311.0673197278913	Fitness standard deviation:	51.64166159928139	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1408	Best fitness:	141.29931972789115	Average fitness:	317.20846258503406	Fitness standard deviation:	53.19877448028367	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1424	Best fitness:	141.29931972789115	Average fitness:	322.71474829931975	Fitness standard deviation:	48.71978358921139	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1440	Best fitness:	141.29931972789115	Average fitness:	322.0793197278912	Fitness standard deviation:	46.214779948781384	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1456	Best fitness:	141.29931972789115	Average fitness:	326.48389115646273	Fitness standard deviation:	43.463179898129205	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1472	Best fitness:	141.29931972789115	Average fitness:	309.14217687074836	Fitness standard deviation:	42.00927059979179	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1488	Best fitness:	141.29931972789115	Average fitness:	313.4673197278912	Fitness standard deviation:	48.603150528603834	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1504	Best fitness:	141.29931972789115	Average fitness:	317.20217687074836	Fitness standard deviation:	45.85474813506898	Best genome:	N9	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	A13	A16	A8	
Generation:	1520	Best fitness:	137.81360544217688	Average fitness:	317.7038911564626	Fitness standard deviation:	46.55129077672918	Best genome:	A13	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	N9	A16	A8	
Generation:	1536	Best fitness:	137.81360544217688	Average fitness:	321.3193197278911	Fitness standard deviation:	43.687455538501794	Best genome:	A13	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	N9	A16	A8	
Generation:	1552	Best fitness:	137.81360544217688	Average fitness:	322.6096054421768	Fitness standard deviation:	55.23576244959199	Best genome:	A13	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	N9	A16	A8	
Generation:	1568	Best fitness:	137.81360544217688	Average fitness:	315.2461768707484	Fitness standard deviation:	46.20199130261087	Best genome:	A13	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	N9	A16	A8	
Generation:	1584	Best fitness:	137.78503401360544	Average fitness:	312.1690340136054	Fitness standard deviation:	56.84622010229324	Best genome:	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	1600	Best fitness:	137.78503401360544	Average fitness:	312.81246258503404	Fitness standard deviation:	45.40705077318243	Best genome:	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	1616	Best fitness:	137.78503401360544	Average fitness:	320.43931972789113	Fitness standard deviation:	51.12962550304503	Best genome:	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	1632	Best fitness:	137.78503401360544	Average fitness:	321.5284625850341	Fitness standard deviation:	45.901155377393195	Best genome:	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	1648	Best fitness:	137.78503401360544	Average fitness:	326.7347482993197	Fitness standard deviation:	50.99521628144974	Best genome:	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	1664	Best fitness:	137.78503401360544	Average fitness:	314.1558911564624	Fitness standard deviation:	43.75098272575586	Best genome:	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	1680	Best fitness:	137.78503401360544	Average fitness:	300.1067482993197	Fitness standard deviation:	50.58123966492731	Best genome:	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	1696	Best fitness:	137.78503401360544	Average fitness:	327.6610340136054	Fitness standard deviation:	50.503279217839925	Best genome:	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	1712	Best fitness:	137.78503401360544	Average fitness:	317.0478911564625	Fitness standard deviation:	52.17585836302425	Best genome:	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	1728	Best fitness:	137.78503401360544	Average fitness:	321.15874829931965	Fitness standard deviation:	53.363034163957295	Best genome:	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	N9	A16	A8	A13	
Generation:	1744	Best fitness:	137.78503401360544	Average fitness:	317.56903401360546	Fitness standard deviation:	49.0508394852125	Best genome:	A9	A7	A14	A12	A6	N7	N12	E3	N3	E4	N5	A11	N6	A10	E5	A15	A17	N9	A16	A8	A13	
