Generation:	16	Best fitness:	211.8421768707483	Average fitness:	260.65646258503403	Fitness standard deviation:	33.99100781449262	Best genome:	A13	A9	A10	E3	N6	A8	E5	N5	A15	A17	A16	E4	N3	A7	A11	N7	A6	A14	A12	N9	N12	
Generation:	192	Best fitness:	151.61360544217686	Average fitness:	224.3393197278912	Fitness standard deviation:	39.382472429925954	Best genome:	A9	A7	N5	N6	N12	A15	A17	N7	A6	A14	A12	N9	E5	A10	E3	E4	N3	A11	A8	A16	A13	
Generation:	208	Best fitness:	151.61360544217686	Average fitness:	215.35074829931972	Fitness standard deviation:	32.63679856248408	Best genome:	A9	A7	N5	N6	N12	A15	A17	N7	A6	A14	A12	N9	E5	A10	E3	E4	N3	A11	A8	A16	A13	
Generation:	224	Best fitness:	151.61360544217686	Average fitness:	245.55646258503398	Fitness standard deviation:	40.39914931413931	Best genome:	A9	A7	N5	N6	N12	A15	A17	N7	A6	A14	A12	N9	E5	A10	E3	E4	N3	A11	A8	A16	A13	
Generation:	240	Best fitness:	151.61360544217686	Average fitness:	224.84503401360544	Fitness standard deviation:	47.88739248678794	Best genome:	A9	A7	N5	N6	N12	A15	A17	N7	A6	A14	A12	N9	E5	A10	E3	E4	N3	A11	A8	A16	A13	
Generation:	256	Best fitness:	151.61360544217686	Average fitness:	228.51646258503396	Fitness standard deviation:	41.42154068420272	Best genome:	A9	A7	N5	N6	N12	A15	A17	N7	A6	A14	A12	N9	E5	A10	E3	E4	N3	A11	A8	A16	A13	
Generation:	272	Best fitness:	150.49931972789116	Average fitness:	211.50217687074831	Fitness standard deviation:	46.33130638154301	Best genome:	A9	A7	N5	N6	N12	A15	A17	N9	E5	A10	E3	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	288	Best fitness:	150.49931972789116	Average fitness:	241.7793197278912	Fitness standard deviation:	54.75540983430267	Best genome:	A9	A7	N5	N6	N12	A15	A17	N9	E5	A10	E3	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	304	Best fitness:	150.49931972789116	Average fitness:	217.8678911564626	Fitness standard deviation:	40.564364475560595	Best genome:	A9	A7	N5	N6	N12	A15	A17	N9	E5	A10	E3	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	320	Best fitness:	150.49931972789116	Average fitness:	222.79931972789117	Fitness standard deviation:	40.499871000046504	Best genome:	A9	A7	N5	N6	N12	A15	A17	N9	E5	A10	E3	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	336	Best fitness:	150.49931972789116	Average fitness:	204.056462585034	Fitness standard deviation:	36.62158892661819	Best genome:	A9	A7	N5	N6	N12	A15	A17	N9	E5	A10	E3	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	352	Best fitness:	150.49931972789116	Average fitness:	214.63646258503405	Fitness standard deviation:	43.06032180889635	Best genome:	A9	A7	N5	N6	N12	A15	A17	N9	E5	A10	E3	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	368	Best fitness:	150.47074829931972	Average fitness:	203.19360544217687	Fitness standard deviation:	38.65232374142912	Best genome:	A9	A7	N5	N6	A15	A17	N9	E5	A10	N12	E3	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	384	Best fitness:	147.556462585034	Average fitness:	198.1336054421769	Fitness standard deviation:	20.580647934109248	Best genome:	A9	A7	N5	N6	A10	E3	N12	A15	A17	N9	E5	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	400	Best fitness:	147.556462585034	Average fitness:	226.8307482993197	Fitness standard deviation:	51.794454356048746	Best genome:	A9	A7	N5	N6	A10	E3	N12	A15	A17	N9	E5	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	416	Best fitness:	147.556462585034	Average fitness:	235.2393197278911	Fitness standard deviation:	53.87131977107626	Best genome:	A9	A7	N5	N6	A10	E3	N12	A15	A17	N9	E5	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	432	Best fitness:	147.556462585034	Average fitness:	222.40503401360542	Fitness standard deviation:	36.85225227797053	Best genome:	A9	A7	N5	N6	A10	E3	N12	A15	A17	N9	E5	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	448	Best fitness:	147.556462585034	Average fitness:	252.5936054421768	Fitness standard deviation:	64.42508961133521	Best genome:	A9	A7	N5	N6	A10	E3	N12	A15	A17	N9	E5	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	464	Best fitness:	147.52789115646257	Average fitness:	225.4221768707483	Fitness standard deviation:	27.01179500491878	Best genome:	A9	A7	N5	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	480	Best fitness:	147.52789115646257	Average fitness:	210.04503401360543	Fitness standard deviation:	33.63149022410214	Best genome:	A9	A7	N5	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	496	Best fitness:	147.52789115646257	Average fitness:	216.5307482993197	Fitness standard deviation:	41.6271662670974	Best genome:	A9	A7	N5	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	512	Best fitness:	147.52789115646257	Average fitness:	221.58789115646255	Fitness standard deviation:	34.38864656023697	Best genome:	A9	A7	N5	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	528	Best fitness:	147.52789115646257	Average fitness:	235.31074829931973	Fitness standard deviation:	41.525255064397435	Best genome:	A9	A7	N5	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	544	Best fitness:	147.52789115646257	Average fitness:	233.98217687074825	Fitness standard deviation:	44.08532626437889	Best genome:	A9	A7	N5	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	560	Best fitness:	147.52789115646257	Average fitness:	227.816462585034	Fitness standard deviation:	45.44498436661227	Best genome:	A9	A7	N5	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	576	Best fitness:	147.52789115646257	Average fitness:	243.51360544217687	Fitness standard deviation:	52.22284315257813	Best genome:	A9	A7	N5	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	592	Best fitness:	147.52789115646257	Average fitness:	210.11931972789117	Fitness standard deviation:	43.10591805574464	Best genome:	A9	A7	N5	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	608	Best fitness:	147.52789115646257	Average fitness:	202.97931972789115	Fitness standard deviation:	31.86911959363593	Best genome:	A9	A7	N5	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	624	Best fitness:	147.52789115646257	Average fitness:	222.93360544217686	Fitness standard deviation:	48.683938264051314	Best genome:	A9	A7	N5	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	640	Best fitness:	147.52789115646257	Average fitness:	242.63360544217684	Fitness standard deviation:	46.676019364053204	Best genome:	A9	A7	N5	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	656	Best fitness:	147.52789115646257	Average fitness:	217.49074829931973	Fitness standard deviation:	36.03364878690416	Best genome:	A9	A7	N5	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	672	Best fitness:	147.52789115646257	Average fitness:	212.90789115646257	Fitness standard deviation:	42.053650961404934	Best genome:	A9	A7	N5	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	688	Best fitness:	147.52789115646257	Average fitness:	217.59931972789119	Fitness standard deviation:	41.76776268846585	Best genome:	A9	A7	N5	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	704	Best fitness:	147.52789115646257	Average fitness:	201.65646258503403	Fitness standard deviation:	32.62272464502783	Best genome:	A9	A7	N5	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	720	Best fitness:	142.52789115646257	Average fitness:	209.20789115646258	Fitness standard deviation:	31.823122898615846	Best genome:	A9	N5	A7	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	736	Best fitness:	142.52789115646257	Average fitness:	220.49360544217683	Fitness standard deviation:	36.11450452013282	Best genome:	A9	N5	A7	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	752	Best fitness:	142.52789115646257	Average fitness:	210.2193197278911	Fitness standard deviation:	38.57599507359943	Best genome:	A9	N5	A7	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	768	Best fitness:	142.52789115646257	Average fitness:	236.19931972789112	Fitness standard deviation:	56.16018671112634	Best genome:	A9	N5	A7	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	784	Best fitness:	142.52789115646257	Average fitness:	223.76503401360543	Fitness standard deviation:	68.95857739192688	Best genome:	A9	N5	A7	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	800	Best fitness:	142.52789115646257	Average fitness:	226.86789115646252	Fitness standard deviation:	40.92739704124156	Best genome:	A9	N5	A7	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	816	Best fitness:	142.52789115646257	Average fitness:	223.75074829931972	Fitness standard deviation:	50.70479074093131	Best genome:	A9	N5	A7	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	832	Best fitness:	142.52789115646257	Average fitness:	199.42789115646258	Fitness standard deviation:	27.151836860477033	Best genome:	A9	N5	A7	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	848	Best fitness:	142.52789115646257	Average fitness:	202.12503401360544	Fitness standard deviation:	23.090584528711076	Best genome:	A9	N5	A7	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	864	Best fitness:	142.52789115646257	Average fitness:	213.91931972789115	Fitness standard deviation:	43.58550601626506	Best genome:	A9	N5	A7	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	880	Best fitness:	142.52789115646257	Average fitness:	223.87646258503395	Fitness standard deviation:	34.220251314097624	Best genome:	A9	N5	A7	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	896	Best fitness:	142.52789115646257	Average fitness:	219.87360544217685	Fitness standard deviation:	39.432857841538954	Best genome:	A9	N5	A7	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	912	Best fitness:	142.52789115646257	Average fitness:	212.55360544217683	Fitness standard deviation:	44.19788239455897	Best genome:	A9	N5	A7	N6	A10	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	928	Best fitness:	137.52789115646257	Average fitness:	208.65074829931973	Fitness standard deviation:	35.07362995709664	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	944	Best fitness:	137.52789115646257	Average fitness:	217.95074829931974	Fitness standard deviation:	39.44291002221322	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	960	Best fitness:	137.52789115646257	Average fitness:	230.1650340136054	Fitness standard deviation:	42.48322607758483	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	976	Best fitness:	137.52789115646257	Average fitness:	207.95360544217684	Fitness standard deviation:	46.23668911598411	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	992	Best fitness:	137.52789115646257	Average fitness:	201.24217687074832	Fitness standard deviation:	51.159092395134195	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1008	Best fitness:	137.52789115646257	Average fitness:	236.86503401360545	Fitness standard deviation:	41.99495557656361	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1024	Best fitness:	137.52789115646257	Average fitness:	229.35931972789112	Fitness standard deviation:	53.241328813972615	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1040	Best fitness:	137.52789115646257	Average fitness:	206.05931972789114	Fitness standard deviation:	48.118093164587464	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1056	Best fitness:	137.52789115646257	Average fitness:	250.52789115646254	Fitness standard deviation:	44.72434026617831	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1072	Best fitness:	137.52789115646257	Average fitness:	204.59931972789116	Fitness standard deviation:	38.75862984878468	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1088	Best fitness:	137.52789115646257	Average fitness:	204.9478911564626	Fitness standard deviation:	38.11429867209032	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1104	Best fitness:	137.52789115646257	Average fitness:	193.55074829931974	Fitness standard deviation:	42.95591817343041	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1120	Best fitness:	137.52789115646257	Average fitness:	231.05074829931974	Fitness standard deviation:	53.1685545396594	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1136	Best fitness:	137.52789115646257	Average fitness:	201.57931972789115	Fitness standard deviation:	41.850782159320964	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1152	Best fitness:	137.52789115646257	Average fitness:	209.46789115646257	Fitness standard deviation:	38.08359323211752	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1168	Best fitness:	137.52789115646257	Average fitness:	213.76217687074828	Fitness standard deviation:	45.00002503400665	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1184	Best fitness:	137.52789115646257	Average fitness:	196.5621768707483	Fitness standard deviation:	38.65015838075108	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1200	Best fitness:	137.52789115646257	Average fitness:	241.81360544217688	Fitness standard deviation:	49.93820671385706	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1216	Best fitness:	137.52789115646257	Average fitness:	232.02789115646254	Fitness standard deviation:	48.76804616273459	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1232	Best fitness:	137.52789115646257	Average fitness:	211.5878911564626	Fitness standard deviation:	48.01715586270034	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1248	Best fitness:	137.52789115646257	Average fitness:	212.91360544217682	Fitness standard deviation:	38.36671654931538	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1264	Best fitness:	137.52789115646257	Average fitness:	212.19931972789112	Fitness standard deviation:	49.61516432112509	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1280	Best fitness:	137.52789115646257	Average fitness:	216.04217687074834	Fitness standard deviation:	42.70557197311635	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1296	Best fitness:	137.52789115646257	Average fitness:	208.06789115646257	Fitness standard deviation:	39.62972178781467	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1312	Best fitness:	137.52789115646257	Average fitness:	221.43931972789113	Fitness standard deviation:	35.310782188667396	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1328	Best fitness:	137.52789115646257	Average fitness:	206.91646258503397	Fitness standard deviation:	48.99630340075438	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1344	Best fitness:	137.52789115646257	Average fitness:	188.6478911564626	Fitness standard deviation:	38.79783036222937	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1360	Best fitness:	137.52789115646257	Average fitness:	202.86503401360545	Fitness standard deviation:	49.98674403871327	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1376	Best fitness:	137.52789115646257	Average fitness:	230.2250340136054	Fitness standard deviation:	45.923397086888066	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1392	Best fitness:	137.52789115646257	Average fitness:	229.56789115646257	Fitness standard deviation:	41.65166767859557	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1408	Best fitness:	137.52789115646257	Average fitness:	244.63360544217682	Fitness standard deviation:	41.13988491248177	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1424	Best fitness:	137.52789115646257	Average fitness:	220.7793197278911	Fitness standard deviation:	57.62772263699591	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1440	Best fitness:	137.52789115646257	Average fitness:	206.71360544217686	Fitness standard deviation:	34.62359994959201	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1456	Best fitness:	137.52789115646257	Average fitness:	198.38503401360543	Fitness standard deviation:	44.786772828684185	Best genome:	A9	N5	A7	A10	N6	E3	A15	A17	N9	E5	N12	N7	A6	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1472	Best fitness:	137.38503401360543	Average fitness:	208.85360544217687	Fitness standard deviation:	50.06412410548077	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1488	Best fitness:	137.38503401360543	Average fitness:	171.93360544217688	Fitness standard deviation:	31.677538040803153	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1504	Best fitness:	137.38503401360543	Average fitness:	210.59360544217688	Fitness standard deviation:	46.01525931466559	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1520	Best fitness:	137.38503401360543	Average fitness:	204.93360544217686	Fitness standard deviation:	42.88758499774469	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1536	Best fitness:	137.38503401360543	Average fitness:	203.73646258503402	Fitness standard deviation:	50.1317888476087	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1552	Best fitness:	137.38503401360543	Average fitness:	180.75360544217688	Fitness standard deviation:	52.42611508453725	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1568	Best fitness:	137.38503401360543	Average fitness:	239.1278911564626	Fitness standard deviation:	45.0926791650897	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1584	Best fitness:	137.38503401360543	Average fitness:	213.61646258503401	Fitness standard deviation:	45.3835796071573	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1600	Best fitness:	137.38503401360543	Average fitness:	199.8021768707483	Fitness standard deviation:	44.6911819818941	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1616	Best fitness:	137.38503401360543	Average fitness:	241.6736054421769	Fitness standard deviation:	65.50959854892119	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1632	Best fitness:	137.38503401360543	Average fitness:	251.03931972789118	Fitness standard deviation:	61.119060055279135	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1648	Best fitness:	137.38503401360543	Average fitness:	225.09646258503398	Fitness standard deviation:	41.826893896884386	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1664	Best fitness:	137.38503401360543	Average fitness:	213.03931972789115	Fitness standard deviation:	46.666546948340134	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1680	Best fitness:	137.38503401360543	Average fitness:	204.57074829931975	Fitness standard deviation:	44.99095827530919	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1696	Best fitness:	137.38503401360543	Average fitness:	211.61360544217686	Fitness standard deviation:	32.40231032327347	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1712	Best fitness:	137.38503401360543	Average fitness:	213.37931972789116	Fitness standard deviation:	33.11103348999409	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1728	Best fitness:	137.38503401360543	Average fitness:	205.21074829931976	Fitness standard deviation:	50.77936500394705	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
Generation:	1744	Best fitness:	137.38503401360543	Average fitness:	220.47074829931975	Fitness standard deviation:	39.539064640593885	Best genome:	A9	N5	A7	N9	E5	N12	N7	A6	A10	N6	E3	A15	A17	A14	A12	E4	N3	A11	A8	A16	A13	
