Generation:	16	Best fitness:	238.32789115646258	Average fitness:	343.32931972789135	Fitness standard deviation:	31.94999316534053	Best genome:	A12	N9	A16	A9	N3	A8	A13	A15	A14	E4	A7	N7	A11	E5	N12	N5	A6	N6	A10	E3	A17	
Generation:	224	Best fitness:	166.87074829931973	Average fitness:	340.9570340136055	Fitness standard deviation:	35.77847203134811	Best genome:	A9	E4	N3	N5	A7	A6	A12	A10	A14	A17	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
Generation:	240	Best fitness:	166.87074829931973	Average fitness:	344.59303401360575	Fitness standard deviation:	35.163077824935186	Best genome:	A9	E4	N3	N5	A7	A6	A12	A10	A14	A17	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
Generation:	256	Best fitness:	166.87074829931973	Average fitness:	338.438605442177	Fitness standard deviation:	38.123474041057484	Best genome:	A9	E4	N3	N5	A7	A6	A12	A10	A14	A17	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
Generation:	272	Best fitness:	166.87074829931973	Average fitness:	344.25260544217707	Fitness standard deviation:	34.1326208418078	Best genome:	A9	E4	N3	N5	A7	A6	A12	A10	A14	A17	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
Generation:	288	Best fitness:	166.87074829931973	Average fitness:	344.97131972789145	Fitness standard deviation:	35.66774395524817	Best genome:	A9	E4	N3	N5	A7	A6	A12	A10	A14	A17	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
Generation:	304	Best fitness:	166.87074829931973	Average fitness:	338.21974829932	Fitness standard deviation:	37.276261404627505	Best genome:	A9	E4	N3	N5	A7	A6	A12	A10	A14	A17	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
Generation:	320	Best fitness:	166.87074829931973	Average fitness:	340.93417687074833	Fitness standard deviation:	40.171459374099136	Best genome:	A9	E4	N3	N5	A7	A6	A12	A10	A14	A17	A13	A11	A8	A16	E5	N12	E3	N7	N6	A15	N9	
Generation:	336	Best fitness:	161.87074829931973	Average fitness:	336.15074829931984	Fitness standard deviation:	35.488533129356995	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A17	A14	A10	A11	N6	E3	N12	A8	A16	E5	N7	A15	N9	
Generation:	352	Best fitness:	161.87074829931973	Average fitness:	345.15774829932	Fitness standard deviation:	40.156161729895835	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A17	A14	A10	A11	N6	E3	N12	A8	A16	E5	N7	A15	N9	
Generation:	368	Best fitness:	158.87074829931973	Average fitness:	343.6373197278914	Fitness standard deviation:	36.32177736705682	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A17	A14	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	384	Best fitness:	158.87074829931973	Average fitness:	339.1503197278912	Fitness standard deviation:	38.36783185754674	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A17	A14	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	400	Best fitness:	158.87074829931973	Average fitness:	342.81360544217716	Fitness standard deviation:	39.251606804495204	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A17	A14	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	416	Best fitness:	158.87074829931973	Average fitness:	342.3587482993197	Fitness standard deviation:	37.70113898133312	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A17	A14	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	432	Best fitness:	158.87074829931973	Average fitness:	337.5568911564627	Fitness standard deviation:	36.55257800757698	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A17	A14	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	448	Best fitness:	158.87074829931973	Average fitness:	343.7767482993199	Fitness standard deviation:	36.8044370206659	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A17	A14	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	464	Best fitness:	158.87074829931973	Average fitness:	337.3198911564625	Fitness standard deviation:	36.23133103054452	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A17	A14	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	480	Best fitness:	158.87074829931973	Average fitness:	336.90217687074835	Fitness standard deviation:	37.06660018102	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A17	A14	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	496	Best fitness:	158.87074829931973	Average fitness:	343.4387482993198	Fitness standard deviation:	35.36650572251106	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A17	A14	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	512	Best fitness:	158.87074829931973	Average fitness:	343.99931972789136	Fitness standard deviation:	34.0295213973193	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A17	A14	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	528	Best fitness:	158.87074829931973	Average fitness:	339.79374829931993	Fitness standard deviation:	35.769292861563905	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A17	A14	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	544	Best fitness:	158.87074829931973	Average fitness:	345.9364625850342	Fitness standard deviation:	34.94338441373007	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A17	A14	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	560	Best fitness:	149.87074829931973	Average fitness:	335.7074625850343	Fitness standard deviation:	37.23587028303078	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	576	Best fitness:	149.87074829931973	Average fitness:	337.8371768707486	Fitness standard deviation:	38.160969850070096	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	592	Best fitness:	149.87074829931973	Average fitness:	345.1101768707486	Fitness standard deviation:	35.144258689822195	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	608	Best fitness:	149.87074829931973	Average fitness:	335.06560544217706	Fitness standard deviation:	39.78479873375903	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	624	Best fitness:	149.87074829931973	Average fitness:	341.40374829931983	Fitness standard deviation:	36.205261946748195	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	640	Best fitness:	149.87074829931973	Average fitness:	342.60703401360536	Fitness standard deviation:	38.424986950192306	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	656	Best fitness:	149.87074829931973	Average fitness:	340.4530340136056	Fitness standard deviation:	36.23702093445434	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	672	Best fitness:	149.87074829931973	Average fitness:	339.39703401360566	Fitness standard deviation:	38.874005202574594	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	688	Best fitness:	149.87074829931973	Average fitness:	343.1138911564627	Fitness standard deviation:	40.30555802965186	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	704	Best fitness:	149.87074829931973	Average fitness:	341.0278911564628	Fitness standard deviation:	35.57202455037166	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	720	Best fitness:	149.87074829931973	Average fitness:	337.15317687074844	Fitness standard deviation:	37.43557853465724	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	736	Best fitness:	149.87074829931973	Average fitness:	340.74046258503427	Fitness standard deviation:	36.81935678139853	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	752	Best fitness:	149.87074829931973	Average fitness:	343.27274829932	Fitness standard deviation:	34.7729717359178	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	768	Best fitness:	149.87074829931973	Average fitness:	339.19946258503427	Fitness standard deviation:	40.73639159252562	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	784	Best fitness:	149.87074829931973	Average fitness:	344.80217687074867	Fitness standard deviation:	36.1393425733321	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	800	Best fitness:	149.87074829931973	Average fitness:	340.88517687074835	Fitness standard deviation:	38.08725299619177	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	816	Best fitness:	149.87074829931973	Average fitness:	340.0787482993196	Fitness standard deviation:	37.864756125032194	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	832	Best fitness:	149.87074829931973	Average fitness:	344.1951768707487	Fitness standard deviation:	39.85672758590628	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	848	Best fitness:	149.87074829931973	Average fitness:	335.9867482993198	Fitness standard deviation:	36.14074241582962	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	864	Best fitness:	149.87074829931973	Average fitness:	341.55446258503406	Fitness standard deviation:	35.586449898917465	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	880	Best fitness:	149.87074829931973	Average fitness:	339.4227482993197	Fitness standard deviation:	36.76684528656941	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	896	Best fitness:	149.87074829931973	Average fitness:	343.24589115646285	Fitness standard deviation:	37.13103232761359	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	912	Best fitness:	149.87074829931973	Average fitness:	340.3473197278912	Fitness standard deviation:	39.0529410175783	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	928	Best fitness:	149.87074829931973	Average fitness:	334.96017687074846	Fitness standard deviation:	38.037076896853456	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	944	Best fitness:	149.87074829931973	Average fitness:	340.3691768707485	Fitness standard deviation:	40.40929027324974	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	960	Best fitness:	149.87074829931973	Average fitness:	340.6016054421771	Fitness standard deviation:	38.61438775526923	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	976	Best fitness:	149.87074829931973	Average fitness:	344.2756054421772	Fitness standard deviation:	37.542880529455644	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	992	Best fitness:	149.87074829931973	Average fitness:	339.86217687074827	Fitness standard deviation:	37.59145571612175	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1008	Best fitness:	149.87074829931973	Average fitness:	338.46446258503414	Fitness standard deviation:	34.70879264711476	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1024	Best fitness:	149.87074829931973	Average fitness:	344.3904625850344	Fitness standard deviation:	36.04286805843219	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1040	Best fitness:	149.87074829931973	Average fitness:	338.6161768707485	Fitness standard deviation:	34.97057249068896	Best genome:	A9	E4	N3	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1056	Best fitness:	144.87074829931973	Average fitness:	335.26817687074845	Fitness standard deviation:	39.82998646697213	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1072	Best fitness:	144.87074829931973	Average fitness:	340.8554625850344	Fitness standard deviation:	37.68957435852162	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1088	Best fitness:	144.87074829931973	Average fitness:	343.18731972789135	Fitness standard deviation:	39.468623276559036	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1104	Best fitness:	144.87074829931973	Average fitness:	341.28089115646276	Fitness standard deviation:	35.88941005735962	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1120	Best fitness:	144.87074829931973	Average fitness:	342.8290340136057	Fitness standard deviation:	38.6030156208088	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1136	Best fitness:	144.87074829931973	Average fitness:	338.5410340136057	Fitness standard deviation:	37.49815079413373	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1152	Best fitness:	144.87074829931973	Average fitness:	340.37303401360566	Fitness standard deviation:	39.95272076863261	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1168	Best fitness:	144.87074829931973	Average fitness:	344.25946258503404	Fitness standard deviation:	36.27827852918075	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1184	Best fitness:	144.87074829931973	Average fitness:	339.97860544217707	Fitness standard deviation:	38.34324977843465	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1200	Best fitness:	144.87074829931973	Average fitness:	336.83917687074836	Fitness standard deviation:	38.403176569026655	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1216	Best fitness:	144.87074829931973	Average fitness:	341.2664625850342	Fitness standard deviation:	39.44153842158321	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1232	Best fitness:	144.87074829931973	Average fitness:	343.9660340136055	Fitness standard deviation:	36.4834024636756	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1248	Best fitness:	144.87074829931973	Average fitness:	341.99889115646243	Fitness standard deviation:	37.457134355180465	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1264	Best fitness:	144.87074829931973	Average fitness:	340.13189115646253	Fitness standard deviation:	36.72446440781425	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1280	Best fitness:	144.87074829931973	Average fitness:	338.5571768707485	Fitness standard deviation:	35.686135470178314	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1296	Best fitness:	144.87074829931973	Average fitness:	340.7573197278914	Fitness standard deviation:	38.01973203160567	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1312	Best fitness:	144.87074829931973	Average fitness:	338.3433197278912	Fitness standard deviation:	35.714900433566825	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1328	Best fitness:	144.87074829931973	Average fitness:	341.8448911564628	Fitness standard deviation:	34.668351690831564	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1344	Best fitness:	144.87074829931973	Average fitness:	338.803605442177	Fitness standard deviation:	38.73704694633354	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1360	Best fitness:	144.87074829931973	Average fitness:	338.2196054421771	Fitness standard deviation:	35.50995601581193	Best genome:	A9	N3	E4	N5	A7	A6	A12	A13	A14	A17	A11	E3	N12	A8	A16	E5	N7	A10	N6	A15	N9	
Generation:	1376	Best fitness:	121.87074829931973	Average fitness:	338.3528911564627	Fitness standard deviation:	45.134287426862215	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1392	Best fitness:	121.87074829931973	Average fitness:	341.30789115646286	Fitness standard deviation:	38.63905014254837	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1408	Best fitness:	121.87074829931973	Average fitness:	338.07146258503417	Fitness standard deviation:	41.737935608718715	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1424	Best fitness:	121.87074829931973	Average fitness:	341.381605442177	Fitness standard deviation:	39.05194422085246	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1440	Best fitness:	121.87074829931973	Average fitness:	341.02446258503426	Fitness standard deviation:	38.59049555821448	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1456	Best fitness:	121.87074829931973	Average fitness:	341.1126054421769	Fitness standard deviation:	35.65177465056535	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1472	Best fitness:	121.87074829931973	Average fitness:	342.38403401360557	Fitness standard deviation:	37.9418147853273	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1488	Best fitness:	121.87074829931973	Average fitness:	343.88660544217726	Fitness standard deviation:	38.79871149738278	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1504	Best fitness:	121.87074829931973	Average fitness:	337.59346258503405	Fitness standard deviation:	40.97979022042699	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1520	Best fitness:	121.87074829931973	Average fitness:	341.9114625850343	Fitness standard deviation:	36.594721091090356	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1536	Best fitness:	121.87074829931973	Average fitness:	340.15031972789143	Fitness standard deviation:	40.21257787568664	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1552	Best fitness:	121.87074829931973	Average fitness:	342.9024625850343	Fitness standard deviation:	39.69717686872631	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1568	Best fitness:	121.87074829931973	Average fitness:	339.1181768707484	Fitness standard deviation:	40.22584725354218	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1584	Best fitness:	121.87074829931973	Average fitness:	337.9943197278912	Fitness standard deviation:	41.170222242414425	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1600	Best fitness:	121.87074829931973	Average fitness:	338.99303401360555	Fitness standard deviation:	39.40125597915242	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1616	Best fitness:	121.87074829931973	Average fitness:	338.1048911564626	Fitness standard deviation:	37.832912320801704	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1632	Best fitness:	121.87074829931973	Average fitness:	339.9893197278912	Fitness standard deviation:	34.031257990385306	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1648	Best fitness:	121.87074829931973	Average fitness:	336.864605442177	Fitness standard deviation:	42.246645936423775	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1664	Best fitness:	121.87074829931973	Average fitness:	339.9956054421771	Fitness standard deviation:	38.98991280433692	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1680	Best fitness:	121.87074829931973	Average fitness:	344.51746258503425	Fitness standard deviation:	39.590770020760324	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1696	Best fitness:	121.87074829931973	Average fitness:	339.60217687074856	Fitness standard deviation:	41.251942489823094	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1712	Best fitness:	121.87074829931973	Average fitness:	339.56389115646266	Fitness standard deviation:	40.129681949745816	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1728	Best fitness:	121.87074829931973	Average fitness:	340.2324625850342	Fitness standard deviation:	44.06956610466072	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
Generation:	1744	Best fitness:	121.87074829931973	Average fitness:	339.589462585034	Fitness standard deviation:	34.92408082117668	Best genome:	A9	N3	E4	N5	A7	A6	A12	A14	A17	A11	E3	N12	A8	A13	A16	E5	N7	A10	N6	A15	N9	
