Generation:	16	Best fitness:	218.52789115646257	Average fitness:	340.8156054421772	Fitness standard deviation:	33.12204463643449	Best genome:	N12	E5	N3	A7	A10	A8	A13	A9	N9	A15	E4	N5	A11	N7	N6	E3	A6	A12	A17	A14	A16	
Generation:	192	Best fitness:	167.38503401360543	Average fitness:	345.49431972789154	Fitness standard deviation:	32.260341918744224	Best genome:	A9	N3	A7	N9	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A12	A17	A14	A13	A8	A16	
Generation:	208	Best fitness:	167.38503401360543	Average fitness:	344.32117687074856	Fitness standard deviation:	35.24621745257619	Best genome:	A9	N3	A7	N9	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A12	A17	A14	A13	A8	A16	
Generation:	224	Best fitness:	167.38503401360543	Average fitness:	344.47689115646267	Fitness standard deviation:	37.12636478656787	Best genome:	A9	N3	A7	N9	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A12	A17	A14	A13	A8	A16	
Generation:	240	Best fitness:	153.38503401360543	Average fitness:	338.25974829931977	Fitness standard deviation:	35.52955822370197	Best genome:	A9	N3	A7	N9	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A12	A14	A17	A13	A8	A16	
Generation:	256	Best fitness:	139.78503401360544	Average fitness:	343.55817687074864	Fitness standard deviation:	38.668441769716544	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A8	A16	
Generation:	272	Best fitness:	139.78503401360544	Average fitness:	342.8911768707486	Fitness standard deviation:	40.00146144039423	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A8	A16	
Generation:	288	Best fitness:	139.78503401360544	Average fitness:	345.0444625850343	Fitness standard deviation:	37.22080539106031	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A8	A16	
Generation:	304	Best fitness:	139.78503401360544	Average fitness:	348.4536054421772	Fitness standard deviation:	36.97851577026083	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A8	A16	
Generation:	320	Best fitness:	139.78503401360544	Average fitness:	340.32803401360565	Fitness standard deviation:	38.89842769998053	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A8	A16	
Generation:	336	Best fitness:	139.78503401360544	Average fitness:	339.1127482993202	Fitness standard deviation:	37.54286615677213	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A8	A16	
Generation:	352	Best fitness:	139.78503401360544	Average fitness:	337.57017687074864	Fitness standard deviation:	38.69671482760493	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A8	A16	
Generation:	368	Best fitness:	139.78503401360544	Average fitness:	336.4718911564627	Fitness standard deviation:	38.128764527691736	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A8	A16	
Generation:	384	Best fitness:	139.78503401360544	Average fitness:	338.32503401360555	Fitness standard deviation:	42.07272634428172	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A8	A16	
Generation:	400	Best fitness:	139.78503401360544	Average fitness:	340.39246258503414	Fitness standard deviation:	39.56626869298789	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A8	A16	
Generation:	416	Best fitness:	139.78503401360544	Average fitness:	343.4580340136054	Fitness standard deviation:	35.89684787452139	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A8	A16	
Generation:	432	Best fitness:	139.78503401360544	Average fitness:	342.79131972789133	Fitness standard deviation:	36.98227067343574	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A8	A16	
Generation:	448	Best fitness:	134.78503401360544	Average fitness:	344.7103197278915	Fitness standard deviation:	38.83897765289979	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	464	Best fitness:	134.78503401360544	Average fitness:	335.4733197278913	Fitness standard deviation:	41.717660449595634	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	480	Best fitness:	134.78503401360544	Average fitness:	339.44489115646275	Fitness standard deviation:	39.984778899639565	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	496	Best fitness:	134.78503401360544	Average fitness:	336.59046258503406	Fitness standard deviation:	37.63615515182502	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	512	Best fitness:	134.78503401360544	Average fitness:	334.7384625850342	Fitness standard deviation:	40.69476367157961	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	528	Best fitness:	134.78503401360544	Average fitness:	333.9541768707484	Fitness standard deviation:	36.93114380208947	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	544	Best fitness:	134.78503401360544	Average fitness:	341.9954625850343	Fitness standard deviation:	36.814611249461535	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	560	Best fitness:	134.78503401360544	Average fitness:	340.76560544217705	Fitness standard deviation:	35.751997319402044	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	576	Best fitness:	134.78503401360544	Average fitness:	339.5494625850342	Fitness standard deviation:	40.02793040146454	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	592	Best fitness:	134.78503401360544	Average fitness:	340.93917687074855	Fitness standard deviation:	42.32386145122934	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	608	Best fitness:	134.78503401360544	Average fitness:	341.4883197278915	Fitness standard deviation:	38.06324379213616	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	624	Best fitness:	134.78503401360544	Average fitness:	340.6821768707486	Fitness standard deviation:	41.800134654601976	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	640	Best fitness:	134.78503401360544	Average fitness:	338.21317687074844	Fitness standard deviation:	38.51208466342025	Best genome:	A9	N3	A7	N6	N5	E4	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	656	Best fitness:	129.78503401360544	Average fitness:	340.2110340136057	Fitness standard deviation:	35.77191740765944	Best genome:	A9	N3	E4	A7	N6	N5	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	672	Best fitness:	129.78503401360544	Average fitness:	337.63989115646285	Fitness standard deviation:	38.79919464344063	Best genome:	A9	N3	E4	A7	N6	N5	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	688	Best fitness:	129.78503401360544	Average fitness:	339.0610340136056	Fitness standard deviation:	42.15266437363027	Best genome:	A9	N3	E4	A7	N6	N5	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	704	Best fitness:	129.78503401360544	Average fitness:	339.8228911564627	Fitness standard deviation:	39.87923821120612	Best genome:	A9	N3	E4	A7	N6	N5	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	720	Best fitness:	129.78503401360544	Average fitness:	340.13817687074834	Fitness standard deviation:	39.77767582707771	Best genome:	A9	N3	E4	A7	N6	N5	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	736	Best fitness:	129.78503401360544	Average fitness:	339.8721768707485	Fitness standard deviation:	34.961508951463536	Best genome:	A9	N3	E4	A7	N6	N5	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	752	Best fitness:	129.78503401360544	Average fitness:	343.8956054421768	Fitness standard deviation:	36.875696139814345	Best genome:	A9	N3	E4	A7	N6	N5	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	768	Best fitness:	129.78503401360544	Average fitness:	333.5521768707483	Fitness standard deviation:	38.954703234418716	Best genome:	A9	N3	E4	A7	N6	N5	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	784	Best fitness:	129.78503401360544	Average fitness:	337.7004625850342	Fitness standard deviation:	37.83061527063897	Best genome:	A9	N3	E4	A7	N6	N5	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	800	Best fitness:	129.78503401360544	Average fitness:	339.21574829931984	Fitness standard deviation:	38.9060551331076	Best genome:	A9	N3	E4	A7	N6	N5	A11	A15	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	816	Best fitness:	128.78503401360544	Average fitness:	339.2046054421771	Fitness standard deviation:	36.001560462495156	Best genome:	A9	N3	E4	A7	N5	A11	A15	N6	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	832	Best fitness:	128.78503401360544	Average fitness:	336.9228911564629	Fitness standard deviation:	41.48478220494639	Best genome:	A9	N3	E4	A7	N5	A11	A15	N6	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	848	Best fitness:	128.78503401360544	Average fitness:	339.82474829932005	Fitness standard deviation:	38.14358306318324	Best genome:	A9	N3	E4	A7	N5	A11	A15	N6	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	864	Best fitness:	128.78503401360544	Average fitness:	340.3984625850342	Fitness standard deviation:	36.98629452836247	Best genome:	A9	N3	E4	A7	N5	A11	A15	N6	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	880	Best fitness:	128.78503401360544	Average fitness:	339.3543197278912	Fitness standard deviation:	40.74517023463001	Best genome:	A9	N3	E4	A7	N5	A11	A15	N6	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	896	Best fitness:	128.78503401360544	Average fitness:	337.2411768707484	Fitness standard deviation:	33.773774559258136	Best genome:	A9	N3	E4	A7	N5	A11	A15	N6	N7	A10	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	912	Best fitness:	126.78503401360544	Average fitness:	344.12474829931983	Fitness standard deviation:	41.59958936119933	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	928	Best fitness:	126.78503401360544	Average fitness:	340.12831972789127	Fitness standard deviation:	36.356960030693834	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	944	Best fitness:	126.78503401360544	Average fitness:	338.3308911564629	Fitness standard deviation:	38.21317246949895	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	960	Best fitness:	126.78503401360544	Average fitness:	339.700605442177	Fitness standard deviation:	40.425053486264524	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	976	Best fitness:	126.78503401360544	Average fitness:	337.64146258503405	Fitness standard deviation:	38.285311984826635	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	992	Best fitness:	126.78503401360544	Average fitness:	338.9997482993198	Fitness standard deviation:	37.33869284656061	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1008	Best fitness:	126.78503401360544	Average fitness:	333.4694625850341	Fitness standard deviation:	40.338753666003754	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1024	Best fitness:	126.78503401360544	Average fitness:	342.4150340136055	Fitness standard deviation:	39.326457911140885	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1040	Best fitness:	126.78503401360544	Average fitness:	340.2067482993198	Fitness standard deviation:	37.62011004117618	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1056	Best fitness:	126.78503401360544	Average fitness:	342.7957482993198	Fitness standard deviation:	36.98397948119302	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1072	Best fitness:	126.78503401360544	Average fitness:	337.81103401360554	Fitness standard deviation:	39.17754679634231	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1088	Best fitness:	126.78503401360544	Average fitness:	336.7096054421769	Fitness standard deviation:	38.20669970525257	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1104	Best fitness:	126.78503401360544	Average fitness:	338.6044625850343	Fitness standard deviation:	38.00009771845654	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1120	Best fitness:	126.78503401360544	Average fitness:	340.33574829931973	Fitness standard deviation:	38.11940241276249	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1136	Best fitness:	126.78503401360544	Average fitness:	339.76589115646254	Fitness standard deviation:	36.08703878465091	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1152	Best fitness:	126.78503401360544	Average fitness:	339.48031972789147	Fitness standard deviation:	40.828594149498805	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1168	Best fitness:	126.78503401360544	Average fitness:	341.2854625850343	Fitness standard deviation:	42.885761109472874	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1184	Best fitness:	126.78503401360544	Average fitness:	339.95260544217695	Fitness standard deviation:	41.69604030311731	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1200	Best fitness:	126.78503401360544	Average fitness:	332.58146258503405	Fitness standard deviation:	39.53602469229029	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1216	Best fitness:	126.78503401360544	Average fitness:	340.61803401360544	Fitness standard deviation:	36.543457729622894	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1232	Best fitness:	126.78503401360544	Average fitness:	341.50774829931987	Fitness standard deviation:	39.33326180297313	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1248	Best fitness:	126.78503401360544	Average fitness:	336.50303401360566	Fitness standard deviation:	36.70663292226346	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1264	Best fitness:	126.78503401360544	Average fitness:	336.3714625850343	Fitness standard deviation:	40.922312753832095	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1280	Best fitness:	126.78503401360544	Average fitness:	334.0741768707485	Fitness standard deviation:	38.330630109240694	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1296	Best fitness:	126.78503401360544	Average fitness:	340.24431972789137	Fitness standard deviation:	39.886964566722035	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1312	Best fitness:	126.78503401360544	Average fitness:	338.1630340136055	Fitness standard deviation:	41.88923428105438	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1328	Best fitness:	126.78503401360544	Average fitness:	341.7080340136056	Fitness standard deviation:	36.66665083212398	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1344	Best fitness:	126.78503401360544	Average fitness:	341.58517687074846	Fitness standard deviation:	37.9118503359828	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1360	Best fitness:	126.78503401360544	Average fitness:	340.28517687074833	Fitness standard deviation:	40.753498009123	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1376	Best fitness:	126.78503401360544	Average fitness:	337.2003197278913	Fitness standard deviation:	42.686391549178715	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1392	Best fitness:	126.78503401360544	Average fitness:	344.28746258503435	Fitness standard deviation:	41.600539270199725	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1408	Best fitness:	126.78503401360544	Average fitness:	337.518605442177	Fitness standard deviation:	41.70641206880618	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1424	Best fitness:	126.78503401360544	Average fitness:	341.4640340136056	Fitness standard deviation:	39.36166787339569	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1440	Best fitness:	126.78503401360544	Average fitness:	334.0177482993196	Fitness standard deviation:	37.695343229689286	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1456	Best fitness:	126.78503401360544	Average fitness:	341.67131972789133	Fitness standard deviation:	39.30243560609735	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1472	Best fitness:	126.78503401360544	Average fitness:	341.4661768707483	Fitness standard deviation:	36.681526957289655	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1488	Best fitness:	126.78503401360544	Average fitness:	344.03017687074856	Fitness standard deviation:	39.87859027250649	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1504	Best fitness:	126.78503401360544	Average fitness:	340.68331972789144	Fitness standard deviation:	40.77753499571215	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1520	Best fitness:	126.78503401360544	Average fitness:	343.1910340136056	Fitness standard deviation:	41.706143783693584	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1536	Best fitness:	126.78503401360544	Average fitness:	334.5227482993199	Fitness standard deviation:	38.139458142828545	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1552	Best fitness:	126.78503401360544	Average fitness:	338.5220340136055	Fitness standard deviation:	38.06267594885776	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1568	Best fitness:	126.78503401360544	Average fitness:	342.5097482993198	Fitness standard deviation:	38.992550641508586	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1584	Best fitness:	126.78503401360544	Average fitness:	341.21017687074846	Fitness standard deviation:	38.36068156701225	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1600	Best fitness:	126.78503401360544	Average fitness:	338.3183197278912	Fitness standard deviation:	41.87688703296162	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1616	Best fitness:	126.78503401360544	Average fitness:	336.4048911564628	Fitness standard deviation:	37.613614035292045	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1632	Best fitness:	126.78503401360544	Average fitness:	333.45603401360563	Fitness standard deviation:	40.92078080703181	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1648	Best fitness:	126.78503401360544	Average fitness:	338.244605442177	Fitness standard deviation:	38.18867732371329	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1664	Best fitness:	126.78503401360544	Average fitness:	339.59917687074864	Fitness standard deviation:	40.646162556775735	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1680	Best fitness:	126.78503401360544	Average fitness:	339.6190340136056	Fitness standard deviation:	39.12607694442702	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1696	Best fitness:	126.78503401360544	Average fitness:	345.15831972789135	Fitness standard deviation:	40.557248133260444	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1712	Best fitness:	126.78503401360544	Average fitness:	336.8507482993196	Fitness standard deviation:	40.804589077650554	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1728	Best fitness:	126.78503401360544	Average fitness:	340.26646258503433	Fitness standard deviation:	38.62462096769312	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
Generation:	1744	Best fitness:	126.78503401360544	Average fitness:	341.2287482993199	Fitness standard deviation:	38.95335818066294	Best genome:	A9	N3	E4	A7	N5	A11	A15	N7	A10	N6	N12	E5	E3	A6	A14	A17	A12	N9	A13	A16	A8	
